index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,33136,6,10,1.0,270.0,False,-0.0007508409418548774,0,0.2,33256,4,0,0.0,40.0,False,-0.000600672753483902,0,0.2,49944,0,0,0.0,0.0,False,0.0,0,0.2,49944.0,0,0,0.0,0.0,False,0.0,0,0.2,69182,0,0,0.0,0.0,False,0.0,0,0.2,69182,0,0,0.0,0.0,False,0.0,0.16666666666666666,304644,0.0,0.0,5,0,0,0,0,0.0,460,460,100,0.0,0.0,0,0,100,200,4.612070196017157,4.612070196017157
1,100,0,0,0,10.0,20,10.0,21.0,0,,22.848837209302324,41,15.0,40.0,0,,0,0.2,33036,6,20,1.0,480.0,False,-0.000600672753483902,0,0.2,33156,14,0,0.0,140.0,False,-0.002102354637193657,0,0.2,49944,0,0,0.0,0.0,False,0.0,41,0.6100000000000001,48024.0,0,0,0.0,0.0,False,-0.03844305622296973,0,0.2,69182,0,0,0.0,0.0,False,0.0,0,0.2,68567,41,0,0.0,936.8023255813953,False,-0.0021190314996573953,0.16666666666666666,301909,0.0,0.0,6,0,0,16,7,7.0,95,111,68,1772.0,18.0,99,1,68,200,10.959800327022094,15.571870523039252
2,68,0,0,0,10.0,20,10.0,12.88888888888889,36,2.75,21.329568788501025,20,15.45,40.0,0,,0,0.2,32938,8,28,1.0,440.8888888888889,False,-0.004131293715628146,34,0.54,31821,22,0,0.0,220.0,False,-0.04099591542527631,0,0.2,49905,3,10,1.0,251.96235455167692,False,0.0017415741085183467,20,0.7690000000000001,47332.0,23,0,0.0,296.44444444444446,False,-0.04933080605834096,0,0.2,69017,1,10,1.0,421.32956878850104,False,0.0006600674220786949,0,0.2,68423,50,0,0.0,1066.4784394250512,False,-0.0032632878535958773,0.5,299436,0.0,0.0,6,0,0,8,9,9.0,35,43,21,480.0,129.0,33,35,21,222,5.497819099051412,21.069689622090664
3,21,0,0,0,10.0,20,10.0,12.458498023715414,3,2.0,20.46456028501781,19,16.473684210526315,40.0,20,40.0,0,0.2,32838,8,38,1.0,553.4229249011858,False,-0.0054447542512436305,3,0.536,31652,32,0,0.0,320.0,False,-0.04456991830850553,0,0.2,49905,0,13,0.3,266.0392837052315,False,0.001882501238439402,19,0.9390000000000003,46796.0,26,0,0.0,323.92094861660075,False,-0.05978775279696653,0,0.2,69251,0,10,0.9,400.0,False,0.003888294643115261,11,0.31000000000000005,68084,61,0,0.0,1248.3381773860865,False,-0.0068490490489860854,0.3666666666666667,298526,0.0,0.0,9,0,0,9,8,8.0,14,23,20,143.0,57.0,12,9,20,560,1.8494819169864058,22.91917153907707
4,20,0,0,0,10.0,20,10.0,11.765237020316027,7,5.0,19.77315749057985,16,15.625,40.0,20,40.0,0,0.2,32738,8,48,1.0,644.7313769751693,False,-0.007076955535572387,7,0.603,31412,42,0,0.0,420.0,False,-0.050276309466602595,0,0.2,49905,0,13,0.0,257.05104737753805,False,0.001792518094040683,16,1.08,46297.0,33,0,0.0,388.2528216704289,False,-0.06913490287451522,0,0.2,69555,0,6,0.6,240.0,False,0.007126131074556966,10,0.399,67784,71,0,0.0,1403.8941818311694,False,-0.010061185121627318,0.26666666666666666,297691,0.0,0.0,8,0,0,3,8,8.0,15,18,20,115.0,84.0,7,13,20,600,1.7843575939768925,24.703529133053962
5,20,0,0,0,10.0,20,10.0,9.373942714774461,43,5.604651162790698,19.342346107120743,10,15.0,40.0,20,40.0,0,0.2,32678,4,58,1.0,583.6886774569188,False,-0.00979564095601703,43,1.026,29970,56,0,0.0,560.0,False,-0.09148246035559827,0,0.2,49905,0,13,0.0,251.45049939256967,False,0.001736449817721505,10,1.1640000000000001,45818.0,76,0,0.0,712.4196463228591,False,-0.075480341519273,5,0.25,69702,0,3,0.3,120.0,False,0.008383683617125841,9,0.47900000000000004,67555,78,0,0.0,1508.702996355418,False,-0.012613808531442982,0.21666666666666667,295628,0.0,0.0,7,0,0,10,9,8.25,13,23,24,140.0,57.0,11,9,24,320,2.1735755159752443,26.877104649029206
6,24,0,0,0,10.0,20,10.0,10.098522252353348,28,12.67857142857143,18.675158990162092,23,15.782608695652174,40.0,20,40.0,0,0.2,32836,7,59,1.0,665.8128128888475,False,-0.003817082939559567,19,1.1730000000000003,29395,63,0,0.0,630.0,False,-0.10770062469966363,0,0.2,49905,0,13,0.0,242.7770668721072,False,0.0016496182411511486,23,1.3840000000000003,44708.0,104,0,0.0,1050.2463142447482,False,-0.09432317881782845,4,0.28500000000000003,69704,0,5,0.5,200.0,False,0.008990777948021162,13,0.6000000000000001,67048,96,0,0.0,1792.815263055561,False,-0.01788893597282851,0.25,293596,0.0,0.0,7,0,0,13,13,12.25,13,26,25,168.0,55.0,16,8,25,488,2.3067608409910463,29.183865490020253
7,25,0,0,0,10.0,20,10.0,9.354649674025882,117,8.623931623931623,18.412981946483683,12,16.0,40.0,20,40.0,0,0.2,33295,8,51,1.0,557.08713337532,False,0.008335642920700935,99,2.1440000000000006,23637,72,0,0.0,720.0,False,-0.27928279673234024,0,0.2,49905,0,13,0.0,239.36876530428788,False,0.0016154970096937278,12,1.481,43409.0,221,0,0.0,2067.37757795972,False,-0.11014959176317755,8,0.36100000000000004,69808,0,0,0.0,0.0,False,0.009048596455725477,7,0.6570000000000001,66780,108,0,0.0,1988.6020502202377,False,-0.020347763506257086,0.16666666666666666,286834,0.0,0.0,9,0,0,12,11,11.0,15,27,20,172.0,91.0,15,10,20,969,1.8047105930163525,30.988576083036605
8,20,0,0,0,10.0,20,10.0,9.084603376820654,28,7.071428571428571,17.84017307778073,18,14.333333333333334,40.0,20,40.0,0,0.2,33175,10,61,1.0,654.1608059860599,False,0.006189344155244761,28,2.3250000000000006,22791,80,0,0.0,800.0,False,-0.30348990869774145,0,0.2,49905,0,13,0.0,231.9222500111495,False,0.0015409483622772508,18,1.6490000000000002,42713.0,249,0,0.0,2262.066240828343,False,-0.12213613005738087,7,0.42300000000000004,69732,0,0,0.0,0.0,False,0.00795004480934347,13,0.78,66298,126,0,0.0,2247.861807800372,False,-0.025441142148244025,0.16666666666666666,284614,0.0,0.0,5,0,0,9,11,11.0,12,21,18,158.0,72.0,11,9,18,200,1.3248960560304113,32.31347213906702
9,18,0,0,0,10.000000000000002,20,10.0,10.209591095591739,11,32.0,17.336696417611485,27,15.185185185185185,40.0,20,40.0,0,0.2,33457,7,60,1.0,682.5754657355043,False,0.015085527777142888,0,2.2970000000000006,22661,93,0,0.0,930.0000000000001,False,-0.3054420951465642,0,0.2,49905,0,13,0.0,225.3770534289493,False,0.0014754230080585315,27,1.9010000000000002,41413.0,260,0,0.0,2654.493684853852,False,-0.1442366081525924,13,0.546,69370,0,9,0.9,360.0,False,0.005319302708797086,7,0.8370000000000002,65956,144,0,0.0,2496.4842841360537,False,-0.028587751986527812,0.31666666666666665,282762,0.0,0.0,7,0,0,7,10,10.0,12,19,23,134.0,90.0,8,10,23,552,1.4223849439877085,33.735857083054725
