index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,9,10.0,31.945283840248333,15,42.0,17.15549663536117,36,17.22222222222222,38.0,20,38.0,5,0.277,77294,5,10,1.0,369.45283840248334,False,0.03218265216153414,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,21,2.444000000000001,94172.0,40,0,0.0,1277.8113536099333,False,-0.09420082279900867,15,2.0600000000000005,96030,98,0,0.0,3130.6378163443364,False,-0.0675992499529749,2,0.29200000000000004,141984,26,10,1.0,826.0429125193905,False,0.016272268577400894,8,0.8740000000000001,132673,340,0,0.0,5832.868856022798,False,-0.032312749858965095,0.3333333333333333,618014,0.0,0.0,4,0,0,9,13,12.333333333333332,11,20,10,132.0,18.0,10,6,10,470,1.5631883110036142,41.51105740113417
11,10,0,0,0,10.000000000000002,12,10.0,31.945283840248333,0,,16.56391076589797,51,13.470588235294118,37.99999999999999,20,38.0,0,0.272,77174,7,20,1.0,708.9056768049667,False,0.03284511461575595,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,45,2.8730000000000007,92090.0,40,0,0.0,1277.8113536099333,False,-0.11409171903578869,6,2.1050000000000004,95916,98,0,0.0,3130.6378163443364,False,-0.0686883768362568,1,0.30000000000000004,142193,41,10,1.0,1059.1203414018166,False,0.018595603464967983,9,0.9560000000000002,132047,366,0,0.0,6062.391340318657,False,-0.035961406038101516,0.3333333333333333,615281,0.0,0.0,5,0,0,9,12,11.333333333333334,9,18,13,96.0,6.0,8,2,13,424,1.2541774999699555,42.76523490110412
12,13,0,0,0,10.000000000000002,14,10.0,30.523152460356606,22,23.545454545454547,16.977861233534448,61,18.918032786885245,38.00000000000001,20,38.0,2,0.29200000000000004,77502,11,10,1.0,415.2315246035661,False,0.03525859294594912,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,20,3.028000000000001,91189.0,45,0,0.0,1373.5418607160473,False,-0.1222423505043611,41,2.509000000000001,94332,115,0,0.0,3510.16253294101,False,-0.0820085671631063,0,0.29900000000000004,142534,39,10,1.0,1042.1365881078434,False,0.020968678276397056,10,1.0470000000000002,130812,419,0,0.0,7113.723856850934,False,-0.041023844869462894,0.3333333333333333,612230,0.0,0.0,8,0,0,6,13,12.2,12,18,13,127.0,25.0,9,4,13,938,3.4789036459987983,46.24413854710292
13,13,0,0,0,10.000000000000002,5,10.0,30.523152460356606,0,,17.712561467370758,57,21.736842105263158,38.0,20,38.0,0,0.29000000000000004,77452,6,20,1.0,670.4630492071321,False,0.03629260120969815,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,6,3.068000000000001,91003.0,45,0,0.0,1373.5418607160473,False,-0.12401934699813684,51,2.978,92382,115,0,0.0,3510.16253294101,False,-0.10063836911398094,0,0.29900000000000004,142834,33,12,1.0,1040.5145284232349,False,0.023103957865295635,12,1.157,129399,472,0,0.0,8360.329012598997,False,-0.0466598306679453,0.3333333333333333,608931,0.0,0.0,3,0,0,10,11,11.0,11,21,8,140.0,6.0,11,2,8,354,1.4122776470030658,47.65641619410599
14,8,0,0,0,10.000000000000002,14,10.0,30.509438564886068,11,30.363636363636363,17.691034894881984,61,17.57377049180328,38.00000000000001,20,38.0,0,0.29000000000000004,77646,10,19,1.0,679.6793327328353,False,0.03893848722228551,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,26,3.3220000000000014,89730.0,56,0,0.0,1708.5285596336198,False,-0.13458107518016635,35,3.2770000000000006,91445,115,0,0.0,3508.5854349618976,False,-0.10959776139063404,0,0.29900000000000004,143102,40,11,1.0,1125.6413957952793,False,0.025320415780366676,9,1.235,128378,516,0,0.0,9128.574005759103,False,-0.05120515709814267,0.3333333333333333,606162,0.0,0.0,9,0,0,8,9,9.0,8,16,10,66.0,6.0,6,2,10,892,1.1450678579858504,48.80148405209184
15,10,0,0,0,10.000000000000002,11,10.0,31.982273011804633,34,36.970588235294116,17.10313800350861,30,10.166666666666666,38.00000000000001,20,38.0,15,0.44000000000000006,78418,11,10,1.0,429.8227301180463,False,0.047558868751036196,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,20,3.496000000000001,88428.0,71,0,0.0,2270.741383838129,False,-0.1443344317727063,10,3.3420000000000014,90608,134,0,0.0,4285.624583581821,False,-0.11388242883137731,0,0.29900000000000004,143460,34,10,1.0,961.5066921192929,False,0.02728971749366348,9,1.3160000000000003,128034,542,0,0.0,9269.900797901668,False,-0.05315593112219904,0.3333333333333333,604809,0.0,0.0,7,0,0,5,7,7.0,11,16,14,84.0,15.0,7,3,14,1155,1.216165360994637,50.017649413086474
16,14,0,0,0,10.000000000000002,11,10.0,31.27608422068023,21,26.761904761904763,16.788695985489483,30,13.166666666666666,38.00000000000001,20,38.0,11,0.5350000000000001,78585,12,10,1.0,432.7608422068023,False,0.04980323756182674,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,24,3.716000000000001,87638.0,71,0,0.0,2220.6019796682963,False,-0.15212139952962947,6,3.3920000000000012,89957,155,0,0.0,4847.7930542054355,False,-0.11741650956709393,0,0.29900000000000004,143686,25,14,1.0,951.7173996372371,False,0.02886772268760113,14,1.4470000000000003,127420,571,0,0.0,9586.345407714494,False,-0.05640876764520192,0.3333333333333333,603147,0.0,0.0,6,0,0,8,11,10.166666666666668,12,20,12,142.0,30.0,10,4,12,388,1.420933827990666,51.43858324107714
17,12,0,0,0,10.000000000000002,8,10.0,31.13199065237786,1,11.0,17.00167243969802,7,27.285714285714285,38.00000000000001,20,38.0,0,0.524,78516,10,19,1.0,691.5078223951793,False,0.05060754181417733,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,0,3.6920000000000015,87638.0,71,0,0.0,2210.371336318828,False,-0.15217027000640668,7,3.456000000000001,89889,156,0,0.0,4856.5905417709455,False,-0.1180241397246088,0,0.29900000000000004,143914,15,18,1.0,939.0250865954704,False,0.030449642393840307,14,1.5730000000000004,127007,578,0,0.0,9826.966670145455,False,-0.05849766027624965,0.3333333333333333,602825,0.0,0.0,5,0,0,6,5,5.0,14,20,11,143.0,6.0,10,2,11,319,1.2616562339826487,52.70023947505979
18,11,0,0,0,10.000000000000002,9,10.0,31.454952612267384,20,33.5,17.205069337256756,48,18.520833333333332,38.00000000000001,20,38.0,1,0.534,79071,9,10,1.0,404.54952612267385,False,0.056089881340491726,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,12,3.812000000000001,86788.0,85,0,0.0,2673.6709720427275,False,-0.15807782971385237,36,3.8090000000000006,88598,162,0,0.0,5095.702323187316,False,-0.1292158175464679,0,0.29900000000000004,144012,15,22,1.0,1094.0760400588515,False,0.03170234889434852,14,1.6990000000000003,126030,616,0,0.0,10598.322711750161,False,-0.06271786181637429,0.3333333333333333,600360,0.0,0.0,6,0,0,7,11,10.166666666666668,12,19,14,109.0,16.0,9,2,14,796,1.3327053469838575,54.032944822043646
19,14,0,0,0,10.000000000000002,11,10.0,29.24208331860532,25,17.56,17.117411593212875,45,16.488888888888887,38.00000000000001,20,38.0,15,0.683,78977,10,10,1.0,392.4208331860532,False,0.054756809834312796,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,18,3.9800000000000013,85730.0,106,0,0.0,3099.660831772164,False,-0.16615079233134217,27,4.043000000000001,87906,166,0,0.0,4854.185830888483,False,-0.13698070224375192,0,0.29900000000000004,144250,21,22,1.0,1195.4656434574704,False,0.03376273272856786,10,1.7850000000000006,125312,645,0,0.0,11040.730477622305,False,-0.06626344241732872,0.3333333333333333,598036,0.0,0.0,5,0,0,9,15,14.523809523809524,12,21,14,131.0,27.0,11,3,14,490,1.395610551990103,55.42855537403375
