index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,33,0,0,0,10.000000000000002,20,10.0,22.431360427959724,33,21.454545454545453,23.896718005452215,0,,40.99999999999999,9,41.0,0,0.30800000000000005,59619,2,13,1.0,311.6076855634764,False,0.027588169894820994,24,0.7010000000000001,56598,109,0,0.0,1090.0000000000002,False,-0.01765514870208011,0,0.29000000000000004,86128,19,61,1.0,1883.8956464638197,False,-0.010355101405622704,0,1.0910000000000002,83751,79,0,0.0,1772.0774738088182,False,-0.03800776603011555,0,0.2,126085,0,5,0.0,204.99999999999997,False,0.0002576195949427292,0,0.44300000000000006,125158,51,11,1.0,1669.732618278063,False,-0.0012851943312668262,0.5,537339,0.0,0.0,15,0,0,20,1,1.0,16,36,29,273.0,201.0,16,17,29,821,3.6440006640041247,71.36942164896755
11,29,0,0,0,10.000000000000002,20,10.0,21.934061085174385,48,20.6875,25.416034177636213,64,28.0,40.999999999999986,7,41.0,35,0.6580000000000001,59412,3,10,1.0,249.34061085174386,False,0.023494418178199566,0,0.677,56508,118,0,0.0,1180.0000000000002,False,-0.018428743338490632,0,0.29000000000000004,85135,57,71,1.0,3054.779908467111,False,-0.014987440990287032,64,1.7310000000000005,83367,79,0,0.0,1732.7908257287763,False,-0.0425956125428856,0,0.2,126085,0,5,0.0,204.99999999999994,False,0.0002576195949427292,0,0.44300000000000006,123653,105,14,1.0,3242.683588651802,False,-0.0069807633916539385,0.5,534160,0.0,0.0,14,0,0,16,3,2.8333333333333335,16,32,27,234.0,183.0,13,16,27,739,2.659973394998815,74.02939504396636
12,27,0,0,0,10.000000000000002,20,10.0,22.3447093843627,11,28.0,25.661123390595005,83,26.120481927710845,40.999999999999986,11,41.0,1,0.633,59557,7,10,1.0,293.44709384362704,False,0.026366229103005227,0,0.677,56448,124,0,0.0,1240.0000000000002,False,-0.018944473096097644,0,0.29000000000000004,84827,58,81,1.0,3374.544138931232,False,-0.016670962259287613,83,2.4970000000000008,80733,79,0,0.0,1765.2320413646535,False,-0.07234952977708453,0,0.2,126085,0,5,0.0,204.99999999999994,False,0.0002576195949427292,0,0.44300000000000006,121936,178,13,1.0,5100.679963525911,False,-0.013227062092164763,0.5,529586,0.0,0.0,18,0,0,22,5,4.090909090909091,12,34,29,201.0,150.0,12,15,29,651,2.386297132994514,76.41569217696087
13,29,0,0,0,10.000000000000002,20,10.0,21.90669474450489,53,20.69811320754717,26.129788724404417,26,30.0,40.999999999999986,9,41.0,34,0.9720000000000002,59465,7,10,1.0,289.0669474450489,False,0.024747008315670064,9,0.7670000000000001,56240,134,0,0.0,1340.0000000000002,False,-0.021660649819494584,0,0.29000000000000004,84696,83,76,1.0,3804.1196068486415,False,-0.015718623300208956,11,2.524000000000001,80120,97,0,0.0,2124.9493902169743,False,-0.07727265324208088,0,0.2,126085,0,5,0.0,204.99999999999994,False,0.0002576195949427292,0,0.44300000000000006,121525,194,14,1.0,5643.179012534457,False,-0.014334830119557407,0.5,528131,0.0,0.0,16,0,0,19,6,5.888888888888889,12,31,25,252.0,135.0,14,15,25,1436,2.185826013039332,78.6015181900002
14,25,0,0,0,10.000000000000002,20,10.0,22.005733721184658,42,22.428571428571427,26.017850176203073,14,24.285714285714285,40.999999999999986,9,41.0,6,0.9980000000000002,59695,5,10,1.0,270.0573372118466,False,0.028537539429360947,26,1.0180000000000002,56016,146,0,0.0,1460.0000000000002,False,-0.024479972494412926,0,0.29000000000000004,84183,107,81,1.0,4462.059372439207,False,-0.01781032624976305,9,2.603000000000001,79707,105,0,0.0,2310.602040724389,False,-0.08091177617483097,0,0.2,126085,0,5,0.0,204.99999999999994,False,0.0002576195949427292,0,0.44300000000000006,121554,198,15,1.0,5766.534334888209,False,-0.013616050355165407,0.5,527240,0.0,0.0,17,0,0,22,4,3.75,15,37,23,210.0,135.0,15,10,23,998,2.102362667035777,80.70388085703598
15,23,0,0,0,10.000000000000002,20,10.0,21.646933105099635,27,19.0,26.900862136977146,13,41.0,40.999999999999986,9,41.0,17,1.1620000000000001,59737,3,10,1.0,246.46933105099635,False,0.02905681047834786,0,0.9920000000000002,55896,158,0,0.0,1580.0000000000002,False,-0.025511432009626956,0,0.29000000000000004,84203,124,78,1.0,4782.486951716572,False,-0.01576200002434296,0,2.5940000000000007,79707,105,0,0.0,2272.9279760354616,False,-0.08112587958743675,0,0.2,126085,0,5,0.0,204.99999999999994,False,0.0002576195949427292,0,0.44300000000000006,121390,201,16,1.0,6063.073289532406,False,-0.013740742382258262,0.5,527018,0.0,0.0,15,0,0,21,1,0.6296296296296297,12,33,24,192.0,117.0,14,9,24,1102,2.5118575539672747,83.21573841100326
16,24,0,0,0,10.000000000000002,20,10.0,21.347147893023035,26,19.0,27.419540780550424,12,36.0,40.99999999999999,13,41.0,0,1.1450000000000002,59667,0,20,1.0,426.9429578604607,False,0.02940470137407995,26,1.2520000000000002,55662,171,0,0.0,1710.0000000000002,False,-0.028416709644146467,0,0.29000000000000004,84096,140,79,1.0,5154.744426686708,False,-0.014862615640384316,3,2.624000000000001,79650,105,0,0.0,2241.4505287674187,False,-0.08195263449626951,0,0.2,126085,0,5,0.0,204.99999999999997,False,0.0002576195949427292,0,0.44300000000000006,121491,203,13,1.0,6099.166778451736,False,-0.012797087794967564,0.5,526651,0.0,0.0,17,0,0,18,2,2.0,15,33,27,204.0,138.0,13,11,27,1120,2.1983701289864257,85.41410853998968
17,27,0,0,0,10.000000000000002,20,10.0,21.682316719617543,48,23.125,28.03539262191482,9,41.0,40.99999999999999,11,41.0,2,1.1650000000000003,60157,0,8,0.8,173.45853375694034,False,0.03564946307166017,26,1.4860000000000002,55438,183,0,0.0,1830.0000000000002,False,-0.03123603231906481,0,0.29000000000000004,83775,163,80,1.0,5777.049035050845,False,-0.014974545441340472,0,2.621000000000001,79230,120,0,0.0,2601.8780063541053,False,-0.08467806681923318,0,0.2,126085,0,5,0.0,204.99999999999997,False,0.0002576195949427292,0,0.44300000000000006,121573,202,12,1.0,6155.149309626793,False,-0.011925213786109229,0.4666666666666666,526258,0.0,0.0,19,0,0,22,2,1.2857142857142856,15,37,27,276.0,122.0,17,10,27,1440,3.5728199210134335,88.98692846100312
18,27,0,0,0,10.000000000000002,20,10.0,21.653644151166652,33,21.454545454545453,28.03539262191482,0,,40.99999999999999,13,41.0,1,1.1730000000000003,60296,0,9,0.9,194.88279736049986,False,0.03822316311982545,24,1.7000000000000006,55232,194,0,0.0,1940.0000000000005,False,-0.03383187209902011,0,0.29000000000000004,83319,177,90,1.0,6355.880350728831,False,-0.016867958134547008,0,2.6210000000000013,78978,129,0,0.0,2793.320095500498,False,-0.0864543475551511,0,0.2,126085,0,5,0.0,204.99999999999997,False,0.0002576195949427292,1,0.45300000000000007,122057,192,10,1.0,5792.795383407645,False,-0.009524809229092596,0.48333333333333334,525967,0.0,0.0,17,0,0,18,3,2.111111111111111,18,36,31,204.0,162.0,13,14,31,692,2.6302204550011083,91.61714891600423
19,31,0,0,0,10.000000000000002,20,10.0,21.859126866696972,46,22.91304347826087,27.54192715393838,63,26.142857142857142,40.99999999999999,10,41.0,11,1.2820000000000003,60473,2,10,1.0,238.5912686669697,False,0.041641664678244594,26,1.9360000000000002,55048,202,0,0.0,2020.0000000000005,False,-0.03630737493553378,0,0.29000000000000004,82545,203,100,1.0,7191.595469333324,False,-0.02091590531288961,63,3.2510000000000003,77528,139,0,0.0,3038.418634470879,False,-0.10154227256753803,0,0.2,126085,0,5,0.0,204.99999999999997,False,0.0002576195949427292,0,0.45200000000000007,120820,245,10,1.0,7157.772152714903,False,-0.013920287928679415,0.5,522499,0.0,0.0,13,0,0,19,5,4.1,16,35,30,222.0,156.0,14,17,30,610,2.7167456750175916,94.33389459102182
