index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,37.0,0,,0,0.2,78102,1,10,1.0,230.0,False,6.392880887843297e-05,0,0.2,78122,0,9,0.9,198.0,False,0.00011507185598117935,0,0.2,107850.0,0,0,0.0,0.0,False,0.0,0,0.2,107850,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0.31666666666666665,645254,0.0,0.0,11,0,0,0,0,0.0,1817,1817,144,0.0,0.0,0,0,144,200,13.857924695010297,13.857924695010297
1,144,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,37.0,0,,0,0.2,78012,0,20,1.0,440.0,False,0.0002557152355137319,0,0.2,78012,1,19,1.0,428.0,False,0.00017900066485961234,0,0.2,107850.0,0,0,0.0,0.0,False,0.0,0,0.2,107850,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0.3333333333333333,645054,0.0,0.0,10,0,0,69,0,0.0,79,148,118,1835.0,186.0,127,17,118,200,20.488438143976964,34.34636283898726
2,118,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,37.0,0,,0,0.2,77902,1,30,1.0,670.0,False,0.00031964404439216486,0,0.2,77922,0,29,1.0,638.0,False,0.0003707870914949113,0,0.2,107850.0,0,0,0.0,0.0,False,0.0,0,0.2,107850,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0,0.2,136665,0,0,0.0,0.0,False,0.0,0.3333333333333333,644854,0.0,0.0,10,0,0,25,0,0.0,29,54,39,514.0,358.0,34,84,39,200,8.837541852961294,43.183904691948555
3,39,0,0,0,10.0,20,10.0,22.579710144927535,24,23.666666666666668,29.0,0,,37.0,20,37.0,0,0.2,78300,2,21,1.0,494.17391304347825,False,0.0042843420002268645,0,0.2,77892,0,33,0.9,745.1304347826086,False,0.0006720863472524844,0,0.2,107282.0,14,10,1.0,606.1159420289855,False,-0.0024565788501205777,0,0.2,107850,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,136526,0,0,0.0,0.0,False,-0.0010170855742143198,10,0.30000000000000004,136525,0,0,0.0,0.0,False,-0.0010244027366187393,0.48333333333333334,644375,0.0,0.0,12,0,0,20,10,10.0,23,43,34,331.0,107.0,22,17,34,768,3.7554155429825187,46.939320234931074
4,34,0,0,0,10.0,20,10.0,25.604108309990664,45,29.77777777777778,29.0,0,,37.0,20,37.0,5,0.25,78912,1,10,1.0,266.04108309990664,False,0.010650802198511115,0,0.2,78290,1,24,1.0,624.498599439776,False,0.004989634579346981,0,0.2,105942.0,49,20,1.0,1834.6013071895425,False,-0.009185900291193655,0,0.2,107850,0,0,0.0,0.0,False,0.0,9,0.38000000000000006,136403,0,0,0.0,0.0,False,-0.0019170965499579263,11,0.4,136368,0,0,0.0,0.0,False,-0.0021731972341126112,0.5,643765,0.0,0.0,12,0,0,14,12,11.5,21,35,30,228.0,143.0,15,19,30,1220,3.2165774149470963,50.15589764987817
5,30,0,0,0,10.0,20,10.0,27.04381381139963,28,32.0,24.560606060606062,21,15.047619047619047,37.0,20,37.0,0,0.24500000000000002,78802,2,20,1.0,560.8762762279925,False,0.011129214674397758,4,0.24000000000000002,78992,0,10,1.0,270.4381381139963,False,0.011701772989528444,1,0.21000000000000002,105327.0,67,10,1.0,2057.541585969836,False,-0.01385469825697809,0,0.2,107850,0,0,0.0,0.0,False,0.0,11,0.4810000000000001,135913,11,10,1.0,640.1666666666667,False,-0.00316040439517548,9,0.47900000000000004,136243,0,0,0.0,0.0,False,-0.003087842534665057,0.6666666666666666,643127,0.0,0.0,14,0,0,13,15,13.385714285714286,22,35,28,248.0,117.0,16,14,28,824,3.057849743985571,53.21374739386374
6,28,0,0,0,10.0,20,10.0,27.6635743370509,16,32.0,24.560606060606062,0,,37.0,20,37.0,0,0.24500000000000002,79214,2,14,1.0,407.2900407187126,False,0.01541509001635754,0,0.23600000000000002,78892,0,20,1.0,553.271486741018,False,0.01223131672084223,0,0.20900000000000002,104815.0,73,20,1.0,2510.653047816837,False,-0.016501376690696207,0,0.2,107850,0,0,0.0,0.0,False,0.0,0,0.4700000000000001,136209,1,12,1.0,468.56060606060606,False,-0.001622359030985959,12,0.5900000000000001,136061,0,0,0.0,0.0,False,-0.004419566092269418,0.6666666666666666,643041,0.0,0.0,15,0,0,9,5,5.0,20,29,32,156.0,124.0,10,18,32,1008,3.1534216980217025,56.367169091885444
7,32,0,0,0,10.0,20,10.0,28.350418370357062,14,34.0,25.144736842105264,9,29.0,37.00000000000001,20,37.0,0,0.24500000000000002,79084,5,24,1.0,730.4100408885695,False,0.015818608659084007,0,0.23600000000000002,79298,0,13,0.7,368.5554388146418,False,0.016241468309304556,0,0.20900000000000002,104600.0,77,21,1.0,2711.0216882017044,False,-0.01756596342975569,0,0.2,107850,0,0,0.0,0.0,False,0.0,0,0.4700000000000001,136542,0,4,0.1,148.00000000000003,False,-0.0003585409578165587,11,0.6880000000000001,135633,9,0,0.0,226.30263157894737,False,-0.006723365047455705,0.46666666666666673,643007,0.0,0.0,16,0,0,15,6,6.0,21,36,26,199.0,126.0,14,18,26,1270,3.2505661849863827,59.61773527687183
8,26,0,0,0,10.0,20,10.0,29.709057556551492,41,33.5609756097561,23.455209481808158,11,14.0,37.00000000000001,20,37.0,8,0.32500000000000007,79864,5,10,1.0,347.09057556551494,False,0.023340987160317635,0,0.23600000000000002,79486,0,14,1.0,415.9268057917209,False,0.018948031029712237,0,0.20900000000000002,103378.0,108,20,1.0,3677.6824057437243,False,-0.024415009709115813,0,0.2,107850,0,0,0.0,0.0,False,0.0,8,0.55,136437,1,10,1.0,393.4552094818082,False,-0.00022882519488595863,8,0.7570000000000001,135532,9,0,0.0,211.09688533627343,False,-0.00751802990767105,0.6666666666666666,642547,0.0,0.0,14,0,0,9,10,9.5,21,30,26,131.0,108.0,9,17,26,1334,3.842082098009996,63.45981737488182
9,26,0,0,0,10.000000000000002,20,10.0,30.09533990972096,14,34.0,27.416287630122856,20,40.35,37.00000000000001,20,37.0,4,0.35700000000000004,80156,3,10,1.0,330.95339909720957,False,0.026971266551789993,0,0.23600000000000002,79366,2,24,1.0,742.288157833303,False,0.019500128866627265,0,0.20900000000000002,103709.0,112,10,1.0,3644.840946189976,False,-0.02149818754663898,0,0.2,107850,0,0,0.0,0.0,False,0.0,1,0.552,136800,0,1,0.1,37.00000000000001,False,0.0011231844290784034,9,0.8390000000000002,134604,29,0,0.0,795.0723412735629,False,-0.012171834993328435,0.5166666666666667,642485,0.0,0.0,18,0,0,11,7,6.285714285714286,16,27,23,137.0,126.0,9,17,23,1377,2.7570138800074346,66.21683125488926
