index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,37.0,0,,0,0.2,36536,0,10,1.0,200.0,False,0.0,0,0.2,36536,0,10,1.0,200.0,False,0.0,0,0.2,53350,0,0,0.0,0.0,False,0.0,0,0.2,53350.0,0,0,0.0,0.0,False,0.0,0,0.2,74187,0,0,0.0,0.0,False,0.0,0,0.2,74187,0,0,0.0,0.0,False,0.0,0.3333333333333333,328146,0.0,0.0,9,0,0,0,0,0.0,391,391,110,0.0,0.0,0,0,110,200,2.2926147670368664,2.2926147670368664
1,110,0,0,0,10.0,20,10.0,20.0,0,,19.59375,51,12.176470588235293,37.0,0,,0,0.2,36426,1,20,1.0,410.0,False,-0.00013647778141718527,0,0.2,36446,0,19,0.9,380.0,False,0.0,0,0.2,53350,0,0,0.0,0.0,False,0.0,51,0.7100000000000002,50696.0,0,0,0.0,0.0,False,-0.04974695407685099,0,0.2,73773,21,0,0.0,411.46875,False,-0.0028073061991993205,0,0.2,73980,30,0,0.0,587.8125,False,0.0011714485017590684,0.31666666666666665,324671,0.0,0.0,11,0,0,43,9,9.0,78,121,50,1442.0,46.0,101,9,50,200,4.756025368988048,7.048640136024915
2,50,0,0,0,10.0,20,10.0,18.78846153846154,7,11.0,18.00581395348837,34,13.970588235294118,37.0,0,,0,0.2,36403,1,23,1.0,442.1346153846154,False,-0.0003257094744976282,0,0.2,36346,0,29,1.0,544.8653846153846,False,-0.000479509435863765,0,0.2,53273,0,7,0.7,126.0406976744186,False,-0.00026203657287335975,34,0.9990000000000003,49344.0,0,0,0.0,0.0,False,-0.07508903467666354,0,0.2,73474,43,0,0.0,774.25,False,-0.004392615956973594,0,0.2,73804,42,0,0.0,756.2441860465116,False,-6.575150601517663e-05,0.45,322644,0.0,0.0,11,0,0,17,8,8.0,31,48,32,274.0,85.0,26,24,32,277,3.985977840027772,11.034617976052687
3,32,0,0,0,10.0,20,10.0,18.78846153846154,0,,16.743627043502354,36,12.944444444444445,37.0,20,37.0,0,0.2,36333,0,31,0.8,582.4423076923077,False,-0.0003215101581461927,0,0.2,36216,3,39,1.0,762.7500000000001,False,-0.0010542908614477563,0,0.2,53273,0,7,0.0,117.20538930451647,False,-0.0003448417122350223,36,1.3250000000000002,47899.0,0,0,0.0,0.0,False,-0.102174320524836,8,0.28,73133,66,0,0.0,1105.0793848711553,False,-0.0067594094324400006,12,0.32000000000000006,73389,55,0,0.0,920.8994873926295,False,-0.00454999199729988,0.3,320243,0.0,0.0,10,0,0,10,14,14.0,27,37,32,170.0,45.0,17,15,32,200,2.4626497920253314,13.497267768078018
4,32,0,0,0,10.0,20,10.0,18.905405405405403,5,20.0,17.556588957911636,42,20.071428571428573,37.0,20,37.0,0,0.2,36353,0,34,0.8,642.7837837837837,False,0.001047928045962809,0,0.2,36096,5,49,1.0,976.3648648648648,False,-0.0014143893320113163,0,0.2,53518,0,2,0.0,35.11317791582327,False,0.0034780991369804757,37,1.6590000000000003,46392.0,5,0,0.0,94.52702702702702,False,-0.12953582917500445,8,0.35200000000000004,72770,81,0,0.0,1422.0837055908426,False,-0.009515927955094329,12,0.42800000000000005,72617,82,0,0.0,1439.6402945487541,False,-0.0114599573068815,0.3,317746,0.0,0.0,12,0,0,12,16,16.0,30,42,25,237.0,32.0,21,11,25,545,2.09141383896349,15.588681607041508
5,25,0,0,0,10.0,20,10.0,24.588336418936787,29,33.72413793103448,16.654410339015914,33,12.424242424242424,37.0,20,37.0,0,0.2,36433,0,35,1.0,860.5917746627875,False,0.00620416768564775,0,0.2,36794,5,39,1.0,1008.9451203385347,False,0.018082557052332946,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,31,1.9320000000000004,44157.0,34,0,0.0,836.0034382438507,False,-0.16447981782339413,6,0.404,72381,101,0,0.0,1682.0954442406073,False,-0.01300702653941656,14,0.556,72279,95,0,0.0,1582.1689822065118,False,-0.015055407401522345,0.3333333333333333,315668,0.0,0.0,16,0,0,9,15,15.0,27,36,24,148.0,30.0,15,10,24,1284,1.729221496032551,17.31790310307406
6,24,0,0,0,10.0,20,10.0,26.53813245300815,21,32.857142857142854,15.86393538351454,40,12.525,37.0,20,37.0,0,0.2,36403,0,41,0.9,1088.063430573334,False,0.008489783690541272,0,0.2,37314,6,31,1.0,882.6821060432526,False,0.030553036713113546,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,40,2.3010000000000006,41675.0,55,0,0.0,1459.5972849154482,False,-0.20515841344971464,15,0.548,71890,125,0,0.0,1982.9919229393176,False,-0.017597477166219736,5,0.5920000000000001,71936,111,0,0.0,1760.896827570114,False,-0.01847428237042808,0.31666666666666665,312842,0.0,0.0,12,0,0,13,18,18.0,24,37,20,229.0,12.0,20,4,20,890,1.4810660850489512,18.79896918812301
7,20,0,0,0,10.0,20,10.0,28.41682429400486,13,40.0,15.85710280093272,19,15.789473684210526,37.00000000000001,20,37.0,0,0.2,36303,0,51,1.0,1449.258038994248,False,0.010689731943910976,0,0.2,37734,6,28,1.0,855.6710802321361,False,0.041648529864506664,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,19,2.451000000000001,40641.0,68,0,0.0,1932.3440519923306,False,-0.22010924037495472,8,0.6130000000000002,71772,128,0,0.0,2029.7091585193882,False,-0.018873191000314076,12,0.7070000000000001,71459,127,0,0.0,2013.8520557184554,False,-0.023199131547855738,0.3333333333333333,311533,0.0,0.0,13,0,0,6,15,15.0,30,36,17,119.0,26.0,13,7,17,720,1.3627645300002769,20.161733718123287
8,17,0,0,0,10.0,20,10.0,30.28743320942942,18,39.0,15.964571283912315,29,16.655172413793103,37.00000000000001,20,37.0,0,0.2,36203,0,61,1.0,1847.5334257751947,False,0.013395750433660833,0,0.2,38336,6,20,1.0,665.7486641885884,False,0.055488435748834365,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,29,2.7220000000000004,38949.0,86,0,0.0,2604.71925601093,False,-0.245522781105802,9,0.6950000000000001,71248,147,0,0.0,2346.79197873511,False,-0.023799372000922678,11,0.8050000000000002,71231,137,0,0.0,2187.146265895987,False,-0.025104490908811658,0.3333333333333333,309591,0.0,0.0,12,0,0,4,17,17.0,25,29,22,163.0,22.0,12,5,22,902,1.2458590439637192,21.407592762087006
9,22,0,0,0,10.000000000000002,20,10.0,27.328226711482028,22,15.0,16.02530896146275,9,17.333333333333332,37.00000000000001,20,37.0,0,0.2,36443,0,48,0.9,1311.7548821511373,False,0.012634497245211603,0,0.2,38226,7,30,1.0,889.8468013444608,False,0.05554436621553206,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,9,2.783000000000001,38445.0,108,0,0.0,2951.448484840059,False,-0.2517202578740388,9,0.776,71063,150,0,0.0,2403.7963442194123,False,-0.02590887659415116,11,0.9040000000000001,70976,143,0,0.0,2291.619181489173,False,-0.027837632054880476,0.31666666666666665,308777,0.0,0.0,10,0,0,11,12,12.0,24,35,18,197.0,15.0,17,5,18,530,1.4822461159783415,22.889838878065348
