index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,25.659699566355663,12,32.0,31.239480408038464,15,45.333333333333336,40.0,20,40.0,0,0.2,20028,1,22,1.0,574.5133904598246,False,0.09978652529395371,0,0.398,16727,113,0,0.0,1130.0000000000002,False,-0.0638804677349502,3,0.5990000000000002,26699,4,10,1.0,415.03360234580725,False,-0.02717055458916394,0,0.2,27464,0,24,0.2,749.7475297929232,False,0.006539654526591213,1,0.5880000000000001,37372,0,6,0.6,240.0,False,-0.005912766803659022,9,0.8840000000000001,34665,64,0,0.0,1999.3267461144617,False,-0.05436395670006023,0.46666666666666673,162955,0.0,0.0,19,0,0,2,8,7.6,25,27,19,65.0,57.0,5,10,19,1444,1.3178516049520113,22.357559496944305
11,19,0,0,0,10.000000000000002,20,10.0,26.89087111573059,34,30.0,32.28986318804098,7,46.0,40.0,20,40.0,12,0.32000000000000006,20618,4,10,1.0,308.9087111573059,False,0.12453737308243024,0,0.398,16657,120,0,0.0,1200.0000000000002,False,-0.06577522737115635,0,0.5960000000000002,26001,28,13,1.0,1172.7126126849894,False,-0.038710090883560075,0,0.2,27464,0,24,0.0,774.9567165129836,False,0.006995384997342265,4,0.6270000000000001,37570,0,0,0.0,0.0,False,-0.0038446241548455522,10,0.9750000000000001,34179,71,0,0.0,2292.58028635091,False,-0.06336231888703545,0.3333333333333333,162489,0.0,0.0,16,0,0,9,11,10.705882352941178,24,33,23,179.0,51.0,12,7,23,1272,1.4584893339779228,23.816048830922227
12,23,0,0,0,10.000000000000002,20,10.0,25.3480167692027,7,1.5714285714285714,32.28986318804098,0,,40.00000000000001,9,40.0,0,0.30800000000000005,20538,2,20,1.0,526.960335384054,False,0.12610871414530256,7,0.4680000000000001,16361,132,0,0.0,1320.0000000000002,False,-0.07855132091814639,0,0.5960000000000002,25990,25,23,1.0,1376.36727255501,False,-0.03542614663831417,0,0.2,27464,0,24,0.0,774.9567165129836,False,0.006995384997342265,0,0.623,37570,0,0,0.0,0.0,False,-0.0038446241548455522,9,1.0550000000000002,34049,71,0,0.0,2292.58028635091,False,-0.06680922330172456,0.3333333333333333,161972,0.0,0.0,14,0,0,10,7,7.0,26,36,19,169.0,57.0,14,9,19,200,1.2051676620030776,25.021216492925305
13,19,0,0,0,10.000000000000002,20,10.0,24.22482800577692,5,1.0,33.9878832847754,27,39.55555555555556,40.00000000000001,9,40.0,0,0.30800000000000005,20428,3,30,1.0,756.7448401733076,False,0.1263735610700873,5,0.5110000000000001,16151,141,0,0.0,1410.0000000000002,False,-0.08748375920311824,2,0.6160000000000001,26893,20,10,1.0,824.3753929632924,False,-0.012756247867465202,0,0.2,27552,0,22,0.0,747.7334322650588,False,0.009684963342704765,0,0.623,37482,0,2,0.2,80.00000000000001,False,-0.005117327323346149,9,1.1360000000000003,32931,96,0,0.0,3262.8367953384386,False,-0.08358959571339727,0.3666666666666667,161437,0.0,0.0,14,0,0,10,8,7.2,18,28,15,102.0,59.0,9,10,15,808,1.0087507599964738,26.02996725292178
14,15,0,0,0,10.000000000000002,20,10.0,23.758227637903346,2,1.0,35.93369164162145,35,41.714285714285715,40.00000000000001,10,40.0,0,0.30800000000000005,20308,5,40,1.0,1000.3291055161338,False,0.1264705799457593,2,0.526,16023,149,0,0.0,1490.0000000000002,False,-0.09224772628843655,25,0.8640000000000001,27196,12,10,1.0,644.4356480710546,False,-0.005053950971309282,0,0.2,27552,0,22,0.0,790.5412161156719,False,0.010458840409929695,0,0.623,36712,10,12,1.0,839.3369164162146,False,-0.01546683128176834,10,1.227,32089,111,0,0.0,3988.639772219981,False,-0.09629272474850886,0.5,159880,0.0,0.0,12,0,0,14,9,8.333333333333332,20,34,17,123.0,27.0,11,4,17,200,0.9912317769485526,27.02119902987033
15,17,0,0,0,10.000000000000002,20,10.0,25.232136334341597,17,33.0,37.881004535104836,30,46.0,40.00000000000001,10,40.0,0,0.30800000000000005,20779,4,33,1.0,872.6604990332727,False,0.14851289787335617,0,0.5240000000000001,15913,160,0,0.0,1600.0000000000002,False,-0.0952252057167605,20,1.0390000000000001,27190,19,10,1.0,858.2206357035386,False,-0.001406091624420795,0,0.2,27552,0,22,0.0,833.3820997723064,False,0.011233315853863416,0,0.623,36022,15,22,1.0,1448.2150680265727,False,-0.025689843987450924,10,1.3170000000000002,31239,126,0,0.0,4773.00657142321,False,-0.10843157137182548,0.5,158695,0.0,0.0,14,0,0,15,8,7.333333333333333,17,32,16,144.0,36.0,9,8,16,761,1.1068745919619687,28.1280736218323
16,16,0,0,0,10.000000000000002,20,10.0,25.776609384063402,10,31.0,37.881004535104836,0,,40.0,20,40.0,0,0.30800000000000005,20959,7,33,1.0,920.6281096740922,False,0.15955576303795185,0,0.524,15843,167,0,0.0,1670.0000000000002,False,-0.09711996535296666,0,1.0190000000000001,26880,19,20,1.0,1247.3756689993013,False,-0.005579295881855116,0,0.2,27552,0,22,0.0,833.3820997723064,False,0.011233315853863416,0,0.623,36382,5,23,1.0,1109.4050226755242,False,-0.020636284997010198,11,1.417,31053,126,0,0.0,4773.00657142321,False,-0.11336329614976529,0.5,158669,0.0,0.0,15,0,0,8,6,6.0,24,32,12,120.0,57.0,7,9,12,870,0.7596370439860038,28.887710665818304
17,12,0,0,0,10.000000000000002,20,10.0,26.923773051344273,18,33.0,37.881004535104836,0,,40.0,20,40.0,0,0.30800000000000005,21443,8,25,1.0,753.0943262836068,False,0.18122277842907125,0,0.524,15753,176,0,0.0,1760.0000000000002,False,-0.0995560848852317,0,1.0190000000000001,26286,27,30,1.0,1863.3720084394404,False,-0.015919950675402465,0,0.2,27552,0,22,0.0,833.3820997723064,False,0.011233315853863416,0,0.623,36902,0,15,0.5,600.0,False,-0.013602015113350126,7,1.4760000000000002,30959,126,0,0.0,4773.00657142321,False,-0.11585567318807896,0.4166666666666667,158895,0.0,0.0,19,0,0,14,5,5.0,17,31,18,81.0,45.0,7,5,18,1314,0.7886764620197937,29.676387127838098
18,18,0,0,0,10.000000000000002,20,10.0,27.376978556214425,10,32.0,37.881004535104836,0,,40.0,20,40.0,0,0.30800000000000005,21683,6,25,1.0,744.4244639053607,False,0.1939807401446881,0,0.524,15633,188,0,0.0,1880.0000000000002,False,-0.1028042442615851,0,1.0190000000000001,25966,27,40,1.0,2254.418602421983,False,-0.020420518431882608,0,0.2,27552,0,22,0.0,833.3820997723064,False,0.011233315853863416,0,0.6230000000000001,37382,0,3,0.0,120.0,False,-0.007238499270847143,8,1.549,30843,126,0,0.0,4773.00657142321,False,-0.1189313725119554,0.3333333333333333,159059,0.0,0.0,17,0,0,8,6,6.0,24,32,12,115.0,69.0,10,8,12,1000,1.0171290010330267,30.693516128871124
19,12,0,0,0,10.000000000000002,20,10.0,27.517814335196135,17,28.352941176470587,38.43882721734535,14,44.0,39.99999999999999,20,40.0,0,0.30800000000000005,22083,4,19,1.0,562.8384723687266,False,0.21071996731184298,1,0.5340000000000001,15490,200,0,0.0,2000.0000000000005,False,-0.10729753139887398,0,1.0190000000000001,26100,34,36,1.0,2319.403467221101,False,-0.01440083398616859,0,0.2,27552,0,22,0.0,845.6541987815976,False,0.011455170272282784,5,0.673,36832,4,10,1.0,553.7553088693813,False,-0.016071121452082962,12,1.6610000000000003,30633,126,0,0.0,4843.292229385514,False,-0.12356764908676246,0.5,158690,0.0,0.0,14,0,0,7,10,10.0,21,28,12,90.0,62.0,6,6,12,1416,0.8649304319988005,31.558446560869925
