index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.000000000000002,20,10.0,17.218236029303835,17,20.0,25.925700245700245,32,24.875,24.999999999999996,20,25.0,0,0.281,29329,2,20,1.0,364.3647205860767,False,0.0201597884503954,0,0.2,29072,4,40,1.0,728.7294411721534,False,0.017573448582206726,1,0.21000000000000002,39805,83,10,1.0,1688.370592889221,False,0.0004229498042087014,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,10,0.9300000000000002,56796,12,10,1.0,561.108402948403,False,-0.017919505119339926,10,0.9300000000000002,55838,49,0,0.0,1270.359312039312,False,-0.02830139275233744,0.6666666666666666,251572,0.0,0.0,8,0,0,14,7,6.045454545454545,9,23,35,181.0,64.0,11,17,35,720,1.9521713120047934,53.167340688058175
11,35,0,0,0,10.000000000000002,20,10.0,17.385798776030946,13,19.0,26.714910851860004,22,30.0,24.999999999999996,20,25.0,0,0.281,29446,5,17,1.0,345.55857919252605,False,0.02387926194677347,0,0.2,29002,1,50,1.0,879.2899388015472,False,0.017755979307272372,12,0.32900000000000007,39954,86,10,1.0,1762.3278032572614,False,0.005000096023543711,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,0,0.9200000000000002,56871,2,17,1.0,478.42982170371994,False,-0.017340326390243004,17,1.09,54964,71,0,0.0,1896.7586704820603,False,-0.03795073238512976,0.6666666666666666,250969,0.0,0.0,8,0,0,18,6,5.545454545454545,10,28,33,222.0,64.0,17,18,33,522,1.9726005020202138,55.13994119007839
12,33,0,0,0,10.000000000000002,20,10.0,17.385798776030946,0,,26.714910851860004,0,,25.0,20,25.0,0,0.281,29376,2,27,1.0,489.4165669528355,False,0.023945944533891688,0,0.2,28872,4,60,1.0,1083.1479265618568,False,0.016785604372266567,0,0.31700000000000006,39954,76,20,1.0,1855.6189240155518,False,0.006148096623542416,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,0,0.9200000000000002,57121,0,9,0.2,225.0,False,-0.015219037131353454,10,1.1730000000000003,54881,71,0,0.0,1896.7586704820603,False,-0.039378861364103575,0.5333333333333333,250936,0.0,0.0,9,0,0,16,3,3.0,10,26,33,214.0,65.0,15,18,33,450,1.8858921840437688,57.02583337412216
13,33,0,0,0,10.000000000000002,20,10.0,16.676557447864923,24,13.0,26.98925694918446,4,34.0,25.0,20,25.0,0,0.281,29618,0,12,0.9,200.11868937437907,False,0.02731123287773748,0,0.2,28742,7,70,1.0,1237.3590213505445,False,0.01495711804048923,0,0.31700000000000006,39778,90,26,1.0,2202.610850986639,False,0.006086469420489346,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,2,0.94,57336,0,0,0.0,0.0,False,-0.013455383874186998,9,1.2530000000000003,54670,75,0,0.0,2024.1942711888344,False,-0.0419130538629268,0.48333333333333334,250876,0.0,0.0,11,0,0,17,4,3.4,10,27,32,233.0,60.0,16,17,32,798,1.8171117700403556,58.84294514416251
14,32,0,0,0,10.000000000000002,20,10.0,16.24985381698426,36,14.666666666666666,26.832502624437975,18,26.0,25.000000000000004,20,25.0,24,0.5210000000000001,29662,0,10,1.0,162.4985381698426,False,0.028182012897017467,0,0.2,28642,7,80,1.0,1369.9883053587407,False,0.013792662910653002,0,0.31700000000000006,39718,116,18,1.0,2367.9680900100575,False,0.006644616189334148,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,12,1.058,56753,8,10,1.0,464.6600209955038,False,-0.019489142597856886,8,1.3240000000000003,54606,75,0,0.0,2012.4376968328481,False,-0.04311540575352865,0.6666666666666666,250113,0.0,0.0,8,0,0,17,8,7.923076923076923,11,28,30,226.0,60.0,15,17,30,858,1.6585342019679956,60.50147934613051
15,30,0,0,0,10.000000000000002,20,10.0,16.568502866582644,20,19.0,27.302645493049383,13,31.0,25.000000000000004,20,25.0,10,0.5970000000000002,29738,3,10,1.0,195.68502866582645,False,0.03138283027976061,0,0.2,28572,4,90,1.0,1531.165257992438,False,0.014158691544393687,0,0.31700000000000006,39741,126,15,1.0,2497.171043585154,False,0.00880058874268011,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,0,1.046,56903,0,12,0.8,300.00000000000006,False,-0.018324787501290477,14,1.4560000000000002,54064,88,0,0.0,2402.6328033883456,False,-0.04908433872992578,0.6333333333333333,249750,0.0,0.0,9,0,0,11,5,4.230769230769231,13,24,30,171.0,67.0,13,17,30,753,1.7192478419747204,62.22072718810523
16,30,0,0,0,10.000000000000002,20,10.0,16.568502866582644,0,,27.391515814949422,2,32.0,25.000000000000007,20,25.0,0,0.5870000000000002,29678,0,19,0.9,314.80155446507024,False,0.03136756005366893,0,0.2,28432,8,100,1.0,1736.8502866582644,False,0.01287420987725152,0,0.31700000000000006,39805,116,23,1.0,2551.9511962674233,False,0.01104980306491718,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,0,1.046,57053,0,6,0.0,150.00000000000006,False,-0.017034309508241852,14,1.582,53843,90,0,0.0,2465.2364233454477,False,-0.05234835659051032,0.48333333333333334,249543,0.0,0.0,9,0,0,15,4,4.0,10,25,25,206.0,57.0,13,17,25,414,3.7362619689665735,65.9569891570718
17,25,0,0,0,10.000000000000002,20,10.0,16.125839396204974,22,13.0,27.456412448608994,4,29.0,25.000000000000007,20,25.0,3,0.6170000000000001,29836,0,8,0.8,129.0067151696398,False,0.03361806407580272,0,0.2,28312,10,110,1.0,1873.842333582547,False,0.011093790334322284,0,0.31700000000000006,39635,128,29,1.0,2860.3434037238976,False,0.010660851099181572,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,6,1.1060000000000003,57165,0,0,0.0,0.0,False,-0.016397673698337865,8,1.6480000000000004,53669,94,0,0.0,2580.9027701692453,False,-0.05434716636696687,0.4666666666666666,249349,0.0,0.0,10,0,0,12,5,3.8030303030303028,10,22,20,145.0,42.0,11,14,20,441,1.7055675610317849,67.66255671810359
18,20,0,0,0,10.000000000000002,20,10.0,16.263017396672357,8,19.0,27.436829640683005,4,27.0,25.00000000000001,20,25.0,0,0.6140000000000001,29898,0,9,0.9,146.3671565700512,False,0.036061379227220164,0,0.2,28202,11,120,1.0,2061.562087600683,False,0.010535849135797146,0,0.31700000000000006,39591,126,35,1.0,3009.4292294046218,False,0.011412547123014092,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,8,1.1800000000000002,56997,0,4,0.4,100.00000000000004,False,-0.018428025740734367,12,1.7600000000000002,53543,94,0,0.0,2579.0619862242024,False,-0.05653100600309541,0.5499999999999999,248963,0.0,0.0,9,0,0,13,7,7.0,10,23,23,160.0,27.0,11,9,23,460,1.4822818079846911,69.14483852608828
19,23,0,0,0,10.000000000000002,20,10.0,15.907787438841796,37,14.45945945945946,27.32439042497283,26,26.96153846153846,25.000000000000014,20,25.0,28,0.8940000000000001,29895,0,9,0.9,143.17008694957616,False,0.03590241439003001,0,0.2,28092,12,130,1.0,2188.0123670494336,False,0.008918908445959552,0,0.31700000000000006,39757,153,19,1.0,2953.0548962172784,False,0.01480427860082295,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,5,1.222,57064,0,0,0.0,0.0,False,-0.018135517395643345,11,1.8580000000000003,52744,120,0,0.0,3278.9268509967396,False,-0.06425783018172737,0.48333333333333334,248284,0.0,0.0,10,0,0,17,6,5.6,8,25,24,196.0,30.0,13,10,24,1122,1.6146310300100595,70.75946955609834
20,24,0,0,0,10.000000000000002,20,10.0,16.234885768100984,20,19.0,27.073927760416655,24,26.041666666666668,25.00000000000001,20,25.0,11,0.9760000000000002,29980,1,10,1.0,172.34885768100983,False,0.03934507843060378,0,0.2,28002,11,140,1.0,2382.8840075341377,False,0.009175954223142558,5,0.36700000000000005,39889,163,10,1.0,2917.025657804627,False,0.017609589212992525,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,10,1.317,56359,14,10,1.0,629.0349886458332,False,-0.02485430513226687,10,1.9470000000000007,52660,120,0,0.0,3248.8713312499985,False,-0.06596173877929382,0.6666666666666666,247622,0.0,0.0,6,0,0,13,9,7.355731225296443,10,23,23,169.0,42.0,10,14,23,200,1.414995571016334,72.17446512711467
21,23,0,0,0,10.000000000000002,20,10.0,15.864534966137159,22,13.0,27.481708329048956,6,35.0,25.00000000000001,20,25.0,12,1.0850000000000002,29934,5,10,1.0,208.6453496613716,False,0.03838228273059611,0,0.2,27942,7,150,1.0,2449.680244920574,False,0.008256364852747711,0,0.3620000000000001,39813,175,14,1.0,3161.037535680688,False,0.01874184799764583,0,0.2,40732,0,0,0.0,0.0,False,0.002461114392596968,1,1.3170000000000002,56604,4,10,1.0,359.92683331619594,False,-0.022953931369660098,9,2.0270000000000006,52379,126,0,0.0,3462.6952494601683,False,-0.06895716258766499,0.6666666666666666,247404,0.0,0.0,10,0,0,11,5,3.745454545454545,11,22,27,140.0,42.0,9,14,27,560,1.594689205987379,73.76915433310205
