index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.0,12,10.0,15.932277090184474,0,,20.572749998385003,19,19.526315789473685,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.3430000000000002,15683,121,0,0.0,1210.0,False,-0.18109602815485168,0,0.56,33017,0,0,0.0,0.0,False,-0.029881882823059293,19,2.613000000000001,18680.0,116,0,0.0,1848.144142461399,False,-0.4239856593044984,2,0.6160000000000001,43785,10,10,1.0,635.7274999838501,False,-0.0021976527151147565,8,0.9550000000000001,37653,281,0,0.0,5780.942749546186,False,-0.08272689197345943,0.16666666666666666,169054,0.0,0.0,5,0,0,11,6,5.4,13,24,11,234.0,6.0,13,2,11,421,1.0057347810361534,22.824871971970424
11,11,0,0,0,10.0,11,10.0,15.89734005172496,1,12.0,19.930852428754488,56,17.303571428571427,43.0,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,1,1.3530000000000004,15557,132,0,0.0,1320.0,False,-0.18466566113624938,8,0.6400000000000001,32797,0,1,0.1,19.930852428754488,False,-0.03605319897119427,48,3.074000000000001,15818.0,116,0,0.0,1844.0914460000954,False,-0.5081375764529574,3,0.6440000000000001,44110,4,10,1.0,509.72340971501797,False,0.0037299028248305574,7,1.0170000000000001,36677,333,0,0.0,6636.9738587752445,False,-0.09512473010435236,0.18333333333333335,165195,0.0,0.0,5,0,0,7,12,11.333333333333334,12,19,12,144.0,9.0,8,3,12,368,0.7514263829798438,23.576298354950268
12,12,0,0,0,10.0,6,10.0,15.85924211197644,1,12.0,19.59238477805331,42,17.523809523809526,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,1,1.362,15481,138,0,0.0,1380.0,False,-0.18697838109602816,7,0.702,32620,0,1,0.1,19.59238477805331,False,-0.04125885313542266,34,3.3660000000000014,14206.0,116,0,0.0,1839.6720849892672,False,-0.5555669024359572,0,0.6410000000000001,44245,5,12,1.0,613.9619238902667,False,0.00796337017975415,12,1.1300000000000001,35955,364,0,0.0,7131.628059211405,False,-0.10586393598177143,0.18333333333333335,162743,0.0,0.0,4,0,0,9,10,9.875,12,21,10,162.0,9.0,9,3,10,404,0.7469022700097412,24.32320062496001
13,10,0,0,0,9.999999999999998,17,10.0,15.817775262508723,1,12.0,19.351025318723526,31,17.258064516129032,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,1,1.371,15295,155,0,0.0,1549.9999999999998,False,-0.19205630970336854,0,0.6950000000000001,32608,0,2,0.1,38.70205063744705,False,-0.04133069796912725,31,3.6420000000000012,12781.0,116,0,0.0,1834.8619304510119,False,-0.5975074641468677,0,0.641,44513,0,13,0.9,559.0000000000001,False,0.01340497737556561,12,1.238,35325,391,0,0.0,7566.250899620899,False,-0.11520078167849669,0.16666666666666666,160758,0.0,0.0,7,0,0,9,7,7.0,10,19,12,126.0,9.0,7,3,12,514,0.7064824759727344,25.029683100932743
14,12,0,0,0,10.0,10,10.0,15.397748571656482,8,11.0,19.135353898156993,31,17.258064516129032,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,8,1.4500000000000004,15059,165,0,0.0,1650.0,False,-0.20140774258421318,2,0.7150000000000001,32598,0,0,0.0,0.0,False,-0.04219310101663043,27,3.881000000000001,11661.0,124,0,0.0,1909.3208228854037,False,-0.6293218425268055,0,0.641,44781,0,9,0.4,387.00000000000006,False,0.01752262443438914,12,1.346,34671,418,0,0.0,7998.577929429623,False,-0.12510658450871467,0.06666666666666667,159006,0.0,0.0,4,0,0,5,7,6.5,16,21,11,162.0,9.0,9,3,11,444,0.8120392910204828,25.841722391953226
15,11,0,0,0,10.0,11,10.0,15.397748571656482,0,,19.117119698855458,8,18.5,43.0,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.4420000000000002,14949,176,0,0.0,1760.0,False,-0.20417295123177476,4,0.7530000000000001,32502,0,0,0.0,0.0,False,-0.04501380971969207,4,3.8940000000000006,11561.0,124,0,0.0,1909.3208228854037,False,-0.6322600807591613,0,0.6410000000000001,44996,0,4,0.0,172.0,False,0.01995475113122172,15,1.4840000000000002,34227,426,0,0.0,8143.892991712425,False,-0.13350799783130748,0.0,158471,0.0,0.0,5,0,0,11,6,6.0,9,20,12,129.0,9.0,8,3,12,325,0.9737131390138529,26.81543553096708
16,12,0,0,0,10.000000000000002,12,10.0,15.397748571656482,0,,21.461753272435754,71,29.746478873239436,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.4420000000000002,14829,188,0,0.0,1880.0000000000002,False,-0.20718954248366014,3,0.7790000000000001,32430,0,0,0.0,0.0,False,-0.0471293412469883,68,4.570000000000001,8526.0,124,0,0.0,1909.3208228854037,False,-0.7214356111111623,5,0.6910000000000001,43290,46,10,1.0,1417.2406505320448,False,-0.004556101238325344,11,1.5790000000000002,33772,441,0,0.0,9464.633193144167,False,-0.12886161546217006,0.16666666666666666,153083,0.0,0.0,4,0,0,12,13,12.5,9,21,8,147.0,24.0,9,3,8,249,0.9726075479993597,27.78804307896644
17,8,0,0,0,10.000000000000002,11,10.0,15.397748571656482,0,,22.357281486966063,24,33.166666666666664,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.4420000000000002,14719,199,0,0.0,1990.0000000000005,False,-0.20995475113122172,15,0.9260000000000002,32275,0,0,0.0,0.0,False,-0.05168361050713992,9,4.592000000000001,8274.0,124,0,0.0,1909.3208228854037,False,-0.7288399714566991,2,0.7060000000000002,43249,51,10,1.0,1570.2213558352692,False,-0.0037531520833114606,8,1.6480000000000004,33334,450,0,0.0,10060.776669134728,False,-0.1320274132450822,0.16666666666666666,152087,0.0,0.0,5,0,0,7,8,7.666666666666667,10,17,11,93.0,36.0,6,2,11,497,0.9099249200080521,28.69796799897449
18,11,0,0,0,10.0,9,10.0,15.397748571656482,0,,22.798000177547816,12,33.166666666666664,43.00000000000001,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.4420000000000002,14629,208,0,0.0,2080.0,False,-0.21221719457013574,5,0.9610000000000001,32325,0,0,0.0,0.0,False,-0.05021449139096198,7,4.653000000000001,8085.0,124,0,0.0,1909.3208228854037,False,-0.7343932417158517,0,0.7040000000000002,43407,44,15,1.0,1648.112007812104,False,0.0007026245227613358,15,1.7900000000000003,32692,459,0,0.0,10464.282081494448,False,-0.14198775925911264,0.16666666666666666,151374,0.0,0.0,5,0,0,8,7,7.0,12,20,6,162.0,36.0,9,2,6,305,0.8735506100347266,29.571518609009217
19,6,0,0,0,10.0,11,10.0,15.397748571656482,0,,22.798000177547816,0,,43.000000000000014,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.4420000000000002,14519,219,0,0.0,2190.0,False,-0.21498240321769735,0,0.9560000000000002,32325,0,0,0.0,0.0,False,-0.05021449139096198,0,4.646000000000002,8085.0,124,0,0.0,1909.3208228854037,False,-0.7343932417158517,0,0.7040000000000002,43923,34,13,1.0,1334.132006036626,False,0.008825022692722024,8,1.8550000000000002,32592,459,0,0.0,10464.282081494448,False,-0.14425020269802666,0.16666666666666666,151680,0.0,0.0,6,0,0,5,2,2.0,12,17,6,90.0,18.0,5,1,6,626,0.6537222859915346,30.225240895000752
