index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,9.999999999999998,9,10.0,26.27335891952452,1,35.0,9.96239080360509,30,16.4,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,27988,4,29,1.0,801.927408666211,False,0.049460785343725035,0,0.38900000000000007,42200,6,15,1.0,307.0760155712234,False,-0.011170666609413293,25,3.789000000000001,18993.0,64,0,0.0,1681.4949708495692,False,-0.5369408973331905,0,0.3440000000000001,61877,127,16,1.0,1937.2236320578463,False,0.005706793452110389,13,1.0050000000000001,60117,273,0,0.0,2719.732689384189,False,-0.016196989155017712,0.5,238689,0.0,0.0,8,0,0,13,9,9.0,11,24,21,156.0,85.0,12,10,21,633,1.8176228770171292,42.91328198101837
11,21,0,0,0,9.999999999999998,9,10.0,26.27335891952452,0,,9.61387202994169,41,6.926829268292683,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,27898,3,39,1.0,1054.6609978614563,False,0.05080516427972086,0,0.38900000000000007,42200,0,21,0.6,201.8913126287755,False,-0.01239854183053814,41,4.174000000000001,16977.0,64,0,0.0,1681.4949708495692,False,-0.584008510332817,0,0.3440000000000001,62051,134,19,1.0,2086.2588520121863,False,0.009683775160525801,13,1.1220000000000003,59725,297,0,0.0,2855.319992892682,False,-0.021385203852736664,0.43333333333333335,236365,0.0,0.0,5,0,0,12,9,9.0,14,26,14,206.0,33.0,16,5,14,384,1.6020312390173785,44.51531322003575
12,14,0,0,0,9.999999999999998,12,10.0,26.243427543606398,14,26.0,12.538795131041914,63,27.46031746031746,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,28142,5,35,1.0,968.5199640262239,False,0.05823296669302839,18,0.5690000000000002,42801,4,10,1.0,230.36166148484472,False,0.0019653724024659524,24,4.373000000000002,15943.0,64,0,0.0,1679.5793627908095,False,-0.6081717014989867,0,0.3440000000000001,62403,131,20,1.0,2482.582162166491,False,0.018487911169697824,11,1.2190000000000003,57849,353,0,0.0,4426.194681257795,False,-0.03883727791084995,0.5,234652,0.0,0.0,6,0,0,10,10,9.382352941176471,10,20,15,106.0,27.0,9,5,15,862,1.3707154860021546,45.886028706037905
13,15,0,0,0,9.999999999999998,9,10.0,27.193208589430142,14,35.0,11.634887464247111,72,7.291666666666667,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,28542,4,31,1.0,882.9894662723344,False,0.07143893878733376,0,0.5510000000000002,42801,0,14,0.4,162.88842449945955,False,0.0011777225497228141,72,5.069000000000002,10876.0,78,0,0.0,2121.070269975551,False,-0.72131735303073,0,0.3440000000000001,62345,153,23,1.0,2746.137782029808,False,0.019668563923488994,13,1.338,57447,393,0,0.0,4572.510773449115,False,-0.04409967535526959,0.39999999999999997,229525,0.0,0.0,6,0,0,12,11,11.0,11,23,15,199.0,19.0,12,3,15,874,1.6295981510193087,47.515626857057214
14,15,0,0,0,9.999999999999998,13,10.0,27.72698030656757,22,30.545454545454547,11.213589055999861,35,6.685714285714286,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.5690000000000002,29084,7,19,1.0,596.8126258247838,False,0.08618558696212315,0,0.5510000000000002,42931,0,4,0.0,44.854356223999446,False,0.002834964001494138,25,5.2470000000000026,9213.0,100,0,0.0,2772.698030656757,False,-0.7525366778266628,0,0.3440000000000001,62924,145,19,1.0,2423.9704131199796,False,0.02635640203171745,6,1.3850000000000002,57158,426,0,0.0,4776.988937855941,False,-0.04708837605133747,0.3333333333333333,228824,0.0,0.0,12,0,0,10,6,6.0,13,23,16,146.0,15.0,12,3,16,1520,1.7263228640076704,49.241949721064884
15,16,0,0,0,9.999999999999998,10,10.0,29.063669898562924,28,35.0,10.585501455912814,40,4.775,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,9,0.6590000000000001,29766,7,10,1.0,360.63669898562927,False,0.10703184168765725,2,0.5710000000000002,42941,0,0,0.0,0.0,False,0.002544826298094882,34,5.562000000000002,6552.0,128,0,0.0,3720.1497470160543,False,-0.8036030333977394,0,0.3440000000000001,63263,159,20,1.0,2523.0947314901377,False,0.03257449096233051,11,1.4890000000000003,56855,442,0,0.0,4678.791643513464,False,-0.05272294609040416,0.3333333333333333,226891,0.0,0.0,7,0,0,12,12,10.976190476190476,12,24,18,151.0,30.0,12,4,18,968,1.6590532980044372,50.90100301906932
16,18,0,0,0,9.999999999999998,7,10.0,29.063669898562924,0,,9.764345677308699,55,4.254545454545455,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.6500000000000001,29696,4,20,1.0,621.2733979712585,False,0.10926164278531769,11,0.6790000000000002,42710,0,0,0.0,0.0,False,-0.002848337691445648,44,5.968000000000002,4022.0,128,0,0.0,3720.1497470160543,False,-0.86267101994985,0,0.3440000000000001,63586,173,21,1.0,2571.231802174405,False,0.03812856504484309,11,1.5880000000000003,56504,473,0,0.0,4618.535505367015,False,-0.05882206864114468,0.3333333333333333,224032,0.0,0.0,5,0,0,10,11,11.0,18,28,24,203.0,13.0,16,2,24,448,1.5810564080020413,52.48205942707136
17,24,0,0,0,9.999999999999998,11,10.0,27.98573946869943,14,17.428571428571427,9.392159916111531,46,6.304347826086956,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.6500000000000001,29830,5,16,1.0,497.77183149919085,False,0.11193249475988308,12,0.788,42458,0,0,0.0,0.0,False,-0.008731789316398954,34,6.264000000000001,2146.0,142,0,0.0,3973.9750045553187,False,-0.9035070157294158,0,0.3440000000000001,63843,182,23,1.0,2675.3731047322985,False,0.043074565961467574,12,1.697,56096,500,0,0.0,4696.079958055766,False,-0.06473075294807273,0.3333333333333333,221887,0.0,0.0,7,0,0,15,9,9.0,15,30,23,249.0,27.0,19,5,23,690,4.073295851005241,56.555355278076604
18,23,0,0,0,9.999999999999998,9,10.0,27.343096328430846,7,14.857142857142858,9.027133688518065,18,1.2222222222222223,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.6500000000000001,29844,4,19,1.0,559.518830240186,False,0.11359134283834586,0,0.7760000000000002,42354,0,7,0.7,63.189935819626456,False,-0.010422231791422019,18,6.410000000000001,1434.0,142,0,0.0,3882.71967863718,False,-0.9211953717006306,0,0.3440000000000001,64422,181,19,1.0,2431.91119762177,False,0.05039215860088802,6,1.7450000000000003,56019,509,0,0.0,4594.811047455695,False,-0.06677326371476829,0.45,221587,0.0,0.0,9,0,0,13,5,5.0,14,27,26,209.0,46.0,16,7,26,782,1.698010861990042,58.253366140066646
19,26,0,0,0,9.999999999999998,7,10.0,26.792590444923228,20,23.25,8.634891208352785,35,4.571428571428571,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,1,0.6600000000000001,30217,1,10,1.0,277.9259044492323,False,0.12217525977688876,0,0.7760000000000002,41987,10,10,1.0,354.27481653276016,False,-0.015592608137224916,28,6.6720000000000015,179.0,142,0,0.0,3804.5478431790984,False,-0.9514084347779803,0,0.3440000000000001,64776,188,18,1.0,2379.359547170324,False,0.055636668431006384,9,1.8290000000000004,55841,527,0,0.0,4550.587666801918,False,-0.06997561437371443,0.5,220514,0.0,0.0,7,0,0,18,8,7.2,13,31,23,273.0,35.0,20,6,23,1050,1.851018297020346,60.10438443708699
