index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,14.63678444611004,31,17.0,38.712819749617545,10,44.0,38.0,20,38.0,14,0.8800000000000001,37082,113,0,0.0,1130.0000000000002,False,-0.03799764910308172,0,0.2,39795,6,19,1.0,338.09890447609075,False,0.02121044238355514,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.29000000000000004,71350,65,23,1.0,1841.7858432383562,False,0.015126175262229619,1,0.6330000000000001,92331,2,10,1.0,457.4256394992351,False,-0.009738816521347808,9,0.6680000000000001,92609,0,5,0.5,190.0,False,-0.008195142826575371,0.5833333333333334,404785,0.0,0.0,11,0,0,12,4,3.2,6,18,13,99.0,36.0,8,7,13,1255,1.0668802363798022,15.974551821127534
11,13,0,0,0,10.000000000000002,20,10.0,14.63678444611004,0,,35.67139036230432,40,30.0,37.99999999999999,20,38.0,0,0.8660000000000001,36992,122,0,0.0,1220.0000000000002,False,-0.039147544334849495,0,0.2,39685,7,29,1.0,494.46674893719114,False,0.02039743891420751,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,17,0.4600000000000001,71938,55,10,1.0,1161.7370481590954,False,0.018609272186975667,1,0.6420000000000001,92704,0,2,0.2,75.99999999999999,False,-0.007788595271210014,4,0.6990000000000001,91565,30,10,1.0,1450.1417108691296,False,-0.012623613400721495,0.5333333333333333,404502,0.0,0.0,7,0,0,8,4,1.7916666666666667,7,15,22,78.0,51.0,6,7,22,428,1.129824634641409,17.104376455768943
12,22,0,0,0,10.000000000000002,20,10.0,14.403987511391097,5,9.0,36.982908347995604,15,46.0,38.00000000000001,20,38.0,5,0.9160000000000001,36867,130,0,0.0,1300.0000000000002,False,-0.04131956866152195,0,0.2,39565,9,39,1.0,651.7555129442528,False,0.019340669404408546,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,5,0.49300000000000005,72403,50,10,1.0,1090.0284590495107,False,0.02463710747429207,7,0.7110000000000003,92017,5,10,1.0,564.9145417399781,False,-0.012523191709960572,1,0.7050000000000001,91938,20,10,1.0,1119.658166959912,False,-0.010400887092329567,0.6666666666666666,404408,0.0,0.0,7,0,0,14,5,3.25,11,25,24,204.0,66.0,15,7,24,466,1.417712515220046,18.52208897098899
13,24,0,0,0,10.000000000000002,20,10.0,13.649610135695704,8,3.375,38.96735193551948,30,46.0,38.0,20,38.0,8,0.9910000000000003,36620,142,0,0.0,1420.0000000000002,False,-0.046098022180201356,0,0.2,39485,7,49,1.0,738.8308966490895,False,0.018408939753782997,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,20,0.6880000000000001,72931,48,10,1.0,1044.8548058685888,False,0.03173620533941473,0,0.7040000000000002,91555,10,14,1.0,921.6735193551948,False,-0.015557539748822152,4,0.744,91592,25,10,1.0,1354.183798387987,False,-0.012848059278977234,0.6666666666666666,403801,0.0,0.0,8,0,0,14,6,4.733333333333333,10,24,23,200.0,90.0,14,10,23,694,1.495666852220893,20.017755823209882
14,23,0,0,0,10.000000000000002,20,10.0,14.075913981851832,28,15.678571428571429,39.08747719630911,3,44.0,38.00000000000001,20,38.0,10,1.0830000000000004,36351,151,0,0.0,1510.0000000000002,False,-0.05182194511166761,0,0.2,39789,8,41,1.0,657.1124732559251,False,0.02513303614830998,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,72624,66,17,1.0,1593.4974351394758,False,0.0312771963588186,0,0.7040000000000002,91821,0,17,1.0,646.0000000000001,False,-0.014186369958275382,3,0.77,91815,18,10,1.0,1083.574589533564,False,-0.011909839576690078,0.6666666666666666,404018,0.0,0.0,10,0,0,15,5,4.166666666666666,9,24,17,192.0,69.0,15,8,17,1202,1.3956345757469535,21.413390398956835
15,17,0,0,0,10.000000000000002,20,10.0,13.943454108730727,2,6.0,39.08747719630911,0,,38.00000000000001,20,38.0,2,1.0930000000000002,36217,162,0,0.0,1620.0000000000002,False,-0.05384065007410436,0,0.2,39699,7,51,1.0,781.116159545267,False,0.024417592880171618,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,72612,58,27,1.0,1864.082222606728,False,0.03300897703884263,0,0.7040000000000002,92315,0,4,0.0,152.00000000000003,False,-0.011543810848400556,0,0.7670000000000001,92081,8,13,1.0,806.699817570473,False,-0.01054509565865797,0.5,404542,0.0,0.0,10,0,0,9,1,1.0,9,18,19,90.0,72.0,8,9,19,960,2.459244467318058,23.872634866274893
16,19,0,0,0,10.000000000000002,20,10.0,14.727126943104416,22,18.636363636363637,39.08747719630911,0,,38.00000000000001,20,38.0,3,1.1210000000000002,36086,170,0,0.0,1700.0000000000002,False,-0.05616599376501252,0,0.2,39986,9,42,1.0,708.5393316103855,False,0.03082408304301103,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,72202,70,37,1.0,2477.1355422807464,False,0.03155557731185731,8,0.7840000000000003,92381,0,0,0.0,0.0,False,-0.011650797047180913,0,0.7670000000000001,92385,0,13,0.8,494.0000000000001,False,-0.008965443457793945,0.4666666666666666,404658,0.0,0.0,10,0,0,12,3,2.625,6,18,14,127.0,65.0,10,9,14,949,1.0609127525240183,24.93354761879891
17,14,0,0,0,10.000000000000002,20,10.0,14.171684890459577,5,1.0,40.57651030000564,27,46.81481481481482,38.00000000000001,20,38.0,5,1.1680000000000004,35891,181,0,0.0,1810.0000000000002,False,-0.059743445597178924,0,0.2,39896,8,52,1.0,816.927614303898,False,0.029909127795572935,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,73461,65,20,1.0,1732.6897238799852,False,0.04401136137792491,10,0.8760000000000001,90999,17,10,1.0,1069.800675100096,False,-0.02071359433454534,0,0.7670000000000001,92765,0,3,0.0,114.00000000000003,False,-0.006932705680967155,0.5,404630,0.0,0.0,9,0,0,6,3,3.0,9,15,14,69.0,39.0,6,8,14,1844,0.8573656845837831,25.790913303382695
18,14,0,0,0,10.000000000000002,20,10.0,13.285377653273219,9,2.3333333333333335,40.57651030000564,0,,38.00000000000001,20,38.0,9,1.2530000000000003,35655,189,0,0.0,1890.0000000000002,False,-0.06475187816221188,0,0.2,39776,10,62,1.0,923.6934145029396,False,0.02820684589491155,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,73440,64,30,1.0,2067.559478809655,False,0.04606820433470271,2,0.8860000000000001,91365,7,10,1.0,664.0355721000395,False,-0.018968462757568992,5,0.8170000000000002,92844,0,0,0.0,0.0,False,-0.006697336043650369,0.5,404698,0.0,0.0,8,0,0,5,4,3.5,10,15,18,60.0,57.0,5,9,18,618,1.0574146918952465,26.84832799527794
19,18,0,0,0,10.000000000000002,20,10.0,13.285377653273219,0,,40.08937589043727,16,36.25,38.00000000000001,20,38.0,0,1.2440000000000004,35535,201,0,0.0,2010.0000000000005,False,-0.06628507180456891,0,0.2,39696,8,72,1.0,1036.5471910356719,False,0.027604476810901925,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.6680000000000001,74020,54,24,1.0,1679.5554146472482,False,0.05148998100013514,2,0.9040000000000001,91596,0,10,1.0,380.00000000000006,False,-0.018016475874612175,8,0.8920000000000001,92313,3,10,1.0,500.26812767131185,False,-0.009702213931361413,0.6666666666666666,404778,0.0,0.0,15,0,0,8,3,2.5,8,16,20,111.0,48.0,7,11,20,1084,1.2856448292732239,28.133972824551165
20,20,0,0,0,10.000000000000002,20,10.0,14.111080555957692,15,20.066666666666666,40.64422258039936,28,43.17857142857143,38.00000000000001,20,38.0,2,1.2640000000000005,35401,211,0,0.0,2110.0000000000005,False,-0.06843154290386876,0,0.2,39895,8,69,1.0,1053.6645583610807,False,0.03290827104769613,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,4,0.7080000000000002,74784,59,10,1.0,1238.9959786054974,False,0.05912714539571802,2,0.9220000000000002,90753,18,10,1.0,1111.5960064471885,False,-0.02312187864316258,0,0.8840000000000001,92617,0,5,0.3,190.00000000000003,False,-0.008109553867551087,0.5499999999999999,405068,0.0,0.0,10,0,0,8,3,2.085714285714286,10,18,20,107.0,66.0,8,12,20,1982,1.4471526900306344,29.5811255145818
21,20,0,0,0,10.000000000000002,20,10.0,14.111080555957692,0,,40.64422258039936,0,,38.000000000000014,20,38.0,0,1.2620000000000002,35311,220,0,0.0,2200.0000000000005,False,-0.06958143813563653,0,0.2,39785,9,79,1.0,1204.7753639206576,False,0.032028100423169927,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.7040000000000002,74784,49,20,1.0,1504.327398849914,False,0.06099058487267124,0,0.9200000000000002,91057,8,12,1.0,781.153780643195,False,-0.021637136083004237,7,0.9540000000000002,92734,0,0,0.0,0.0,False,-0.0078741842302343,0.5,405289,0.0,0.0,8,0,0,7,2,1.8,13,20,27,123.0,72.0,11,9,27,656,1.4424711493775249,31.023596663959324
22,27,0,0,0,10.000000000000002,20,10.0,15.292821133614005,17,23.0,41.13976775156411,32,43.3125,38.00000000000001,20,38.0,0,1.2620000000000002,35211,230,0,0.0,2300.0000000000005,False,-0.07085909950426739,0,0.2,40076,9,72,1.0,1191.0831216202084,False,0.03928914909822924,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,12,0.8240000000000001,75282,56,10,1.0,1267.7956609980254,False,0.06632437888725196,0,0.9200000000000002,91073,8,10,1.0,709.1181420125129,False,-0.02185129912264627,8,1.0270000000000004,91702,12,10,1.0,873.6772130187694,False,-0.014241589745272494,0.6666666666666666,404962,0.0,0.0,8,0,0,11,5,4.090909090909091,15,26,25,208.0,63.0,16,11,25,1047,1.5503457188606262,32.57394238281995
23,25,0,0,0,10.000000000000002,20,10.0,15.42090189358358,22,16.09090909090909,41.13976775156411,0,,38.00000000000001,20,38.0,7,1.332,35050,238,0,0.0,2380.0000000000005,False,-0.07395104001635407,0,0.2,40256,11,67,1.0,1143.2004268700998,False,0.04327695133221877,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,74928,68,20,1.0,1871.4166837949656,False,0.06559131867710032,1,0.9300000000000002,91446,0,8,0.8,304.00000000000006,False,-0.020027816411682893,0,1.0190000000000001,92044,2,11,1.0,500.2795355031283,False,-0.012580081654524839,0.6333333333333333,405342,0.0,0.0,10,0,0,7,4,3.1666666666666665,13,20,26,133.0,57.0,11,14,26,1032,1.343704003840685,33.917646386660635
24,26,0,0,0,10.000000000000002,20,10.0,15.899237015713036,20,18.85,41.13976775156411,0,,38.00000000000001,20,38.0,3,1.3550000000000002,34859,252,0,0.0,2520.0000000000005,False,-0.07704298052844075,0,0.2,40570,7,60,1.0,1023.9542209427822,False,0.049777102020529325,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,74551,78,30,1.0,2474.33351977254,False,0.06453025198592957,4,0.9690000000000003,91722,0,0,0.0,0.0,False,-0.018701187546806462,0,1.0190000000000001,92348,0,5,0.2,190.00000000000003,False,-0.010987482614742698,0.3666666666666667,405668,0.0,0.0,10,0,0,10,2,1.5714285714285714,13,23,20,91.0,69.0,13,13,20,1068,1.287971319630742,35.20561770629138
25,20,0,0,0,10.000000000000002,20,10.0,15.84030457374336,15,15.333333333333334,40.203314972703964,6,16.0,38.0,20,38.0,5,1.4020000000000004,34709,259,0,0.0,2590.0000000000005,False,-0.07998160167629172,0,0.2,40660,10,60,1.0,1050.4182744246016,False,0.05241501347197586,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,74417,83,34,1.0,2681.657988692634,False,0.06410412386361655,11,1.0750000000000002,91575,0,0,0.0,0.0,False,-0.020273884668877716,4,1.0590000000000002,92414,0,6,0.6,228.0,False,-0.01007809992510966,0.43333333333333335,405393,0.0,0.0,8,0,0,7,5,4.8,9,16,22,99.0,51.0,8,12,22,668,1.0763222109526396,36.28193991724402
26,22,0,0,0,10.000000000000002,20,10.0,15.89576054956118,21,16.238095238095237,39.24138359642115,6,16.0,37.99999999999999,20,38.0,9,1.4870000000000003,34476,272,0,0.0,2720.0000000000005,False,-0.0842745438748914,0,0.2,40866,7,58,1.0,991.9541118745484,False,0.05693200429133943,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,74172,94,38,1.0,2985.3740683227547,False,0.06279584001687478,11,1.1740000000000002,91422,0,0,0.0,0.0,False,-0.021910773510217182,3,1.0850000000000004,92525,0,6,0.6,227.99999999999994,False,-0.008890553118647695,0.43333333333333335,405079,0.0,0.0,8,0,0,6,6,5.6,12,18,24,92.0,57.0,8,14,24,724,1.0278068082407117,37.30974672548473
27,24,0,0,0,10.000000000000002,20,10.0,15.89576054956118,0,,39.71450022662386,15,44.0,37.99999999999999,20,38.0,0,1.4780000000000004,34356,284,0,0.0,2840.0000000000005,False,-0.08580773751724843,0,0.2,40786,5,68,1.0,1130.9117173701602,False,0.05666315374572197,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,74832,84,33,1.0,2645.822393641726,False,0.06968159110066663,11,1.2730000000000001,90607,5,10,1.0,578.5725011331192,False,-0.02753518508006254,3,1.1120000000000003,92732,0,0,0.0,0.0,False,-0.007895581469990372,0.5,404931,0.0,0.0,7,0,0,7,4,3.5,13,20,22,128.0,57.0,10,14,22,974,1.234651368111372,38.5443980935961
28,22,0,0,0,10.000000000000002,20,10.0,15.89576054956118,0,,40.17260327298976,22,43.0,37.99999999999999,20,38.0,0,1.4780000000000004,34226,297,0,0.0,2970.0000000000005,False,-0.08746869729646854,0,0.2,40716,2,78,1.0,1259.8693228657721,False,0.05652206933696741,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,75778,74,21,1.0,2019.9109494003123,False,0.07857341172992321,0,1.2620000000000002,90911,0,7,0.5,265.99999999999994,False,-0.02595485182411469,12,1.2290000000000003,91612,12,10,1.0,862.0712392758771,False,-0.015266549484990441,0.5833333333333334,404861,0.0,0.0,8,0,0,9,3,3.0,10,19,28,111.0,66.0,10,12,28,1450,1.1738941306248307,39.71829222422093
29,28,0,0,0,10.000000000000002,20,10.0,14.082625301826617,34,6.852941176470589,40.17260327298976,0,,37.99999999999999,20,38.0,34,1.8180000000000007,33526,307,0,0.0,3070.0000000000005,False,-0.1040782950886697,0,0.2,40616,2,88,1.0,1259.2710265607423,False,0.05395910239894651,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.812,75545,98,31,1.0,2625.447981041691,False,0.07955338919741609,3,1.2920000000000003,91156,0,0,0.0,0.0,False,-0.02475660639777469,0,1.2170000000000003,91992,2,10,1.0,460.34520654597947,False,-0.013350030990981138,0.5,404453,0.0,0.0,7,0,0,15,5,4.75,9,24,22,179.0,83.0,15,13,22,808,1.2539216773584485,40.97221390157938
30,22,0,0,0,10.000000000000002,20,10.0,12.511183983229238,29,4.241379310344827,40.84143204783135,44,43.0,38.0,20,38.0,25,2.0340000000000007,33001,317,0,0.0,3170.0000000000005,False,-0.11621607809066285,0,0.2,40548,2,94,1.0,1196.0512944235484,False,0.05141374884273972,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,13,0.942,76846,117,10,1.0,1872.2228465161343,False,0.09253745292100561,11,1.3990000000000002,89117,34,10,1.0,1768.608689626266,False,-0.037110256287438366,0,1.217,92334,0,3,0.2,114.0,False,-0.011543810848400556,0.5333333333333333,403464,0.0,0.0,8,0,0,8,7,6.590909090909091,9,17,29,73.0,74.0,7,15,29,1520,1.1951933354139328,42.16740723699331
31,29,0,0,0,10.000000000000002,20,10.0,13.305071045287974,27,18.11111111111111,40.82893590218207,17,40.705882352941174,38.00000000000001,20,38.0,0,2.0090000000000003,32891,328,0,0.0,3280.0000000000005,False,-0.11762150559615679,0,0.2,40947,1,77,1.0,1034.490470487174,False,0.059545286330137136,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,7,0.9990000000000003,76797,134,10,1.0,2191.168879090409,False,0.0940891709911678,1,1.3980000000000004,89442,27,10,1.0,1482.381269358916,False,-0.03516432401113238,6,1.2770000000000001,91752,4,10,1.0,543.3157436087283,False,-0.015473864643154379,0.6666666666666666,403447,0.0,0.0,10,0,0,13,4,2.25,12,25,23,167.0,72.0,15,14,23,1079,1.44101850874722,43.60842574574053
32,23,0,0,0,10.000000000000002,20,10.0,13.745878387250562,14,19.142857142857142,40.82893590218207,0,,38.00000000000001,20,38.0,2,2.0290000000000004,32729,341,0,0.0,3410.0000000000005,False,-0.12010016865130066,0,0.2,41141,0,73,0.8,1003.449122269291,False,0.06410600912594278,0,0.2,71618,0,0,0.0,0.0,False,0.0059555580526448855,0,0.992,76529,138,20,1.0,2713.5099354842187,False,0.09399324335958234,0,1.3970000000000002,89746,17,12,1.0,1150.0919103370952,False,-0.03368946233905479,2,1.2910000000000001,92118,0,4,0.4,152.00000000000003,False,-0.013651438964373595,0.5333333333333333,403881,0.0,0.0,10,0,0,10,2,1.4,12,22,25,137.0,45.0,13,10,25,1034,1.1186426831409335,44.727068428881466
