index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,15.154692893701743,46,15.173913043478262,33.03722218207982,0,,37.00000000000001,20,37.0,0,0.2,31985,6,11,1.0,226.7016218307192,False,0.032300469895007365,18,0.7310000000000001,28995,104,0,0.0,1040.0000000000002,False,-0.05078150125426127,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.2,44679,54,25,1.0,1644.2839708118895,False,0.021762821912466142,13,0.9960000000000002,66946,38,0,0.0,1255.4144429190333,False,-0.024825999055336535,7,0.8640000000000001,66811,39,0,0.0,1288.4516651011131,False,-0.026535835244746245,0.3333333333333333,284409,0.0,0.0,8,0,0,11,6,6.0,12,23,14,159.0,42.0,12,4,14,844,1.580912223085761,33.215599935501814
11,14,0,0,0,10.000000000000002,20,10.0,15.154692893701743,0,,34.955302558681744,14,47.07142857142857,37.00000000000001,20,37.0,0,0.2,31925,2,21,1.0,338.2485507677366,False,0.03216454220698099,0,0.7130000000000001,28855,118,0,0.0,1180.0000000000002,False,-0.05303273943526082,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.2,45338,44,21,1.0,1400.8678410551934,False,0.03382812181190149,8,1.0630000000000004,66858,38,0,0.0,1328.3014972299063,False,-0.025570024120198726,12,0.9770000000000001,65977,53,0,0.0,1852.6310356101324,False,-0.03450059864050184,0.3333333333333333,283946,0.0,0.0,8,0,0,10,5,5.0,11,21,19,129.0,43.0,10,4,19,859,2.966931451112032,36.182531386613846
12,19,0,0,0,10.000000000000002,20,10.0,15.84449721760986,17,20.58823529411765,36.88764580016217,28,43.25,37.00000000000001,20,37.0,0,0.2,32180,1,16,1.0,263.51195548175775,False,0.03916369646043863,2,0.7330000000000001,28711,129,0,0.0,1290.0000000000002,False,-0.055895027979674536,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,7,0.27,45996,51,10,1.0,1176.9458160997247,False,0.04608984343954607,7,1.125,66785,38,0,0.0,1401.7305404061624,False,-0.026093669434538613,13,1.0950000000000002,64579,81,0,0.0,2987.8993098131355,False,-0.04648382753331362,0.3333333333333333,283244,0.0,0.0,7,0,0,9,8,7.466666666666667,13,22,20,160.0,66.0,12,7,20,1156,1.561776090413332,37.74430747702718
13,20,0,0,0,10.000000000000002,20,10.0,14.920448964126582,8,1.0,37.10887863366063,19,38.36842105263158,37.00000000000001,20,37.0,0,0.2,32070,2,26,1.0,407.9316730672911,False,0.037948344906851714,8,0.8110000000000002,28461,138,0,0.0,1380.0000000000002,False,-0.062487939795458934,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,9,0.35300000000000004,46456,49,10,1.0,1102.1907855788088,False,0.05558015343549375,12,1.2380000000000002,66034,54,0,0.0,2003.879446217674,False,-0.03258666373554944,8,1.1620000000000004,64355,84,0,0.0,3117.145805227493,False,-0.04878383550359711,0.3333333333333333,282369,0.0,0.0,7,0,0,12,8,7.6,12,24,15,204.0,63.0,14,6,15,374,1.5642435075715184,39.308550984598696
14,15,0,0,0,10.000000000000002,20,10.0,15.847957673742446,15,23.0,32.92203051456294,23,12.08695652173913,37.00000000000001,20,37.0,0,0.2,32305,3,21,1.0,362.8071111485914,False,0.044780457823834045,0,0.8030000000000002,28371,147,0,0.0,1470.0000000000002,False,-0.06393516434038721,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,13,0.4740000000000001,45971,54,10,1.0,1185.0100195277214,False,0.04561899330288017,9,1.316,65653,77,0,0.0,2534.9963496213463,False,-0.034252631182920885,11,1.2640000000000002,64202,84,0,0.0,2765.450563223287,False,-0.053529522301907266,0.3333333333333333,281495,0.0,0.0,5,0,0,7,8,7.230769230769231,11,18,16,105.0,35.0,8,7,16,545,1.2859856421127915,40.59453662671149
15,16,0,0,0,10.000000000000002,20,10.0,15.781785371034688,1,8.0,33.18431433744587,3,44.0,37.0,20,37.0,0,0.2,32225,1,31,1.0,499.23534650207534,False,0.044401417419792866,1,0.8130000000000002,28240,159,0,0.0,1590.0000000000002,False,-0.06621856306682962,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.4610000000000001,46095,45,17,1.0,1274.3136854331406,False,0.04940619874958613,9,1.3970000000000002,65521,78,0,0.0,2588.376518320778,False,-0.03577238636591345,11,1.3630000000000002,63965,86,0,0.0,2853.851033020345,False,-0.05631186659003418,0.3333333333333333,281039,0.0,0.0,7,0,0,7,6,6.0,12,19,19,131.0,47.0,9,7,19,332,1.344424905255437,41.938961531966925
16,19,0,0,0,10.000000000000002,20,10.0,17.16921490774316,29,22.275862068965516,31.488435274924885,9,10.0,37.0,20,37.0,0,0.2,32789,0,12,0.9,206.03057889291793,False,0.057825152423183104,1,0.8220000000000001,28103,171,0,0.0,1710.0000000000002,False,-0.06869492506592911,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.4610000000000001,45539,64,18,1.0,1665.6215890442104,False,0.04131435360015507,6,1.4480000000000002,65479,78,0,0.0,2456.097951444141,False,-0.03733297290209738,14,1.4920000000000004,63639,95,0,0.0,2991.401351117864,False,-0.060023946148888334,0.31666666666666665,280542,0.0,0.0,8,0,0,9,6,6.0,13,22,20,193.0,51.0,12,7,20,934,1.477095091715455,43.41605662368238
17,20,0,0,0,10.000000000000002,20,10.0,16.013900802370514,10,1.9,26.6754499639612,34,11.0,37.0,20,37.0,0,0.2,32649,4,22,1.0,392.3058176521513,False,0.056318032701681106,10,0.921,27863,177,0,0.0,1770.0000000000002,False,-0.07544863960892777,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,16,0.6210000000000001,45370,64,10,1.0,1291.644150991325,False,0.03332035559812413,8,1.522,65019,112,0,0.0,2987.6503959636543,False,-0.04013586749239717,12,1.5980000000000003,63478,95,0,0.0,2534.167746576314,False,-0.06564660903847144,0.3333333333333333,279372,0.0,0.0,7,0,0,7,9,8.307692307692307,15,22,20,166.0,54.0,12,8,20,299,1.476319552399218,44.8923761760816
18,20,0,0,0,10.000000000000002,20,10.0,15.64455074849188,3,1.0,26.6754499639612,0,,37.0,20,37.0,0,0.2,32579,1,32,1.0,510.6256239517402,False,0.055969409274325255,3,0.9410000000000003,27679,190,0,0.0,1900.0000000000002,False,-0.079275744516627,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.6050000000000001,45367,57,20,1.0,1425.2483919432611,False,0.03475308084010662,7,1.5840000000000003,64950,112,0,0.0,2987.6503959636543,False,-0.04113162470081348,13,1.7160000000000004,63294,95,0,0.0,2534.167746576314,False,-0.06830196159424827,0.3333333333333333,278862,0.0,0.0,5,0,0,5,6,6.0,16,21,21,161.0,69.0,11,9,21,200,1.3414523489773273,46.233828525058925
19,21,0,0,0,10.000000000000002,20,10.0,17.843348354884032,34,24.941176470588236,24.865860475569214,17,11.0,37.00000000000001,20,37.0,2,0.22000000000000003,33299,0,10,1.0,178.43348354884031,False,0.07378326177958514,0,0.9380000000000002,27569,201,0,0.0,2010.0000000000005,False,-0.08104457451598379,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.6050000000000001,44706,81,13,1.0,1768.5674029280062,False,0.02376456708578107,10,1.677,64675,129,0,0.0,3207.6960013484286,False,-0.04351245417100734,10,1.8030000000000004,63162,95,0,0.0,2362.256745179075,False,-0.07144733494112707,0.3333333333333333,278404,0.0,0.0,10,0,0,9,6,5.153846153846153,14,23,20,196.0,84.0,13,8,20,910,1.4592105904594064,47.69303911551833
