index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,11.750617418434919,19,16.0,25.061749757136827,1,19.0,24.999999999999996,20,25.0,0,0.2,46206,3,19,1.0,253.26173095026346,False,0.010746746629038694,0,1.181,42670,110,0,0.0,1100.0000000000002,False,-0.05715532286212915,0,0.2,62619,99,28,1.0,1865.0401176248881,False,0.006868406141076121,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,10,0.9120000000000001,77327,31,0,0.0,776.9142424712417,False,-0.016085671875577644,0,0.6860000000000002,78307,0,11,0.9,274.99999999999994,False,-0.0068556453042311295,0.48333333333333334,370504,0.0,0.0,10,0,0,9,3,3.0,10,19,16,116.0,25.0,9,6,16,773,2.0564512703567743,54.03734879381955
11,16,0,0,0,10.000000000000002,20,10.0,12.703306155645102,13,23.0,25.061749757136827,0,,24.999999999999996,20,25.0,0,0.2,46405,3,16,1.0,233.25289849032163,False,0.014869686938157923,0,1.181,42570,120,0,0.0,1200.0000000000002,False,-0.05824607329842932,0,0.2,62320,102,38,1.0,2248.083718647,False,0.005165592371803619,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,9,0.9920000000000002,77257,31,0,0.0,776.9142424712417,False,-0.01697190487889469,0,0.6860000000000002,78582,0,0,0.0,0.0,False,-0.005114830476286937,0.3333333333333333,370509,0.0,0.0,10,0,0,8,2,2.0,10,18,15,94.0,59.0,8,8,15,774,1.8969187764450908,55.93426757026464
12,15,0,0,0,10.000000000000002,20,10.0,12.703306155645102,0,,26.611218872399537,18,33.0,25.0,20,25.0,0,0.2,46325,1,26,1.0,340.28596004677263,False,0.014291949825990163,0,1.1810000000000003,42450,132,0,0.0,1320.0000000000002,False,-0.05955497382198953,0,0.2,62914,92,30,1.0,1967.0407324913353,False,0.012350207012986307,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,11,1.0930000000000002,77152,31,0,0.0,824.9477850443857,False,-0.017997190736052084,9,0.7760000000000002,77929,8,10,1.0,462.88975097919626,False,-0.010451917105694677,0.5,370145,0.0,0.0,6,0,0,10,5,5.0,10,20,11,98.0,15.0,10,5,11,794,2.1458625681698322,58.08013013843447
13,11,0,0,0,10.000000000000002,20,10.0,13.191241352205497,24,16.0,26.174771074936412,7,21.0,25.0,20,25.0,0,0.2,46599,2,12,1.0,178.29489622646597,False,0.018502343981527745,0,1.1810000000000003,42360,141,0,0.0,1410.0000000000002,False,-0.060536649214659684,0,0.2,62677,106,33,1.0,2262.039028806684,False,0.01093221449354134,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,12,1.202,76887,38,0,0.0,994.6413008475837,False,-0.020278015718940195,0,0.7670000000000001,78129,0,10,0.8,250.0,False,-0.009267465120401084,0.4666666666666666,370027,0.0,0.0,9,0,0,8,3,3.0,10,18,11,66.0,21.0,7,4,11,931,1.827872285619378,59.90800242405385
14,11,0,0,0,10.000000000000002,20,10.0,13.936499903469027,12,23.0,26.69147520278223,6,33.666666666666664,25.000000000000004,20,25.0,0,0.2,46795,0,10,1.0,139.36499903469027,False,0.022353457668353942,0,1.1810000000000003,42240,153,0,0.0,1530.0000000000002,False,-0.061845549738219895,0,0.2,62603,108,37,1.0,2492.726572077597,False,0.011587237967597122,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,12,1.31,76727,39,0,0.0,1040.9675329085069,False,-0.022010435185295402,0,0.7670000000000001,78169,0,7,0.5,175.00000000000003,False,-0.009235813941711189,0.4166666666666667,369909,0.0,0.0,10,0,0,8,3,3.0,9,17,7,69.0,12.0,7,4,7,878,1.683861275203526,61.591863699257374
15,7,0,0,0,10.000000000000002,20,10.0,14.089166967221013,37,14.675675675675675,25.64397690218686,14,19.785714285714285,25.000000000000004,20,25.0,0,0.2,46695,0,20,1.0,281.78333934442026,False,0.021725385464053407,37,1.5510000000000002,41674,163,0,0.0,1630.0000000000002,False,-0.07310209424083769,0,0.2,62337,135,33,1.0,2748.2887783470032,False,0.009397388845868111,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,6,1.358,76574,48,0,0.0,1230.9108913049693,False,-0.022745101085604052,7,0.8370000000000002,78132,0,5,0.5,125.00000000000001,False,-0.01002076317322057,0.4166666666666667,368787,0.0,0.0,9,0,0,8,8,7.8,8,16,11,43.0,6.0,5,2,11,627,1.3444917108863592,62.93635541014373
16,11,0,0,0,10.000000000000002,20,10.0,13.772296062398693,4,1.0,26.19085369774395,3,41.333333333333336,25.000000000000007,20,25.0,0,0.2,46585,1,30,1.0,423.1688818719608,False,0.020867897926177527,4,1.5540000000000003,41512,172,0,0.0,1720.0000000000002,False,-0.07565445026178011,0,0.2,62457,129,40,1.0,2824.2603399591894,False,0.011900411451243622,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,8,1.4320000000000002,76390,51,0,0.0,1335.7335385849415,False,-0.024411075769219043,7,0.9000000000000001,78206,0,0,0.0,0.0,False,-0.009875167751247057,0.3333333333333333,368525,0.0,0.0,8,0,0,6,5,4.75,10,16,13,65.0,15.0,6,5,13,424,4.624619281850755,67.56097469199449
17,13,0,0,0,10.000000000000002,20,10.0,13.41594902453691,12,9.0,26.04533401464092,6,24.166666666666668,25.000000000000007,20,25.0,0,0.2,46495,0,40,1.0,536.6379609814765,False,0.020142211616290092,12,1.6700000000000002,41282,183,0,0.0,1830.0000000000002,False,-0.07947207678883071,0,0.2,62494,131,44,1.0,2903.484018858536,False,0.013114198951634532,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,13,1.5540000000000003,76117,57,0,0.0,1484.5840388345323,False,-0.02692512572585949,7,0.9630000000000001,78155,0,0,0.0,0.0,False,-0.010520851796520903,0.3333333333333333,367918,0.0,0.0,7,0,0,8,6,6.0,9,17,13,62.0,20.0,6,7,13,345,1.2325333505868912,68.79350804258138
18,13,0,0,0,10.000000000000002,20,10.0,13.827469976710727,32,15.6875,26.176119757065443,1,36.0,25.00000000000001,20,25.0,0,0.2,46931,0,15,0.6,207.41204965066092,False,0.026062522356573577,1,1.6680000000000001,41129,197,0,0.0,1970.0000000000005,False,-0.081282722513089,0,0.2,62028,153,53,1.0,3502.9372535612097,False,0.010479873043832232,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,8,1.6210000000000002,76023,58,0,0.0,1518.2149459097957,False,-0.027902318474730965,12,1.0760000000000003,78040,0,0,0.0,0.0,False,-0.011976806016256045,0.26666666666666666,367526,0.0,0.0,8,0,0,7,6,6.0,10,17,9,71.0,18.0,7,6,9,732,1.175325090996921,69.9688331335783
19,9,0,0,0,10.000000000000002,20,10.0,13.751688077894809,28,13.321428571428571,25.774407023268527,11,23.272727272727273,25.000000000000014,20,25.0,8,0.28,47047,0,10,1.0,137.5168807789481,False,0.027830681509368946,5,1.717,40939,207,0,0.0,2070.0000000000005,False,-0.08433682373472949,0,0.2,61911,171,52,1.0,3691.8078265299755,False,0.010122372592049574,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,7,1.6830000000000003,75816,66,0,0.0,1701.1108635357227,False,-0.029365261796168163,13,1.1940000000000002,77810,0,3,0.3,75.00000000000004,False,-0.014413946775377915,0.3833333333333333,366898,0.0,0.0,8,0,0,7,7,6.3478260869565215,10,17,13,64.0,9.0,6,3,13,456,1.0987443840131164,71.06757751759142
