index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,22.32600012543193,10,8.5,14.490665489810134,9,19.11111111111111,28.0,9,28.0,0,0.533,45933,4,15,1.0,374.89000188147895,False,0.03205435465764271,0,0.38000000000000006,45434,4,20,1.0,486.5200025086386,False,0.02213703905420513,0,0.2,64199,95,51,1.0,2859.99395189635,False,-0.027891382629041124,8,1.6390000000000002,63006.0,59,0,0.0,1317.2340074004837,False,-0.05698813538777928,0,0.2,82239,0,7,0.1,196.0,False,-0.00019428557551030322,0,0.29900000000000004,81896,99,13,1.0,1798.5758834912033,False,0.0053706354564569455,0.6833333333333332,382707,0.0,0.0,13,0,0,11,1,1.0,17,28,10,206.0,35.0,15,6,10,573,1.739481701515615,24.538155739195645
11,10,0,0,0,10.000000000000002,20,10.0,22.32600012543193,0,,12.293531240434733,69,7.855072463768119,28.0,11,28.0,0,0.533,45863,1,25,1.0,568.1500031357982,False,0.03265026408807511,0,0.38000000000000006,45304,7,30,1.0,739.7800037629579,False,0.022061627324594567,0,0.2,64313,85,54,1.0,2561.5606976451895,False,-0.028413017703184752,62,2.2510000000000012,60555.0,59,0,0.0,1317.2340074004837,False,-0.09329279233765486,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,0,0.29900000000000004,81662,158,12,1.0,2278.3779359886876,False,0.0054422907240093445,0.6666666666666666,379936,0.0,0.0,12,0,0,11,5,5.0,9,20,9,52.0,21.0,6,4,9,622,1.2916547916829586,25.829810530878603
12,9,0,0,0,10.000000000000002,20,10.0,23.593243775979488,48,28.0,11.889455448275298,11,5.0,28.0,11,28.0,0,0.533,45743,3,35,1.0,855.763532159282,False,0.033182996913704826,18,0.56,46194,5,10,1.0,285.9324377597949,False,0.03689953049767046,0,0.2,63981,91,63,1.0,2896.020876855477,False,-0.030853619527969302,10,2.289000000000001,59278.0,91,0,0.0,2146.9851836141333,False,-0.10606273563504169,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,0,0.29900000000000004,81915,159,11,1.0,2198.423416275772,False,0.008028993578107439,0.6666666666666666,379350,0.0,0.0,13,0,0,10,5,4.125,8,18,9,84.0,12.0,5,4,9,1056,1.4081079261377454,27.23791845701635
13,9,0,0,0,10.000000000000002,20,10.0,23.436118808036344,33,22.515151515151516,11.889455448275298,0,,28.000000000000004,8,28.0,0,0.533,46372,2,13,1.0,324.66954450447247,False,0.04131612003786783,0,0.542,46108,6,19,1.0,505.28625735269054,False,0.03742935751602997,0,0.2,63957,82,73,1.0,2789.691989983077,False,-0.031996593272432435,0,2.279000000000001,58559.0,123,0,0.0,2882.64261338847,False,-0.11126434846109975,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.29900000000000004,82139,149,13,1.0,2135.5288617930196,False,0.010367132112934684,0.6666666666666666,379374,0.0,0.0,14,0,0,9,0,0.0,8,17,13,53.0,29.0,4,5,13,1167,3.736168338917196,30.974086795933545
14,13,0,0,0,10.000000000000002,20,10.0,23.93257429640393,47,26.085106382978722,12.077909048667122,17,14.058823529411764,28.0,9,28.0,0,0.533,46539,3,11,1.0,293.2583172604432,False,0.044701690803576465,16,0.7020000000000002,46663,5,10,1.0,289.3257429640393,False,0.04743248459277699,0,0.2,63478,103,70,1.0,3310.5087859363034,False,-0.03523441176430636,4,2.3190000000000013,57935.0,139,0,0.0,3326.6278272001464,False,-0.11721895494726751,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,0,0.29900000000000004,82152,156,14,1.0,2276.153811592071,False,0.011378782871249892,0.6666666666666666,379006,0.0,0.0,15,0,0,10,2,1.8421052631578947,11,21,15,115.0,30.0,8,5,15,1476,1.500632494688034,32.47471929062158
15,15,0,0,0,10.000000000000002,20,10.0,24.40375452030081,14,32.0,12.212966962791645,1,36.0,28.000000000000004,13,28.0,3,0.5630000000000001,46770,9,10,1.0,334.0375452030081,False,0.05032712971270825,0,0.686,46623,0,19,0.9,463.6713358857154,False,0.048488087807528966,0,0.2,63514,93,79,1.0,3234.3735604485155,False,-0.03526503761961939,0,2.315000000000001,57487.0,153,0,0.0,3733.774441606024,False,-0.12083944749373422,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.29900000000000004,82480,147,11,1.0,2103.306143530372,False,0.01431220564843043,0.65,379113,0.0,0.0,11,0,0,12,1,0.21428571428571427,11,23,16,126.0,45.0,9,6,16,600,1.6602690778672695,34.13498836848885
16,16,0,0,0,10.000000000000002,20,10.0,24.583370319983498,21,26.428571428571427,12.726301390781893,14,18.571428571428573,28.000000000000004,11,28.0,11,0.6700000000000002,46998,9,10,1.0,335.833703199835,False,0.05544926717686894,0,0.686,46523,0,29,1.0,712.9177392795215,False,0.04903909035176697,0,0.2,63478,95,79,1.0,3340.797990270202,False,-0.03501008716768718,4,2.3550000000000013,57112.0,162,0,0.0,3982.5059918373267,False,-0.12455188713238143,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.29900000000000004,82528,151,10,1.0,2201.671510008066,False,0.01549228024484886,0.6666666666666666,378878,0.0,0.0,11,0,0,14,3,2.166666666666667,11,25,18,127.0,24.0,12,4,18,748,2.0861746510490775,36.221163019537926
17,18,0,0,0,10.000000000000002,20,10.0,24.608325373833047,34,24.764705882352942,11.88905344373135,21,5.666666666666667,28.000000000000007,10,28.0,7,0.7290000000000001,47155,13,10,1.0,376.08325373833054,False,0.059412854163738864,0,0.686,46875,0,18,0.6,442.94985672899486,False,0.05389533942813506,0,0.2,63038,106,89,1.0,3666.6082461183933,False,-0.03911446671615122,21,2.561000000000001,56101.0,175,0,0.0,4306.456940420783,False,-0.13712779253746898,0,0.2,82239,0,7,0.0,196.00000000000006,False,-0.00019428557551030322,0,0.29900000000000004,82689,162,10,1.0,2206.026657884479,False,0.017473720798783742,0.6,378097,0.0,0.0,13,0,0,15,3,2.4375,14,29,16,185.0,17.0,16,2,16,922,2.314305918291211,38.53546893782914
18,16,0,0,0,10.000000000000002,20,10.0,25.02077129694536,14,31.571428571428573,13.574475636805047,39,20.46153846153846,28.000000000000004,10,28.0,0,0.7220000000000002,47145,13,17,1.0,555.3531120480711,False,0.06119487459774522,0,0.6860000000000002,47127,0,17,1.0,425.3531120480711,False,0.05933755272162635,0,0.2,63830,96,66,1.0,3297.909436535888,False,-0.030113835788186615,6,2.6000000000000014,55491.0,189,0,0.0,4728.925775122673,False,-0.14303438073881186,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.29900000000000004,82171,191,10,1.0,2872.724846629764,False,0.015231532832014468,0.6666666666666666,378003,0.0,0.0,12,0,0,13,1,1.0,12,25,20,127.0,33.0,11,5,20,1714,1.7361956173554063,40.27166455518454
19,20,0,0,0,10.000000000000002,20,10.0,25.30407154346115,9,32.0,14.877978776672292,55,19.10909090909091,28.0,11,28.0,0,0.7220000000000002,47343,12,18,1.0,575.4732877823006,False,0.0658507125825982,0,0.686,47017,1,27,1.0,693.209931673451,False,0.05987300764940759,0,0.2,64838,86,34,1.0,2682.0014311445166,False,-0.019744627391097048,13,2.724000000000001,54839.0,198,0,0.0,5010.206165605307,False,-0.1506087349981832,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,1,0.30900000000000005,81394,236,10,1.0,3791.202991294661,False,0.011373010037853354,0.6666666666666666,377670,0.0,0.0,12,0,0,14,3,2.5,11,25,20,138.0,77.0,12,8,20,1748,1.9713630378246307,42.243027593009174
