index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,5.244715947776265,25,1.96,31.595514444067653,10,33.0,45.00000000000001,11,45.0,11,0.8950000000000002,58475,119,0,0.0,1190.0000000000002,False,-0.041398224631213384,14,0.808,58994,101,0,0.0,1010.0000000000002,False,-0.03443631229613281,0,0.2,98895,5,33,1.0,1068.875556393114,False,0.015944147566610056,0,0.2,98247,0,48,1.0,1516.5846933152475,False,0.011610339807882144,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,0.9219999999999999,141025,56,0,0.0,1769.3488088677886,False,-0.01509751601878128,0.3333333333333333,599721,0.0,0.0,9,0,0,14,11,11.0,17,31,26,235.0,79.0,16,6,26,530,5.6231818000087515,100.3995661669178
11,26,0,0,0,10.000000000000002,20,10.0,4.528753369783939,27,1.7037037037037037,31.595514444067653,0,,45.0,14,45.0,18,1.064,57869,127,0,0.0,1270.0000000000002,False,-0.050583405008032975,9,0.8840000000000001,58644,113,0,0.0,1130.0000000000002,False,-0.039142500121711755,0,0.2,98882,6,43,1.0,1385.7796413136127,False,0.01743033872479347,0,0.2,98214,6,58,1.0,1859.7123579746274,False,0.013026149025608927,0,0.2,144085,0,0,0.0,0.0,False,0.0,14,1.0510000000000002,140734,56,0,0.0,1769.3488088677886,False,-0.0171171572028046,0.3333333333333333,598428,0.0,0.0,6,0,0,12,15,15.0,17,29,23,186.0,100.0,14,12,23,200,5.226606900978368,105.62617306789616
12,23,0,0,0,10.000000000000002,20,10.0,4.387809682099456,5,1.0,33.70021649409408,10,48.0,44.99999999999999,8,45.0,0,1.046,57749,139,0,0.0,1390.0000000000002,False,-0.05155709904091138,5,0.925,58449,121,0,0.0,1210.0000000000002,False,-0.04165787637331429,0,0.2,98877,1,53,1.0,1790.4992838690857,False,0.01944691007300106,0,0.2,98694,0,54,0.6,1819.8116906810803,False,0.01772681692201356,0,0.2,144085,0,0,0.0,0.0,False,0.0,8,1.1170000000000002,140138,66,0,0.0,2224.214288610209,False,-0.019675142143143948,0.26666666666666666,597992,0.0,0.0,9,0,0,13,4,4.0,15,28,20,193.0,93.0,15,8,20,680,5.322188705962617,110.94836177385878
13,20,0,0,0,10.000000000000002,20,10.0,4.306116224179017,17,3.764705882352941,33.70021649409408,0,,45.0,12,45.0,12,1.1660000000000004,57381,148,0,0.0,1480.0000000000002,False,-0.05679881858457344,5,0.9700000000000002,58234,132,0,0.0,1320.0000000000002,False,-0.04425439379432337,0,0.2,98861,0,58,0.5,1954.6125566574565,False,0.02012185961161074,0,0.2,98646,3,64,1.0,2169.732204294558,False,0.01902406382150916,0,0.2,144085,0,0,0.0,0.0,False,0.0,12,1.2290000000000003,139917,66,0,0.0,2224.214288610209,False,-0.021208958987367844,0.25,597124,0.0,0.0,7,0,0,14,8,8.0,15,29,19,192.0,30.0,15,5,19,200,4.386162167007569,115.33452394086635
14,19,0,0,0,10.000000000000002,20,10.0,4.004831348909327,33,2.9393939393939394,32.8931866470377,13,28.53846153846154,45.0,9,45.0,11,1.264,56995,158,0,0.0,1580.0000000000002,False,-0.06225150516869249,22,1.1850000000000003,57495,142,0,0.0,1420.0000000000002,False,-0.05543564693854368,0,0.2,99135,9,59,1.0,1976.7414943154083,False,0.023034574248819415,0,0.2,98646,7,70,1.0,2330.5568847350046,False,0.01984569620990818,0,0.2,144085,0,0,0.0,0.0,False,0.0,9,1.3070000000000002,139425,79,0,0.0,2598.5617451159783,False,-0.02332455930486878,0.3333333333333333,595781,0.0,0.0,10,0,0,10,12,12.0,16,26,20,190.0,66.0,12,7,20,571,4.40909043798456,119.7436143788509
15,20,0,0,0,10.000000000000002,20,10.0,3.757233354111832,15,1.5333333333333334,34.55607717921864,10,47.0,45.0,10,45.0,9,1.3430000000000002,56705,165,0,0.0,1650.0000000000002,False,-0.0663897048084257,6,1.2230000000000003,57216,155,0,0.0,1550.0000000000002,False,-0.05890848898914331,0,0.2,99603,0,59,1.0,2038.8085535738999,False,0.028133569125943395,0,0.2,98625,11,80,1.0,2805.8157412327214,False,0.022059159392824657,0,0.2,144085,0,0,0.0,0.0,False,0.0,10,1.3980000000000004,138784,89,0,0.0,3075.490868950459,False,-0.02611829521133207,0.3333333333333333,595018,0.0,0.0,10,0,0,10,11,11.0,16,26,17,151.0,55.0,12,8,17,670,5.496491739992052,125.24010611884296
16,17,0,0,0,10.000000000000002,20,10.0,3.7214517251114008,15,3.4,35.44384377638569,5,49.0,45.0,7,45.0,10,1.4340000000000002,56342,176,0,0.0,1760.0000000000002,False,-0.07138800084386816,5,1.2670000000000001,57041,164,0,0.0,1640.0000000000002,False,-0.06101815939371318,0,0.2,99554,4,69,1.0,2460.5110274710582,False,0.029787322990278055,0,0.2,98868,2,85,1.0,3020.1696244430063,False,0.02563717635023869,0,0.2,144085,0,0,0.0,0.0,False,0.0,7,1.4580000000000002,138443,94,0,0.0,3331.721314980255,False,-0.027595789586076825,0.3333333333333333,594333,0.0,0.0,8,0,0,10,7,7.0,17,27,22,202.0,75.0,12,5,22,445,4.25643787701847,129.49654399586143
17,22,0,0,0,10.000000000000002,20,10.0,3.8581106135877,10,5.7,36.18258864420233,5,47.0,45.0,14,45.0,6,1.4840000000000002,56130,186,0,0.0,1860.0000000000002,False,-0.07401697473263985,4,1.3020000000000003,56865,174,0,0.0,1740.0000000000002,False,-0.06306291686275782,0,0.2,99517,0,79,1.0,2858.4245028919845,False,0.03144215483397186,0,0.2,99083,0,86,0.6,3111.7026234014006,False,0.028301620653125047,0,0.2,144085,0,0,0.0,0.0,False,0.0,14,1.5910000000000004,137912,99,0,0.0,3582.076275776031,False,-0.030412338981240156,0.26666666666666666,593592,0.0,0.0,9,0,0,13,8,8.0,14,27,13,191.0,57.0,13,9,13,435,4.088724671979435,133.58526866784086
18,13,0,0,0,10.000000000000002,20,10.0,3.7595981028972623,9,2.3333333333333335,37.52814963293641,10,47.0,45.0,8,45.0,0,1.4780000000000002,56020,197,0,0.0,1970.0000000000005,False,-0.07490952759611172,9,1.3880000000000003,56557,183,0,0.0,1830.0000000000002,False,-0.0673309423735415,0,0.2,99741,0,78,0.4,2927.19567136904,False,0.03408227156387125,0,0.2,99308,0,86,0.5,3227.4208684325313,False,0.031191801635004585,0,0.2,144085,0,0,0.0,0.0,False,0.0,8,1.657,137326,109,0,0.0,4090.568309990069,False,-0.03271482697716609,0.15,593037,0.0,0.0,9,0,0,9,6,6.0,14,23,22,117.0,45.0,8,5,22,670,4.197609183029272,137.78287785087014
19,22,0,0,0,10.000000000000002,20,10.0,3.6715113295397312,9,2.4444444444444446,36.071977137832654,5,15.0,44.99999999999999,12,45.0,4,1.518,55815,208,0,0.0,2080.0000000000005,False,-0.07734376267830773,5,1.4290000000000003,56361,192,0,0.0,1920.0000000000005,False,-0.0697814056896188,0,0.2,99719,0,87,0.9,3138.262010991441,False,0.034935791777740796,0,0.2,99383,0,81,0.0,2921.830148164445,False,0.03039690886881671,0,0.2,144085,0,0,0.0,0.0,False,0.0,12,1.7690000000000006,137032,114,0,0.0,4112.205393712922,False,-0.034680204762074784,0.15,592395,0.0,0.0,8,0,0,11,8,8.0,14,25,18,204.0,69.0,14,8,18,275,3.887393457989674,141.6702713088598
