index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,16.866066788655747,1,2.0,26.808887137189213,18,34.22222222222222,29.0,20,29.0,0,0.2,42534,3,37,1.0,654.0444711802627,False,0.022911678374982168,1,0.5700000000000002,40077,109,0,0.0,1090.0000000000002,False,-0.030524331161547458,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,8,0.30700000000000005,67899,16,10,1.0,537.9459399903841,False,0.005590478838678633,11,0.913,76581,42,0,0.0,1125.973259761947,False,-0.019933344811136924,9,0.56,78321,2,10,1.0,343.6177742743784,False,-0.0027973919538426,0.5,373415,0.0,0.0,10,0,0,10,11,10.727272727272727,14,24,15,93.0,51.0,9,7,15,431,3.272074494510889,41.931739867664874
11,15,0,0,0,10.000000000000002,20,10.0,18.095137729824746,12,26.0,28.56389234549292,8,48.0,29.000000000000004,20,29.0,0,0.2,42736,4,35,1.0,673.329820543866,False,0.027962695646212052,0,0.5690000000000002,39987,118,0,0.0,1180.0000000000002,False,-0.031598291210233644,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.29900000000000004,67971,18,12,1.0,668.4791872827604,False,0.007615388833606947,8,0.982,76122,50,0,0.0,1428.1946172746461,False,-0.023844888282274504,2,0.5710000000000002,78599,0,2,0.2,58.00000000000001,False,-0.0010798724480073178,0.3666666666666667,373418,0.0,0.0,12,0,0,14,5,4.5,15,29,13,144.0,21.0,13,2,13,1128,1.6149727441370487,43.54671261180192
12,13,0,0,0,10.000000000000002,20,10.0,18.287327492388233,2,26.0,27.46454626108544,12,19.5,29.00000000000001,20,29.0,0,0.2,42678,5,43,1.0,836.355082172694,False,0.02852384289363854,0,0.5690000000000002,39897,127,0,0.0,1270.0000000000002,False,-0.032672251258919836,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.29900000000000004,68153,10,10,1.0,457.5187375347367,False,0.008744182223773257,7,1.044,75859,61,0,0.0,1675.3373219262119,False,-0.02561624304799589,11,0.679,78497,0,1,0.1,29.00000000000001,False,-0.002559932920864406,0.35000000000000003,373087,0.0,0.0,13,0,0,7,8,8.0,17,24,16,94.0,32.0,7,6,16,544,1.4750420674681664,45.02175467927009
13,16,0,0,0,10.000000000000002,20,10.0,18.074944835670756,23,17.391304347826086,26.508955005553148,10,18.0,29.000000000000007,20,29.0,0,0.2,42998,3,30,1.0,572.2483450701227,False,0.03300933563721779,0,0.5690000000000002,39777,139,0,0.0,1390.0000000000002,False,-0.03410419799050142,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.29900000000000004,67933,23,10,1.0,680.8132812759588,False,0.007145800065467644,12,1.1570000000000003,75524,71,0,0.0,1882.1358053942736,False,-0.02855858749257259,7,0.738,78461,0,0,0.0,0.0,False,-0.0032015041987981654,0.3333333333333333,372696,0.0,0.0,12,0,0,12,10,9.5,19,31,15,151.0,24.0,13,3,15,780,1.5760963950306177,46.597851074300706
14,15,0,0,0,10.000000000000002,20,10.0,17.892960387195227,1,2.0,26.492849408675223,9,26.333333333333332,29.00000000000001,20,29.0,0,0.2,42898,3,40,1.0,745.7184154878091,False,0.03269275692093035,1,0.5790000000000002,39658,149,0,0.0,1490.0000000000002,False,-0.03575093673182024,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.29900000000000004,68168,14,11,1.0,541.9227889161606,False,0.00958800682202242,11,1.2550000000000001,75157,80,0,0.0,2119.4279526940177,False,-0.031713770579866046,9,0.8210000000000002,78368,0,0,0.0,0.0,False,-0.004383011700735583,0.3333333333333333,372252,0.0,0.0,12,0,0,11,10,10.0,18,29,19,108.0,45.0,10,5,19,437,1.7391990050673485,48.337050079368055
15,19,0,0,0,10.000000000000002,20,10.0,19.369157868528163,18,25.88888888888889,25.62910135412599,10,18.0,29.00000000000001,20,29.0,0,0.2,43224,7,32,1.0,689.8130517929012,False,0.03980588830568357,0,0.5780000000000001,39598,155,0,0.0,1550.0000000000002,False,-0.036466910097611036,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.29900000000000004,67882,22,11,1.0,708.0415880030055,False,0.0065942969213516915,12,1.3640000000000003,74827,90,0,0.0,2306.619121871339,False,-0.03471714251857167,8,0.8920000000000001,78289,0,0,0.0,0.0,False,-0.005386657858295326,0.3333333333333333,371823,0.0,0.0,12,0,0,14,9,9.0,18,32,17,172.0,34.0,13,6,17,846,1.8872378123924136,50.22428789176047
16,17,0,0,0,10.000000000000002,20,10.0,19.614648319703125,4,25.0,24.830925576594705,14,19.785714285714285,29.000000000000007,20,29.0,0,0.2,43224,7,38,1.0,815.3566361487187,False,0.041303986016428214,0,0.5780000000000001,39498,165,0,0.0,1650.0000000000002,False,-0.03766019904059569,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,3,0.32900000000000007,67972,16,10,1.0,562.1436288811971,False,0.0068458277071589526,12,1.4720000000000002,74397,104,0,0.0,2582.4162599658493,False,-0.03842811060456431,8,0.964,78213,0,0,0.0,0.0,False,-0.00635219087063128,0.3333333333333333,371307,0.0,0.0,12,0,0,12,10,9.6,16,28,22,141.0,51.0,10,7,22,462,2.0028874231502414,52.22717531491071
17,22,0,0,0,10.000000000000002,20,10.0,19.143835519947658,20,17.2,26.801632833177887,9,47.0,29.000000000000007,20,29.0,0,0.2,43416,9,36,1.0,779.1780787181157,False,0.04545450083193861,8,0.6580000000000001,39282,173,0,0.0,1730.0000000000002,False,-0.041860576119901675,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.32600000000000007,68051,26,11,1.0,792.5576846835959,False,0.009710702950947721,9,1.5500000000000003,73881,113,0,0.0,3028.5845101491013,False,-0.042149425697476185,11,1.066,78082,0,0,0.0,0.0,False,-0.008016464878736676,0.3333333333333333,370715,0.0,0.0,11,0,0,13,10,10.0,17,30,16,192.0,54.0,14,8,16,935,2.0830253837630153,54.310200698673725
18,16,0,0,0,10.000000000000002,20,10.0,18.958332144633,21,18.142857142857142,25.436746974261915,10,13.0,29.000000000000004,20,29.0,0,0.2,43641,9,33,1.0,715.624960772889,False,0.05006592874600704,8,0.7300000000000002,39070,183,0,0.0,1830.0000000000002,False,-0.04572683229517195,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.32600000000000007,67800,37,11,1.0,981.2625060683022,False,0.007399891620088111,11,1.6510000000000002,73751,113,0,0.0,2874.3524080915963,False,-0.044780707074488356,9,1.1450000000000002,77858,0,10,1.0,290.00000000000006,False,-0.009020111036296418,0.5,370123,0.0,0.0,12,0,0,11,10,10.0,15,26,19,84.0,39.0,7,9,19,655,1.7926741326227784,56.1028748312965
19,19,0,0,0,10.000000000000002,20,10.0,19.808301300692623,14,26.0,25.11864974166371,8,21.5,29.000000000000004,20,29.0,0,0.2,43895,10,29,1.0,674.4407377200861,False,0.05563638979642591,0,0.7220000000000002,38980,192,0,0.0,1920.0000000000005,False,-0.046800792343858144,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.32600000000000007,67608,41,13,1.0,1138.6827999700258,False,0.005728678693962388,10,1.74,73468,121,0,0.0,3039.356618741309,False,-0.04732790886676093,0,1.1360000000000003,78148,0,0,0.0,0.0,False,-0.007177975683813348,0.3333333333333333,370102,0.0,0.0,18,0,0,14,4,4.0,15,29,17,157.0,36.0,12,7,17,1026,1.9901122273877263,58.09298705868423
