,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
0,1,0,17,10.0,0,,0,
1,1,1,9,10.0,0,,83,27.85542168674699
2,1,2,15,10.0,5,1.0,25,12.72
3,1,3,12,10.0,19,7.157894736842105,23,18.217391304347824
4,1,4,6,10.0,3,19.0,17,23.529411764705888
5,1,5,12,10.0,5,21.4,24,9.833333333333334
6,1,6,12,10.0,14,6.071428571428571,49,12.653061224489793
7,1,7,5,10.0,30,10.666666666666666,58,21.810344827586206
8,1,8,9,10.0,9,12.777777777777779,31,23.032258064516128
9,1,9,6,10.0,14,18.0,56,19.178571428571427
10,1,10,14,10.0,2,2.0,20,9.2
11,1,11,12,10.0,19,2.8421052631578947,39,12.615384615384615
12,1,12,11,10.0,0,,56,20.071428571428573
13,1,13,10,10.0,0,,52,18.826923076923077
14,1,14,9,10.0,0,,46,13.58695652173913
15,1,15,12,10.0,0,,77,19.350649350649352
16,1,16,9,10.0,0,,61,26.672131147540984
17,1,17,12,10.0,0,,18,21.83333333333333
18,1,18,13,10.0,0,,17,19.705882352941178
19,1,19,10,10.0,0,,27,18.703703703703702
20,1,20,10,10.0,0,,18,17.333333333333332
21,1,21,9,10.0,0,,15,17.866666666666667
22,1,22,13,10.0,0,,17,13.941176470588234
23,1,23,12,10.0,0,,27,11.74074074074074
24,1,24,12,10.0,0,,11,21.90909090909091
25,1,25,10,10.0,0,,19,22.684210526315788
26,1,26,10,10.0,0,,10,24.2
27,1,27,12,10.0,0,,26,9.153846153846152
28,1,28,10,10.0,0,,1,2.0
29,1,29,13,10.0,0,,14,17.642857142857142
30,1,30,9,10.0,0,,39,20.05128205128205
31,1,31,11,10.0,0,,41,14.707317073170733
32,1,32,10,10.0,0,,18,8.0
33,1,33,12,10.0,0,,19,23.578947368421048
34,1,34,13,10.0,0,,26,18.69230769230769
35,1,35,7,10.0,0,,31,16.93548387096774
36,1,36,6,10.0,0,,27,11.962962962962965
37,1,37,11,10.0,0,,42,14.404761904761903
38,1,38,10,10.0,0,,36,21.194444444444443
39,1,39,10,10.0,0,,17,15.0
40,1,40,11,10.0,0,,16,25.0
41,1,41,11,10.0,0,,5,8.0
42,1,42,6,10.0,0,,15,1.3333333333333333
43,1,43,10,10.0,0,,15,9.533333333333333
44,1,44,7,10.0,0,,5,8.0
45,1,45,10,10.0,0,,16,11.4375
46,1,46,4,10.0,0,,25,25.76
47,1,47,0,,0,,5,19.0
48,1,48,0,,0,,0,
49,1,49,0,,0,,0,
50,2,0,20,10.0,0,,0,
51,2,1,20,10.0,0,,23,22.043478260869566
52,2,2,20,10.0,3,9.0,19,22.36842105263158
53,2,3,20,10.0,0,,19,21.684210526315788
54,2,4,20,10.0,0,,25,22.4
55,2,5,20,10.0,2,9.0,7,23.0
56,2,6,20,10.0,24,24.04166666666667,11,21.0
57,2,7,20,10.0,10,25.0,14,21.142857142857142
58,2,8,20,10.0,86,18.36046511627907,50,20.5
59,2,9,20,10.0,13,23.384615384615387,0,
60,2,10,20,10.0,60,21.2,77,29.42857142857143
61,2,11,20,10.0,35,20.34285714285714,46,30.54347826086957
62,2,12,20,10.0,30,19.2,0,
63,2,13,20,10.0,2,9.0,33,33.93939393939394
64,2,14,20,10.0,4,26.0,1,18.0
65,2,15,20,10.0,4,9.0,4,22.0
66,2,16,20,10.0,12,25.0,0,
67,2,17,20,10.0,0,,27,20.259259259259263
68,2,18,20,10.0,10,26.0,27,21.51851851851852
