index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1164,76de7def-abdb-4313-aac6-d3a17cc23a9a,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,1,58,13,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1165,c5a42383-b441-400c-b9e0-950c1a0c50f4,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,29,10,23,13,-1,13,07Buy@3|04Dec@2,"[quantity: (1, 10), time: (13, 37), unit_price: (1, 43)]",04Dec@2,07Buy@3,p3,07Buy@3,True,3,17,-1,04Dec@2:product(0.3),-1,-1
1166,2459897e-c5a2-4322-b72a-eaf7380648cb,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,1,10,13,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,53,,-1,-1
1167,e2064fbb-37d6-4d42-9074-1e57dbc91ddf,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,3,10,13,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,53,,-1,-1
1168,27954b51-3c26-4a77-90cb-074da5f5ec83,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,1,58,13,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1169,05d3292b-80f7-489c-aa79-019ba75c4ab2,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,16,5,12,13,-1,13,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (13, 16), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1170,a915d8f0-bb80-44fe-b784-6cd4005ad23e,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,14,4,12,13,-1,13,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (13, 14), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1171,aabc19b1-8f0f-425f-9de5-9cf197f9a9cd,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,20,13,63,13,-1,13,04Dec@2|07Buy@3,"[quantity: (1, 13), time: (18, 23), unit_price: (43, 86)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,20,,-1,-1
1172,4e59e549-c93f-46bc-a0dd-8c930b266be4,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,2,10,13,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,53,,-1,-1
1173,5895b708-c9f1-4726-aebb-983c2a2be952,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,3,10,13,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,53,,-1,-1
1174,135e73b2-40b8-4334-ad60-e32d340a5062,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,1,58,13,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1175,819e99e2-41b6-4d03-80e2-5698c84d3a2c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,3,10,13,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,53,,-1,-1
1176,323c8376-c331-4ec7-a7d6-2a38e73f8d0a,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,1,10,13,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,53,,-1,-1
1177,3e7e1e9b-b399-4b51-877a-eb468e4bb15d,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,1,58,13,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1178,53edbdf1-10c9-4635-bcd8-3ddf5650e082,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,14,4,12,13,-1,13,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (13, 14), unit_price: (1, 22)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
