index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,35.0,0,,0,0.2,39513,3,10,1.0,240.0,False,-0.00025225134323840276,0,0.2,39573,0,7,0.7,147.0,False,8.828797013344096e-05,0,0.2,57855.0,0,0,0.0,0.0,False,0.0,0,0.2,57855.0,0,0,0.0,0.0,False,0.0,0,0.2,79534,0,0,0.0,0.0,False,0.0,0,0.2,79534,0,0,0.0,0.0,False,0.0,0.2833333333333333,353864,0.0,0.0,10,0,0,283,0,0.0,841,1124,234,0.0,0.0,0,0,234,200,5.5791630749590695,5.5791630749590695
1,234,0,0,0,10.0,20,10.0,21.0,0,,19.177419354838708,79,15.860759493670885,35.0,0,,0,0.2,39413,3,20,1.0,450.0,False,-0.00012612567161920138,0,0.2,39473,0,17,1.0,357.0,False,0.00021441364175264234,48,0.6800000000000002,55722.0,0,0,0.0,0.0,False,-0.03686803214933886,31,0.51,57155.0,0,0,0.0,0.0,False,-0.012099213551119177,0,0.2,79512,0,10,1.0,350.0,False,0.0019237055850328162,0,0.2,78303,69,0,0.0,1323.241935483871,False,-0.0071589387212771995,0.5,349578,0.0,0.0,12,0,0,53,16,16.0,202,255,104,3390.0,0.0,234,0,104,200,12.92527433502255,18.50443740998162
2,104,0,0,0,10.0,20,10.0,21.0,0,,18.190807799442897,32,14.75,35.0,0,,0,0.2,39323,2,30,1.0,650.0,False,0.00012612567161920138,0,0.2,39363,1,27,1.0,577.0,False,0.00021441364175264234,19,0.8220000000000001,55175.0,0,0,0.0,0.0,False,-0.04632270330999914,13,0.6090000000000002,56978.0,0,0,0.0,0.0,False,-0.015158586120473598,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,0,0.2,77831,101,0,0.0,1837.2715877437327,False,-0.009861998719140595,0.3333333333333333,348182,0.0,0.0,12,0,0,32,9,9.0,54,86,20,959.0,332.0,62,42,20,200,5.637800458003767,24.142237867985386
3,20,0,0,0,10.0,20,10.0,22.559322033898304,14,27.571428571428573,18.424724119810822,23,19.73913043478261,35.0,9,35.0,0,0.2,39599,3,26,1.0,616.542372881356,False,0.006666276175886816,0,0.2,39273,0,37,1.0,834.6949152542372,False,0.0011943459785363941,15,0.9530000000000003,54814.0,4,0,0.0,90.23728813559322,False,-0.05178258328462883,8,0.6760000000000002,56591.0,10,0,0.0,225.59322033898303,False,-0.01989807950618804,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,9,0.29000000000000004,77263,124,0,0.0,2284.665790856542,False,-0.014191001390244713,0.3333333333333333,347052,0.0,0.0,15,0,0,6,12,12.0,34,40,11,243.0,22.0,17,3,11,586,1.9060929370461963,26.048330805031583
4,11,0,0,0,10.0,20,10.0,22.559322033898304,0,,18.0999500052626,15,15.133333333333333,35.0,13,35.0,0,0.2,39569,0,32,0.6,721.8983050847457,False,0.007238330916993486,0,0.2,39103,7,47,1.0,1130.2881355932202,False,0.0006342624876172163,15,1.0880000000000003,54484.0,4,0,0.0,90.23728813559322,False,-0.05748649824444215,0,0.6680000000000001,56591.0,10,0,0.0,225.59322033898303,False,-0.01989807950618804,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,13,0.41100000000000003,76826,139,0,0.0,2515.8930507315013,False,-0.018231869070262346,0.26666666666666666,346085,0.0,0.0,13,0,0,10,12,12.0,21,31,17,137.0,3.0,10,1,17,200,2.087128367042169,28.13545917207375
5,17,0,0,0,10.0,20,10.0,23.664484451718494,8,31.0,18.37846280836442,42,19.285714285714285,35.0,10,35.0,0,0.2,39727,0,33,0.9,780.9279869067103,False,0.011968417966686557,0,0.2,38993,8,57,1.0,1428.875613747954,False,0.0016254523339297028,18,1.2530000000000003,54034.0,4,0,0.0,94.65793780687397,False,-0.06522635953844205,24,0.9080000000000001,55912.0,18,0,0.0,425.9607201309329,False,-0.029902681530283238,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,10,0.4980000000000001,75887,181,0,0.0,3326.5017683139604,False,-0.024942151983340714,0.31666666666666665,344065,0.0,0.0,11,0,0,14,15,15.0,20,34,15,170.0,9.0,14,3,15,448,2.108074560004752,30.243533732078504
6,15,0,0,0,10.0,20,10.0,22.495991033709803,61,21.442622950819672,18.586898172403934,11,21.636363636363637,35.0,9,35.0,0,0.2,40285,2,24,1.0,559.9037848090353,False,0.02325636032602272,0,0.2,39543,6,25,1.0,622.399775842745,False,0.0053275455419966086,6,1.2950000000000004,53578.0,14,0,0.0,314.94387447193725,False,-0.071204356801729,5,0.9340000000000002,54964.0,69,0,0.0,1552.2233813259763,False,-0.03655497898776267,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,9,0.5780000000000001,75536,192,0,0.0,3568.6844491015554,False,-0.027832848535836462,0.3333333333333333,343418,0.0,0.0,17,0,0,13,8,8.0,23,36,17,187.0,6.0,13,2,17,1508,1.7737969929585233,32.01733072503703
7,17,0,0,0,10.0,20,10.0,26.106839617672463,38,36.026315789473685,18.730101212449345,8,21.5,35.0,9,35.0,5,0.25,41160,1,10,1.0,271.0683961767246,False,0.041685397121518565,0,0.2,39712,7,26,1.0,748.777830059484,False,0.011184544939326994,7,1.3590000000000002,52768.0,32,0,0.0,835.4188677655188,False,-0.08070677670239808,1,0.9390000000000003,54327.0,89,0,0.0,2323.5087259728493,False,-0.040899587538044714,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,9,0.6590000000000001,75246,200,0,0.0,3746.020242489869,False,-0.03036424521280286,0.3333333333333333,342725,0.0,0.0,13,0,0,14,10,9.357142857142858,22,36,21,234.0,3.0,16,1,21,995,2.056775970966555,34.07410669600358
8,21,0,0,0,10.0,20,10.0,26.64995119731339,16,31.0,18.308281057448927,22,15.5,35.0,10,35.0,0,0.24500000000000002,41050,2,20,1.0,552.9990239462678,False,0.042466501323641805,0,0.2,40118,6,20,1.0,592.9990239462678,False,0.019461178820299473,14,1.4920000000000004,52420.0,32,0,0.0,852.7984383140284,False,-0.08657161491388793,8,1.0180000000000002,53763.0,105,0,0.0,2798.244875717906,False,-0.04654528670194531,0,0.2,79512,0,10,0.0,350.0,False,0.0019237055850328162,10,0.7500000000000002,74765,222,0,0.0,4064.4383947536617,False,-0.03441019944455409,0.3333333333333333,341628,0.0,0.0,13,0,0,15,11,11.0,22,37,21,199.0,21.0,16,5,21,696,3.2250366910011508,37.29914338700473
9,21,0,0,0,10.000000000000002,20,10.0,26.74749655399845,62,26.951612903225808,18.323898791058486,39,18.384615384615383,34.99999999999999,6,35.0,0,0.24500000000000002,41440,5,12,1.0,370.9699586479814,False,0.050008449898443406,24,0.44000000000000006,40421,3,10,1.0,297.4749655399845,False,0.0233770774858106,15,1.6280000000000003,51708.0,41,0,0.0,1096.6473587139365,False,-0.09677082915293464,24,1.2500000000000002,52003.0,158,0,0.0,4226.104455531755,False,-0.06462618221820284,0,0.2,79512,0,10,0.0,349.99999999999994,False,0.0019237055850328162,6,0.8,73986,261,0,0.0,4782.537584466265,False,-0.039690336306068615,0.3333333333333333,339070,0.0,0.0,13,0,0,16,15,14.235294117647058,25,41,17,247.0,6.0,19,2,17,937,2.0122620679903775,39.31140545499511
