index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,42.0,0,,0,0.2,25848,0,10,1.0,170.0,False,-0.0005780792353938647,0,0.2,25848,10,0,0.0,100.0,False,-0.0019269307846462155,0,0.2,38597,0,0,0.0,0.0,False,0.0,0,0.2,38597.0,0,0,0.0,0.0,False,0.0,0,0.2,56598,0,0,0.0,0.0,False,0.0,0,0.2,56598,0,0,0.0,0.0,False,0.0,0.16666666666666666,242086,0.0,0.0,9,0,0,149,0,0.0,467,616,46,0.0,0.0,0,0,46,200,0.9922763602808118,0.9922763602808118
1,46,0,0,0,10.0,20,10.0,17.0,0,,24.647058823529413,6,7.0,42.0,0,,0,0.2,25738,1,20,1.0,350.0,False,-0.001348851549252351,0,0.2,25758,19,0,0.0,190.0,False,-0.0036611684908278096,0,0.2,38597,0,0,0.0,0.0,False,0.0,6,0.26,38447.0,0,0,0.0,0.0,False,-0.00388631240770008,0,0.2,56556,0,6,0.6,252.0,False,0.001484151383441111,0,0.2,56598,0,0,0.0,0.0,False,0.0,0.26666666666666666,241694,0.0,0.0,11,0,0,33,1,1.0,30,63,32,741.0,17.0,45,1,32,200,2.533045639283955,3.525321999564767
2,32,0,0,0,10.0,20,10.0,14.592592592592593,9,2.5555555555555554,20.770491803278688,9,1.0,42.0,0,,0,0.2,25628,2,30,1.0,457.7777777777778,False,-0.003511296096466375,9,0.29000000000000004,25487,28,0,0.0,280.0,False,-0.012370895637428703,0,0.2,38574,0,9,0.9,186.93442622950818,False,0.0018257173644260609,9,0.3440000000000001,38168.0,0,0,0.0,0.0,False,-0.01111485348602223,0,0.2,56556,0,6,0.0,252.0,False,0.001484151383441111,0,0.2,56589,0,9,0.9,378.0,False,0.003180324393088095,0.4666666666666666,241002,0.0,0.0,10,0,0,22,3,3.0,20,42,25,218.0,35.0,23,9,25,200,2.7441763123497367,6.269498311914504
3,25,0,0,0,10.0,20,10.0,15.730650154798763,16,19.1875,16.294134355915354,21,5.761904761904762,42.0,11,42.0,0,0.2,25808,4,28,1.0,480.45820433436535,False,0.003862690849667969,4,0.32100000000000006,25328,36,0,0.0,360.0,False,-0.016956990904886695,0,0.2,38371,6,11,1.0,273.61937884386145,False,-0.002310809404307736,13,0.4650000000000001,37715.0,0,0,0.0,0.0,False,-0.022851516957276472,0,0.2,56556,0,6,0.0,252.0,False,0.001484151383441111,2,0.22000000000000003,56830,11,10,1.0,599.2354779150689,False,0.009392871461138758,0.5,240608,0.0,0.0,15,0,0,18,5,5.0,18,36,24,160.0,63.0,19,6,24,982,1.567086199298501,7.836584511213005
4,24,0,0,0,10.0,20,10.0,17.36687348260049,16,23.3125,16.294134355915354,0,,42.00000000000001,9,42.0,0,0.2,26043,3,25,1.0,464.17183706501226,False,0.012605438512891405,3,0.34700000000000003,25203,47,0,0.0,470.0,False,-0.0196546940033914,0,0.2,38046,9,21,1.0,498.4786828176268,False,-0.007818241277591143,0,0.45200000000000007,37667.0,3,0,0.0,52.10062044780147,False,-0.023420205968756592,0,0.2,56556,0,6,0.0,252.00000000000006,False,0.001484151383441111,0,0.21800000000000003,57208,1,11,1.0,478.2941343559154,False,0.015003128505918242,0.5,240723,0.0,0.0,15,0,0,16,1,1.0,18,34,22,141.0,64.0,14,10,22,903,1.046271557919681,8.882856069132686
5,22,0,0,0,10.0,20,10.0,18.153288901767606,23,20.434782608695652,13.762367772971457,15,3.066666666666667,42.0,7,42.0,0,0.2,26326,0,21,1.0,381.21906693711975,False,0.021913424289677803,9,0.43400000000000005,25001,60,0,0.0,600.0,False,-0.024934484353322028,0,0.2,37771,10,31,1.0,608.1662899797913,False,-0.013522212996090426,15,0.6020000000000001,36956.0,15,0,0.0,272.2993335265141,False,-0.03898879014526362,0,0.2,56556,0,6,0.0,252.0,False,0.001484151383441111,0,0.21800000000000003,57456,6,14,1.0,670.5742066378288,False,0.021083556014680992,0.5,240066,0.0,0.0,15,0,0,15,4,4.0,13,28,18,155.0,105.0,10,12,18,847,1.1421944601461291,10.025050529278815
6,18,0,0,0,10.0,20,10.0,19.945649532519642,32,24.46875,11.306723922010981,30,5.533333333333333,42.00000000000001,12,42.0,6,0.26,26842,2,10,1.0,219.4564953251964,False,0.038682297196801246,5,0.4750000000000001,24831,68,0,0.0,680.0,False,-0.02994450439340219,0,0.2,37488,17,41,1.0,802.6517228552841,False,-0.018334951902281474,30,0.8870000000000002,35256.0,30,0,0.0,598.3694859755892,False,-0.07880962916838624,0,0.2,56556,0,6,0.0,252.00000000000006,False,0.001484151383441111,0,0.21800000000000003,57794,26,12,1.0,797.9748219722856,False,0.028180985387931397,0.5,238767,0.0,0.0,17,0,0,15,7,6.4,14,29,12,126.0,40.0,11,7,12,1114,1.1997918104752898,11.224842339754105
7,12,0,0,0,10.0,20,10.0,20.41558632069034,20,22.8,16.780540625161397,65,24.4,42.0,12,42.0,6,0.31400000000000006,27074,1,10,1.0,214.1558632069034,False,0.04752111652549149,4,0.51,24645,79,0,0.0,790.0,False,-0.03499306304917527,0,0.2,37480,11,51,1.0,1080.379021410825,False,-0.014944438409580662,65,1.5070000000000001,33110.0,46,0,0.0,939.1169707517557,False,-0.12999563475462142,0,0.2,56556,0,6,0.0,252.0,False,0.001484151383441111,0,0.21800000000000003,56712,81,10,1.0,1779.223790638073,False,0.017732285510425067,0.5,235577,0.0,0.0,16,0,0,14,5,4.375,11,25,10,45.0,28.0,5,7,10,704,0.7476825192570686,11.972524859011173
8,10,0,0,0,10.0,20,10.0,20.70975009020981,4,28.75,19.121709214421465,69,23.869565217391305,42.00000000000001,6,42.0,0,0.30800000000000005,27089,1,16,1.0,341.35600144335694,False,0.05055025438267613,0,0.506,24545,89,0,0.0,890.0,False,-0.03691999383382149,9,0.29000000000000004,38812,1,10,1.0,211.92684223442444,False,0.008315760839371163,9,1.532,32734.0,50,0,0.0,1035.4875045104905,False,-0.1384889045196455,0,0.2,56556,0,6,0.0,252.00000000000006,False,0.001484151383441111,0,0.21800000000000003,55317,140,14,1.0,3265.039290019005,False,0.006210813898185496,0.5,235053,0.0,0.0,13,0,0,14,2,1.15,12,26,13,87.0,26.0,6,4,13,567,0.9250966710969806,12.897621530108154
9,13,0,0,0,10.000000000000002,20,10.0,20.70975009020981,0,,20.139127835403762,84,22.416666666666668,42.000000000000014,8,42.0,0,0.30800000000000005,27009,0,25,0.9,517.7437522552452,False,0.050866034997981396,0,0.506,24425,101,0,0.0,1010.0000000000002,False,-0.03923231077539695,0,0.281,39222,0,1,0.1,20.139127835403762,False,0.01645385817337356,74,2.2630000000000003,30258.0,50,0,0.0,1035.4875045104905,False,-0.2026389679960814,0,0.2,56556,0,6,0.0,252.00000000000009,False,0.001484151383441111,0,0.21800000000000003,53770,214,16,1.0,4981.773356776405,False,-0.005956276221983038,0.3333333333333333,231240,0.0,0.0,14,0,0,12,4,4.0,16,28,22,129.0,34.0,10,3,22,946,1.3380293603986502,14.235650890506804
