index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,31.0,0,,0,0.2,10849,0,9,0.9,144.0,False,-0.0016454886187037207,0,0.2,10829,11,0,0.0,110.0,False,-0.005027881890483591,0,0.2,17334,0,0,0.0,0.0,False,0.0,0,0.2,17334,0,0,0.0,0.0,False,0.0,0,0.2,21416,0,0,0.0,0.0,False,0.0,0,0.2,21416,0,0,0.0,0.0,False,0.0,0.15,99178,0.0,0.0,7,0,0,0,0,0.0,259,259,97,0.0,0.0,0,0,97,200,1.1379719889955595,1.1379719889955595
1,97,0,0,0,10.0,20,10.0,14.7,5,3.0,23.0,0,,31.0,0,,0,0.2,10729,2,19,1.0,299.3,False,-0.005516957674376119,5,0.25,10669,19,0,0.0,190.0,False,-0.015997806015175062,0,0.2,17319,0,5,0.5,115.0,False,0.002451828775816315,0,0.2,17334,0,0,0.0,0.0,False,0.0,0,0.2,21416,0,0,0.0,0.0,False,0.0,0,0.2,21416,0,0,0.0,0.0,False,0.0,0.25,98883,0.0,0.0,7,0,0,46,1,1.0,33,79,60,1125.0,278.0,64,33,60,200,4.403470336983446,5.5414423259790055
2,60,0,0,0,10.0,20,10.0,11.366666666666667,30,6.366666666666666,23.0,0,,31.0,0,,0,0.2,10826,0,9,0.8,102.30000000000001,False,-0.005654081725934762,12,0.36500000000000005,10315,33,0,0.0,330.0,False,-0.041959959776944875,0,0.2,17217,8,15,1.0,435.93333333333334,False,0.005824775970155022,0,0.2,17245,2,10,1.0,252.73333333333335,False,0.0021556863197568347,0,0.2,21416,0,0,0.0,0.0,False,0.0,0,0.2,21416,0,0,0.0,0.0,False,0.0,0.4666666666666666,98435,0.0,0.0,10,0,0,32,2,2.0,26,58,56,245.0,153.0,43,17,56,357,3.967639657028485,9.50908198300749
3,56,0,0,0,10.0,20,10.0,10.90764331210191,11,8.090909090909092,23.0,0,,31.0,20,31.0,1,0.21000000000000002,10802,0,9,0.9,98.1687898089172,False,-0.00803689597728684,1,0.36300000000000004,10190,44,0,0.0,440.0,False,-0.0483590821830149,0,0.2,17217,0,23,0.8,529.0,False,0.00850928810430368,0,0.2,17156,3,20,1.0,492.7229299363057,False,0.003943778987432287,8,0.28,21340,0,0,0.0,0.0,False,-0.0035487485991781845,12,0.32000000000000006,21258,0,0,0.0,0.0,False,-0.007377661561449383,0.45,97963,0.0,0.0,8,0,0,23,10,9.2,22,45,49,338.0,185.0,30,26,49,240,2.2303545079776086,11.7394364909851
4,49,0,0,0,10.0,20,10.0,9.239757645701095,16,1.875,23.0,0,,31.0,20,31.0,0,0.20900000000000002,10722,0,17,0.8,157.07587997691863,False,-0.012657652437292378,16,0.522,9767,56,0,0.0,560.0,False,-0.0815431026602066,0,0.2,17217,0,23,0.0,529.0,False,0.00850928810430368,0,0.2,17126,9,30,1.0,773.1578188113099,False,0.010302233149051362,7,0.342,21274,0,0,0.0,0.0,False,-0.006630556593201345,13,0.43800000000000006,21086,0,0,0.0,0.0,False,-0.015409039970115801,0.3,97192,0.0,0.0,8,0,0,19,10,10.0,19,38,32,256.0,179.0,22,27,32,200,1.5819019360351376,13.321338427020237
5,32,0,0,0,10.0,20,10.0,11.08082141038107,30,15.866666666666667,22.8125,19,22.36842105263158,31.0,20,31.0,0,0.20900000000000002,10878,2,15,1.0,186.21232115571604,False,0.0029350178789521652,18,0.686,9475,64,0,0.0,640.0,False,-0.1045799433220587,0,0.2,17532,0,14,0.0,319.375,False,0.020635023652936426,0,0.2,16760,29,30,1.0,1005.718820901051,False,-0.004104106931433911,12,0.45500000000000007,21114,0,0,0.0,0.0,False,-0.014101606275681734,8,0.5050000000000001,20579,19,0,0.0,433.4375,False,-0.02896345022413149,0.3333333333333333,96338,0.0,0.0,11,0,0,7,10,10.0,17,24,35,121.0,122.0,10,22,35,901,1.2215808290056884,14.542919256025925
6,35,0,0,0,10.0,20,10.0,11.048457127457292,3,10.0,23.003412969283275,1,34.0,31.0,20,31.0,0,0.20900000000000002,10778,2,25,1.0,296.2114281864323,False,-0.0011787444836625575,3,0.6980000000000001,9348,74,0,0.0,740.0,False,-0.11161897796873571,0,0.2,17566,0,13,0.0,299.04436860068256,False,0.022010048707761735,0,0.2,16730,22,40,1.0,1163.2025755753914,False,-0.0012921836974906834,9,0.5330000000000001,21022,0,0,0.0,0.0,False,-0.018397459843107956,11,0.6070000000000001,20411,20,0,0.0,460.0682593856655,False,-0.03618630324557179,0.3333333333333333,95855,0.0,0.0,9,0,0,12,9,9.0,14,26,33,164.0,84.0,12,23,33,234,2.0173040769877844,16.56022333301371
7,33,0,0,0,10.0,20,10.0,11.136777061630367,88,11.227272727272727,24.042258399722897,5,35.0,31.0,20,31.0,17,0.379,11055,0,10,1.0,111.36777061630367,False,0.015694659960522144,46,1.1550000000000002,8222,86,0,0.0,860.0,False,-0.20906847060974496,0,0.2,17741,0,8,0.0,192.33806719778318,False,0.029027866251234182,0,0.2,15742,100,50,1.0,2315.7906261491817,False,-0.02504353795577533,9,0.6140000000000001,20752,0,5,0.5,155.0,False,-0.027386066492342175,11,0.706,20278,20,0,0.0,480.84516799445794,False,-0.041911534180181745,0.4166666666666667,93790,0.0,0.0,10,0,0,9,12,11.521739130434783,17,26,16,123.0,109.0,11,22,16,697,1.1230261889868416,17.68324952200055
8,16,0,0,0,10.0,20,10.0,10.890066714809546,4,1.0,26.569324014731894,17,34.294117647058826,31.0,20,31.0,0,0.36200000000000004,10945,1,20,1.0,227.80133429619093,False,0.010960843509287386,4,1.1490000000000002,8060,95,0,0.0,950.0,False,-0.21976414663131913,0,0.2,17984,0,1,0.0,26.569324014731894,False,0.03826495107922956,0,0.2,16078,94,50,1.0,2352.1324719286918,False,-0.004611385948751208,5,0.655,20352,5,10,1.0,442.84662007365944,False,-0.039343326950092024,10,0.7950000000000002,20095,22,0,0.0,584.5251283241016,False,-0.04803592808358,0.5,93514,0.0,0.0,13,0,0,3,7,7.0,16,19,12,75.0,45.0,5,11,12,938,0.6825006760191172,18.36575019801967
9,12,0,0,0,10.000000000000002,20,10.0,11.416812983868992,17,16.0,25.373251416936245,6,13.0,31.0,20,31.0,0,0.36200000000000004,11137,0,12,0.9,137.0017558064279,False,0.024362453414682708,0,1.1450000000000002,7940,107,0,0.0,1070.0000000000002,False,-0.22524910869366488,0,0.2,17984,0,1,0.0,25.373251416936245,False,0.03823045031201508,0,0.2,15884,101,54,1.0,2523.2536878853252,False,-0.010867264108534442,0,0.6500000000000001,20569,0,8,0.5,248.0,False,-0.033759805752708254,13,0.9150000000000003,19843,28,0,0.0,710.4510396742148,False,-0.05686283527096069,0.39999999999999997,93357,0.0,0.0,11,0,0,7,4,4.0,12,19,12,60.0,50.0,5,7,12,767,0.8230676549719647,19.188817852991633
