index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.0,9,10.0,27.92365623544109,24,26.166666666666668,17.22108232164839,45,13.622222222222222,36.0,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.2,57835,8,31,1.0,945.6333432986738,False,0.027957700215953882,26,2.323000000000001,70213,14,0,0.0,390.93118729617527,False,-0.11169960897216719,19,2.1810000000000005,71284.0,73,0,0.0,2038.4269051871995,False,-0.08779473830342915,2,0.24700000000000003,92936,81,10,1.0,1754.9076680535195,False,0.02027704307851919,8,0.8830000000000002,85084,280,0,0.0,4821.903050061549,False,-0.04844042322340891,0.3333333333333333,434334,0.0,0.0,14,0,0,18,15,15.0,17,35,15,173.0,35.0,12,3,15,1078,2.620535507972818,56.6444359520101
11,15,0,0,0,10.0,9,10.0,32.0124538416909,39,40.666666666666664,16.31411115911735,35,9.17142857142857,35.99999999999999,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,8,0.28,59099,7,10,1.0,390.124538416909,False,0.04534505604894852,35,2.6470000000000007,67826,31,0,0.0,992.3860690924179,False,-0.1380208292177058,0,2.1620000000000004,70514.0,95,0,0.0,3041.1831149606355,False,-0.0911837758638399,1,0.255,93104,97,10,1.0,1942.4687824343828,False,0.023124062156382262,9,0.9650000000000001,84833,289,0,0.0,4714.778124984914,False,-0.0517527209377758,0.3333333333333333,432358,0.0,0.0,13,0,0,14,13,12.470588235294118,21,35,16,204.0,14.0,14,1,16,1220,1.748514086008072,58.39295003801817
12,16,0,0,0,10.0,8,10.0,32.0124538416909,0,,16.70092014238938,64,18.390625,36.0,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.272,59019,5,20,1.0,690.249076833818,False,0.04658024291133791,28,2.892000000000001,66763,31,0,0.0,992.3860690924179,False,-0.15143204770828136,36,2.5220000000000007,69333.0,95,0,0.0,3041.1831149606355,False,-0.10608372792157247,1,0.264,93281,112,10,1.0,2230.5030559476104,False,0.026615314228254795,9,1.0460000000000003,83718,328,0,0.0,5477.901806703716,False,-0.05972929663887747,0.3333333333333333,429096,0.0,0.0,9,0,0,17,18,17.25,23,40,12,238.0,0.0,16,0,12,332,1.8773653579992242,60.270315396017395
13,12,0,0,0,10.0,10,10.0,29.962323072800896,46,25.08695652173913,16.151951205238998,51,12.823529411764707,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,26,0.532,59111,5,10,1.0,349.62323072800893,False,0.04519959831042642,25,3.114000000000001,65724,31,0,0.0,928.8320152568277,False,-0.16494138417364668,26,2.7460000000000004,67458.0,141,0,0.0,4224.6875532649265,False,-0.12227367746672474,0,0.263,93413,127,10,1.0,2411.2978030653526,False,0.029034017787389538,10,1.1370000000000002,83146,354,0,0.0,5717.790726654605,False,-0.06464566919349525,0.3333333333333333,425834,0.0,0.0,10,0,0,18,18,17.153846153846153,18,36,12,176.0,0.0,12,0,12,775,1.766294060042128,62.03660945605952
14,12,0,0,0,9.999999999999998,11,10.0,30.305172364653355,10,35.1,15.859621888505158,23,11.73913043478261,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.506,59352,6,10,1.0,363.05172364653356,False,0.04956676178243485,10,3.189000000000001,65412,31,0,0.0,939.460343304254,False,-0.1688106511108459,13,2.8500000000000005,66860.0,151,0,0.0,4576.081027062657,False,-0.1276016185116281,1,0.273,93542,138,10,1.0,2548.6278206137117,False,0.03118374218650397,9,1.217,82978,356,0,0.0,5646.025392307836,False,-0.06686301432148342,0.3333333333333333,425126,0.0,0.0,12,0,0,19,10,9.25,14,33,13,184.0,0.0,12,0,13,713,1.6002457279828377,63.63685518404236
15,13,0,0,0,10.0,14,10.0,28.257789322128055,16,11.0,15.706160938221752,41,14.536585365853659,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,6,0.5660000000000001,59214,10,10,1.0,382.57789322128053,False,0.047305964997895744,14,3.3190000000000004,64983,31,0,0.0,875.9914689859697,False,-0.1746234546883376,27,3.107000000000001,65843.0,167,0,0.0,4719.050816795385,False,-0.13953060220032687,1,0.28200000000000003,93577,157,10,1.0,2825.867267300815,False,0.03307195982175343,9,1.2980000000000003,82580,368,0,0.0,5779.867225265604,False,-0.07046369604201462,0.3333333333333333,423179,0.0,0.0,10,0,0,20,18,16.625,15,35,13,171.0,15.0,12,1,13,392,1.63275915797567,65.26961434201803
16,13,0,0,0,10.0,10,10.0,28.439440216194598,44,29.0,15.530360212332704,47,14.340425531914894,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,34,0.9000000000000001,58912,10,10,1.0,384.394402161946,False,0.04199776455486354,27,3.5750000000000006,63823,31,0,0.0,881.6226467020325,False,-0.18922294008035356,20,3.2800000000000007,64207.0,211,0,0.0,6000.72188561706,False,-0.15208598139324603,2,0.30100000000000005,93859,164,10,1.0,2906.9790748225637,False,0.03657994689894705,8,1.3690000000000002,81871,398,0,0.0,6181.083364508417,False,-0.07599276031001748,0.3333333333333333,419654,0.0,0.0,14,0,0,20,18,17.285714285714285,16,36,13,189.0,0.0,13,0,13,460,1.6248815840226598,66.89449592604069
17,13,0,0,0,10.0,12,10.0,28.439440216194598,0,,15.505670439915708,20,15.1,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.8660000000000001,58792,12,20,1.0,688.788804323892,False,0.042565396180704956,18,3.728,63272,31,0,0.0,881.6226467020325,False,-0.1961745688558071,2,3.2800000000000007,64183.0,211,0,0.0,6000.72188561706,False,-0.15238877466114237,3,0.32900000000000007,94188,160,10,1.0,2840.907270386513,False,0.03979873228847798,7,1.431,81494,412,0,0.0,6388.336221245271,False,-0.07896586030709815,0.3333333333333333,418911,0.0,0.0,14,0,0,18,12,12.0,20,38,12,187.0,0.0,13,0,12,480,1.564553179021459,68.45904910506215
18,12,0,0,0,10.0,8,10.0,28.439440216194598,0,,15.694755238631503,24,18.166666666666668,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.8660000000000001,58712,10,30,1.0,953.1832064858379,False,0.04348562468253792,13,3.8400000000000007,62916,31,0,0.0,881.6226467020325,False,-0.20066600232960288,11,3.3880000000000003,64044.0,211,0,0.0,6000.72188561706,False,-0.1541424523377087,1,0.336,94541,150,10,1.0,2714.2132857947254,False,0.04294888082412378,9,1.5140000000000002,80941,436,0,0.0,6842.913284043335,False,-0.08250816602658352,0.3333333333333333,418136,0.0,0.0,9,0,0,19,11,10.333333333333334,13,32,15,179.0,16.0,11,1,15,368,1.7590615870431066,70.21811069210526
19,15,0,0,0,10.0,9,10.0,27.82739648093737,23,23.52173913043478,15.71197078842965,39,15.846153846153847,36.00000000000001,20,36.0,0,0.2,56982,0,0,0.0,0.0,False,0.0045837593878918234,0,0.8660000000000003,59163,9,17,1.0,563.0657401759353,False,0.047997829238883835,12,3.9470000000000014,62570,31,0,0.0,862.6492909090584,False,-0.20515095953351506,27,3.6470000000000007,62737.0,234,0,0.0,6511.610776539344,False,-0.16740928328493263,0,0.3350000000000001,94521,167,12,1.0,3055.8991216677514,False,0.044589387169342534,12,1.6250000000000002,80437,448,0,0.0,7038.962913216483,False,-0.0869233873494194,0.3333333333333333,416410,0.0,0.0,12,0,0,21,14,14.0,16,37,10,235.0,0.0,15,0,10,919,1.7716850350261666,71.98979572713142
