index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
0,"05MyA@2, 03Ran@1 agreed on {'quantity': 5, 'time': 2, 'unit_price': 4} [id 84f8c8cc-0f13-4a0d-aeb4-c942e0a828e6]",84f8c8cc-0f13-4a0d-aeb4-c942e0a828e6,product,1.0,41758fbe-402b-40e8-9a8f-356a31152630,03Ran@1,str,['05MyA@2'],-1,False
1,"04Ind@2, 03Ran@1 agreed on {'quantity': 1, 'time': 2, 'unit_price': 5} [id 3defe15b-9154-404e-946d-400ef75c638f]",3defe15b-9154-404e-946d-400ef75c638f,product,1.0,4b792070-86b4-43a0-b10a-7804bf61a320,03Ran@1,str,['04Ind@2'],-1,False
2,"04Ind@2, 03Ran@1 agreed on {'quantity': 3, 'time': 2, 'unit_price': 23} [id 675e37f5-ae42-4f86-a0bd-f61876ca6e46]",675e37f5-ae42-4f86-a0bd-f61876ca6e46,product,1.0,dd2a2e82-f680-46fd-b62c-678bc5a834b0,03Ran@1,str,['04Ind@2'],-1,False
3,"05MyA@2, 03Ran@1 agreed on {'quantity': 4, 'time': 2, 'unit_price': 4} [id 6732b3bc-7eed-4885-9b08-bfe197ce5107]",6732b3bc-7eed-4885-9b08-bfe197ce5107,product,1.0,59bce093-6581-4f7c-93a0-a0ec2cf77d57,03Ran@1,str,['05MyA@2'],-1,False
4,"02Dec@1, 01Ran@0 agreed on {'quantity': 1, 'time': 3, 'unit_price': 5} [id 2515de91-f21a-4a25-ab72-bfc3f9e774bf]",2515de91-f21a-4a25-ab72-bfc3f9e774bf,product,1.0,30ebc74c-add3-44ea-b2a9-09ffd38b81c2,01Ran@0,str,['02Dec@1'],-1,False
5,"07Dec@3, 04Ind@2 agreed on {'quantity': 8, 'time': 3, 'unit_price': 20} [id bdc9be78-0f05-44bb-b4be-fd06eb143e43]",bdc9be78-0f05-44bb-b4be-fd06eb143e43,product,0.5,7bbf8f6c-6f3f-42b0-82de-fa930534c5c9,04Ind@2,str,['07Dec@3'],-1,False
6,"02Dec@1, 01Ran@0 agreed on {'quantity': 1, 'time': 4, 'unit_price': 1} [id 9047a556-82db-47dc-9059-6615b3d5dc0d]",9047a556-82db-47dc-9059-6615b3d5dc0d,product,1.0,b9936578-c5ed-4c57-9eca-ec993ade47fc,01Ran@0,str,['02Dec@1'],-1,False
7,"04Ind@2, 03Ran@1 agreed on {'quantity': 5, 'time': 4, 'unit_price': 1} [id d6b101b6-298e-4715-82a6-bc546a3cac44]",d6b101b6-298e-4715-82a6-bc546a3cac44,product,1.0,6cb965e5-6be0-43ec-a8ea-3a1cb32a8713,03Ran@1,str,['04Ind@2'],-1,False
8,"06Dec@3, 04Ind@2 agreed on {'quantity': 8, 'time': 4, 'unit_price': 20} [id 8edc3d38-e8bf-4770-99f7-dac54894472b]",8edc3d38-e8bf-4770-99f7-dac54894472b,product,1.0,725b787c-7c36-44e8-b131-86cc45ca85de,04Ind@2,str,['06Dec@3'],-1,False
9,"BUYER, 06Dec@3 agreed on {'time': 4, 'quantity': 3, 'unit_price': 49} [id b2ad310f-f3d9-4ad1-9fab-6b0fc1b12992]",b2ad310f-f3d9-4ad1-9fab-6b0fc1b12992,product,1.0,b7ac01de-e27c-4a68-b405-9844461d0907,06Dec@3,str,['BUYER'],-1,False
10,"BUYER, 06Dec@3 agreed on {'time': 4, 'quantity': 3, 'unit_price': 49} [id 9bbeb76e-8654-418d-bd1a-cd394c917fcb]",9bbeb76e-8654-418d-bd1a-cd394c917fcb,product,1.0,ae563d0b-9c76-4081-97f8-300e88ec75e8,06Dec@3,str,['BUYER'],-1,False
