index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
14,37,0,0,0,10.0,13,10.0,17.307777878372626,25,19.48,32.40536178348504,23,32.739130434782616,24.0,20,24.0,15,0.7460000000000002,27556,6,10,1.0,233.07777878372627,False,0.032364815869869966,0,0.2,26735,0,7,0.0,121.15444514860837,False,-0.00035153058853550534,0,0.2,42531,9,58,1.0,2035.280984347486,False,0.027066354382532045,8,0.28,43115,0,9,0.9,291.64825605136537,False,0.020278392680023686,10,1.1550000000000002,49253,95,0,0.0,3078.509369431079,False,-0.05471125800797404,0,1.298,52020,4,10,1.0,369.62144713394014,False,-0.028422341927213452,0.65,241210,0.0,0.0,11,0,0,12,7,5.714285714285714,13,25,31,158.0,132.0,11,26,31,550,3.409227385011036,83.27025533292908
15,31,0,0,0,10.0,10,10.0,17.438264420642763,10,19.0,32.17516059925148,11,29.90909090909091,24.0,15,24.0,0,0.7310000000000001,27646,6,10,1.0,234.38264420642764,False,0.03574673837355775,0,0.2,26735,0,7,0.0,122.06785094449934,False,-0.00033449261435368797,0,0.2,42631,9,58,1.0,2023.1036945423705,False,0.029281192596193124,0,0.272,43154,0,8,0.0,257.4012847940118,False,0.02079433603917381,8,1.225,49151,96,0,0.0,3088.8154175281416,False,-0.05651366580875328,0,1.298,51898,4,13,1.0,440.70064239700594,False,-0.030031446415571712,0.5,241215,0.0,0.0,9,0,0,9,3,3.0,15,24,26,135.0,104.0,10,21,26,787,3.7595941449981183,87.0298494779272
16,26,0,0,0,10.0,11,10.0,17.394747302269717,23,17.17391304347826,30.47761408157442,34,25.11764705882353,24.0,20,24.0,13,0.861,27698,7,10,1.0,243.94747302269718,False,0.03786508996498217,0,0.2,26735,0,7,0.0,121.76323111588802,False,-0.0003401747600095387,0,0.2,43161,8,41,1.0,1388.7401557627088,False,0.03430037211106698,0,0.272,43083,4,11,1.0,404.8327441063975,False,0.020858384756331255,10,1.317,48549,119,0,0.0,3626.836075707356,False,-0.062710897828972,0,1.2980000000000003,51798,5,13,1.0,464.3880704078721,False,-0.0316721127967703,0.6666666666666666,241024,0.0,0.0,15,0,0,10,6,5.888888888888889,10,20,24,101.0,57.0,7,19,24,1384,3.6934273799997754,90.72327685792698
17,24,0,0,0,10.0,12,10.0,17.633777289281433,22,19.0,29.045558121388275,26,22.03846153846154,24.0,20,24.0,12,0.9680000000000002,27804,9,10,1.0,266.3377728928143,False,0.04223722762344371,0,0.2,26735,0,7,0.0,123.43644102497004,False,-0.0003089639801348797,0,0.2,43495,9,26,1.0,913.8885067596281,False,0.03657801121152364,0,0.272,42904,5,20,1.0,669.0800488741727,False,0.019752836594351147,9,1.3970000000000002,48182,132,0,0.0,3834.013672023252,False,-0.06761321305717957,0,1.298,51782,8,12,1.0,520.3644649711061,False,-0.031449001852051794,0.6666666666666666,240902,0.0,0.0,14,0,0,11,5,4.090909090909091,10,21,24,100.0,66.0,7,17,24,957,2.9799634530209005,93.70324031094788
18,24,0,0,0,10.0,10,10.0,17.9185942455387,23,19.565217391304348,30.356232116240623,26,37.30769230769231,24.0,20,24.0,13,1.086,27946,9,10,1.0,269.185942455387,False,0.04758787432298795,0,0.2,26735,0,7,0.0,125.4301597187709,False,-0.00027177467415084476,0,0.2,44015,22,10,1.0,697.7713945642577,False,0.046293382167451956,0,0.272,42904,0,25,0.5,758.9058029060155,False,0.0208120775796091,11,1.498,47106,158,0,0.0,4796.284674366018,False,-0.07868416702927473,0,1.298,51998,0,11,0.8,264.0,False,-0.029814635598898236,0.5499999999999999,240704,0.0,0.0,10,0,0,4,5,5.0,16,20,28,100.0,73.0,7,17,28,1476,3.1167155010043643,96.81995581195224
19,28,0,0,0,10.0,9,10.0,18.095014809962127,13,20.0,30.430611124294767,14,31.214285714285715,24.0,20,24.0,3,1.1030000000000002,28068,8,10,1.0,260.9501480996213,False,0.05198563977055808,0,0.2,26735,0,7,0.0,126.66510366973489,False,-0.00024873897277118617,0,0.2,44162,12,16,1.0,704.0299557082618,False,0.049834083579494134,0,0.272,42934,3,25,1.0,815.0503225372556,False,0.02218167404704196,14,1.6270000000000002,46831,161,0,0.0,4899.328391011458,False,-0.08284329272117681,0,1.298,51822,1,15,1.0,390.4306111242948,False,-0.03191365842399044,0.6666666666666666,240552,0.0,0.0,9,0,0,11,6,5.230769230769231,12,23,31,130.0,88.0,9,19,31,671,3.241605465998873,100.06156127795111
20,31,0,0,0,10.0,10,10.0,18.32809108778364,33,19.303030303030305,31.20470750560574,17,37.8235294117647,24.0,20,24.0,19,1.2900000000000003,28171,8,10,1.0,263.2809108778364,False,0.05587168272482444,0,0.2,26811,0,3,0.0,54.98427326335092,False,0.0012494734800102194,0,0.2,44069,11,24,1.0,950.5219821001579,False,0.050547416123442275,0,0.272,43033,17,20,1.0,935.6716986044366,False,0.02593891298087821,10,1.713,46100,178,0,0.0,5554.437935997822,False,-0.0903517649073381,0,1.298,52062,0,6,0.1,144.0,False,-0.029740192064319215,0.5166666666666667,240246,0.0,0.0,13,0,0,13,6,6.0,14,27,35,205.0,65.0,14,17,35,1249,3.6210261409869418,103.68258741893806
21,35,0,0,0,10.0,11,10.0,18.537159649870958,22,20.0,31.8714627236434,50,33.81999999999999,24.0,11,24.0,12,1.3910000000000002,28309,9,10,1.0,275.37159649870955,False,0.06124550637005607,0,0.2,26811,0,3,0.0,55.611478949612874,False,0.0012611728959077268,1,0.21000000000000002,44574,12,10,1.0,541.1605430348854,False,0.0576302509732658,5,0.322,43635,18,10,1.0,652.3835009341112,False,0.036796107414142507,11,1.8130000000000002,44305,228,0,0.0,7266.693500990696,False,-0.10782500650459048,0,1.298,52062,0,6,0.0,144.0,False,-0.029740192064319215,0.5,239696,0.0,0.0,7,0,0,13,8,5.585026737967914,15,28,39,217.0,93.0,14,21,39,1030,3.704466914990917,107.38705433392897
22,39,0,0,0,10.0,9,10.0,18.537159649870958,0,,29.94069482888609,54,23.62962962962963,24.0,11,24.0,0,1.3790000000000002,28219,8,20,1.0,450.74319299741916,False,0.061159171665685866,0,0.2,26811,0,3,0.0,55.611478949612874,False,0.0012611728959077268,0,0.20900000000000002,44604,2,19,1.0,605.9475210485776,False,0.059101760819893205,43,0.7470000000000001,43597,8,10,1.0,447.7042254878286,False,0.03348628835980086,11,1.9120000000000001,44207,228,0,0.0,6826.478420986029,False,-0.11374526891809329,0,1.298,50786,44,16,1.0,1701.390572470988,False,-0.03899547222817882,0.6666666666666666,238224,0.0,0.0,5,0,0,13,6,5.4375,13,26,42,172.0,88.0,13,26,42,150,3.643897633999586,111.03095196792856
23,42,0,0,0,9.999999999999998,10,10.0,18.693887158354176,19,20.0,30.069831882599,3,39.0,24.0,13,24.0,0,1.3790000000000002,28499,8,11,1.0,285.63275874189594,False,0.06852514006233712,0,0.2,26811,0,3,0.0,56.08166147506253,False,0.001269943321676285,0,0.20900000000000002,44721,0,18,0.2,541.256973886782,False,0.06109828746829998,0,0.7040000000000002,43217,17,20,1.0,919.192719344001,False,0.03008411027268232,13,2.0310000000000006,43955,231,0,0.0,6946.131164880369,False,-0.11732178994937498,0,1.298,50786,34,26,1.0,1646.374284008366,False,-0.039507423099750874,0.5333333333333333,237989,0.0,0.0,7,0,0,15,5,5.0,16,31,41,264.0,93.0,16,26,41,597,3.715823665028438,114.746775632957
