index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.0,8,10.0,17.51172343795961,47,14.829787234042554,20.420017690119845,129,21.224806201550386,26.999999999999996,20,27.0,2,0.22000000000000003,32021,10,10,1.0,275.1172343795961,False,0.021587681222078194,0,0.2,31770,0,1,0.0,17.51172343795961,False,0.00952240737377232,0,0.2,47531,18,30,1.0,927.8115525868684,False,-0.008369715365838188,129,3.722000000000001,38613.0,76,0,0.0,1330.8909812849304,False,-0.18846187002804823,0,0.45200000000000007,56567,196,19,1.0,4515.32346726349,False,-0.035518982577236916,12,0.5900000000000001,59799,62,10,1.0,1536.0410967874304,False,-0.0069515084456113685,0.6666666666666666,266301,0.0,0.0,7,0,0,13,7,6.117647058823529,7,20,17,147.0,19.0,9,6,17,874,1.2877596002072096,57.40217458549887
11,17,0,0,0,10.0,7,10.0,18.431064120751877,33,21.575757575757574,20.545898256151425,136,20.823529411764707,26.999999999999996,20,27.0,22,0.43800000000000006,32180,7,10,1.0,254.31064120751876,False,0.02630818388779061,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,47132,27,40,1.0,1319.4746615063577,False,-0.01256741052162848,136,4.953000000000001,31440.0,90,0,0.0,1658.795770867669,False,-0.3332769031935158,0,0.45200000000000007,55539,245,19,1.0,5546.7450727570995,False,-0.04391840539786938,0,0.5780000000000001,58535,129,10,1.0,2920.4208750435337,False,-0.016326827933272652,0.6666666666666666,256618,0.0,0.0,10,0,0,12,6,5.894736842105264,8,20,14,129.0,42.0,8,9,14,808,1.4194173058494925,58.82159189134836
12,14,0,0,0,10.0,8,10.0,18.611715227401756,7,22.0,20.568708145383347,139,20.633093525179856,27.000000000000004,20,27.0,0,0.41600000000000004,32254,5,13,1.0,291.9522979562228,False,0.02925684262454691,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,47132,17,50,1.0,1344.8345661349972,False,-0.012305428035795422,139,6.207000000000002,23960.0,97,0,0.0,1805.3363770579704,False,-0.4863085085014673,0,0.45200000000000007,54283,313,19,1.0,6951.005649504988,False,-0.052999576580930026,0,0.5780000000000001,57463,180,10,1.0,3972.3674661690025,False,-0.025279406255275354,0.6666666666666666,246884,0.0,0.0,9,0,0,8,4,4.0,7,15,17,93.0,39.0,6,8,17,774,1.4505678340792656,60.27215972542763
13,17,0,0,0,10.0,9,10.0,18.57969826095146,50,18.5,20.335274800800498,154,19.61038961038961,27.000000000000004,20,27.0,37,0.786,32180,4,10,1.0,225.7969826095146,False,0.02585528419914092,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46581,40,60,1.0,1963.3044184860883,False,-0.017300574189193264,154,7.608000000000002,13546.0,114,0,0.0,2118.0856017484666,False,-0.6982429173373093,0,0.45200000000000007,53061,379,19,1.0,8220.06914950339,False,-0.06263162475198475,0,0.5780000000000001,56205,248,10,1.0,5313.148150598524,False,-0.034913772928804834,0.6666666666666666,233365,0.0,0.0,10,0,0,13,9,8.375,7,20,21,129.0,57.0,8,9,21,806,1.609964412637055,61.88212413806468
14,21,0,0,0,10.0,11,10.0,18.08802546955586,25,15.0,20.219707196999877,8,12.0,27.0,20,27.0,15,0.8990000000000002,32175,5,10,1.0,230.8802546955586,False,0.025777188835343495,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46302,55,62,1.0,2248.4632470395645,False,-0.02011918133223596,0,7.454000000000003,13546.0,114,0,0.0,2062.034903529368,False,-0.6988219534759363,0,0.45200000000000007,53439,369,15,1.0,7866.071955692954,False,-0.05933603354845014,0,0.5780000000000001,56271,246,14,1.0,5352.04797046197,False,-0.033512748024610475,0.6666666666666666,233525,0.0,0.0,10,0,0,11,1,0.6,10,21,16,165.0,48.0,10,11,16,746,1.5367525722831488,63.41887671034783
15,16,0,0,0,10.0,9,10.0,18.291756859537344,9,22.0,19.81745474049039,28,12.357142857142858,27.000000000000004,20,27.0,0,0.8840000000000001,32283,4,11,1.0,241.20932545491078,False,0.029372110382396375,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46236,54,62,1.0,2216.4370643254206,False,-0.021813666690853075,18,7.634000000000002,13170.0,114,0,0.0,2085.2602819872573,False,-0.7063506169216193,0,0.45200000000000007,53532,375,14,1.0,7809.545527683897,False,-0.05827461815936867,0,0.5780000000000001,56372,248,15,1.0,5319.728775641617,False,-0.032121716518489454,0.6666666666666666,233385,0.0,0.0,12,0,0,14,4,4.0,5,19,8,126.0,27.0,7,9,8,960,1.151855818927288,64.57073252927512
16,8,0,0,0,10.0,11,10.0,18.515774959015282,10,22.0,20.098674646940434,15,29.333333333333332,27.000000000000004,20,27.0,0,0.8840000000000001,32393,5,11,1.0,253.6735245491681,False,0.033064479884195266,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46652,44,59,1.0,2000.5159023661581,False,-0.015449215884647165,2,7.636000000000002,12922.0,124,0,0.0,2295.956094917895,False,-0.7092979742260548,0,0.45200000000000007,53359,378,15,1.0,8002.299016543484,False,-0.05953092245951461,0,0.5780000000000001,56645,240,14,1.0,5201.681915265704,False,-0.02861338627612507,0.6666666666666666,233763,0.0,0.0,11,0,0,11,1,1.0,3,14,10,54.0,15.0,3,5,10,1286,0.9564742892980576,65.52720681857318
17,10,0,0,0,10.0,10,10.0,18.17563434903341,38,16.842105263157894,20.84727900985907,26,34.0,27.000000000000004,20,27.0,27,1.1540000000000004,32447,5,10,1.0,231.75634349033407,False,0.03443178537263469,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46896,72,43,1.0,2205.078670554345,False,-0.008294641833116288,0,7.634000000000001,12922.0,124,0,0.0,2253.7786592801426,False,-0.7097336915363621,0,0.45200000000000007,53133,381,17,1.0,8401.813302756305,False,-0.059961196711348384,0,0.5780000000000001,56527,243,12,1.0,5389.888799395753,False,-0.02900519093476294,0.6666666666666666,233717,0.0,0.0,10,0,0,11,1,0.9642857142857143,4,15,12,54.0,21.0,3,7,12,1744,2.2077435925602913,67.73495041113347
18,12,0,0,0,10.0,13,10.0,18.41028171319241,11,22.0,20.552061335528073,15,12.0,27.000000000000007,20,27.0,1,1.1370000000000005,32541,8,10,1.0,264.1028171319241,False,0.03793168171053602,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46654,73,53,1.0,2433.209815846034,False,-0.010937915125557557,15,7.784000000000002,12649.0,124,0,0.0,2282.874932435859,False,-0.7150736060698775,0,0.45200000000000007,53346,378,16,1.0,8200.679184829612,False,-0.058117761761328615,0,0.5780000000000001,56674,241,13,1.0,5304.046781862266,False,-0.027298726190238962,0.6666666666666666,233656,0.0,0.0,10,0,0,11,3,2.090909090909091,5,16,13,90.0,51.0,5,7,13,670,1.2743556378409266,69.0093060489744
19,13,0,0,0,10.0,10,10.0,18.142893049100838,36,16.944444444444443,20.552061335528073,0,,27.000000000000007,20,27.0,26,1.3960000000000001,32583,8,10,1.0,261.4289304910084,False,0.039223433566679455,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46044,99,63,1.0,3090.9262759992516,False,-0.016746629380172972,0,7.769000000000001,12649.0,124,0,0.0,2249.718738088504,False,-0.7154161287387552,0,0.45200000000000007,53562,368,18,1.0,8049.1585714743305,False,-0.05581841114693703,0,0.5780000000000001,56998,231,11,1.0,5044.5261685069845,False,-0.02411399904488379,0.6666666666666666,233628,0.0,0.0,9,0,0,9,1,1.0,7,16,19,93.0,37.0,6,7,19,860,1.340766854584217,70.35007290355861
20,19,0,0,0,10.0,7,10.0,18.142893049100838,0,,21.195369548676922,101,23.77227722772277,27.000000000000007,20,27.0,0,1.37,32513,5,20,1.0,412.85786098201675,False,0.039404966183519456,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46553,89,58,1.0,2844.048915193236,False,-0.00878048641329296,86,8.629000000000001,10333.0,124,0,0.0,2249.718738088504,False,-0.7632673684081767,0,0.45200000000000007,52500,406,22,1.0,9199.32003676283,False,-0.06380187210602523,3,0.6080000000000001,56103,274,10,1.0,6077.531256337476,False,-0.030319790982788645,0.6666666666666666,229794,0.0,0.0,9,0,0,13,3,2.6,7,20,22,129.0,50.0,8,11,22,984,1.4420483345165849,71.7921212380752
21,22,0,0,0,10.0,9,10.0,18.173774225607062,49,18.285714285714285,20.87292614831746,136,19.794117647058822,27.00000000000001,20,27.0,29,1.6600000000000001,32745,4,10,1.0,221.73774225607062,False,0.04373928241456316,0,0.2,31792,0,0,0.0,0.0,False,0.009943136694304138,0,0.2,46009,112,68,1.0,3454.821691353578,False,-0.013710519717421772,136,9.903000000000002,2227.0,140,0,0.0,2544.328391584989,False,-0.9277032190951964,0,0.45200000000000007,51521,454,21,1.0,10043.308471336128,False,-0.072934461876866,0,0.6050000000000001,54930,342,11,1.0,7435.540742724572,False,-0.03841926888619168,0.6666666666666666,219224,0.0,0.0,11,0,0,14,7,6.428571428571429,9,23,18,170.0,45.0,12,10,18,982,1.7328414423391223,73.52496268041432
