index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,12,0,0,0,10.000000000000002,20,10.0,24.657654462317524,12,28.0,14.938678511284852,51,12.823529411764707,35.00000000000001,20,35.0,0,0.2,36942,6,41,1.0,1070.9638329550185,False,0.026330428208936104,0,0.2,37958,3,12,1.0,325.8918535478103,False,0.043951854715026495,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,51,2.7620000000000005,38792.0,150,0,0.0,3698.6481693476285,False,-0.23065679618608617,0,0.24500000000000002,73535,42,14,1.0,1117.424497473964,False,0.01793856471859342,0,0.2,73477,65,11,1.0,1356.0141032335155,False,0.018780665104368325,0.6666666666666666,313738,0.0,0.0,19,0,0,13,5,5.0,13,26,12,114.0,13.0,8,4,12,1236,1.6042325230082497,37.5666055890033
11,12,0,0,0,10.000000000000002,20,10.0,24.736517040881246,8,26.0,14.938678511284852,0,,35.00000000000001,20,35.0,0,0.2,37090,2,43,1.0,1083.6702327578935,False,0.03055743006843434,0,0.2,37818,7,22,1.0,614.2033748993874,False,0.044065661284086226,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,0,2.7110000000000007,38584.0,158,0,0.0,3908.369692459237,False,-0.23260922942812973,0,0.24500000000000002,73990,32,11,1.0,863.0377123611154,False,0.022442145081339716,0,0.2,73722,55,14,1.0,1311.627318120667,False,0.021841699992585853,0.6666666666666666,314238,0.0,0.0,18,0,0,14,0,0.0,14,28,15,114.0,27.0,8,4,15,1108,1.4784775049774908,39.04508309398079
12,15,0,0,0,10.000000000000002,20,10.0,24.84807015270454,11,26.09090909090909,14.8842031240973,13,14.0,35.00000000000001,20,35.0,0,0.2,36970,4,53,1.0,1356.9477180933407,False,0.031013086292219116,0,0.2,38025,5,21,1.0,571.8094732067954,False,0.04915392530954648,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,13,2.841000000000001,38089.0,169,0,0.0,4199.323855807067,False,-0.23922572354705,0,0.24500000000000002,74088,35,13,1.0,975.9471093434056,False,0.02456412533208356,0,0.2,74142,45,12,1.0,1089.7891405843786,False,0.02608801684745002,0.6666666666666666,314348,0.0,0.0,23,0,0,14,1,1.0,14,28,16,147.0,63.0,9,6,16,1187,1.8535715730395168,40.89865466702031
13,16,0,0,0,10.000000000000002,20,10.0,24.84807015270454,0,,14.657867809707556,42,13.571428571428571,35.00000000000001,20,35.0,0,0.2,36850,6,63,1.0,1625.428419620386,False,0.03140306194025058,0,0.2,37945,3,31,1.0,800.2901747338408,False,0.050091606073143925,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,42,3.2480000000000007,36575.0,169,0,0.0,4199.323855807067,False,-0.2678858530287446,0,0.24500000000000002,74186,48,11,1.0,1088.5776548659628,False,0.02668419007848786,0,0.2,74174,54,14,1.0,1281.5248617242082,False,0.027844733072238576,0.6666666666666666,312764,0.0,0.0,20,0,0,16,4,4.0,16,32,16,168.0,30.0,11,5,16,900,1.922345854982268,42.82100052200258
14,16,0,0,0,10.000000000000002,20,10.0,25.238620569780092,17,28.0,14.60036307073618,21,14.0,35.0,20,35.0,0,0.2,36730,8,73,1.0,1922.4193015939468,False,0.03218341688018886,0,0.2,38341,1,24,1.0,615.7268936747222,False,0.058409011031804244,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,21,3.416000000000001,35620.0,186,0,0.0,4694.383425979097,False,-0.28127831535627246,0,0.24500000000000002,74382,49,11,1.0,1100.4177904660728,False,0.029458274650121418,0,0.2,74384,54,14,1.0,1278.4196058197535,False,0.03070849319819023,0.6666666666666666,312491,0.0,0.0,22,0,0,15,2,2.0,14,29,15,129.0,52.0,8,8,15,1376,1.5939495980273932,44.41495012002997
15,15,0,0,0,10.000000000000002,20,10.0,25.807699416256984,43,27.441860465116278,14.573824222389716,10,14.0,35.0,20,35.0,0,0.2,36922,10,71,1.0,1932.3466585542458,False,0.037577317594400375,7,0.27,38975,0,9,0.9,232.26929474631285,False,0.07052072098184778,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,10,3.495000000000001,34280.0,229,0,0.0,5909.963166322849,False,-0.2951391060621394,3,0.275,74602,49,10,1.0,1064.117386897096,False,0.032231393821076926,0,0.2,74594,44,18,1.0,1271.2482657851474,False,0.033544322318137164,0.65,312407,0.0,0.0,22,0,0,17,4,3.5384615384615383,13,30,17,135.0,45.0,10,5,17,1611,3.6024526840192266,48.0174028040492
16,17,0,0,0,10.000000000000002,20,10.0,26.029171043336177,28,27.214285714285715,14.541885720173779,12,14.0,35.0,20,35.0,0,0.2,37584,10,53,1.0,1479.5460652968175,False,0.04950632688816981,0,0.263,38875,0,19,1.0,494.55424982338735,False,0.07137356569481028,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,12,3.605000000000001,33326.0,257,0,0.0,6689.496958137397,False,-0.30582007952393325,3,0.30200000000000005,74927,39,10,1.0,917.1335430867774,False,0.03568674467691647,0,0.2,74671,46,21,1.0,1403.9267431279939,False,0.03551359250925969,0.6666666666666666,312417,0.0,0.0,22,0,0,19,3,2.25,14,33,16,186.0,45.0,12,5,16,1452,1.8422262819949538,49.85962908604415
17,16,0,0,0,10.000000000000002,20,10.0,26.029171043336177,0,,14.409065511046618,19,13.052631578947368,35.0,20,35.0,0,0.2,37454,13,63,1.0,1769.8377757301791,False,0.049921100007259536,0,0.263,38805,0,26,0.7,676.7584471267406,False,0.07195145206384526,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,19,3.783000000000001,32894.0,257,0,0.0,6689.496958137397,False,-0.3139978707630958,1,0.30900000000000005,75270,29,10,1.0,767.8628998203519,False,0.03937368041311995,0,0.2,74738,55,22,1.0,1562.4986031075641,False,0.03752334590253581,0.6166666666666667,312195,0.0,0.0,18,0,0,13,3,2.5,17,30,16,165.0,32.0,10,6,16,830,1.6832593189901672,51.54288840503432
18,16,0,0,0,10.000000000000002,20,10.0,26.177227386998535,13,28.0,14.261166713210118,32,13.375,35.0,20,35.0,0,0.2,37374,11,73,1.0,2020.937599250893,False,0.051168495991495325,0,0.263,39049,2,23,1.0,622.0762299009663,False,0.07788471122112178,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,32,4.084000000000001,31568.0,270,0,0.0,7067.851394489604,False,-0.33551800822994726,2,0.32800000000000007,75296,41,10,1.0,934.7078352416148,False,0.04087698408557474,0,0.2,74898,55,24,1.0,1624.3641692265564,False,0.04014648135150404,0.6666666666666666,311219,0.0,0.0,20,0,0,11,5,4.25,17,28,20,108.0,57.0,6,10,20,1089,1.3228983020526357,52.865786707086954
19,20,0,0,0,10.000000000000002,20,10.0,26.15022024009187,28,26.0,14.248810299064056,10,14.0,35.00000000000001,20,35.0,0,0.2,37674,10,68,1.0,1878.214976326247,False,0.05742982495791218,0,0.263,39277,3,20,1.0,553.0044048018374,False,0.08318277473986516,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,10,4.152000000000001,30680.0,298,0,0.0,7792.765631547377,False,-0.3454665729797129,0,0.32600000000000007,75576,31,12,1.0,861.7131192709858,False,0.04422235203104206,0,0.2,75178,55,22,1.0,1553.6845664485231,False,0.04350775242106206,0.6666666666666666,311419,0.0,0.0,24,0,0,14,1,1.0,15,29,19,165.0,60.0,10,10,19,1628,1.5348201709566638,54.40060687804362
