index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,40.0,0,,0,0.2,40834,9,0,0.0,90.0,False,-0.001099599257159613,0,0.2,40814,11,0,0.0,110.0,False,-0.001343954647639527,0,0.2,53082,0,0,0.0,0.0,False,0.0,0,0.2,53082,0,0,0.0,0.0,False,0.0,0,0.2,83413,0,0,0.0,0.0,False,0.0,0,0.2,83413,0,0,0.0,0.0,False,0.0,0.0,354638,0.0,0.0,13,0,0,0,0,0.0,902,902,108,0.0,0.0,0,0,108,200,2.9162720423191786,2.9162720423191786
1,108,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,27.0,0,,40.0,0,,0,0.2,40724,20,0,0.0,200.0,False,-0.00244355390479914,2,0.22000000000000003,40696,20,0,0.0,200.0,False,-0.003127748998142899,0,0.2,53082,0,0,0.0,0.0,False,0.0,0,0.2,53060,0,2,0.2,54.0,False,9.419388870050111e-05,0,0.2,83413,0,0,0.0,0.0,False,0.0,0,0.2,83413,0,0,0.0,0.0,False,0.0,0.03333333333333333,354388,0.0,0.0,11,0,0,11,1,1.0,34,45,23,360.0,459.0,20,88,23,200,4.04007141571492,6.956343458034098
2,23,0,0,0,10.0,20,10.0,19.385093167701864,6,11.0,27.0,0,,40.0,0,,4,0.24000000000000002,40533,33,0,0.0,330.0,False,-0.005522431824846056,2,0.23800000000000002,40597,27,0,0.0,270.0,False,-0.0046916234972143485,0,0.2,53060,0,2,0.2,54.0,False,9.419388870050111e-05,0,0.2,53016,0,6,0.4,162.0,False,0.00028258166610150334,0,0.2,83413,0,0,0.0,0.0,False,0.0,0,0.2,83413,0,0,0.0,0.0,False,0.0,0.10000000000000002,354032,0.0,0.0,11,0,0,11,5,5.0,25,36,15,180.0,114.0,10,13,15,200,1.1351818526163697,8.091525310650468
3,15,0,0,0,10.0,20,10.0,19.196536991230044,1,11.0,27.282608695652176,1,40.0,40.0,20,40.0,1,0.24600000000000002,40399,45,0,0.0,450.0,False,-0.007330661714397419,0,0.23600000000000002,40517,35,0,0.0,350.0,False,-0.005669045059134004,0,0.2,53049,0,3,0.1,81.84782608695653,False,0.00014927683665799787,0,0.2,53056,0,5,0.0,136.41304347826087,False,0.0007951192822261449,11,0.31000000000000005,83235,0,0,0.0,0.0,False,-0.0021339599343028065,9,0.29000000000000004,83243,1,0,0.0,27.282608695652176,False,-0.0018745123140538743,0.016666666666666666,353499,0.0,0.0,13,0,0,10,11,11.0,21,31,15,111.0,39.0,7,8,15,240,1.118425847031176,9.209951157681644
4,15,0,0,0,10.0,20,10.0,18.996733539721625,1,11.0,29.7568093385214,10,40.0,40.0,20,40.0,0,0.24500000000000002,40269,58,0,0.0,580.0,False,-0.00891897175251686,1,0.24600000000000002,40433,42,0,0.0,420.0,False,-0.006866386472485583,7,0.27,53199,0,1,0.1,29.7568093385214,False,0.002484427954283183,0,0.2,53056,0,5,0.0,148.784046692607,False,0.000911646572214815,10,0.399,82875,0,5,0.5,200.0,False,-0.005250980063059715,10,0.38100000000000006,82881,6,0,0.0,178.54085603112838,False,-0.005307680721043969,0.09999999999999999,352713,0.0,0.0,10,0,0,9,15,14.4,20,29,12,111.0,54.0,7,8,12,200,1.3525764858350158,10.56252764351666
5,12,0,0,0,10.0,20,10.0,18.78585310925168,1,11.0,30.755950058525166,5,40.0,40.0,20,40.0,0,0.24500000000000002,40189,66,0,0.0,660.0,False,-0.009896393314436517,1,0.255,40299,54,0,0.0,540.0,False,-0.008674616362036947,4,0.30300000000000005,53260,0,1,0.1,30.755950058525166,False,0.003643004691406874,0,0.2,53056,0,5,0.0,153.77975029262583,False,0.0009587030471028407,6,0.44900000000000007,82811,0,5,0.5,200.0,False,-0.006018246556292185,9,0.4610000000000001,82749,6,0,0.0,184.53570035115098,False,-0.006854233151000771,0.09999999999999999,352364,0.0,0.0,12,0,0,12,8,7.8,19,31,11,96.0,30.0,7,5,11,400,1.4039655346423388,11.966493178158998
6,11,0,0,0,10.0,20,10.0,18.354845727612705,2,11.0,32.491805322977164,10,40.5,40.0,20,40.0,1,0.255,40085,75,0,0.0,750.0,False,-0.011338090118268009,1,0.264,40175,65,0,0.0,650.0,False,-0.010360668556348353,9,0.389,53325,0,2,0.2,64.98361064595433,False,0.005189928889698534,0,0.2,53056,0,5,0.0,162.45902661488583,False,0.0010404565258928448,4,0.48300000000000004,82566,0,10,1.0,400.0,False,-0.007756584705021999,11,0.562,82559,6,0,0.0,194.95083193786297,False,-0.00906962444740109,0.19999999999999998,351766,0.0,0.0,13,0,0,10,13,12.466666666666667,16,26,15,75.0,33.0,5,6,15,360,1.2305918568745255,13.197085035033524
7,15,0,0,0,10.0,20,10.0,18.135401376910163,1,11.0,33.258024949298104,5,41.0,40.0,20,40.0,1,0.264,39971,85,0,0.0,850.0,False,-0.01290196461733946,0,0.263,40075,75,0,0.0,750.0,False,-0.011582445508747923,3,0.41000000000000003,53423,0,1,0.1,33.258024949298104,False,0.006737293479421498,0,0.2,53056,0,5,0.0,166.2901247464905,False,0.0010765431289937325,2,0.49900000000000005,82948,0,0,0.0,0.0,False,-0.005574670614892163,8,0.6310000000000001,82246,11,0,0.0,365.83827444227916,False,-0.011797691760023793,0.016666666666666666,351719,0.0,0.0,19,0,0,9,8,7.6,23,32,17,111.0,54.0,7,8,17,600,1.1525776041671634,14.349662639200687
8,17,0,0,0,10.0,20,10.0,17.90643982494229,1,11.0,33.96224367611001,5,41.0,40.0,20,40.0,1,0.273,39877,93,0,0.0,930.0,False,-0.014221483725930994,0,0.263,39955,87,0,0.0,870.0,False,-0.013048577851627406,4,0.44700000000000006,53489,0,1,0.1,33.96224367611001,False,0.007987286120305498,0,0.2,53056,0,5,0.0,169.81121838055006,False,0.0011097096791807927,11,0.6070000000000001,82561,0,5,0.5,200.0,False,-0.009015381295481519,9,0.7130000000000001,82106,11,0,0.0,373.5846804372101,False,-0.0134296531689473,0.09999999999999999,351044,0.0,0.0,13,0,0,10,15,14.8,21,31,16,114.0,72.0,8,9,16,200,1.1726343976333737,15.522297036834061
9,16,0,0,0,10.000000000000002,20,10.0,17.66867838841944,1,11.0,34.42466339301486,5,39.0,40.0,20,40.0,1,0.28200000000000003,39763,103,0,0.0,1030.0000000000002,False,-0.015785358225002443,0,0.263,39855,97,0,0.0,970.0000000000002,False,-0.014270354804026978,0,0.44300000000000006,53478,0,2,0.1,68.84932678602972,False,0.008108674567518483,0,0.2,53251,0,0,0.0,0.0,False,0.0031837534380769377,1,0.6060000000000001,82558,0,5,0.5,200.0,False,-0.009051346912351791,14,0.8440000000000001,81820,11,0,0.0,378.67129732316346,False,-0.016827884758232155,0.09999999999999999,350725,0.0,0.0,16,0,0,13,12,11.333333333333332,18,31,14,129.0,69.0,8,8,14,515,1.0460603134706616,16.568357350304723
