index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,20,10.0,18.710814081259628,69,17.971014492753625,24.1580647732981,60,28.166666666666668,34.0,10,34.0,0,0.506,26903,13,20,1.0,504.21628162519255,False,0.06265587151962893,69,2.6990000000000007,18159.0,97,0,0.0,970.0000000000002,False,-0.2704077639508492,19,0.39,34494,68,10,1.0,1513.9160052586358,False,-0.023383903514910133,0,0.2,32343,146,80,1.0,4664.424037727754,False,-0.03933475498368527,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.6950000000000001,46346,66,10,1.0,1934.4322750376746,False,-0.022312810995002645,0.6666666666666666,206638,0.0,0.0,12,0,0,17,6,5.345454545454546,11,28,19,255.0,62.0,15,16,19,745,1.3689374281093478,19.148015641607344
11,19,0,0,0,10.000000000000002,20,10.0,18.864479528985402,37,20.054054054054053,25.49177868563026,10,41.0,34.0,10,34.0,0,0.506,27320,14,13,1.0,385.2382338768102,False,0.07664628304525334,20,2.8300000000000005,17654.0,106,0,0.0,1060.0000000000002,False,-0.288408859669719,0,0.37100000000000005,34644,63,15,1.0,1570.8388906105342,False,-0.018439688452548286,0,0.2,31861,168,85,1.0,5336.03374914812,False,-0.043385042954036314,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.6950000000000002,46276,66,10,1.0,2022.457393251597,False,-0.02284981925845068,0.6666666666666666,206148,0.0,0.0,13,0,0,12,4,4.0,13,25,23,135.0,56.0,10,9,23,1477,1.252229812555015,20.40024545416236
12,23,0,0,0,10.000000000000002,20,10.0,18.446403858280544,15,10.333333333333334,25.188649242813927,66,24.666666666666668,34.0,13,34.0,0,0.506,27240,12,23,1.0,544.2672887404525,False,0.0766272851361911,15,2.960000000000001,17254.0,118,0,0.0,1180.0000000000002,False,-0.30171401737497067,40,0.7710000000000001,34849,53,10,1.0,1229.5458969170081,False,-0.017487936044922926,0,0.2,31849,173,84,1.0,5307.0744038789035,False,-0.04411865349939191,0,0.2,48393,0,0,0.0,0.0,False,0.0,3,0.7250000000000001,44967,122,10,1.0,3413.015207623299,False,-0.03553184130325351,0.6666666666666666,204552,0.0,0.0,12,0,0,15,5,4.4772727272727275,11,26,27,162.0,57.0,14,9,27,649,1.5615663276985288,21.961811781860888
13,27,0,0,0,10.000000000000002,20,10.0,19.408018634357457,37,26.56756756756757,25.632939398931395,5,40.0,34.0,12,34.0,9,0.5960000000000001,27882,9,10,1.0,284.0801863435746,False,0.09665962640572077,5,2.9950000000000006,17059.0,131,0,0.0,1310.0000000000002,False,-0.3068012835563904,0,0.7310000000000001,33866,80,20,1.0,2065.3002787272244,False,-0.03314447598383118,0,0.2,32049,163,89,1.0,5444.83864390516,False,-0.03666936356967511,0,0.2,48393,0,0,0.0,0.0,False,0.0,2,0.7420000000000002,45093,117,10,1.0,3339.053909674973,False,-0.033692332468797444,0.6666666666666666,204342,0.0,0.0,12,0,0,10,3,2.0625,15,25,28,216.0,75.0,12,15,28,1136,1.2999166809022427,23.26172846276313
14,28,0,0,0,10.000000000000002,20,10.0,18.965388385338397,15,10.666666666666666,25.632939398931395,0,,34.0,10,34.0,0,0.5870000000000002,27732,14,20,1.0,519.307767706768,False,0.09539226281026005,15,3.1400000000000006,16734.0,136,0,0.0,1360.0000000000002,False,-0.31854112859043593,0,0.7310000000000001,33866,70,30,1.0,2096.5653689416295,False,-0.03271138150794243,0,0.2,31889,168,99,1.0,5723.846249231059,False,-0.03723720391700977,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,45433,107,10,1.0,3082.7245156856593,False,-0.02931493691561108,0.6666666666666666,204047,0.0,0.0,10,0,0,18,3,3.0,11,29,29,210.0,55.0,15,13,29,540,1.2394687794148922,24.501197242178023
15,29,0,0,0,10.000000000000002,20,10.0,18.487116922058448,38,15.131578947368421,24.843464591041947,10,13.0,34.0,7,34.0,0,0.5870000000000002,27632,14,30,1.0,694.6135076617534,False,0.09490908483332844,38,3.505000000000001,15787.0,146,0,0.0,1460.0000000000002,False,-0.35364326524223216,0,0.7310000000000001,33996,60,30,1.0,1854.5309530547652,False,-0.03246251623417693,0,0.2,31314,196,109,1.0,6331.412557147029,False,-0.044751176656780224,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,45541,107,13,1.0,3100.2507112414883,False,-0.02690212725764584,0.6666666666666666,202663,0.0,0.0,10,0,0,11,5,5.0,14,25,31,135.0,94.0,10,19,31,568,1.3557695541530848,25.856966796331108
16,31,0,0,0,10.000000000000002,20,10.0,20.612233646704823,66,29.439393939393938,27.11701268885704,22,42.0,34.0,14,34.0,31,0.897,28410,14,10,1.0,346.1223364670483,False,0.11853569571235524,5,3.5170000000000012,15622.0,156,0,0.0,1560.0000000000002,False,-0.3581435391719496,0,0.7310000000000001,33037,81,40,1.0,2754.271432937372,False,-0.04656778732598185,0,0.2,31254,221,97,1.0,7185.653866740899,False,-0.03458022071282859,0,0.2,48393,0,0,0.0,0.0,False,0.0,1,0.7500000000000002,45052,119,10,1.0,3566.924509973988,False,-0.032185186804145303,0.6666666666666666,201768,0.0,0.0,16,0,0,11,5,3.4871794871794872,17,28,32,234.0,129.0,13,18,32,2084,1.1858994159847498,27.042866212315857
17,32,0,0,0,10.000000000000002,20,10.0,19.41989750738411,81,14.91358024691358,27.11701268885704,0,,34.0,10,34.0,19,1.056,28468,13,10,1.0,324.1989750738411,False,0.1203764376433013,52,4.032000000000001,14303.0,167,0,0.0,1670.0000000000002,False,-0.40760741958206154,0,0.7310000000000001,32219,130,50,1.0,3880.4373104027864,False,-0.053630179936240606,0,0.2,30864,233,107,1.0,7426.356476928201,False,-0.042050748345640744,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,45392,109,10,1.0,3295.7543830854174,False,-0.027961126783983097,0.6666666666666666,199639,0.0,0.0,10,0,0,8,5,4.411764705882353,21,29,36,243.0,160.0,15,17,36,540,1.437764560803771,28.48063077311963
18,36,0,0,0,10.000000000000002,20,10.0,19.044851918104456,15,10.333333333333334,27.56655119095961,5,41.0,34.0,10,34.0,0,1.0370000000000001,28338,16,20,1.0,540.8970383620891,False,0.11952917426551794,15,4.130000000000001,13953.0,174,0,0.0,1740.0000000000002,False,-0.41993425686780933,0,0.7310000000000001,32114,130,60,1.0,4129.823820811156,False,-0.05308458483431004,0,0.2,31019,228,112,1.0,7429.679970715293,False,-0.037710486622589044,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,45527,104,10,1.0,3206.9213238597995,False,-0.026089296759244082,0.6666666666666666,199344,0.0,0.0,13,0,0,15,3,3.0,16,31,27,284.0,119.0,18,18,27,745,1.566583912819624,30.047214685939252
19,27,0,0,0,10.000000000000002,20,10.0,18.90866566832449,5,10.0,27.047479822239758,45,25.444444444444443,34.0,8,34.0,0,1.0370000000000001,28258,14,30,1.0,707.2599700497346,False,0.11965367398547659,5,4.165000000000001,13763.0,186,0,0.0,1860.0000000000002,False,-0.4250215230492291,0,0.7310000000000001,33209,125,25,1.0,3039.770204096555,False,-0.03784776002082626,0,0.2,31019,218,122,1.0,7421.881654007989,False,-0.03781851151117903,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,44654,139,12,1.0,4167.5996952913265,False,-0.034203297013087365,0.6666666666666666,199296,0.0,0.0,11,0,0,14,1,1.0,13,27,17,222.0,55.0,14,13,17,1617,1.2332778135314584,31.28049249947071
