index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,19,10.0,16.0,0,,27.0,0,,32.0,0,,0,0.2,53928,0,7,0.7,112.0,False,-0.00025926886180969663,0,0.2,53878,2,10,1.0,180.0,False,-0.00055557613244935,0,0.2,83697.0,0,0,0.0,0.0,False,0.0,0,0.2,83697.0,0,0,0.0,0.0,False,0.0,0,0.2,105490,0,0,0.0,0.0,False,0.0,0,0.2,105490,0,0,0.0,0.0,False,0.0,0.2833333333333333,486180,0.0,0.0,9,0,0,307,0,0.0,958,1265,302,0.0,0.0,0,0,302,190,9.566343441023491,9.566343441023491
1,302,0,0,0,10.0,11,10.0,16.0,0,,17.076923076923077,46,7.369565217391305,32.0,0,,0,0.2,53898,0,10,0.3,160.0,False,-0.00037038408829956663,0,0.2,53798,0,20,1.0,320.0,False,-0.0007407681765991333,27,0.4700000000000001,82482.0,0,0,0.0,0.0,False,-0.014516649342270333,19,0.39,83188.0,0,0,0.0,0.0,False,-0.0060814605063502876,0,0.2,105490,0,0,0.0,0.0,False,0.0,0,0.2,105151,46,0,0.0,785.5384615384615,False,0.0005097092688333883,0.21666666666666667,484007,0.0,0.0,6,0,0,70,13,13.0,249,319,142,4772.0,0.0,302,0,142,110,36.84660860901931,46.412952050042804
2,142,0,0,0,10.0,11,10.0,16.0,0,,12.756359525155455,95,9.03157894736842,32.0,0,,0,0.2,53898,0,10,0.0,160.0,False,-0.00037038408829956663,0,0.2,53688,1,30,1.0,490.0,False,-0.0012037482869735915,43,0.8730000000000002,80192.0,0,0,0.0,0.0,False,-0.04187724769107615,52,0.891,80745.0,0,0,0.0,0.0,False,-0.035270081364923475,0,0.2,105013,27,10,1.0,664.4217071791973,False,-0.0013725390692046942,0,0.2,104770,104,0,0.0,1326.6613906161674,False,-0.0005372007270064454,0.3333333333333333,478306,0.0,0.0,4,0,0,41,14,14.0,53,94,18,1207.0,198.0,76,66,18,110,13.270254208997358,59.68320625904016
3,18,0,0,0,10.0,18,10.0,16.0,0,,12.327460862584184,65,11.276923076923078,32.0,20,32.0,0,0.2,53808,0,19,0.9,304.0,False,-0.0007037297677691766,0,0.2,53598,0,40,1.0,640.0,False,-0.0014815363531982665,13,0.9600000000000002,79743.0,0,0,0.0,0.0,False,-0.047241836624968635,52,1.3590000000000002,78304.0,0,0,0.0,0.0,False,-0.06443480650441473,1,0.21000000000000002,105075,35,10,1.0,751.4611301904465,False,-0.00037225741686208665,9,0.29000000000000004,104182,151,0,0.0,1861.4465902502118,False,-0.003576421507961833,0.48333333333333334,474710,0.0,0.0,12,0,0,17,14,13.166666666666666,16,33,18,231.0,25.0,15,3,18,340,3.06364891002886,62.74685516906902
4,18,0,0,0,10.0,13,10.0,16.0,0,,11.343513599099259,54,7.666666666666667,32.0,20,32.0,0,0.2,53808,0,19,0.0,304.0,False,-0.0007037297677691766,0,0.2,53468,3,50,1.0,830.0,False,-0.0021297085077225083,36,1.3070000000000002,78012.0,0,0,0.0,0.0,False,-0.067923581490376,18,1.4870000000000003,77863.0,0,0,0.0,0.0,False,-0.06970381256197952,0,0.20900000000000002,105341,30,11,1.0,692.3054079729777,False,0.0018689231584651496,11,0.39100000000000007,103645,200,0,0.0,2268.7027198198516,False,-0.006736644611717469,0.3333333333333333,472137,0.0,0.0,10,0,0,18,16,16.0,17,35,22,199.0,36.0,14,4,22,418,2.4215129230287857,65.16836809209781
5,22,0,0,0,10.0,13,10.0,16.26086956521739,1,28.0,11.498246215619059,69,12.014492753623188,32.0,20,32.0,0,0.2,53836,0,18,0.0,292.695652173913,False,-0.0002898658082343849,0,0.2,53338,6,60,1.0,1035.6521739130435,False,-0.0026329477581295575,19,1.4610000000000003,77371.0,1,0,0.0,16.26086956521739,False,-0.07548501816334387,50,1.9690000000000003,75607.0,0,0,0.0,0.0,False,-0.09665818368639258,0,0.20900000000000002,105373,50,10,1.0,894.9123107809529,False,0.0031325827603609696,9,0.4700000000000001,103033,239,0,0.0,2748.080845532955,False,-0.010265992769300559,0.3333333333333333,468558,0.0,0.0,11,0,0,16,11,11.0,19,35,19,247.0,33.0,16,6,19,510,2.512068349053152,67.68043644115096
6,19,0,0,0,10.0,9,10.0,19.080691642651296,28,23.25,11.276238611809235,68,10.397058823529411,32.0,20,32.0,0,0.2,54004,0,11,0.0,209.88760806916426,False,0.0020545909854917757,0,0.2,53731,5,49,1.0,984.9538904899135,False,0.00417565363985619,22,1.6620000000000004,76504.0,1,0,0.0,19.080691642651296,False,-0.08582696696630314,46,2.3790000000000004,72978.0,28,0,0.0,534.2593659942363,False,-0.12487747848791324,0,0.20900000000000002,105479,50,12,1.0,947.8119305904618,False,0.004388150206609417,12,0.5810000000000001,102312,297,0,0.0,3349.042867707343,False,-0.014252332601633565,0.3333333333333333,465008,0.0,0.0,11,0,0,19,14,14.0,17,36,15,252.0,20.0,17,2,15,997,2.343876603001263,70.02431304415222
7,15,0,0,0,10.0,12,10.0,19.879938822329848,16,23.0,10.948886833221602,71,9.549295774647888,32.0,20,32.0,0,0.2,54050,0,9,0.0,178.91944940096863,False,0.0026197215582148565,0,0.2,53933,7,45,1.0,964.5972470048432,False,0.0077280385107304315,33,1.9700000000000002,75040.0,1,0,0.0,19.879938822329848,False,-0.10331385868775268,38,2.713000000000001,71191.0,44,0,0.0,874.7173081825133,False,-0.14419443165117923,1,0.21900000000000003,105535,72,10,1.0,1108.3198519919554,False,0.005679779372414226,7,0.639,101890,336,0,0.0,3678.8259759624584,False,-0.016689610503543232,0.3333333333333333,461639,0.0,0.0,13,0,0,15,13,13.0,18,33,13,202.0,3.0,14,1,13,872,4.589962179015856,74.61427522316808
8,13,0,0,0,10.0,11,10.0,17.669916717448707,18,9.0,10.462081575821772,50,7.18,32.0,20,32.0,0,0.2,54050,0,9,0.0,159.02925045703836,False,0.002435546228166218,0,0.2,53985,8,37,1.0,733.7869185456021,False,0.0065538253133968615,30,2.2370000000000005,73696.0,1,0,0.0,17.669916717448707,False,-0.11938498442765301,20,2.875000000000001,70536.0,62,0,0.0,1095.5348364818199,False,-0.1507011312443587,0,0.21800000000000003,105624,80,13,1.0,1252.9665260657416,False,0.007209055484243764,13,0.7620000000000002,101487,368,0,0.0,3850.046019902412,False,-0.019698331501078664,0.3333333333333333,459378,0.0,0.0,11,0,0,17,11,11.0,16,33,14,202.0,0.0,13,0,14,496,2.71694612497231,77.33122134814039
9,14,0,0,0,10.0,10,10.0,19.591902928561097,35,23.97142857142857,9.713464224265186,53,4.7924528301886795,32.0,20,32.0,0,0.2,54050,0,9,0.0,176.32712635704988,False,0.0025957176780348305,0,0.2,54724,8,12,1.0,315.10283514273317,False,0.016362669313148056,44,2.6470000000000007,71317.0,1,0,0.0,19.591902928561097,False,-0.14779746046495948,9,2.9450000000000007,69544.0,97,0,0.0,1900.4145840704264,False,-0.157745112823217,0,0.21800000000000003,105795,86,13,1.0,1251.357923286806,False,0.00882243778219164,10,0.8490000000000002,101259,405,0,0.0,3933.9530108274002,False,-0.021461972647514503,0.3333333333333333,456689,0.0,0.0,10,0,0,19,12,12.0,13,32,11,223.0,0.0,14,0,11,1259,2.5222491080057807,79.85347045614617
