index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,15.951345188000236,35,14.114285714285714,19.80973679289405,79,24.050632911392405,36.0,9,36.0,0,0.40700000000000003,31191,0,10,0.7,159.51345188000235,False,0.03813680120642726,28,1.1280000000000001,26451,127,0,0.0,1270.0000000000002,False,-0.10079012017794303,67,2.4720000000000004,43044,15,0,0.0,239.27017782000354,False,-0.1298706791736887,0,0.2,47491,101,73,1.0,3057.1966498692896,False,-0.011821184434652132,0,0.35300000000000004,56746,177,11,1.0,3902.3234123422467,False,-0.007034633563325796,0,0.2,59081,0,8,0.0,288.0,False,0.0018946762979378479,0.45,264004,0.0,0.0,13,0,0,12,4,4.0,13,25,22,119.0,72.0,9,14,22,1380,1.3413284289999865,25.843226862954907
11,22,0,0,0,10.000000000000002,20,10.0,16.273450090758015,56,17.178571428571427,19.36633722989119,14,13.0,35.99999999999999,11,36.0,11,0.5170000000000001,31456,0,8,0.8,130.18760072606412,False,0.04644757321436268,35,1.4500000000000002,25443,139,0,0.0,1390.0000000000002,False,-0.132262133988447,9,2.4950000000000006,42735,18,0,0.0,292.9221016336443,False,-0.13555898377581707,0,0.2,46687,144,78,1.0,3853.951117000667,False,-0.019998073650358085,0,0.35300000000000004,56960,181,10,1.0,3865.3070386103054,False,-0.0037275469134513024,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.4666666666666666,262362,0.0,0.0,14,0,0,15,6,6.0,17,32,16,163.0,51.0,15,7,16,1041,1.3501215989817865,27.193348461936694
12,16,0,0,0,10.000000000000002,20,10.0,17.3772826549676,16,30.625,21.746637891475906,34,35.294117647058826,35.99999999999999,10,36.0,3,0.536,31734,0,9,0.9,156.3955438947084,False,0.05611173799705711,5,1.4650000000000003,25263,150,0,0.0,1500.0000000000002,False,-0.13641192483898812,10,2.5860000000000007,42045,29,0,0.0,503.9411969940604,False,-0.14734164015447673,0,0.2,47717,139,64,1.0,3807.2271140949547,False,0.00029459253008667994,0,0.35300000000000004,56120,205,10,1.0,4818.06076775256,False,-0.00987886955701322,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.48333333333333334,261960,0.0,0.0,13,0,0,8,3,2.2727272727272725,15,23,14,47.0,24.0,8,8,14,1640,1.021914298995398,28.21526276093209
13,14,0,0,0,10.000000000000002,20,10.0,18.146518927523097,34,22.38235294117647,19.479320922813443,36,6.583333333333333,35.99999999999999,12,36.0,25,0.7830000000000001,31795,0,10,1.0,181.46518927523095,False,0.058552971072226775,0,1.4600000000000004,25163,160,0,0.0,1600.0000000000002,False,-0.13807184117920457,36,2.936000000000001,40797,29,0,0.0,526.2490488981698,False,-0.17227503680101025,0,0.2,46956,163,74,1.0,4399.35233347446,False,-0.00907801139504845,2,0.37300000000000005,56229,231,10,1.0,4859.723133169905,False,-0.007682547551554646,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,260021,0.0,0.0,12,0,0,10,4,4.0,17,27,19,81.0,15.0,9,5,19,821,0.9817052590078674,29.19696801993996
14,19,0,0,0,10.000000000000002,20,10.0,18.84723875814425,23,24.91304347826087,19.107771389103384,14,13.357142857142858,35.99999999999999,9,36.0,8,0.8380000000000001,32081,0,8,0.8,150.777910065154,False,0.06753830937628898,5,1.5100000000000005,24938,172,0,0.0,1720.0000000000002,False,-0.14354956510191885,14,3.040000000000001,40396,29,0,0.0,546.5699239861833,False,-0.18015391359930064,0,0.2,46383,176,84,1.0,4922.166818118072,False,-0.015359363604018949,0,0.37100000000000005,56366,235,11,1.0,4886.326276439295,False,-0.005139933039777204,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.4666666666666666,259245,0.0,0.0,12,0,0,12,4,4.0,12,24,16,89.0,30.0,9,10,16,834,1.1454909520107321,30.34245897195069
15,16,0,0,0,10.000000000000002,20,10.0,17.781556011294757,64,14.453125,21.630976775082257,24,43.458333333333336,35.99999999999999,5,36.0,25,1.0800000000000003,32094,1,10,1.0,187.81556011294757,False,0.06858468162992078,31,1.8150000000000002,24046,181,0,0.0,1810.0000000000002,False,-0.17166854790518557,1,3.036000000000001,40367,29,0,0.0,515.6651243275479,False,-0.18105002293747186,0,0.2,46493,230,71,1.0,5625.557233628635,False,-0.006052118356361707,0,0.37100000000000005,55503,249,16,1.0,5962.113216995482,False,-0.010639679791285505,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,257584,0.0,0.0,11,0,0,8,5,4.961538461538462,14,22,17,57.0,45.0,6,10,17,1618,1.0291923219920136,31.371651293942705
16,17,0,0,0,10.000000000000002,20,10.0,17.827581518794258,17,18.470588235294116,22.13309738463148,10,32.6,35.99999999999999,14,36.0,0,1.0550000000000002,32265,0,11,1.0,196.10339670673685,False,0.07439916666733175,8,1.864,23782,192,0,0.0,1920.0000000000005,False,-0.17860699820729034,6,3.0950000000000006,40235,32,0,0.0,570.4826086014162,False,-0.18315846259926802,0,0.2,46415,234,77,1.0,5875.90257401448,False,-0.005101171491205841,0,0.37100000000000005,55681,249,12,1.0,5943.141248773239,False,-0.007788969864723115,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,257459,0.0,0.0,15,0,0,11,3,3.0,14,25,14,69.0,39.0,9,8,14,1153,0.8024227900314145,32.17407408397412
17,14,0,0,0,10.000000000000002,20,10.0,18.964789884759377,42,25.166666666666668,20.776128947022848,59,16.25423728813559,35.99999999999999,10,36.0,18,1.235,32589,2,10,1.0,209.64789884759375,False,0.08538025195617147,13,1.9860000000000004,23438,200,0,0.0,2000.0000000000005,False,-0.1886992895558064,29,3.3790000000000013,38858,41,0,0.0,777.5563852751344,False,-0.2088300166786766,0,0.2,46621,257,57,1.0,6058.190350363462,False,0.0008889080994584081,0,0.37100000000000005,55082,298,12,1.0,6623.286426212809,False,-0.012169180838285883,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,255669,0.0,0.0,12,0,0,11,6,5.777777777777778,11,22,15,80.0,36.0,7,7,15,1823,0.9094293770031072,33.08350346097723
18,15,0,0,0,10.000000000000002,20,10.0,18.406264146363394,8,1.375,22.165751515021253,14,45.0,35.99999999999999,10,36.0,0,1.217,32519,0,19,0.9,349.7190187809045,False,0.08538143248756562,8,2.0530000000000004,23112,213,0,0.0,2130.0000000000005,False,-0.19736405285173628,0,3.350000000000001,38858,41,0,0.0,754.6568300008992,False,-0.20906083104865444,0,0.2,47240,255,53,1.0,5868.382187618792,False,0.011454080026799044,0,0.37100000000000005,54812,302,12,1.0,7126.056957536418,False,-0.012484081694919723,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.48333333333333334,255622,0.0,0.0,11,0,0,11,2,2.0,12,23,16,60.0,24.0,7,8,16,1190,1.0840082380454987,34.167511699022725
19,16,0,0,0,10.000000000000002,20,10.0,19.288694027413243,17,31.058823529411764,21.661073396435818,27,17.555555555555557,35.99999999999999,10,36.0,0,1.2170000000000003,32969,0,9,0.6,173.59824624671919,False,0.09739722206770338,1,2.0550000000000006,22966,227,0,0.0,2270.0000000000005,False,-0.19988712568886527,23,3.580000000000001,37921,43,0,0.0,829.4138431787694,False,-0.22719616736706474,0,0.2,46974,260,59,1.0,6293.063777517156,False,0.010372372067059921,0,0.37100000000000005,54698,319,12,1.0,7341.882413463026,False,-0.012587058570339631,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.43333333333333335,254609,0.0,0.0,15,0,0,13,6,6.0,13,26,19,60.0,20.0,9,7,19,1254,1.1614329440053552,35.32894464302808
