index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,10,10.0,17.0,0,,26.0,0,,35.0,0,,0,0.2,21624,0,0,0.0,0.0,False,0.0,0,0.2,21524,0,10,1.0,170.0,False,-0.0006936736958934517,0,0.2,33440,0,0,0.0,0.0,False,0.0,0,0.2,33440.0,0,0,0.0,0.0,False,0.0,0,0.2,51124,0,0,0.0,0.0,False,0.0,0,0.2,51124,0,0,0.0,0.0,False,0.0,0.16666666666666666,212276,0.0,0.0,3,0,0,82,0,0.0,232,314,139,0.0,0.0,0,0,139,100,2.06303643505089,2.06303643505089
1,139,0,0,0,10.0,19,10.0,17.0,0,,16.67105263157895,31,3.129032258064516,35.0,0,,0,0.2,21514,1,10,1.0,180.0,False,-0.000924898261191269,0,0.2,21444,0,18,0.8,306.0,False,-0.0012486126526082132,0,0.2,33440,0,0,0.0,0.0,False,0.0,31,0.51,32084.0,0,0,0.0,0.0,False,-0.04055023923444976,0,0.2,51124,0,0,0.0,0.0,False,0.0,0,0.2,51027,31,0,0.0,516.8026315789474,False,0.0031570557035731418,0.3,210633,0.0,0.0,6,0,0,42,6,6.0,71,113,50,1537.0,509.0,102,37,50,190,6.430967935011722,8.494004370062612
2,50,0,0,0,10.0,16,10.0,18.454545454545453,10,25.0,13.937203791469193,16,2.25,35.0,0,,0,0.2,21464,0,16,0.6,295.27272727272725,False,-0.0005717552887364055,0,0.2,21584,1,18,1.0,342.18181818181813,False,0.006062287693808181,0,0.2,33190,0,10,1.0,139.37203791469193,False,-0.005392164504863965,16,0.6390000000000002,31546.0,0,0,0.0,0.0,False,-0.056638755980861245,0,0.2,51124,0,0,0.0,0.0,False,0.0,0,0.2,50991,47,0,0.0,655.048578199052,False,0.0038049504948659864,0.43333333333333335,209899,0.0,0.0,6,0,0,28,2,2.0,19,47,41,365.0,122.0,34,16,41,410,2.8452770809526555,11.339281451015268
3,41,0,0,0,10.0,14,10.0,20.28205128205128,9,30.333333333333332,12.071528611444577,24,6.166666666666667,35.0,20,35.0,0,0.2,21728,0,8,0.0,162.25641025641025,False,0.008561237751026957,0,0.2,21453,5,27,1.0,597.6153846153846,False,0.005910455619112628,0,0.2,33181,0,11,0.1,132.78681472589034,False,-0.005759766526227795,24,0.8630000000000002,30462.0,8,0,0.0,162.25641025641025,False,-0.08662894123420434,11,0.31000000000000005,50925,3,10,1.0,386.2145858343337,False,-0.00011526302876996795,9,0.29000000000000004,50784,58,0,0.0,700.1486594637855,False,0.0001970567587022013,0.35000000000000003,208533,0.0,0.0,7,0,0,17,10,10.0,18,35,34,269.0,133.0,21,20,34,413,1.8896224910276942,13.228903942042962
4,34,0,0,0,9.999999999999998,10,10.0,19.218978102189784,9,13.0,10.918057619755345,15,4.0,35.0,20,35.0,0,0.2,21728,0,8,0.0,153.75182481751827,False,0.008364590843912282,0,0.2,21470,5,28,1.0,588.1313868613139,False,0.006477325815328206,0,0.2,33181,0,11,0.0,120.0986338173088,False,-0.005949482149860799,15,0.9890000000000003,29875.0,17,0,0.0,326.72262773722633,False,-0.101723644920197,2,0.31900000000000006,51261,0,3,0.3,105.0,False,0.003706673969172991,8,0.36100000000000004,50634,73,0,0.0,797.0182062421402,False,-0.0017895879993531684,0.21666666666666667,208149,0.0,0.0,7,0,0,16,6,6.0,15,31,26,241.0,106.0,18,16,26,567,1.6658917509485036,14.894795692991465
5,26,0,0,0,9.999999999999998,12,10.0,18.86344263720971,2,9.0,10.655918316972677,53,10.18867924528302,35.0,20,35.0,0,0.2,21728,0,8,0.0,150.9075410976777,False,0.00829882401724196,0,0.2,21368,7,36,1.0,749.0839349395496,False,0.005481962979549261,0,0.2,33543,0,3,0.2,31.96775495091803,False,0.003558130307280525,43,1.4040000000000001,27679.0,17,0,0.0,320.6785248325651,False,-0.16748387373157045,11,0.42700000000000005,51217,0,3,0.3,105.0,False,0.0028460214380721383,6,0.41300000000000003,50046,123,0,0.0,1310.6779529876394,False,-0.008267369992688007,0.25,205581,0.0,0.0,8,0,0,15,12,12.0,11,26,21,159.0,35.0,13,13,21,623,1.327388036006596,16.22218372899806
6,21,0,0,0,9.999999999999998,12,10.0,19.393317131716756,32,20.25,8.763148398432655,54,4.111111111111111,34.99999999999999,20,35.0,0,0.2,21728,0,8,0.0,155.14653705373405,False,0.008396840016965721,0,0.2,21896,9,14,1.0,361.5064398440346,False,0.02093753329273116,0,0.2,33031,14,13,1.0,385.42736902365914,False,-0.006467892209574481,54,1.9010000000000005,24473.0,25,0,0.0,484.8329282929189,False,-0.2609026176989695,5,0.4660000000000001,51238,0,8,0.8,279.99999999999994,False,0.00496831233862765,12,0.527,49692,169,0,0.0,1480.9720793351187,False,-0.013526210005720256,0.4666666666666666,202058,0.0,0.0,8,0,0,13,13,12.666666666666666,11,24,22,183.0,45.0,13,8,22,838,1.2449089279980399,17.4670926569961
7,22,0,0,0,10.0,16,10.0,19.97233355885886,23,21.869565217391305,7.737309938502956,48,4.145833333333333,35.0,20,35.0,0,0.2,21976,0,0,0.0,0.0,False,0.016278209396966333,1,0.21000000000000002,21970,15,10,1.0,349.7233355885886,False,0.024087202543206412,0,0.2,32776,19,23,1.0,557.4324662038864,False,-0.011521643746951476,48,2.327000000000001,21773.0,33,0,0.0,659.0870074423424,False,-0.3390387708217353,1,0.4710000000000001,51397,19,10,1.0,497.0088888315562,False,0.010200775456063212,11,0.6250000000000002,49451,188,0,0.0,1454.6142684385557,False,-0.018498021785868127,0.5,199343,0.0,0.0,8,0,0,11,11,9.399999999999999,13,24,19,106.0,59.0,10,12,19,618,1.0293686350341886,18.49646129203029
8,19,0,0,0,10.0,12,10.0,20.423623548283164,19,22.526315789473685,10.183226414138415,95,15.189473684210526,35.0,20,35.0,0,0.2,21976,0,0,0.0,0.0,False,0.016278209396966333,9,0.29900000000000004,22070,17,10,1.0,374.2362354828316,False,0.029278492311386174,0,0.2,32464,21,33,1.0,764.9425661805142,False,-0.01774906450088944,95,3.2290000000000005,15534.0,40,0,0.0,816.9449419313265,False,-0.5232514213227971,3,0.5,50362,81,10,1.0,1174.8413395452117,False,-0.003414821419047727,7,0.6840000000000002,49298,211,0,0.0,2148.6607733832057,False,-0.014702871710124344,0.5,191704,0.0,0.0,6,0,0,10,15,13.500000000000002,11,21,18,117.0,63.0,8,11,18,400,1.100179383996874,19.596640676027164
9,18,0,0,0,10.0,8,10.0,20.2018709131594,32,19.53125,11.34879111624015,24,24.0,35.00000000000001,20,35.0,0,0.2,21976,0,0,0.0,0.0,False,0.016278209396966333,22,0.51,22153,15,10,1.0,352.018709131594,False,0.03260309630807428,0,0.2,31839,43,43,1.0,1356.6784672641807,False,-0.02759153009473414,24,3.3740000000000006,15366.0,40,0,0.0,808.074836526376,False,-0.5284079719418904,1,0.5070000000000001,50129,95,10,1.0,1428.1351560428143,False,-0.005495118182822005,9,0.7670000000000001,49191,211,0,0.0,2394.594925526672,False,-0.014390551154773931,0.5,190654,0.0,0.0,7,0,0,7,6,5.956521739130435,12,19,18,78.0,69.0,5,13,18,664,0.8580603129812516,20.454700989008415
