index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,21.0,0,,35.0,0,,0,0.2,41277,8,0,0.0,80.0,False,-0.0009671881422733757,0,0.2,41237,12,0,0.0,120.0,False,-0.0014507822134100636,0,0.2,66687,0,0,0.0,0.0,False,0.0,0,0.2,66687,0,0,0.0,0.0,False,0.0,0,0.2,98394,0,0,0.0,0.0,False,0.0,0,0.2,98394,0,0,0.0,0.0,False,0.0,0.0,412676,0.0,0.0,5,0,0,0,0,0.0,743,743,98,0.0,0.0,0,0,98,200,5.222247731988318,5.222247731988318
1,98,0,0,0,10.0,20,10.0,14.176470588235293,6,8.0,21.0,0,,35.0,0,,3,0.23,41117,21,0,0.0,210.0,False,-0.003264259980172643,3,0.23,41137,19,0,0.0,190.0,False,-0.0030224629446042994,0,0.2,66639,0,6,0.6,126.0,False,0.00022493139592424312,0,0.2,66687,0,0,0.0,0.0,False,0.0,0,0.2,98394,0,0,0.0,0.0,False,0.0,0,0.2,98394,0,0,0.0,0.0,False,0.0,0.09999999999999999,412368,0.0,0.0,6,0,0,66,2,2.0,43,109,57,1764.0,0.0,98,0,57,200,14.264130259980448,19.486377991968766
2,57,0,0,0,10.0,20,10.0,13.25974025974026,8,8.0,21.0,0,,35.0,0,,4,0.267,40994,29,0,0.0,290.0,False,-0.0052711753753898975,4,0.267,40974,31,0,0.0,310.0,False,-0.005512972410958242,0,0.2,66591,0,12,0.6,252.0,False,0.00044986279184848623,0,0.2,66671,0,2,0.2,42.0,False,7.49771319747477e-05,0,0.2,98394,0,0,0.0,0.0,False,0.0,0,0.2,98394,0,0,0.0,0.0,False,0.0,0.13333333333333333,412018,0.0,0.0,5,0,0,10,4,4.0,56,66,18,960.0,6.0,55,2,18,200,3.6787643390125595,23.165142330981325
3,18,0,0,0,10.0,20,10.0,13.25974025974026,0,,21.425531914893618,2,31.0,35.0,20,35.0,0,0.263,40844,44,0,0.0,440.0,False,-0.007084653142152477,0,0.263,40924,36,0,0.0,360.0,False,-0.006117464999879102,0,0.2,66653,0,10,0.0,214.25531914893617,False,0.0010965804365839096,0,0.2,66671,0,2,0.0,42.851063829787236,False,8.135816448324616e-05,8,0.28,98313,0,0,0.0,0.0,False,-0.0008232209281053722,12,0.32000000000000006,98164,2,0,0.0,42.851063829787236,False,-0.0021197884839025322,0.0,411569,0.0,0.0,7,0,0,8,5,5.0,16,24,21,201.0,18.0,12,6,21,262,1.5911232419894077,24.756265572970733
4,21,0,0,0,10.0,20,10.0,13.25974025974026,0,,21.425531914893618,0,,35.0,20,35.0,0,0.263,40724,56,0,0.0,560.0,False,-0.00853543535556254,0,0.263,40844,44,0,0.0,440.0,False,-0.007084653142152477,0,0.2,66653,0,10,0.0,214.25531914893617,False,0.0010965804365839096,0,0.2,66671,0,2,0.0,42.851063829787236,False,8.135816448324616e-05,14,0.41200000000000003,98091,0,0,0.0,0.0,False,-0.0030794560643941705,6,0.36800000000000005,98110,2,0,0.0,42.851063829787236,False,-0.0026686024359727804,0.0,411093,0.0,0.0,5,0,0,12,6,6.0,13,25,14,217.0,22.0,13,8,14,200,1.844997935986612,26.601263508957345
5,14,0,0,0,10.0,20,10.0,13.051474955454367,2,8.0,21.425531914893618,0,,35.0,20,35.0,0,0.263,40594,69,0,0.0,690.0,False,-0.010107116086756776,2,0.28300000000000003,40754,51,0,0.0,510.0,False,-0.00841453683777837,0,0.2,66653,0,10,0.0,214.25531914893617,False,0.0010965804365839096,0,0.2,66655,0,4,0.2,85.70212765957447,False,0.00016271632896649232,12,0.518,97933,0,0,0.0,0.0,False,-0.004685245035266378,8,0.44200000000000006,98054,2,0,0.0,42.851063829787236,False,-0.003237742830712297,0.03333333333333333,410643,0.0,0.0,6,0,0,8,5,5.0,10,18,8,126.0,19.0,7,7,8,200,4.490716430998873,31.091979939956218
6,8,0,0,0,10.0,20,10.0,12.642936573727736,4,8.0,18.90055248618785,12,10.0,34.99999999999999,20,35.0,2,0.28300000000000003,40494,77,0,0.0,770.0,False,-0.01155789830016684,2,0.30100000000000005,40614,63,0,0.0,630.0,False,-0.01034891312232512,0,0.2,66653,0,10,0.0,189.00552486187848,False,0.0009072647207243411,8,0.28,66543,0,4,0.4,75.6022099447514,False,-0.001592497713611771,12,0.6260000000000001,97770,0,0,0.0,0.0,False,-0.006341850112811757,8,0.514,97853,14,0,0.0,264.6077348066299,False,-0.004153669254189117,0.06666666666666667,409927,0.0,0.0,5,0,0,11,8,7.666666666666666,8,19,7,126.0,3.0,7,1,7,200,1.334634836006444,32.42661477596266
7,7,0,0,0,10.0,20,10.0,12.26011737035976,4,8.0,20.116391312418784,5,32.0,35.0,20,35.0,2,0.30100000000000005,40344,90,0,0.0,900.0,False,-0.013613173102497763,2,0.31900000000000006,40524,70,0,0.0,700.0,False,-0.011678796817951012,0,0.2,66813,0,5,0.0,100.58195656209392,False,0.0026435583889070687,0,0.272,66511,0,8,0.4,160.93113049935027,False,-0.0014325795844816367,10,0.7140000000000002,97514,0,5,0.5,175.0,False,-0.008054352907697624,10,0.6060000000000001,97735,14,0,0.0,281.629478373863,False,-0.005266431497988415,0.15,409441,0.0,0.0,7,0,0,9,8,8.0,7,16,3,106.0,3.0,6,1,3,360,1.1920601910096593,33.61867496697232
8,3,0,0,0,10.0,20,10.0,11.986224060414315,3,8.0,21.22736196548436,5,32.0,35.0,20,35.0,3,0.32900000000000007,40154,106,0,0.0,1060.0,False,-0.016272940493749548,0,0.31700000000000006,40484,74,0,0.0,740.0,False,-0.0121623908890877,0,0.2,66973,0,0,0.0,0.0,False,0.0042886919489555685,0,0.272,66487,0,11,0.3,233.50098162032796,False,-0.001248361887471784,2,0.7240000000000002,97515,0,5,0.5,175.0,False,-0.00804418968636299,13,0.7260000000000002,97550,14,0,0.0,297.183067516781,False,-0.007067590160392031,0.13333333333333333,409163,0.0,0.0,7,0,0,5,6,5.5,9,14,8,44.0,0.0,3,0,8,465,1.05712663999293,34.67580160696525
9,8,0,0,0,10.000000000000002,20,10.0,11.805013981962885,2,8.0,22.14697175292229,5,31.0,35.00000000000001,20,35.0,0,0.32600000000000007,40054,116,0,0.0,1160.0000000000002,False,-0.017481925671591268,2,0.337,40364,84,0,0.0,840.0000000000001,False,-0.013854970138066107,0,0.2,66973,0,0,0.0,0.0,False,0.0042886919489555685,0,0.272,66626,0,8,0.2,177.17577402337832,False,0.0004136921290759322,0,0.7220000000000002,97535,0,5,0.5,175.00000000000003,False,-0.007840925259670305,15,0.8630000000000002,97305,14,0,0.0,310.05760454091205,False,-0.009492156002698714,0.11666666666666665,408857,0.0,0.0,9,0,0,8,5,5.0,10,18,8,126.0,3.0,7,1,8,530,1.3485217799898237,36.024323386955075
