index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,e0f3d4ba-1168-4da0-bce2-d6d3cc0f19a1,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,47,5,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
1,a56c4d64-99f7-4f7b-8b94-34d748744ad7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,5,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,5,,-1,-1
2,e1f401ce-a0fc-435c-a26c-7e9c498bf002,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,48,,-1,-1
3,a0deb02b-d70d-487f-8fe8-7b30eaa7bc66,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,7,6,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,7,,-1,-1
4,d0bfd047-7aa7-4999-838a-9521a4ef689d,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,46,5,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
5,24368581-4eb9-486a-b9c9-607c0e09f38f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,24,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,24,,-1,-1
6,dba43c54-122b-457e-94fb-5a0cbc91cfff,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,5,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
7,e19c15e6-91c9-41d3-865a-efedf26dfcc3,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,55,,-1,-1
8,951562c9-ee06-441a-9fd7-b22e83be7f69,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,11,2,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,11,,-1,-1
9,ab8e8779-b1c5-466f-96db-8066c0b76470,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,26,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
10,9f7c9deb-9128-477c-a50f-526cd76fb415,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,11,5,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,11,,-1,-1
11,7a8e07a8-32b2-4cef-9e6b-25c1ae9b0ea8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,3,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
12,85bb81a4-fc73-4de8-9fe4-df9e5e4c0a4f,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,65,5,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
13,43d059b5-5eb0-4d00-bd1d-d85d6789f80f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,20,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(0.75),-1,-1
14,09c1f474-18b0-4f02-9970-65aa3c83d65f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
15,074c49d5-f810-45f1-b8f1-cd754d9a5df2,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,40,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(0.5),-1,-1
16,4160e586-7347-417c-a536-3cd4a5ce1294,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,59,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,59,,-1,-1
17,1f93a242-b6a5-4c61-a941-5df865072142,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,56,4,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,56,,-1,-1
18,c6f655fb-e991-4174-82a8-e4ed48689925,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,49,5,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,49,,-1,-1
19,256959bf-f2de-41dd-87fa-c72f4af3f1d0,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,58,4,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,58,,-1,-1
20,fe3d6313-ad2f-4917-9fa5-7d4761a61477,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,1,4,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,1,,-1,-1
21,683300fe-d2eb-4f56-b9e6-a144b53b39eb,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,24,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,24,,-1,-1
22,55662850-408c-4355-8c6f-668a7ec160bf,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,8,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,8,,-1,-1
23,4119b3bb-7567-4069-92a3-3a4dd1535c7f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,48,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
24,3cd144b1-8de4-449f-996e-dda53820fd39,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,4,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
25,0bf0ba67-8170-4a38-872d-544a59b3b526,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,2,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
26,6030686e-c4a0-49b9-8338-ac5da6725177,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,32,7,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
27,4767b319-77e3-45af-80bd-50ee440ba9fd,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,13,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
28,c15eb25c-d975-4fc1-9e92-93ded498b267,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,11,4,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
29,620a88ef-664d-4725-bc63-b4dd5fcf5b61,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,57,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,57,,-1,-1
30,78b70c5b-8666-4b4c-9807-757b5a17152f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,31,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
31,0b8c5d32-aa4f-48d4-9823-4f0fdef9858a,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,12,2,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,12,,-1,-1
32,476705be-8ffc-4e48-b02c-0935041c447a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,48,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,48,,-1,-1
33,51d67fcc-41b9-42dd-af19-5b70dd8739c2,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,4,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
34,c9532da2-470d-43c6-bf1b-6a7d4c3c04a4,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,55,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,55,,-1,-1
35,03d12294-6a19-405f-81b3-c986232bc6cc,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,18,1,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,18,,-1,-1
36,eab2e62a-f157-4807-9afd-a96e8ac8c159,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,32,2,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
37,3eb3f1cb-181b-48e3-8dbf-a59de1c9285d,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,13,3,35,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
38,34303a8f-c7f0-42ec-8230-3e2b32e94ba9,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,67,4,35,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
