index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,30.485805150727558,34,34.38235294117647,22.665262578372463,33,24.666666666666668,40.00000000000001,11,40.0,1,0.264,54625,3,10,1.0,334.8580515072756,False,0.03510841851652324,0,0.2,55193,1,13,1.0,406.31546695945826,False,0.04651372904899924,14,2.1670000000000007,69847.0,68,0,0.0,2073.0347502494737,False,-0.11056506211023609,19,2.0010000000000003,71610.0,132,0,0.0,4024.1262798960374,False,-0.07620223175923184,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,11,0.9400000000000002,90804,407,0,0.0,9224.761869397593,False,-0.05544234203452094,0.3333333333333333,443016,0.0,0.0,9,0,0,19,12,11.1,18,37,14,279.0,6.0,20,2,14,1059,2.084070293989498,54.114755347021855
11,14,0,0,0,10.000000000000002,20,10.0,30.654374225348338,29,31.551724137931036,22.708375406061176,32,23.03125,40.00000000000001,13,40.0,15,0.41300000000000003,54899,4,10,1.0,346.5437422534834,False,0.04039505556214804,0,0.2,55259,0,19,1.0,582.4331102816184,False,0.0494241235338499,16,2.3130000000000006,69297.0,72,0,0.0,2207.1149442250803,False,-0.11662516504030937,16,2.1420000000000003,70607.0,157,0,0.0,4812.736753379689,False,-0.08384003542644022,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,13,1.0590000000000002,89827,439,0,0.0,9968.976803260855,False,-0.06143036912964721,0.3333333333333333,440826,0.0,0.0,11,0,0,13,13,12.9375,16,29,14,179.0,19.0,12,2,14,635,1.8770476030185819,55.99180295004044
12,14,0,0,0,10.000000000000002,20,10.0,31.432543948553466,36,35.0,22.879384815401945,15,25.666666666666668,40.00000000000001,12,40.0,16,0.558,55329,6,10,1.0,374.3254394855347,False,0.04878079721431908,0,0.2,55489,0,17,0.8,534.3532471254089,False,0.053315007812799096,2,2.3170000000000006,68645.0,88,0,0.0,2766.063867472705,False,-0.12129955538319409,13,2.2560000000000007,69844.0,177,0,0.0,5563.560278893963,False,-0.08870343008410833,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,12,1.1660000000000004,89242,454,0,0.0,10387.240706192482,False,-0.06515120867679462,0.3,439486,0.0,0.0,8,0,0,10,8,8.0,18,28,18,178.0,15.0,12,2,18,820,1.9082870510173962,57.90009000105783
13,18,0,0,0,10.000000000000002,20,10.0,29.758326354664096,21,15.333333333333334,21.594857305894358,42,14.452380952380953,40.00000000000001,10,40.0,9,0.6320000000000001,55314,3,10,1.0,327.583263546641,False,0.04805591173486451,0,0.2,55381,3,25,1.0,773.9581588666024,False,0.053537973314567236,37,2.6850000000000005,66959.0,90,0,0.0,2678.2493719197687,False,-0.14300615238145567,5,2.2930000000000006,69499.0,196,0,0.0,5832.631965514162,False,-0.09134430036066155,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,10,1.2540000000000002,88489,496,0,0.0,10711.049223723601,False,-0.07100265686110463,0.3333333333333333,436579,0.0,0.0,10,0,0,12,13,12.444444444444445,18,30,21,179.0,20.0,14,4,21,272,1.9613627609796822,59.861452762037516
14,21,0,0,0,10.000000000000002,20,10.0,30.677096082236723,34,35.588235294117645,22.239635291049233,38,26.44736842105263,40.0,9,40.0,0,0.623,55472,2,12,1.0,388.1251529868407,False,0.05161262282263617,1,0.21000000000000002,56208,4,10,1.0,346.7709608223672,False,0.06512610950261048,9,2.7380000000000004,65829.0,116,0,0.0,3558.54314553946,False,-0.1516623179274768,29,2.5780000000000007,68589.0,204,0,0.0,6258.127600776292,False,-0.10009330823278566,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,9,1.3340000000000003,87354,534,0,0.0,11875.96524542029,False,-0.07647244896690514,0.3333333333333333,434389,0.0,0.0,11,0,0,11,11,10.076923076923077,21,32,21,225.0,20.0,16,5,21,929,2.2072656140080653,62.06871837604558
15,21,0,0,0,10.000000000000002,20,10.0,29.874957507500195,18,21.22222222222222,22.009160598494553,35,20.314285714285713,40.0,11,40.0,0,0.623,55488,2,11,1.0,348.6245325825021,False,0.051541774025980466,0,0.20900000000000002,56374,4,13,1.0,428.3744475975025,False,0.06903289424186247,18,2.9090000000000007,64992.0,123,0,0.0,3674.619773422524,False,-0.16143660346682656,17,2.7190000000000003,68214.0,215,0,0.0,6423.115864112542,False,-0.10376362466834471,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,11,1.4350000000000003,86465,569,0,0.0,12523.2123805434,False,-0.08206929338357202,0.3333333333333333,432470,0.0,0.0,10,0,0,12,11,11.0,19,31,19,236.0,23.0,17,4,19,582,1.9406049030367285,64.00932327908231
16,19,0,0,0,10.000000000000002,20,10.0,29.914444157614167,18,30.333333333333332,22.45599987806911,36,25.72222222222222,40.0,10,40.0,0,0.623,55430,2,19,1.0,588.3744389946692,False,0.05271068159401014,3,0.23900000000000002,56700,4,10,1.0,339.1444415761417,False,0.07434866476722084,7,2.9610000000000007,64261.0,140,0,0.0,4188.0221820659835,False,-0.16738802821967505,29,2.9920000000000004,67571.0,216,0,0.0,6461.51993804466,False,-0.1115909408492085,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,10,1.5240000000000002,85397,605,0,0.0,13585.879926231812,False,-0.08738192617959449,0.3333333333333333,430296,0.0,0.0,10,0,0,14,13,12.125,19,33,17,214.0,12.0,17,2,17,368,1.9102314289775677,65.91955470805988
17,17,0,0,0,10.000000000000002,20,10.0,29.58452619474788,36,27.86111111111111,22.630410094825397,8,28.5,40.00000000000001,12,40.0,0,0.6230000000000001,55669,1,10,1.0,305.8452619474788,False,0.054557045206743156,7,0.30600000000000005,57077,5,10,1.0,345.8452619474788,False,0.08153403542097219,3,2.9840000000000004,63228.0,176,0,0.0,5206.876610275627,False,-0.173957735050658,5,3.013000000000001,67541.0,216,0,0.0,6390.257658065542,False,-0.11241446980321519,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,12,1.6340000000000003,84963,613,0,0.0,13872.441388127969,False,-0.0902598503809855,0.3333333333333333,429415,0.0,0.0,10,0,0,9,9,8.285714285714285,21,30,18,175.0,19.0,14,3,18,529,1.7357274210080504,67.65528212906793
18,18,0,0,0,10.000000000000002,20,10.0,29.172112018307786,30,26.4,22.273309229413922,15,16.333333333333332,40.00000000000001,14,40.0,5,0.673,55702,6,10,1.0,351.72112018307786,False,0.05561379378266407,5,0.34900000000000003,57382,0,10,1.0,291.72112018307786,False,0.08678468583692031,5,3.0310000000000006,63053.0,176,0,0.0,5134.291715222171,False,-0.17660899858697424,10,3.108000000000001,66593.0,246,0,0.0,7176.339556503715,False,-0.11937800642133307,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,14,1.7620000000000002,84448,628,0,0.0,13987.638196071943,False,-0.09478781692154821,0.3333333333333333,428115,0.0,0.0,10,0,0,13,12,11.071428571428571,17,30,20,204.0,29.0,15,3,20,584,1.5834894489962608,69.23877157806419
19,20,0,0,0,10.000000000000002,20,10.0,29.651407988747366,17,35.529411764705884,22.504040357386636,18,25.555555555555557,40.00000000000001,6,40.0,6,0.728,55974,10,10,1.0,396.51407988747366,False,0.061175370082437355,0,0.3440000000000001,57364,0,15,0.6,444.7711198312105,False,0.08789030792903632,11,3.136000000000001,62585.0,183,0,0.0,5426.207661940768,False,-0.18064992997088417,7,3.168000000000001,66214.0,256,0,0.0,7590.760445119326,False,-0.12153359404530198,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,6,1.8080000000000003,83918,646,0,0.0,14537.610070871766,False,-0.09731228372020664,0.26666666666666666,426992,0.0,0.0,9,0,0,14,9,9.0,23,37,14,266.0,17.0,19,1,14,552,1.774959772999864,71.01373135106405
