index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,9.999999999999998,12,10.0,11.774276881425648,3,29.0,18.57403769249149,70,24.97142857142857,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,0.542,11701,118,0,0.0,1179.9999999999998,False,-0.08521881512354867,9,0.4970000000000001,24752,0,0,0.0,0.0,False,0.02782160950087202,60,2.5910000000000006,14934,22,0,0.0,259.03409139136426,False,-0.3744906134998886,0,0.263,33421,68,12,1.0,1695.0345630894215,False,0.031252400889097434,9,0.9290000000000003,29380,160,0,0.0,2971.8460307986384,False,-0.07114285238039966,0.16666666666666666,127738,0.0,0.0,13,0,0,13,9,8.8,20,33,17,142.0,39.0,12,4,17,603,0.6957322498783469,9.668200160376728
11,17,0,0,0,9.999999999999998,12,10.0,11.578490333335063,1,2.0,18.098932136795494,7,3.2857142857142856,35.99999999999999,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,0.552,11565,130,0,0.0,1299.9999999999998,False,-0.0908752604941947,0,0.48800000000000004,24750,0,1,0.1,18.098932136795494,False,0.028114337101087867,7,2.6010000000000004,14714,22,0,0.0,254.7267873333714,False,-0.3837154973147294,1,0.273,33823,65,10,1.0,1536.430588891707,False,0.04096344551447037,7,0.9900000000000002,29305,160,0,0.0,2895.829141887279,False,-0.07454364818105212,0.18333333333333335,127707,0.0,0.0,9,0,0,13,8,7.5,19,32,14,167.0,46.0,13,4,14,516,0.7526800706982613,10.420880231074989
12,14,0,0,0,9.999999999999998,9,10.0,11.04156078308763,3,3.0,17.164576782091633,39,12.307692307692308,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,3,0.581,11430,139,0,0.0,1389.9999999999998,False,-0.09757368264364394,0,0.48800000000000004,24755,0,3,0.3,51.4937303462749,False,0.029015317048963377,38,2.9740000000000006,13203,22,0,0.0,242.9143372279279,False,-0.4467047102145186,3,0.30200000000000005,33849,87,10,1.0,1853.318180041972,False,0.046513965995214714,7,1.0530000000000004,29052,167,0,0.0,2866.4843226093026,False,-0.08259879141424466,0.21666666666666667,125839,0.0,0.0,10,0,0,9,13,13.0,21,30,7,154.0,26.0,12,2,7,464,0.6089816447347403,11.029861875809729
13,7,0,0,0,9.999999999999998,9,10.0,10.466659121381754,6,6.333333333333333,16.82209011334221,14,11.5,36.00000000000001,10,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,6,0.6380000000000001,11265,148,0,0.0,1479.9999999999998,False,-0.10650491217624293,2,0.508,24826,0,0,0.0,0.0,False,0.030894443983057886,9,3.026000000000001,12866,28,0,0.0,293.06645539868913,False,-0.45965728645048815,0,0.29900000000000004,33835,83,20,1.0,2116.2334794074036,False,0.05004865301545889,10,1.1460000000000004,28771,175,0,0.0,2943.8657698348866,False,-0.0898906745435618,0.16666666666666666,125113,0.0,0.0,3,0,0,8,11,10.4,16,24,12,54.0,14.0,6,1,12,90,0.46802322566509247,11.497885101474822
14,12,0,0,0,9.999999999999998,11,10.0,9.992324117482637,3,3.0,17.365014691339567,27,21.555555555555557,36.0,8,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,3,0.662,11110,159,0,0.0,1589.9999999999998,False,-0.11394760345340875,9,0.5960000000000001,24905,0,3,0.3,52.0950440740187,False,0.035256520307159284,18,3.1970000000000005,12317,28,0,0.0,279.7850752895138,False,-0.4827301495870461,0,0.29900000000000004,33577,88,30,1.0,2608.121292837882,False,0.04968584551366056,8,1.2160000000000002,28350,187,0,0.0,3247.257747280499,False,-0.0979949180367063,0.21666666666666667,123809,0.0,0.0,6,0,0,9,11,11.0,16,25,12,117.0,27.0,8,4,12,110,0.5890126125887036,12.086897714063525
15,12,0,0,0,9.999999999999998,7,10.0,9.151054545676951,5,2.0,17.359406557138517,20,17.3,36.0,10,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,5,0.7090000000000001,10960,166,0,0.0,1659.9999999999998,False,-0.12250669842214945,3,0.6170000000000001,25039,0,5,0.5,86.79703278569258,False,0.041541338609452895,14,3.3190000000000004,11880,28,0,0.0,256.2295272789546,False,-0.5013655525438303,0,0.29900000000000004,33471,92,40,1.0,3037.0654032567436,False,0.05295012644081763,10,1.3080000000000003,27974,193,0,0.0,3350.3654655277337,False,-0.10775856958279062,0.25,122874,0.0,0.0,4,0,0,7,10,10.0,24,31,9,134.0,15.0,10,2,9,229,0.5393935451284051,12.62629125919193
16,9,0,0,0,9.999999999999998,5,10.0,8.848402168840007,7,7.0,16.96633324887301,29,14.137931034482758,36.0,5,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,7,0.7740000000000002,10824,171,0,0.0,1709.9999999999998,False,-0.1307680857398035,1,0.6240000000000001,25192,0,4,0.4,67.86533299549204,False,0.0475015640934202,23,3.535000000000001,11047,31,0,0.0,274.30046723404024,False,-0.5355805068674936,0,0.29900000000000004,33115,110,50,1.0,3666.2966573760314,False,0.051704734537707416,5,1.348,27873,194,0,0.0,3291.468650281364,False,-0.11168419123861927,0.2333333333333333,121601,0.0,0.0,3,0,0,13,9,8.2,14,27,14,80.0,6.0,7,2,14,104,0.5237365169450641,13.150027776136994
17,14,0,0,0,9.999999999999998,9,10.0,8.848402168840007,0,,16.12431028928931,17,5.529411764705882,36.0,9,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,0.7670000000000001,10734,180,0,0.0,1799.9999999999998,False,-0.13411729681452814,0,0.623,25192,0,4,0.0,64.49724115715723,False,0.047431634439771574,17,3.682000000000001,10450,31,0,0.0,274.30046723404024,False,-0.5603708066764795,0,0.29900000000000004,33090,105,60,1.0,3853.052580375377,False,0.05376245230778468,9,1.4330000000000003,27703,206,0,0.0,3321.6079195935977,False,-0.11634655552823359,0.16666666666666666,120719,0.0,0.0,5,0,0,15,8,8.0,14,29,12,158.0,9.0,11,3,12,90,0.6335628507658839,13.783590626902878
18,12,0,0,0,9.999999999999996,13,10.0,8.67695083213779,1,1.0,16.95857594936335,9,36.22222222222222,36.0,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,0.7770000000000001,10587,193,0,0.0,1929.9999999999993,False,-0.1402203036618041,4,0.663,25380,0,1,0.1,16.95857594936335,False,0.05425127846419242,1,3.6750000000000007,10423,31,0,0.0,268.9854757962715,False,-0.5616023279670237,0,0.29900000000000004,32866,102,70,1.0,4249.774746835062,False,0.052990892970735136,11,1.5340000000000003,27440,208,0,0.0,3527.383797467577,False,-0.12116485408565186,0.18333333333333335,120246,0.0,0.0,6,0,0,11,9,8.6,15,26,15,89.0,22.0,8,4,15,232,0.701225102879107,14.484815729781985
19,15,0,0,0,9.999999999999996,10,10.0,8.086052452370728,4,2.0,17.024815527318303,3,21.333333333333332,35.99999999999999,10,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,4,0.8160000000000001,10423,203,0,0.0,2029.9999999999993,False,-0.14870497171777314,1,0.6690000000000002,25378,0,4,0.4,68.09926210927321,False,0.055230032017882104,1,3.6840000000000006,10417,31,0,0.0,250.66762602349257,False,-0.5622317991441016,0,0.29900000000000004,32826,94,80,1.0,4480.33265956792,False,0.05525628437508162,10,1.6230000000000004,27284,209,0,0.0,3558.186445209525,False,-0.12539593070704896,0.2333333333333333,119878,0.0,0.0,6,0,0,12,7,7.0,17,29,11,157.0,12.0,11,4,11,124,0.7168912254273891,15.201706955209374
