index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
30,17,0,0,0,10.000000000000002,11,10.0,6.268789958091548,3,1.0,15.891132663889001,10,19.5,36.0,9,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,3,1.3460000000000003,8328,325,0,0.0,3250.0000000000005,False,-0.2592289371836856,0,0.8840000000000001,26392,0,6,0.0,95.346795983334,False,0.0979018934470421,10,5.007000000000001,5352,51,0,0.0,319.70828786266895,False,-0.7711214125101182,0,0.29900000000000004,32736,135,136,1.0,7041.302909625016,False,0.09108189752670795,9,2.5940000000000003,24789,265,0,0.0,4211.150155930585,False,-0.19065377436156208,0.16666666666666666,111147,0.0,0.0,6,0,0,10,7,7.0,22,32,19,172.0,31.0,14,3,19,110,0.8851489024236798,22.48481561522931
31,19,0,0,0,10.0,15,10.0,6.268789958091548,0,,15.206259663051231,54,13.074074074074074,36.0,7,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.3430000000000002,8178,340,0,0.0,3400.0,False,-0.26481095564156,5,0.9340000000000002,26529,0,0,0.0,0.0,False,0.10161116186363259,43,5.427000000000001,3350,51,0,0.0,319.70828786266895,False,-0.8542540426903358,0,0.29900000000000004,32132,173,146,1.0,7886.682921707863,False,0.08562568344429526,7,2.6550000000000007,24607,271,0,0.0,4120.896368686884,False,-0.19748876965562923,0.16666666666666666,108346,0.0,0.0,6,0,0,16,11,10.454545454545455,15,31,14,215.0,52.0,15,4,14,150,0.819449002854526,23.304264618083835
32,14,0,0,0,10.0,16,10.0,5.979401046637184,4,2.0,14.30030054665099,17,3.6470588235294117,36.0,12,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,4,1.3830000000000002,7954,356,0,0.0,3560.0,False,-0.27552843108067876,0,0.9290000000000003,26521,0,4,0.4,57.20120218660396,False,0.10246659750408195,17,5.554000000000002,2749,51,0,0.0,304.9494533784964,False,-0.8795168704140334,0,0.29900000000000004,32110,178,156,1.0,8161.453497303876,False,0.08909800627902321,12,2.7680000000000007,24381,273,0,0.0,3903.9820492357203,False,-0.20755368568709423,0.2333333333333333,107265,0.0,0.0,7,0,0,11,12,12.0,19,30,17,145.0,14.0,12,2,17,160,0.7268343875184655,24.0310990056023
33,17,0,0,0,9.999999999999998,8,10.0,5.713140836005112,3,1.0,14.157435551638237,12,11.833333333333334,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,3,1.4090000000000003,7823,364,0,0.0,3639.9999999999995,False,-0.2823012801428997,0,0.9290000000000003,26518,0,7,0.3,99.10204886146767,False,0.1032119850689616,12,5.657000000000002,2442,51,0,0.0,291.3701826362607,False,-0.8925469192210725,0,0.29900000000000004,32465,173,156,1.0,8065.236350433415,False,0.09833337873056607,10,2.8560000000000008,24103,280,0,0.0,3964.081954458706,False,-0.2150153181694447,0.21666666666666667,106901,0.0,0.0,8,0,0,20,9,9.0,13,33,10,204.0,29.0,14,3,10,440,0.663107574917376,24.694206580519676
34,10,0,0,0,9.999999999999998,8,10.0,5.621611804989738,1,1.0,13.125810039005842,19,3.0,36.0,13,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,1.4160000000000004,7726,372,0,0.0,3719.9999999999995,False,-0.2865436141708842,0,0.9290000000000003,26557,0,6,0.1,78.75486023403505,False,0.10440899552018171,17,5.815000000000002,1758,51,0,0.0,286.70220205447663,False,-0.921046794243533,0,0.29900000000000004,32578,181,162,1.0,8207.771617060058,False,0.10387859790942013,9,2.936000000000001,23964,281,0,0.0,3688.3526209606416,False,-0.22334708665421843,0.18333333333333335,106133,0.0,0.0,7,0,0,7,10,10.0,20,27,14,82.0,37.0,7,3,14,264,0.558008598163724,25.2522151786834
35,14,0,0,0,10.0,11,10.0,5.54511621224546,1,2.0,14.424022159842744,21,25.857142857142858,36.00000000000001,9,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,1.4250000000000003,7600,383,0,0.0,3830.0,False,-0.2918279249776719,4,0.9690000000000003,26887,0,1,0.1,14.424022159842744,False,0.11677651403869788,11,5.908000000000002,1443,51,0,0.0,282.80092682451846,False,-0.9342081030058856,0,0.29900000000000004,32354,182,172,1.0,8817.172033091381,False,0.10630713260745382,9,3.0170000000000012,23527,291,0,0.0,4197.390448514238,False,-0.22883854275482635,0.18333333333333335,105361,0.0,0.0,6,0,0,8,10,9.8,11,19,13,162.0,19.0,12,2,13,370,0.68350216653198,25.93571734521538
36,13,0,0,0,10.0,7,10.0,4.925453200353183,8,1.625,13.66363785752001,21,6.9523809523809526,36.00000000000001,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,8,1.5040000000000002,7389,390,0,0.0,3900.0,False,-0.3049270616254838,1,0.9750000000000001,26908,0,8,0.8,109.30910286016008,False,0.11961857617432445,19,6.0870000000000015,717,51,0,0.0,251.19811321801234,False,-0.9650112508674941,0,0.29900000000000004,32668,186,172,1.0,8733.436641498723,False,0.11449648873756742,10,3.108,23298,298,0,0.0,4071.764081540963,False,-0.2376201612768438,0.3,104530,0.0,0.0,9,0,0,8,15,15.0,12,20,12,141.0,23.0,11,2,12,482,0.7693336056545377,26.705050950869918
37,12,0,0,0,10.000000000000002,11,10.0,4.92972660089529,17,4.9411764705882355,15.287378854919396,12,40.416666666666664,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,17,1.6660000000000001,6975,401,0,0.0,4010.000000000001,False,-0.3316463233105091,1,0.984,27280,0,9,0.9,137.58640969427455,False,0.13565290278411832,3,6.098000000000003,618,59,0,0.0,290.8538694528221,False,-0.9682988566262598,0,0.29900000000000004,32895,181,170,1.0,8887.01557274041,False,0.12363851298134826,8,3.1780000000000004,22920,305,0,0.0,4662.650550750416,False,-0.24010456589301205,0.31666666666666665,104238,0.0,0.0,11,0,0,8,11,10.25,12,20,10,153.0,16.0,11,1,10,747,0.7099791783839464,27.415030129253864
38,10,0,0,0,10.000000000000002,7,10.0,4.92972660089529,0,,14.790994347841977,8,3.75,36.0,12,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.6490000000000002,6905,408,0,0.0,4080.000000000001,False,-0.33425126525751714,0,0.9830000000000001,27280,0,9,0.0,133.1189491305778,False,0.13556014760257823,8,6.1750000000000025,372,59,0,0.0,290.8538694528221,False,-0.9785139550400128,0,0.29900000000000004,32988,174,177,1.0,8945.633016524504,False,0.12731918472050108,9,3.2600000000000002,22794,310,0,0.0,4585.208247831013,False,-0.2450615671406709,0.16666666666666666,103889,0.0,0.0,5,0,0,4,6,6.0,5,9,7,122.0,3.0,9,1,7,178,0.5577943101525307,27.972824439406395
39,7,0,0,0,10.000000000000002,8,10.0,4.92972660089529,0,,15.057608279469783,24,16.916666666666668,36.00000000000001,13,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.6490000000000002,6825,416,0,0.0,4160.000000000001,False,-0.33722834176838345,0,0.9830000000000003,27485,0,4,0.0,60.23043311787913,False,0.14255938944269334,19,6.357000000000002,-209,59,0,0.0,290.8538694528221,False,-1.0026398582042018,0,0.29900000000000004,32810,187,181,1.0,9331.77274826085,False,0.1277726865522246,7,3.321000000000001,22705,311,0,0.0,4682.916174915103,False,-0.24626969342589372,0.16666666666666666,103166,0.0,0.0,8,0,0,1,7,7.0,5,6,10,74.0,12.0,6,1,10,501,0.44119218830019236,28.414016627706587
40,10,0,0,0,10.0,8,10.0,5.275227158386253,2,15.0,14.431801277463462,18,8.444444444444445,36.00000000000001,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,2,1.6690000000000003,6739,424,0,0.0,4240.0,False,-0.34065197975587974,3,1.0130000000000001,27508,0,0,0.0,0.0,False,0.1422639315671456,11,6.448000000000002,-913,61,0,0.0,321.7888566615614,False,-1.0312310261468824,0,0.29900000000000004,33026,193,182,1.0,9337.337646550448,False,0.13435657006545954,11,3.4240000000000004,22499,313,0,0.0,4517.1537998460635,False,-0.254963078545801,0.16666666666666666,102409,0.0,0.0,8,0,0,2,10,18.1,6,8,9,106.0,15.0,8,2,9,448,0.5473442012444139,28.961360828951
41,9,0,0,0,10.0,12,10.0,5.213967237543516,1,2.0,13.886885799457383,24,10.0,36.00000000000001,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,1.6770000000000005,6603,436,0,0.0,4360.0,False,-0.34630842512652577,2,1.0300000000000002,27534,0,1,0.1,13.886885799457383,False,0.1436319011253106,22,6.657000000000002,-1793,61,0,0.0,318.05200149015445,False,-1.067850427674401,0,0.29900000000000004,33301,196,184,1.0,9345.829616693649,False,0.1427600002511834,12,3.533000000000001,22089,324,0,0.0,4499.350999024192,False,-0.26756919953318997,0.18333333333333335,101284,0.0,0.0,10,0,0,1,13,13.0,8,9,11,129.0,0.0,9,0,11,408,0.46637626737356186,29.427737096324563
42,11,0,0,0,10.0,12,10.0,5.04580538648169,2,1.0,12.865243174506052,41,8.487804878048781,36.00000000000001,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,2,1.6960000000000002,6449,448,0,0.0,4480.0,False,-0.35330455492706164,0,1.0280000000000002,27559,0,2,0.2,25.730486349012104,False,0.1449159223974133,40,7.035000000000003,-3771,61,0,0.0,307.79412857538307,False,-1.150199440898277,0,0.29900000000000004,33220,216,194,1.0,9762.892525693309,False,0.14659784119309832,11,3.631000000000001,21666,335,0,0.0,4309.856463459528,False,-0.28314991779326626,0.19999999999999998,98673,0.0,0.0,7,0,0,3,12,12.0,5,8,11,97.0,20.0,8,3,11,147,0.44918200839310884,29.876919104717672
43,11,0,0,0,10.0,11,10.0,4.777341867898777,4,1.75,12.299251579004775,38,9.394736842105264,36.000000000000014,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,4,1.7340000000000002,6271,459,0,0.0,4590.0,False,-0.3624590651979756,3,1.0580000000000003,27567,0,4,0.4,49.1970063160191,False,0.14573534188015985,33,7.325000000000003,-5410,61,0,0.0,291.4178539418254,False,-1.2185985828846893,0,0.29900000000000004,33173,230,204,1.0,10172.8278631711,False,0.15135160793215618,11,3.730000000000001,21203,349,0,0.0,4292.438801072666,False,-0.2973451880669174,0.2333333333333333,96354,0.0,0.0,5,0,0,6,12,11.5,3,9,3,137.0,6.0,9,2,3,110,0.39778131898492575,30.274700423702598
44,3,0,0,0,10.0,10,10.0,4.213458928632117,9,1.4444444444444444,12.271524199136365,3,10.333333333333334,36.00000000000001,17,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,9,1.8200000000000005,6007,469,0,0.0,4690.0,False,-0.37838642453111043,0,1.0550000000000002,27577,0,12,0.9,147.2582903896364,False,0.1481865769120015,2,7.312000000000002,-5898,61,0,0.0,257.02099464655913,False,-1.2395768417356,0,0.29900000000000004,33381,222,208,1.0,10212.278372208275,False,0.15820460987373258,11,3.8290000000000006,21019,350,0,0.0,4295.033469697728,False,-0.30284331222242356,0.31666666666666665,95636,0.0,0.0,8,0,0,1,8,8.0,0,1,2,3.0,6.0,1,2,2,339,0.15566796530038118,30.43036838900298
45,2,0,0,0,10.0,6,10.0,3.965679000977027,4,1.0,12.205617338683744,3,8.0,36.00000000000001,8,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,4,1.8510000000000004,5879,475,0,0.0,4750.0,False,-0.385680261982733,0,1.0550000000000002,27587,0,15,0.4,183.08426008025617,False,0.1493456577543447,2,7.330000000000002,-6423,61,0,0.0,241.90641905959865,False,-1.2616911714338594,0,0.29900000000000004,33357,215,218,1.0,10472.207727817007,False,0.16139343556751434,8,3.8980000000000006,20926,350,0,0.0,4271.96606853931,False,-0.30598907510473505,0.2333333333333333,94876,0.0,0.0,4,0,0,0,5,5.0,0,0,1,0.0,6.0,0,2,1,74,0.08242761343717575,30.512796002440155
46,1,0,0,0,10.0,12,10.0,3.965679000977027,0,,12.715724020678469,15,18.666666666666668,36.00000000000001,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.8470000000000006,5759,487,0,0.0,4870.0,False,-0.39014587674903245,0,1.0550000000000002,27803,0,7,0.0,89.01006814474928,False,0.1563618069127305,7,7.3980000000000015,-7110,61,0,0.0,241.90641905959865,False,-1.2902187023698282,0,0.29900000000000004,33769,210,216,1.0,10446.30204434248,False,0.17340207710416003,8,3.97,20571,360,0,0.0,4577.660647444249,False,-0.31207251508510003,0.16666666666666666,94342,0.0,0.0,13,0,0,0,6,6.0,0,0,0,0.0,3.0,0,1,0,768,0.07973353285342455,30.59252953529358
47,0,0,0,0,10.0,0,,3.965679000977027,0,,13.843169419911565,5,52.4,36.0,12,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.8470000000000002,5759,487,0,0.0,4870.0,False,-0.39014587674903245,0,1.0550000000000002,28065,0,2,0.0,27.68633883982313,False,0.16596807447138567,0,7.391000000000002,-7678,61,0,0.0,241.90641905959865,False,-1.3138047832601196,0,0.29900000000000004,33769,200,226,1.0,10904.633883982313,False,0.1802984334032849,12,4.082000000000001,20135,365,0,0.0,5052.756838267721,False,-0.31804458564147275,0.16666666666666666,93600,0.0,0.0,2,0,0,0,4,4.0,0,0,0,0.0,0.0,0,0,0,262,0.06738121900707483,30.659910754300654
48,0,0,0,0,10.0,0,,3.965679000977027,0,,13.843169419911565,0,,36.00000000000001,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.8470000000000002,5759,487,0,0.0,4870.0,False,-0.39014587674903245,0,1.0550000000000002,28065,0,2,0.0,27.68633883982313,False,0.16596807447138567,0,7.391000000000002,-8292,61,0,0.0,241.90641905959865,False,-1.3393010045042024,0,0.29900000000000004,33769,190,236,1.0,11126.202189783198,False,0.18363229295490824,11,4.180000000000001,19973,365,0,0.0,5052.756838267721,False,-0.32291969849130725,0.16666666666666666,92824,0.0,0.0,0,0,0,0,5,5.0,0,0,0,0.0,0.0,0,0,0,0,0.06650065910071135,30.726411413401365
49,0,0,0,0,10.0,0,,3.965679000977027,0,,15.773869729477992,8,54.0,36.0,17,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.8470000000000002,5759,487,0,0.0,4870.0,False,-0.39014587674903245,6,1.1150000000000002,28293,0,0,0.0,0.0,False,0.17486089195249563,0,7.391000000000002,-8955,61,0,0.0,241.90641905959865,False,-1.3668319404729758,0,0.29900000000000004,34057,180,238,1.0,11407.296551306039,False,0.19652868719991023,9,4.259,19429,373,0,0.0,5883.653409095291,False,-0.3267882424150573,0.16666666666666666,92133,0.0,0.0,4,0,0,0,6,5.6,0,0,0,0.0,0.0,0,0,0,288,0.06927162315696478,30.79568303655833
