index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,31.504341682872205,30,33.2,10.22455904778261,13,13.153846153846153,32.0,11,32.0,8,0.3430000000000001,50338,0,9,0.9,283.53907514584984,False,0.041120520100089174,2,0.44500000000000006,50911,6,10,1.0,375.04341682872206,False,0.05388198053900835,1,2.415000000000001,51720.0,96,0,0.0,3024.4168015557316,False,-0.19203132170515044,12,2.525000000000001,54152.0,141,0,0.0,4442.112177284981,False,-0.144358932538363,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,11,0.9400000000000002,78807,493,0,0.0,5040.707610556827,False,-0.03339370544138235,0.31666666666666665,369953,0.0,0.0,6,0,0,12,7,5.611111111111111,15,27,19,245.0,12.0,17,4,19,200,2.7341166870319284,71.89921249100007
11,19,0,0,0,10.000000000000002,20,10.0,31.80347000563205,46,33.02173913043478,9.911175559708546,41,7.7073170731707314,32.0,9,32.0,17,0.5050000000000001,50631,1,10,1.0,328.0347000563205,False,0.047622351813475225,10,0.5430000000000001,51185,5,10,1.0,368.0347000563205,False,0.05946082064984037,21,2.6240000000000006,50451.0,109,0,0.0,3466.5782306138935,False,-0.2079368417930461,20,2.7130000000000005,52683.0,174,0,0.0,5533.803780979977,False,-0.15837074417931538,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,9,1.0190000000000001,78407,534,0,0.0,5292.567748884364,False,-0.03665113000888818,0.3333333333333333,367382,0.0,0.0,7,0,0,9,10,9.555555555555555,16,25,17,224.0,26.0,15,4,17,553,4.902589173987508,76.80180166498758
12,17,0,0,0,10.000000000000002,20,10.0,31.766950476671713,10,31.0,9.753804174686444,38,8.526315789473685,32.0,12,32.0,0,0.4880000000000001,50821,3,10,1.0,347.6695047667171,False,0.05174348786007008,0,0.5330000000000001,51105,3,20,1.0,665.3390095334343,False,0.060876737713292835,16,2.7630000000000003,49935.0,109,0,0.0,3462.5976019572167,False,-0.21579899822447626,22,2.9130000000000007,51859.0,184,0,0.0,5845.118887707596,False,-0.16851497413858,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,12,1.1300000000000001,77953,572,0,0.0,5579.175987920646,False,-0.04034386781130397,0.3333333333333333,365698,0.0,0.0,6,0,0,10,7,7.0,15,25,18,210.0,9.0,14,3,18,510,2.190197210991755,78.99199887597933
13,18,0,0,0,10.000000000000002,20,10.0,30.374976725391654,15,12.0,9.700565482810608,40,9.3,32.0,12,32.0,0,0.4880000000000001,50731,2,20,1.0,627.4995345078331,False,0.05277296059179799,0,0.5330000000000001,51175,4,15,1.0,495.6246508808748,False,0.06057031566721187,21,2.9570000000000007,49251.0,109,0,0.0,3310.87246306769,False,-0.2273323381771926,19,3.081000000000001,51249.0,199,0,0.0,6044.620368352939,False,-0.1762596353564375,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,12,1.2380000000000002,77435,612,0,0.0,5936.746075480092,False,-0.0443755655925449,0.3333333333333333,363866,0.0,0.0,6,0,0,9,8,8.0,13,22,18,182.0,31.0,12,6,18,380,1.8993780210148543,80.89137689699419
14,18,0,0,0,10.000000000000002,20,10.0,30.3400272048047,5,29.0,9.647442610576228,19,8.789473684210526,32.0,9,32.0,0,0.4880000000000001,50796,0,25,1.0,758.5006801201175,False,0.05546447098255294,0,0.5330000000000001,51055,6,25,1.0,818.5006801201175,False,0.06142495442107127,9,3.0260000000000002,48863.0,114,0,0.0,3458.7631013477358,False,-0.23209912041354702,10,3.1620000000000013,51089.0,199,0,0.0,6037.665413756135,False,-0.1787409278902606,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,9,1.3160000000000003,77193,631,0,0.0,6087.5362872736,False,-0.046355727639007804,0.3333333333333333,363021,0.0,0.0,7,0,0,11,4,4.0,13,24,14,168.0,31.0,12,6,14,345,1.9294557090033777,82.82083260599757
15,14,0,0,0,10.000000000000002,20,10.0,30.323732462439718,12,30.083333333333332,9.370826822136133,30,6.666666666666667,32.0,9,32.0,0,0.4880000000000001,51015,0,24,1.0,727.7695790985532,False,0.05966433175657468,0,0.5330000000000001,50997,6,34,1.0,1091.0069037229505,False,0.06303888652108809,20,3.2170000000000014,48111.0,117,0,0.0,3547.876698105447,False,-0.2428368291382927,10,3.252000000000001,50650.0,208,0,0.0,6307.336352187462,False,-0.18335759553011766,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,9,1.397,76909,661,0,0.0,6194.1165294319835,False,-0.04909780162454105,0.3333333333333333,361707,0.0,0.0,9,0,0,10,5,5.0,14,24,17,172.0,17.0,12,2,17,561,1.873584886023309,84.69441749202088
16,17,0,0,0,10.000000000000002,20,10.0,30.6173219565928,26,32.53846153846154,9.370826822136133,0,,32.0,8,32.0,0,0.4880000000000001,51163,1,22,1.0,683.5810830450416,False,0.062261076218341746,0,0.5330000000000001,51495,5,30,1.0,968.519658697784,False,0.07204677286946524,0,3.1970000000000014,47523.0,131,0,0.0,4010.8691763136567,False,-0.24824791166054233,0,3.2420000000000004,50392.0,220,0,0.0,6735.810830450416,False,-0.18402183511588235,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,8,1.4680000000000002,76836,661,0,0.0,6194.1165294319835,False,-0.04996543417621273,0.3333333333333333,361434,0.0,0.0,8,0,0,12,2,2.0,13,25,21,204.0,27.0,14,3,21,1046,1.9834640299668536,86.67788152198773
17,21,0,0,0,10.000000000000002,20,10.0,31.339308142173575,37,34.78378378378378,8.823026772164162,60,6.166666666666667,32.0,11,32.0,0,0.4880000000000001,51498,1,19,1.0,605.446854701298,False,0.06836454703111511,0,0.5330000000000001,52247,5,16,1.0,551.4289302747773,False,0.08325525853106854,35,3.5470000000000006,45370.0,149,0,0.0,4669.556913183863,False,-0.275927714519581,25,3.4920000000000013,49138.0,239,0,0.0,7490.094645979484,False,-0.19733095557358782,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,11,1.5700000000000003,76343,721,0,0.0,6361.402302730361,False,-0.054830797968014294,0.3333333333333333,358621,0.0,0.0,10,0,0,14,8,8.0,13,27,23,243.0,27.0,17,4,23,1487,2.303690301021561,88.98157182300929
18,23,0,0,0,10.000000000000002,20,10.0,31.005121512597764,43,29.511627906976745,8.536690720624426,12,1.0,32.0,11,32.0,10,0.5880000000000001,51951,0,8,0.8,248.0409721007821,False,0.07402178950728859,0,0.5330000000000001,52589,8,12,1.0,452.06145815117316,False,0.08928413828889964,12,3.6320000000000006,44639.0,164,0,0.0,5084.839928066033,False,-0.28387135019074405,0,3.4670000000000014,48252.0,267,0,0.0,8278.367443863603,False,-0.20479655573535602,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,11,1.669,76209,733,0,0.0,6257.394298217704,False,-0.05704152573649111,0.3,357665,0.0,0.0,9,0,0,15,6,5.636363636363637,14,29,18,266.0,43.0,18,5,18,1145,2.290604130947031,91.27217595395632
19,18,0,0,0,10.000000000000002,20,10.0,28.546541883106624,83,22.27710843373494,8.371985537181892,50,7.4,32.0,10,32.0,38,0.9580000000000002,51145,0,8,0.8,228.372335064853,False,0.057195606309706416,25,0.7830000000000001,52930,10,10,1.0,385.46541883106624,False,0.09563034091109873,30,3.920000000000001,42715.0,185,0,0.0,5281.110248374725,False,-0.31158467724808203,20,3.667000000000001,46715.0,329,0,0.0,9391.812279542079,False,-0.21967539706497724,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,10,1.7580000000000005,75730,783,0,0.0,6555.264675613422,False,-0.06096447059193081,0.3,353260,0.0,0.0,7,0,0,10,12,11.625,16,26,19,217.0,25.0,14,4,19,702,2.1414158169645816,93.4135917709209
