index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,7,0,0,0,10.000000000000002,20,10.0,32.030958676732695,2,21.0,10.09288985254921,6,7.0,47.0,20,47.0,2,0.5890000000000001,43602,112,0,0.0,1120.0000000000002,False,-0.02382847038019452,0,0.2,47136,6,33,1.0,1117.021636332179,False,0.054255323124803065,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,6,1.5110000000000001,61715.0,111,0,0.0,3555.4364131173293,False,-0.13703407126661682,0,0.4880000000000001,98130,5,11,1.0,567.464449262746,False,0.01802745626538849,0,0.263,99621,0,9,0.8,423.0,False,0.03270370638557582,0.4666666666666666,423821,0.0,0.0,12,0,0,10,2,2.0,9,19,9,65.0,3.0,6,1,9,1140,1.1058450667187572,22.16808328591287
11,9,0,0,0,10.000000000000002,20,10.0,32.030958676732695,0,,9.826136477525159,13,7.615384615384615,46.99999999999999,20,47.0,0,0.5870000000000002,43512,121,0,0.0,1210.0000000000002,False,-0.02482316534040672,0,0.2,47026,7,43,1.0,1447.331223099506,False,0.05547448301392028,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,13,1.6350000000000002,61122.0,111,0,0.0,3555.4364131173293,False,-0.14509387418880507,0,0.4880000000000001,98547,0,8,0.6,375.99999999999994,False,0.02135076703458121,2,0.28300000000000003,99933,2,10,1.0,489.65227295505025,False,0.036275885596275245,0.43333333333333335,423757,0.0,0.0,11,0,0,10,6,5.5,10,20,10,81.0,6.0,7,2,10,952,1.0618511121720076,23.22993439808488
12,10,0,0,0,10.000000000000002,20,10.0,32.746816608196646,15,37.53333333333333,9.800365893574725,1,7.0,47.0,20,47.0,4,0.627,43356,134,0,0.0,1340.0000000000002,False,-0.026834659593280283,0,0.2,47429,4,42,1.0,1415.3662975442592,False,0.06402924732033882,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,1,1.6320000000000003,60522.0,126,0,0.0,4126.098892632777,False,-0.14937071768513227,2,0.508,98905,0,0,0.0,0.0,False,0.023109308893049622,0,0.281,100396,0,3,0.3,141.0,False,0.03926203308127567,0.21666666666666667,424225,0.0,0.0,12,0,0,9,4,3.6666666666666665,11,20,12,71.0,15.0,7,3,12,1472,0.989599690772593,24.219534088857472
13,12,0,0,0,10.000000000000002,20,10.0,31.642108874894664,15,24.0,10.154141346102374,20,11.9,47.0,20,47.0,12,0.7430000000000001,43085,146,0,0.0,1460.0000000000002,False,-0.03149867374005305,0,0.2,47484,2,49,1.0,1570.4633348698385,False,0.06695914384250487,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,20,1.8310000000000002,59262.0,141,0,0.0,4461.537351360148,False,-0.1642165317610591,12,0.6260000000000001,98657,0,2,0.2,94.0,False,0.021030091754507558,5,0.33100000000000007,100258,8,10,1.0,551.233130768819,False,0.039956311255541034,0.3666666666666667,422363,0.0,0.0,9,0,0,9,14,14.0,11,20,13,93.0,23.0,8,4,13,476,1.0897550582885742,25.309289147146046
14,13,0,0,0,10.000000000000002,20,10.0,31.253411799179826,14,28.285714285714285,8.903629246849375,25,3.56,46.99999999999999,20,47.0,10,0.8310000000000002,42927,154,0,0.0,1540.0000000000002,False,-0.034106984969053934,0,0.2,47540,4,55,1.0,1758.9376489548904,False,0.07028003590798948,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,25,2.061000000000001,57470.0,155,0,0.0,4844.278828872873,False,-0.18597160157069062,8,0.6940000000000002,98602,0,9,0.9,422.99999999999994,False,0.02216279959863868,0,0.32600000000000007,100666,14,10,1.0,594.6508094558912,False,0.04440137584930277,0.48333333333333334,420822,0.0,0.0,11,0,0,8,9,8.6,12,20,16,94.0,37.0,8,5,16,846,1.0990276960656047,26.40831684321165
15,16,0,0,0,10.000000000000002,20,10.0,30.947612576588206,33,29.939393939393938,8.789184792378165,2,2.0,46.99999999999999,20,47.0,22,1.0410000000000001,42539,159,0,0.0,1590.0000000000002,False,-0.04213085764809903,0,0.2,47896,9,54,1.0,1761.1710791357632,False,0.07817386250150046,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,2,2.0560000000000005,56398.0,188,0,0.0,5818.151164398582,False,-0.1939235394876073,0,0.6860000000000002,99025,0,0,0.0,0.0,False,0.024350632557850856,1,0.336,101123,6,10,1.0,522.7351087542689,False,0.048756789051288794,0.3333333333333333,420598,0.0,0.0,12,0,0,9,7,6.5,12,21,15,68.0,45.0,8,8,15,1552,1.1419173935428262,27.550234236754477
16,15,0,0,0,10.000000000000002,20,10.0,31.205741315206566,10,34.5,8.351129078527805,13,4.6923076923076925,46.99999999999999,20,47.0,5,1.0690000000000002,42424,168,0,0.0,1680.0000000000002,False,-0.04367816091954023,0,0.2,48016,10,59,1.0,1941.1387375971874,False,0.08281541487176373,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,13,2.1840000000000006,55464.0,198,0,0.0,6178.7367804109,False,-0.20416760597749986,8,0.7660000000000002,98852,3,10,1.0,495.0533872355834,False,0.025121563794910512,2,0.35500000000000004,101575,0,6,0.6,281.99999999999994,False,0.05218731574101851,0.43333333333333335,419948,0.0,0.0,11,0,0,14,7,7.0,8,22,14,106.0,29.0,10,5,14,900,1.116502283141017,28.666736519895494
17,14,0,0,0,10.000000000000002,20,10.0,32.14336403300547,20,37.95,7.5559809736138135,18,2.7222222222222223,47.0,20,47.0,0,1.0640000000000003,42314,179,0,0.0,1790.0000000000002,False,-0.04489389920424403,0,0.2,48685,9,49,1.0,1665.024837617268,False,0.09455155656075671,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,18,2.3510000000000004,53767.0,218,0,0.0,7007.253359195192,False,-0.22160208386547608,0,0.758,99167,0,13,1.0,611.0,False,0.02897973539117212,7,0.42300000000000004,101725,1,10,1.0,477.5559809736138,False,0.05475042143441992,0.5,419275,0.0,0.0,12,0,0,15,6,5.4,11,26,10,113.0,3.0,13,1,10,1429,1.2383390413597226,29.905075561255217
18,10,0,0,0,10.000000000000002,20,10.0,31.921204556471395,3,22.333333333333332,6.832423859633809,24,3.375,47.0,20,47.0,3,1.094,42185,190,0,0.0,1900.0000000000002,False,-0.04652961980548188,0,0.2,48595,8,59,1.0,1963.3510688318122,False,0.09585931773686787,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,24,2.5730000000000004,52315.0,221,0,0.0,7054.586206980178,False,-0.2410153842542971,0,0.758,99592,2,13,1.0,624.6648477192676,False,0.03344676711588418,0,0.41600000000000004,102159,3,10,1.0,490.4972715789014,False,0.05930681006495694,0.5,418463,0.0,0.0,12,0,0,11,7,7.0,10,21,10,51.0,13.0,8,2,10,1140,1.0389142958447337,30.94398985709995
19,10,0,0,0,10.000000000000002,20,10.0,31.566693476301683,4,21.0,6.759411054191101,12,6.0,47.00000000000001,20,47.0,4,1.131,42037,202,0,0.0,2020.0000000000005,False,-0.04847480106100796,0,0.2,48515,6,69,1.0,2238.1018498648164,False,0.09712756244324512,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,12,2.669000000000001,51712.0,225,0,0.0,7102.506032167878,False,-0.24888545000225704,0,0.7580000000000002,100067,0,11,0.9,517.0000000000001,False,0.037803477775134216,0,0.41600000000000004,102552,0,9,0.8,423.00000000000006,False,0.06302303689834593,0.45,418500,0.0,0.0,12,0,0,10,3,3.0,11,21,10,103.0,14.0,8,2,10,1140,1.8352735545486212,32.77926341164857
