index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,36.0,0,,0,0.2,67946,0,9,0.9,144.0,False,-0.00026456581809630194,0,0.2,67926,11,0,0.0,110.0,False,-0.0008083955552942559,0,0.2,97065,0,0,0.0,0.0,False,0.0,0,0.2,97065,0,0,0.0,0.0,False,0.0,0,0.2,139928,0,0,0.0,0.0,False,0.0,0,0.2,139928,0,0,0.0,0.0,False,0.0,0.15,609858,0.0,0.0,13,0,0,473,0,0.0,1485,1958,214,0.0,0.0,0,0,214,200,6.515920659003314,6.515920659003314
1,214,0,0,0,10.0,20,10.0,16.0,0,,21.7,5,1.0,36.0,0,,0,0.2,67816,3,19,1.0,334.0,False,-0.0007789993532835558,0,0.2,67856,18,0,0.0,180.0,False,-0.0013228290904815098,0,0.2,97065,0,0,0.0,0.0,False,0.0,5,0.25,96925,0,0,0.0,0.0,False,-0.001442332457631484,0,0.2,139928,0,0,0.0,0.0,False,0.0,0,0.2,139923,0,5,0.5,180.0,False,0.0006074552627065348,0.25,609513,0.0,0.0,11,0,0,29,1,1.0,118,147,92,1783.0,458.0,123,91,92,200,17.991707649023738,24.50762830802705
2,92,0,0,0,10.0,20,10.0,13.047058823529412,40,9.725,16.53076923076923,20,4.9,36.0,0,,0,0.2,67851,2,14,1.0,202.65882352941176,False,-0.0012297987570594694,25,0.45000000000000007,67340,29,0,0.0,290.0,False,-0.00809865365394791,0,0.2,96937,6,10,1.0,243.5900452488688,False,-6.392600191182832e-05,20,0.44500000000000006,96028,24,0,0.0,313.1294117647059,False,-0.00907057429678718,0,0.2,139830,10,10,1.0,525.3076923076924,False,0.001176704063188525,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.5,607909,0.0,0.0,14,0,0,15,8,8.0,50,65,29,541.0,184.0,42,50,29,325,4.283906801021658,28.79153510904871
3,29,0,0,0,10.0,20,10.0,11.915508021390373,17,6.823529411764705,11.930409356725146,27,1.962962962962963,36.0,6,36.0,0,0.2,67751,2,24,1.0,305.97219251336895,False,-0.0019403536913297512,17,0.5950000000000001,66946,39,0,0.0,390.0,False,-0.013154800399788348,0,0.2,96934,0,17,0.7,202.81695906432748,False,-0.00030486293172442475,27,0.6950000000000001,94868,40,0,0.0,476.6203208556149,False,-0.02017915664319986,0,0.2,139993,27,14,1.0,826.121052631579,False,0.003416475089444516,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.45,606415,0.0,0.0,12,0,0,15,10,10.0,16,31,24,98.0,69.0,9,20,24,416,1.8712042249972,30.66273933404591
4,24,0,0,0,10.0,20,10.0,10.983687057844362,36,8.805555555555555,11.114294222751639,7,2.142857142857143,36.0,10,36.0,0,0.2,67621,5,34,1.0,423.4453599667083,False,-0.0029877905817014693,36,0.9380000000000002,66071,46,0,0.0,460.0,False,-0.025501205244282437,0,0.2,96900,1,27,1.0,311.0696310721386,False,-9.751387692711275e-05,7,0.738,94379,65,0,0.0,713.9396587598835,False,-0.023994541499202136,0,0.2,140338,24,14,1.0,770.7430613460393,False,0.005684148495462167,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.5,605232,0.0,0.0,19,0,0,18,10,10.0,14,32,25,77.0,45.0,9,15,25,560,1.9059931500232778,32.56873248406919
5,25,0,0,0,10.0,20,10.0,12.87026860332439,54,16.64814814814815,9.263907539336785,22,2.909090909090909,35.99999999999999,10,36.0,0,0.2,68131,7,20,1.0,327.4053720664878,False,0.0038024382096719495,30,1.2020000000000002,65411,54,0,0.0,540.0,False,-0.034614027867599505,0,0.2,96490,11,37,1.0,484.33753359202933,False,-0.0034289520754543722,22,0.9510000000000001,93119,99,0,0.0,1274.1565917291148,False,-0.034089751240255935,0,0.2,140634,36,14,1.0,837.5006714161241,False,0.008038064831256481,0,0.2,139923,0,5,0.0,179.99999999999997,False,0.0006074552627065348,0.5,603708,0.0,0.0,20,0,0,18,10,10.0,16,34,25,98.0,42.0,11,14,25,1190,3.60111238603713,36.16984487010632
6,25,0,0,0,10.0,20,10.0,14.352641117224632,53,18.433962264150942,8.46286088308546,18,4.555555555555555,35.99999999999999,9,36.0,13,0.33000000000000007,68619,6,10,1.0,203.52641117224633,False,0.01006471876045208,20,1.372,65037,65,0,0.0,650.0,False,-0.039302722088306194,0,0.2,95896,37,47,1.0,928.802182842328,False,-0.007259041967535481,18,1.1090000000000002,92179,116,0,0.0,1664.9063695980574,False,-0.04176115814352208,0,0.2,140876,44,15,1.0,912.3658788557601,False,0.010035039015978759,0,0.2,139923,0,5,0.0,179.99999999999997,False,0.0006074552627065348,0.5,602530,0.0,0.0,21,0,0,20,7,6.866666666666667,16,36,31,104.0,45.0,10,15,31,974,1.65276183700189,37.82260670710821
7,31,0,0,0,10.0,20,10.0,15.02093441619839,17,22.058823529411764,11.30402945098556,41,17.902439024390247,36.0,9,36.0,0,0.31700000000000006,68789,8,10,1.0,230.2093441619839,False,0.012759490153462833,7,1.4220000000000002,64897,73,0,0.0,730.0,False,-0.0407725321888412,0,0.2,96561,27,38,1.0,835.1183483748077,False,-0.0008905457766712136,22,1.3110000000000002,91028,133,0,0.0,1997.784277354386,False,-0.05190447495310155,0,0.2,140466,75,16,1.0,1423.802208823917,False,0.00893245886750296,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.5,601664,0.0,0.0,18,0,0,15,6,6.0,18,33,31,119.0,66.0,9,22,31,1479,1.6530749750090763,39.47568168211728
8,31,0,0,0,10.0,20,10.0,15.894250277980868,48,19.104166666666668,10.599333707428318,9,1.0,36.0,10,36.0,10,0.4170000000000001,69104,7,10,1.0,228.94250277980868,False,0.01738008188885148,28,1.6950000000000003,64347,84,0,0.0,840.0,False,-0.048048092186489505,0,0.2,96560,18,48,1.0,794.8645229602149,False,-0.0011082031475804274,9,1.3790000000000002,89842,180,0,0.0,2860.9650500365565,False,-0.059676685468312195,0,0.2,140817,74,16,1.0,1360.3506943496955,False,0.011214162620596577,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.5,600593,0.0,0.0,15,0,0,14,8,7.666666666666666,18,32,26,114.0,75.0,10,21,26,720,1.6353394699981436,41.11102115211543
9,26,0,0,0,10.000000000000002,20,10.0,17.62570615093584,34,27.91176470588235,9.164607477615162,36,4.444444444444445,36.0,14,36.0,21,0.6170000000000001,69444,6,10,1.0,236.25706150935844,False,0.022431191292178826,3,1.697,64216,95,0,0.0,950.0000000000001,False,-0.049165147862896115,0,0.2,96620,8,55,1.0,645.0590604763206,False,-0.0012617366688491584,33,1.7000000000000002,87494,214,0,0.0,3771.90111630027,False,-0.0791742589177342,0,0.2,141161,100,12,1.0,1348.4607477615161,False,0.013630083856560286,0,0.2,139923,0,5,0.0,180.0,False,0.0006074552627065348,0.5,598858,0.0,0.0,22,0,0,16,11,10.411764705882353,17,33,24,91.0,54.0,8,18,24,764,1.7497945640352555,42.86081571615068
