index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2304,6d8f1607-cbec-495e-a096-8f78ebe54fc9,06Ran@3,BUYER,RandomAgent,_SystemAgent,120,4,51,72,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2305,3489a7cf-0a72-4ab9-b7b3-e404a0bf61a3,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,120,3,10,72,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,120,,-1,-1
2306,190a30cf-b23e-49a9-ba2e-b4ca50d29891,06Ran@3,BUYER,RandomAgent,_SystemAgent,120,1,51,72,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2307,8caacea3-e214-4e03-99a6-84f3e63cca27,03Ran@1,05Ind@2,RandomAgent,IndDecentralizingAgent,73,5,2,72,-1,72,05Ind@2|03Ran@1,"[quantity: (1, 5), time: (72, 76), unit_price: (1, 28)]",03Ran@1,05Ind@2,p2,05Ind@2,True,2,9,-1,03Ran@1:product(1.0),-1,-1
2308,ba5aec8f-563c-423a-b087-8f1e6059532a,05Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,82,3,56,72,-1,72,05Ind@2|07Buy@3,"[quantity: (1, 5), time: (77, 82), unit_price: (37, 74)]",05Ind@2,07Buy@3,p3,05Ind@2,False,3,17,82,,-1,-1
2309,80afae21-90ce-46cc-82b4-1ce25b18c4c7,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,120,4,51,72,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2310,ea463a1b-b3fa-498e-8457-a476be2a477a,06Ran@3,BUYER,RandomAgent,_SystemAgent,120,2,51,72,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2311,f9176a4d-f328-4e6f-83e8-4a7f97c1e60d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,120,3,10,72,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,120,,-1,-1
2312,9e2fbb90-f555-456e-a2e6-262c81739675,06Ran@3,BUYER,RandomAgent,_SystemAgent,120,3,51,72,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2313,ada5b285-a0ae-48a8-8e5b-8a36c1f72e2c,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,73,2,55,72,-1,72,04Dec@2|07Buy@3,"[quantity: (1, 4), time: (73, 78), unit_price: (37, 74)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,73,,-1,-1
2314,5da6654b-db2b-4b64-aebf-e0ed03fe4a81,04Dec@2,06Ran@3,DecentralizingAgent,RandomAgent,74,1,55,72,-1,72,04Dec@2|06Ran@3,"[quantity: (1, 1), time: (74, 79), unit_price: (37, 74)]",04Dec@2,06Ran@3,p3,04Dec@2,False,3,17,-1,04Dec@2:product(1.0),-1,-1
2315,457a95da-fe53-4ea3-99e5-a8b92022a881,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,120,3,10,72,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,120,,-1,-1
2316,97c0866a-229f-47ab-ba0b-00475f4965af,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,76,2,2,72,-1,72,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (72, 76), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,10,-1,03Ran@1:product(1.0),-1,-1
2317,0b19ab5a-4a37-4d1f-aee5-542e649f4ab5,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,120,1,10,72,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,120,,-1,-1
2318,c7716133-9f78-4442-a0b5-80020a8f0274,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,120,3,10,72,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,120,,-1,-1
2319,7ef1abcc-aa9e-4410-9a01-72d9e29e667b,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,120,1,51,72,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2320,2a6667d9-ef3b-40dc-8fd9-9f31a44727a3,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,80,3,56,72,-1,72,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (75, 80), unit_price: (37, 74)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,-1,04Dec@2:product(0.6666666666666666),-1,-1
2321,b345f338-2327-4c1b-93e4-245098f895e6,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,81,3,56,72,-1,72,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (76, 81), unit_price: (37, 74)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,81,,-1,-1
2322,0e1992db-97fc-45c8-9dda-b52d4b7e5844,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,120,4,10,72,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,120,,-1,-1
2323,4a515227-4654-4d78-8917-4a1926a33716,06Ran@3,BUYER,RandomAgent,_SystemAgent,120,1,51,72,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
2324,17f27b23-d3d5-41dc-8e65-a3411346ce01,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,120,4,51,72,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2325,2a7869bc-3654-4479-b21f-93ab90993da6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,120,3,10,72,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,120,,-1,-1
2326,09c8074f-3dfa-4907-94bb-7b3772834ef3,05Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,82,5,74,72,-1,72,05Ind@2|06Ran@3,"[quantity: (1, 5), time: (77, 82), unit_price: (37, 74)]",05Ind@2,06Ran@3,p3,05Ind@2,False,3,13,-1,05Ind@2:product(0.8),-1,-1
2327,70353e56-a730-451f-992c-9bbecd91dc06,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,121,2,10,73,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,121,,-1,-1
2328,b29e0b15-cae2-4e0d-845d-3c4fb170dc44,03Ran@1,05Ind@2,RandomAgent,IndDecentralizingAgent,76,2,4,73,-1,73,05Ind@2|03Ran@1,"[quantity: (1, 5), time: (73, 77), unit_price: (1, 28)]",03Ran@1,05Ind@2,p2,05Ind@2,True,2,13,-1,03Ran@1:product(1.0),-1,-1
2329,2833d1b9-aaf4-4eff-8ebc-7d39d931ac44,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,121,1,10,73,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,121,,-1,-1
2330,8280d65c-c5b2-47ff-bb45-844c357cb840,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,121,2,51,73,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2331,ba75e733-b9c5-437a-8990-de4bbd431727,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,121,2,51,73,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2332,3c4c3c5b-5944-4343-89e8-02c1c3503911,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,121,3,10,73,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,121,,-1,-1
2333,834d8da1-d788-49a9-9a00-2568f6fabcc8,06Ran@3,BUYER,RandomAgent,_SystemAgent,121,5,51,73,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
2334,a98f7009-5ad6-4bb4-af2d-58125ea76c7f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,121,2,10,73,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,121,,-1,-1
2335,8a0f0067-cdba-4db3-a0a1-dc1d701691a6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,121,4,10,73,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,121,,-1,-1
2336,2130d153-4adf-422f-adcf-1c3de99910c5,01Dec@0,03Ran@1,DecentralizingAgent,RandomAgent,77,16,35,73,-1,73,01Dec@0|03Ran@1,"[quantity: (1, 18), time: (77, 82), unit_price: (19, 38)]",01Dec@0,03Ran@1,p1,01Dec@0,False,1,13,77,,-1,-1
2337,2cb80ac0-93ba-4a92-aa59-2e4d3cb59435,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,121,3,51,73,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2338,87041501-77d0-4d81-aa81-c1e0d6ecb18e,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,77,2,2,73,-1,73,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (73, 77), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,11,-1,03Ran@1:product(1.0),-1,-1
2339,ae1a978c-22f7-410e-a31a-a97f111690d8,04Dec@2,06Ran@3,DecentralizingAgent,RandomAgent,76,5,37,73,-1,73,06Ran@3|04Dec@2,"[quantity: (1, 13), time: (73, 77), unit_price: (1, 37)]",04Dec@2,06Ran@3,p3,06Ran@3,True,3,9,-1,04Dec@2:product(1.0),-1,-1
2340,6d682963-c84b-4494-bf75-69fb12caecc6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,121,2,10,73,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,121,,-1,-1
2341,9d65394f-bfee-4a8a-b5a2-666fe99f8789,06Ran@3,BUYER,RandomAgent,_SystemAgent,121,3,51,73,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
2342,8d74b296-ace9-49f1-895b-0dbd7b175bf9,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,121,3,51,73,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
2343,862eda5e-e092-481f-a681-11391d467e1f,01Dec@0,03Ran@1,DecentralizingAgent,RandomAgent,81,11,37,73,-1,73,01Dec@0|03Ran@1,"[quantity: (1, 11), time: (78, 83), unit_price: (19, 38)]",01Dec@0,03Ran@1,p1,01Dec@0,False,1,11,81,,-1,-1
2344,51961df6-e5cd-424f-a49e-86867e29fb5c,06Ran@3,BUYER,RandomAgent,_SystemAgent,121,2,51,73,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2345,64e02a70-71d0-4bfc-85dd-d819c302b71c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,121,2,10,73,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,121,,-1,-1
2346,adaf3f6d-f5b7-460f-92e4-ae6db5e22e0a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,121,4,10,73,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,121,,-1,-1
2347,323fc312-aa5e-49ea-9d2f-171ce9484ae8,06Ran@3,BUYER,RandomAgent,_SystemAgent,122,3,51,74,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
2348,fa8701c8-9ec7-478e-80ac-2e1abb8e98de,06Ran@3,BUYER,RandomAgent,_SystemAgent,122,5,51,74,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
2349,081e6511-e036-4c27-85a1-98abcfd4827b,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,75,3,55,74,-1,74,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (75, 80), unit_price: (37, 74)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,75,,-1,-1
2350,8b662fb5-0ef4-4c88-ad78-3cdd7aa733b2,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,84,2,56,74,-1,74,04Dec@2|07Buy@3,"[quantity: (1, 4), time: (79, 84), unit_price: (37, 74)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,-1,04Dec@2:product(1.0),-1,-1
2351,07d51082-daad-4921-ac42-5de9777ec4fd,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,122,4,51,74,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
