index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,20,10.0,21.346960155656962,35,25.314285714285713,18.143844622402625,20,15.6,38.0,20,38.0,0,0.24500000000000002,39328,3,12,1.0,286.16352186788356,False,0.05074089607171417,7,1.0080000000000002,34547,107,0,0.0,1070.0000000000002,False,-0.06609876214561426,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,20,2.0380000000000007,47957.0,178,0,0.0,3799.758907706939,False,-0.15732477894272845,0,0.254,76000,5,14,1.0,622.7192231120131,False,0.020491844121424553,0,0.20900000000000002,75668,33,11,1.0,1016.7468725392866,False,0.018686709320392642,0.5,333141,0.0,0.0,13,0,0,10,5,5.0,6,16,17,126.0,93.0,7,6,17,1772,1.3991614239639603,19.375420766999014
11,17,0,0,0,10.000000000000002,20,10.0,21.715271168741943,7,29.0,17.53263558857102,34,14.941176470588236,37.99999999999999,20,38.0,0,0.24500000000000002,39421,4,15,1.0,365.72906753112915,False,0.0542756431190087,0,1.0010000000000001,34457,116,0,0.0,1160.0000000000002,False,-0.06729668574470916,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,34,2.358000000000001,46420.0,185,0,0.0,4017.3251662172593,False,-0.1814643356188857,0,0.254,75962,21,15,1.0,938.1853473599913,False,0.02209300303133217,0,0.20900000000000002,75958,31,10,1.0,923.5117032457015,False,0.021941398676404412,0.5,331859,0.0,0.0,13,0,0,13,5,5.0,9,22,13,138.0,34.0,11,6,13,1163,1.407098849012982,20.782519616011996
12,13,0,0,0,10.000000000000002,20,10.0,21.397560620709022,4,11.0,17.344885495168338,9,14.0,38.00000000000001,20,38.0,0,0.24500000000000002,39311,5,25,1.0,584.9390155177256,False,0.054265127319549106,4,1.0410000000000001,34315,125,0,0.0,1250.0000000000002,False,-0.0698788766138693,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,9,2.414000000000001,46166.0,189,0,0.0,4044.1389573140054,False,-0.18553081249629,0,0.254,76216,20,15,1.0,916.8977099033668,False,0.025347341565836436,0,0.20900000000000002,76338,21,10,1.0,744.2425953985352,False,0.025824379808492604,0.5,331987,0.0,0.0,12,0,0,9,3,3.0,10,19,13,129.0,60.0,8,5,13,960,1.1875146399834193,21.970034255995415
13,13,0,0,0,10.000000000000002,20,10.0,21.31036734881263,18,20.72222222222222,17.202825605555205,18,16.0,38.0,20,38.0,0,0.24500000000000002,39511,4,25,1.0,572.7591837203157,False,0.059427115449491835,8,1.1170000000000002,34081,136,0,0.0,1360.0000000000002,False,-0.07464395048582458,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,18,2.5850000000000013,45334.0,207,0,0.0,4411.246041204215,False,-0.19649077967375803,0,0.254,76528,19,13,1.0,820.8536865055489,False,0.028877450129752673,0,0.20900000000000002,76498,20,12,1.0,800.0565121111041,False,0.028337210394035087,0.5,331593,0.0,0.0,12,0,0,11,4,4.0,10,21,13,117.0,42.0,9,4,13,1250,1.1984091010526754,23.16844335704809
14,13,0,0,0,10.000000000000002,20,10.0,22.180026704403293,16,29.0,16.9525535906703,13,14.0,38.00000000000001,20,38.0,0,0.24500000000000002,39865,5,19,1.0,471.42050738366254,False,0.06750193674143037,0,1.1090000000000002,33991,145,0,0.0,1450.0000000000002,False,-0.07584187408491948,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,13,2.697000000000001,44557.0,223,0,0.0,4946.1459550819345,False,-0.2051031356791858,0,0.254,76866,12,13,1.0,697.4306430880437,False,0.03257218365509059,0,0.20900000000000002,76738,20,12,1.0,795.0510718134061,False,0.031513199372908286,0.5,331658,0.0,0.0,13,0,0,10,2,2.0,8,18,17,126.0,78.0,7,6,17,1424,1.1763239409774542,24.344767298025545
15,17,0,0,0,10.000000000000002,20,10.0,20.78000378056959,17,10.294117647058824,16.9525535906703,0,,38.00000000000001,20,38.0,0,0.24500000000000002,39840,3,24,1.0,528.7200907336702,False,0.06759909610985847,12,1.2290000000000003,33676,157,0,0.0,1570.0000000000002,False,-0.08263010781312392,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,0,2.684000000000001,44382.0,240,0,0.0,4987.200907336702,False,-0.20771401244539248,0,0.254,77322,2,11,1.0,451.90510718134067,False,0.03702847796293976,0,0.20900000000000002,77042,10,14,1.0,701.5255359067031,False,0.03495316556724946,0.5,331903,0.0,0.0,11,0,0,14,2,2.0,8,22,16,168.0,63.0,11,6,16,1015,1.3073916400317103,25.652158938057255
16,16,0,0,0,10.000000000000002,20,10.0,21.71674827353614,73,23.383561643835616,16.82068372345167,7,14.0,38.00000000000001,20,38.0,24,0.48500000000000004,40492,3,10,1.0,247.1674827353614,False,0.08120813899554581,25,1.467,33033,167,0,0.0,1670.0000000000002,False,-0.0984160787967523,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,7,2.754000000000001,42528.0,313,0,0.0,6797.3422096168115,False,-0.22375270675554124,0,0.254,77702,0,3,0.2,114.00000000000003,False,0.03985076024017438,0,0.20900000000000002,77324,7,14,1.0,649.7447860641618,False,0.03837805256866346,0.3666666666666667,330720,0.0,0.0,14,0,0,13,6,6.0,9,22,19,150.0,77.0,10,6,19,1688,1.2919379119994119,26.944096850056667
17,19,0,0,0,10.000000000000002,20,10.0,22.37779891032925,14,31.0,16.727236610530525,14,15.785714285714286,38.00000000000001,20,38.0,4,0.5010000000000001,40740,2,10,1.0,243.7779891032925,False,0.08776491400377077,0,1.4420000000000002,32923,178,0,0.0,1780.0000000000002,False,-0.09988020764009051,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,14,2.8870000000000013,41781.0,327,0,0.0,7317.540243677665,False,-0.231982250961906,5,0.30400000000000005,77736,0,3,0.3,114.00000000000003,False,0.040305433343585766,0,0.20900000000000002,77604,8,12,1.0,589.8178928842443,False,0.041721725971758473,0.3833333333333333,330425,0.0,0.0,10,0,0,12,4,3.2857142857142856,10,22,19,168.0,69.0,11,8,19,770,1.2993656280450523,28.24346247810172
18,19,0,0,0,10.000000000000002,20,10.0,21.86870608368804,7,9.0,16.527604190089377,13,14.384615384615385,38.00000000000001,20,38.0,0,0.4970000000000001,40630,3,20,1.0,467.3741216737608,False,0.08781277947123325,7,1.5120000000000005,32728,187,0,0.0,1870.0000000000002,False,-0.10387328630374018,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,13,3.003,41386.0,334,0,0.0,7304.147831951805,False,-0.2387716738616428,5,0.34900000000000003,77732,0,5,0.5,190.00000000000003,False,0.04076010644699715,0,0.20900000000000002,77948,6,10,1.0,479.16562514053635,False,0.0455820860478245,0.4166666666666667,330065,0.0,0.0,9,0,0,11,6,5.25,10,21,16,150.0,56.0,10,9,16,656,1.324258404027205,29.567720882128924
19,16,0,0,0,10.000000000000002,20,10.0,21.86870608368804,0,,16.211236182464308,21,14.142857142857142,38.00000000000001,20,38.0,0,0.4970000000000001,40560,0,30,1.0,656.0611825106412,False,0.08846081701731194,0,1.5050000000000001,32598,200,0,0.0,2000.0000000000005,False,-0.1056036203913217,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,21,3.2000000000000006,40766.0,334,0,0.0,7304.147831951805,False,-0.24925084228892244,7,0.41400000000000003,77828,0,3,0.3,114.00000000000003,False,0.04153572527046363,0,0.20900000000000002,78000,14,12,1.0,682.9573065545004,False,0.047640094856540686,0.3833333333333333,329393,0.0,0.0,9,0,0,9,4,4.0,9,18,15,96.0,55.0,7,9,15,694,4.153125771961641,33.720846654090565
