index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,22.117777044002402,23,20.956521739130434,30.28445149592021,0,,33.99999999999999,20,34.0,0,0.2,47602,3,26,1.0,605.0622031440624,False,0.023929274373667393,0,0.254,45589,111,0,0.0,1110.0000000000002,False,-0.013700972533931816,0,0.2,65932,0,10,0.5,302.8445149592021,False,-8.742547672653358e-06,0,0.2,65987,8,15,1.0,631.2089887908223,False,0.0033079791537347,0,0.5510000000000002,88017,0,10,0.8,339.99999999999994,False,-0.004650165351753405,12,1.0220000000000002,86843,12,0,0.0,363.4134179510425,False,-0.01776874785296093,0.5499999999999999,399970,0.0,0.0,12,0,0,13,4,4.0,14,27,24,156.0,123.0,13,11,24,954,2.544273211620748,85.78429453913122
11,24,0,0,0,10.000000000000002,20,10.0,21.375764776955005,25,19.0,30.28445149592021,0,,33.99999999999999,20,34.0,0,0.2,47512,2,36,1.0,789.5275319703802,False,0.02397699617367083,25,0.504,45379,122,0,0.0,1220.0000000000002,False,-0.017014000213743722,0,0.2,65932,0,10,0.0,302.8445149592021,False,-8.742547672653358e-06,0,0.2,65512,23,25,1.0,1248.7538772679704,False,0.0007925812395433772,0,0.5510000000000002,88323,0,1,0.0,33.99999999999999,False,-0.002923283558505175,11,1.12,86703,12,0,0.0,363.4134179510425,False,-0.01934890112782859,0.3333333333333333,399361,0.0,0.0,9,0,0,10,5,5.0,12,22,29,143.0,135.0,9,15,29,506,2.1223916923627257,87.90668623149395
12,29,0,0,0,10.000000000000002,20,10.0,21.951561623081314,9,28.0,31.1703438516901,4,47.0,34.0,20,34.0,0,0.2,47654,3,37,1.0,842.2077800540086,False,0.027575160628983793,0,0.47900000000000004,45289,131,0,0.0,1310.0000000000002,False,-0.017975846959495567,0,0.2,66120,0,6,0.0,187.0220631101406,False,0.0019597940735286918,0,0.2,65260,22,35,1.0,1573.8963905169423,False,-0.0005606773915247926,11,0.661,88206,0,0,0.0,0.0,False,-0.004435715978735651,8,1.189,86432,16,0,0.0,498.7255016270416,False,-0.021644005566501597,0.3333333333333333,398961,0.0,0.0,9,0,0,12,7,6.75,15,27,25,210.0,135.0,14,15,25,640,2.5811048643663526,90.4877910958603
13,25,0,0,0,10.000000000000002,20,10.0,21.288488983996086,27,19.0,33.49683729482067,10,49.3,34.0,20,34.0,0,0.2,47524,6,47,1.0,1060.5589822478162,False,0.027130052177490878,27,0.7490000000000001,45111,138,0,0.0,1380.0000000000002,False,-0.021032382173773647,0,0.2,66171,0,5,0.0,167.48418647410335,False,0.002583713050618285,0,0.2,65189,39,36,1.0,2036.1372129893916,False,0.0018623056487908282,10,0.7500000000000002,88088,0,0,0.0,0.0,False,-0.005767559453266967,10,1.2810000000000004,85817,26,0,0.0,870.9177696653375,False,-0.026484961626737687,0.3333333333333333,397900,0.0,0.0,9,0,0,12,7,7.0,13,25,21,179.0,162.0,11,14,21,693,2.0458987336605787,92.53368982952088
14,21,0,0,0,10.000000000000002,20,10.0,21.278877921331862,36,21.25,32.729252175460424,8,26.0,34.0,20,34.0,0,0.2,48189,6,21,1.0,506.8564363479691,False,0.03542648751039828,0,0.722,45011,148,0,0.0,1480.0000000000002,False,-0.022101100780164584,0,0.2,66171,0,5,0.0,163.64626087730213,False,0.0025546748144582234,0,0.2,64632,65,38,1.0,2626.8386475540674,False,-0.0020970382577168785,10,0.8400000000000001,87968,0,0,0.0,0.0,False,-0.007121976546010677,10,1.3710000000000002,85494,34,0,0.0,1112.7945739656543,False,-0.028765592309362088,0.3333333333333333,397465,0.0,0.0,9,0,0,13,6,6.0,11,24,18,152.0,102.0,12,9,18,1173,2.27304751239717,94.80673734191805
15,18,0,0,0,10.000000000000002,20,10.0,21.420895331349048,37,21.91891891891892,33.942113609740304,5,51.0,33.99999999999999,20,34.0,16,0.36000000000000004,48472,12,10,1.0,334.2089533134905,False,0.03963031904791585,0,0.7220000000000002,44971,152,0,0.0,1520.0000000000002,False,-0.02252858822272096,0,0.2,66171,0,5,0.0,169.71056804870153,False,0.0026005581384957043,0,0.2,64076,92,43,1.0,3430.2332557029454,False,-0.0044319861411011435,12,0.9500000000000002,87804,0,0,0.0,0.0,False,-0.00897301323942708,8,1.441,85153,39,0,0.0,1323.742430779872,False,-0.03142393011896365,0.3333333333333333,396647,0.0,0.0,8,0,0,13,8,7.640000000000001,12,25,19,176.0,96.0,11,7,19,791,2.069916918873787,96.87665426079184
16,19,0,0,0,10.000000000000002,20,10.0,21.400734196356975,35,21.314285714285713,36.81751360320744,16,49.0,33.99999999999999,20,34.0,25,0.5940000000000001,48533,13,10,1.0,344.0073419635698,False,0.04103887295034278,0,0.7220000000000002,44881,161,0,0.0,1610.0000000000002,False,-0.0234904349684728,0,0.2,66171,0,5,0.0,184.08756801603718,False,0.0027093363599057585,0,0.2,64114,117,37,1.0,3866.1339042924415,False,-0.0005588803319074821,10,1.0380000000000003,87690,0,0,0.0,0.0,False,-0.010259709477533607,10,1.5330000000000004,84263,55,0,0.0,2024.963248176409,False,-0.03751191746985624,0.3333333333333333,395652,0.0,0.0,9,0,0,9,6,5.961538461538462,16,25,18,158.0,99.0,11,8,18,1236,6.128315398469567,103.0049696592614
17,18,0,0,0,10.000000000000002,20,10.0,21.418375513359077,36,21.5,36.81751360320744,0,,33.99999999999999,20,34.0,26,0.8290000000000002,48589,15,10,1.0,364.1837551335908,False,0.04245146687115092,0,0.7220000000000002,44801,169,0,0.0,1690.0000000000002,False,-0.02434540985358555,0,0.2,66171,0,5,0.0,184.08756801603718,False,0.0027093363599057585,0,0.2,63340,143,47,1.0,4793.2508377610975,False,-0.005256561060460218,12,1.1480000000000004,87531,0,0,0.0,0.0,False,-0.012054312125419023,8,1.6030000000000004,84179,55,0,0.0,2024.963248176409,False,-0.03846000943477684,0.3333333333333333,394611,0.0,0.0,8,0,0,12,7,7.0,11,23,19,142.0,87.0,9,9,19,480,1.7764311963692307,104.78140085563064
18,19,0,0,0,10.000000000000002,20,10.0,21.418375513359077,0,,32.771851103965034,61,27.770491803278688,33.99999999999999,20,34.0,0,0.8030000000000002,48459,18,20,1.0,608.3675102671816,False,0.04228243571943127,0,0.7220000000000002,44731,176,0,0.0,1760.0000000000002,False,-0.025093512878059207,0,0.2,66171,0,5,0.0,163.85925551982518,False,0.002556286359177804,14,0.34,64537,133,10,1.0,3176.362454316408,False,0.0006231648683221672,6,1.1960000000000002,85783,51,10,1.0,2011.3644063022168,False,-0.020432711394585593,14,1.7350000000000003,83959,55,0,0.0,1802.4518107180768,False,-0.04219882949740924,0.5,393640,0.0,0.0,6,0,0,12,9,8.096153846153847,11,23,13,146.0,73.0,10,9,13,200,2.07667682133615,106.85807767696679
19,13,0,0,0,10.000000000000002,20,10.0,21.443026123758575,35,21.571428571428573,32.46771403793762,5,25.0,33.99999999999999,20,34.0,15,0.9530000000000003,48749,20,10,1.0,414.4302612375858,False,0.04640836017139671,0,0.722,44651,184,0,0.0,1840.0000000000002,False,-0.025948487763171955,0,0.2,66171,0,5,0.0,162.33857018968808,False,0.0025447806593857166,0,0.32600000000000007,63907,158,15,1.0,3875.013838122919,False,-0.0036240705910438307,0,1.1900000000000002,85987,41,14,1.0,1807.1762755554423,False,-0.01928251856366634,14,1.8610000000000002,83629,60,0,0.0,1948.062842276257,False,-0.04510173454397754,0.5,393094,0.0,0.0,11,0,0,9,5,4.6,12,21,11,96.0,48.0,7,6,11,809,1.5296249873936176,108.3877026643604
