index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.0,11,10.0,24.479338667939036,25,32.0,15.369245286488546,34,15.294117647058824,33.99999999999999,20,34.0,13,0.42900000000000005,46028,8,10,1.0,324.7933866793903,False,0.03382789886388896,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,15,2.456000000000001,57941.0,37,0,0.0,905.7355307137443,False,-0.13828867755689703,19,2.5950000000000006,59071.0,108,0,0.0,2643.768576137416,False,-0.10878942982264136,0,0.32600000000000007,86876,75,11,1.0,1526.693396486641,False,0.021628120608077457,9,0.9020000000000001,78079,358,0,0.0,5502.1898125628995,False,-0.05774859057305037,0.3333333333333333,373113,0.0,0.0,9,0,0,13,12,11.866666666666667,13,26,16,170.0,17.0,12,2,16,744,1.3973039629636332,35.899677698093
11,16,0,0,0,10.0,10,10.0,24.133796673269106,22,22.272727272727273,15.672029670154181,38,18.13157894736842,33.99999999999999,20,34.0,12,0.536,46154,8,10,1.0,321.33796673269103,False,0.036609346300641187,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,10,2.5410000000000004,57801.0,37,0,0.0,892.9504769109569,False,-0.1404489745671736,28,2.8560000000000008,57909.0,130,0,0.0,3137.393567524984,False,-0.12229474236313007,4,0.36600000000000005,87108,74,10,1.0,1499.7301955914095,False,0.02417543012444862,5,0.9430000000000001,77463,387,0,0.0,6065.075482349668,False,-0.06164858550341749,0.3333333333333333,371553,0.0,0.0,9,0,0,17,9,8.8,14,31,17,222.0,17.0,15,1,17,544,1.3974602640373632,37.297137962130364
12,17,0,0,0,9.999999999999998,8,10.0,23.991636961266682,3,18.0,15.344990080223583,32,12.15625,34.0,20,34.0,0,0.524,46128,6,17,1.0,467.8578283415336,False,0.03766711238323979,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,22,2.751000000000001,57031.0,40,0,0.0,959.6654784506673,False,-0.15131951982254357,10,2.928000000000001,57829.0,130,0,0.0,3118.912804964669,False,-0.12361165199612877,0,0.36200000000000004,87314,72,13,1.0,1546.839285776098,False,0.026851390036464296,13,1.068,76907,411,0,0.0,6306.7909229718925,False,-0.06672111977191622,0.3333333333333333,370327,0.0,0.0,7,0,0,17,11,11.0,13,30,14,252.0,3.0,16,1,14,372,1.3490428010118194,38.64618076314218
13,14,0,0,0,9.999999999999998,7,10.0,19.643594168743576,49,9.306122448979592,15.15859559381519,36,13.555555555555555,34.0,20,34.0,32,0.8440000000000001,45537,3,10,1.0,226.43594168743576,False,0.02173768371816106,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,27,2.9990000000000006,56257.0,40,0,0.0,785.743766749743,False,-0.16402461619752273,9,3.008000000000001,57202.0,179,0,0.0,3516.2033562051,False,-0.12993283143064188,0,0.36200000000000004,87642,76,10,1.0,1492.0532651299545,False,0.030355621474458777,7,1.125,76466,433,0,0.0,6563.671892121977,False,-0.07036468401961912,0.3333333333333333,368222,0.0,0.0,9,0,0,15,12,12.0,12,27,11,171.0,12.0,12,2,11,682,1.15622570697451,39.80240647011669
14,11,0,0,0,9.999999999999998,7,10.0,18.92010016066709,28,15.071428571428571,15.07990358619354,31,14.290322580645162,34.0,20,34.0,18,0.9920000000000002,45476,0,10,1.0,189.2010016066709,False,0.019955695087252152,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,11,3.0820000000000007,55963.0,40,0,0.0,756.8040064266836,False,-0.16857666932467585,20,3.199000000000001,56394.0,207,0,0.0,3916.4607332580877,False,-0.13890311566990265,0,0.36200000000000004,87818,81,11,1.0,1595.4721904816768,False,0.033010072918502685,11,1.228,76018,449,0,0.0,6770.8767102009,False,-0.07437939061945767,0.3333333333333333,366787,0.0,0.0,7,0,0,12,14,13.09090909090909,14,26,12,148.0,11.0,10,1,12,376,1.211641964968294,41.01404843508499
15,12,0,0,0,9.999999999999998,10,10.0,19.236152853400352,24,21.333333333333332,15.179516393118808,52,15.76923076923077,33.99999999999999,20,34.0,14,1.1140000000000003,45580,0,10,1.0,192.36152853400353,False,0.022318779835426104,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,21,3.281000000000001,55178.0,54,0,0.0,1038.752254083619,False,-0.17808048215093616,31,3.4890000000000008,55311.0,217,0,0.0,4174.245169187876,False,-0.1529827700937956,0,0.36200000000000004,87849,89,14,1.0,1826.9769589875737,False,0.03472079268271219,13,1.3470000000000002,75212,483,0,0.0,7331.706417876384,False,-0.08050623415860543,0.3333333333333333,364248,0.0,0.0,7,0,0,11,14,14.0,16,27,13,182.0,0.0,12,0,13,598,1.2077178210020065,42.221766256086994
16,13,0,0,0,9.999999999999998,12,10.0,18.6476126034343,14,11.714285714285714,14.491127402308647,63,10.952380952380953,33.99999999999999,20,34.0,4,1.1400000000000001,45533,2,10,1.0,206.476126034343,False,0.021424787103945218,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,28,3.540000000000001,54113.0,57,0,0.0,1062.9139183957552,False,-0.19361828437692202,35,3.808000000000001,54140.0,228,0,0.0,4251.655673583021,False,-0.16969190825955122,0,0.36200000000000004,87772,118,16,1.0,2253.9530334724204,False,0.03631185904989515,12,1.4540000000000002,74701,507,0,0.0,7347.001592970484,False,-0.08637390659697332,0.3333333333333333,361377,0.0,0.0,8,0,0,17,14,13.09090909090909,11,28,12,177.0,11.0,12,1,12,392,1.1882243509753607,43.409990607062355
17,12,0,0,0,9.999999999999998,8,10.0,18.9955827316734,8,26.0,14.566913462365353,54,15.055555555555555,33.99999999999999,20,34.0,0,1.1360000000000001,45661,0,12,1.0,227.94699278008082,False,0.02452994687414761,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,27,3.7820000000000014,53316.0,57,0,0.0,1082.748215705384,False,-0.20523317187555973,27,4.043000000000001,53247.0,236,0,0.0,4482.957524674923,False,-0.18116315557681018,0,0.36200000000000004,88060,118,14,1.0,2194.8957885591117,False,0.039324907841550336,8,1.5220000000000005,73920,551,0,0.0,8026.3693177633095,False,-0.09151841067236717,0.3333333333333333,359322,0.0,0.0,9,0,0,11,13,13.0,13,24,16,138.0,25.0,10,2,16,696,2.9092566129984334,46.31924722006079
18,16,0,0,0,9.999999999999998,10,10.0,18.75530957769632,10,15.1,14.253619958752395,41,11.487804878048781,33.99999999999999,20,34.0,0,1.1360000000000001,45712,0,12,1.0,225.06371493235582,False,0.025639156146426277,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,24,3.995000000000001,52519.0,57,0,0.0,1069.0526459286903,False,-0.21709545749333217,17,4.186000000000001,52812.0,246,0,0.0,4613.8061561132945,False,-0.18661693974682142,0,0.36200000000000004,88380,118,14,1.0,2157.9271551327824,False,0.04283973208950844,10,1.6140000000000003,73341,582,0,0.0,8295.606815993893,False,-0.09669864534182422,0.3333333333333333,357882,0.0,0.0,10,0,0,17,9,9.0,12,29,15,207.0,27.0,14,2,15,591,1.2292387449997477,47.548485965060536
19,15,0,0,0,10.0,14,10.0,19.87791089311753,23,27.0,13.709061681052274,43,9.116279069767442,33.99999999999999,20,34.0,11,1.246,45941,4,10,1.0,238.7791089311753,False,0.03091809473053537,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,24,4.211000000000001,51668.0,57,0,0.0,1133.0409209076993,False,-0.22918142904960007,19,4.359000000000002,51789.0,269,0,0.0,5347.158030248615,False,-0.19630223544419234,2,0.38200000000000006,88644,137,10,1.0,2218.1414503041615,False,0.04626819366259535,4,1.6440000000000003,73119,596,0,0.0,8170.600761907155,False,-0.10001514990028941,0.3333333333333333,356279,0.0,0.0,12,0,0,13,10,9.333333333333332,17,30,15,204.0,11.0,14,1,15,896,1.2527384959976189,48.801224461058155
