index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,34,0,0,0,10.000000000000002,20,10.0,25.7225426614456,11,29.0,19.1194308733185,18,21.555555555555557,38.0,20,38.0,0,0.272,38301,114,0,0.0,1140.0000000000002,False,-0.017093584848408224,0,0.2,40737,0,27,0.9,694.5086518590313,False,0.0388715787778975,0,0.2,61520,0,7,0.0,133.8360161132295,False,-0.0009746133947050987,8,0.685,59139,16,10,1.0,602.7549913163145,False,-0.03579448317585358,0,0.6140000000000001,77507,20,14,1.0,914.38861746637,False,-0.002543475701633903,4,0.7170000000000001,77834,6,10,1.0,494.716585239911,False,-0.001044505806840069,0.65,355038,0.0,0.0,21,0,0,23,4,3.333333333333333,12,35,37,207.0,91.0,14,20,37,1311,1.9252886259928346,24.49648797896225
11,37,0,0,0,10.000000000000002,20,10.0,25.92087736328662,11,27.272727272727273,23.48789314418423,71,29.845070422535212,37.99999999999999,20,38.0,1,0.28200000000000003,38198,123,0,0.0,1230.0000000000002,False,-0.018560194199307153,0,0.2,40917,1,27,1.0,709.8636888087387,False,0.043617261597703176,0,0.2,61520,0,7,0.0,164.41525200928962,False,-0.0007265945462934915,61,1.2870000000000004,58823,17,10,1.0,675.5338466177149,False,-0.04033015518502344,0,0.6140000000000001,75944,77,14,1.0,2340.5677721021857,False,-0.01341704021018773,0,0.7130000000000001,78038,0,10,1.0,379.99999999999994,False,0.0008315955119429909,0.6666666666666666,353440,0.0,0.0,23,0,0,25,2,1.9104477611940298,13,38,37,258.0,123.0,16,21,37,1426,2.2506911610253155,26.747179139987566
12,37,0,0,0,10.000000000000002,20,10.0,25.92087736328662,0,,26.291391362721594,28,42.0,38.00000000000001,20,38.0,0,0.281,38098,133,0,0.0,1330.0000000000002,False,-0.01982451260525451,0,0.2,40817,1,37,1.0,969.072462441605,False,0.044365849020679235,0,0.2,61520,0,7,0.0,184.03973953905117,False,-0.00056742631807674,18,1.4060000000000004,59285,7,10,1.0,444.36005517022227,False,-0.0347108532842618,0,0.6140000000000001,75812,81,12,1.0,2585.6027003804493,False,-0.01353835766039902,0,0.7130000000000001,77754,4,12,1.0,561.1655654508864,False,-0.001642941254488188,0.6666666666666666,353286,0.0,0.0,23,0,0,19,2,1.2857142857142856,12,31,43,183.0,113.0,11,26,43,960,2.812056927010417,29.559236066997983
13,43,0,0,0,10.000000000000002,20,10.0,26.273266696752593,10,29.0,27.48254625952845,12,44.0,38.0,20,38.0,0,0.281,38008,142,0,0.0,1420.0000000000002,False,-0.020962399170607125,0,0.2,40997,2,37,1.0,992.110867779846,False,0.04920867408121789,0,0.2,61520,0,7,0.0,192.37782381669916,False,-0.0004997986615999183,2,1.4080000000000001,59453,7,10,1.0,458.73832947255266,False,-0.03186904205011956,0,0.6140000000000001,75966,77,11,1.0,2534.156061983691,False,-0.011897214398221048,0,0.7130000000000001,77832,0,13,1.0,494.0,False,-0.0010746772769724806,0.6666666666666666,353776,0.0,0.0,25,0,0,24,1,0.3333333333333333,17,41,45,243.0,104.0,21,22,45,1514,2.6539623530115932,32.213198420009576
14,45,0,0,0,10.000000000000002,20,10.0,26.450588647861228,9,28.0,27.981379250675094,5,44.0,38.00000000000001,20,38.0,0,0.281,37928,150,0,0.0,1500.0000000000002,False,-0.02197385389536501,0,0.2,41129,4,38,1.0,1045.1223686187268,False,0.05321670883529382,0,0.2,61520,0,7,0.0,195.86965475472564,False,-0.00047147748670065286,0,1.4060000000000001,59421,6,15,1.0,578.4242206472937,False,-0.031417390784244985,0,0.6140000000000001,76194,67,15,1.0,2444.7524097952314,False,-0.009552138417184339,1,0.7230000000000001,78099,0,5,0.5,190.00000000000003,False,0.0003966070903112726,0.5833333333333334,354291,0.0,0.0,24,0,0,26,1,0.5,15,41,21,333.0,108.0,21,24,21,1356,2.185719484987203,34.39891790499678
15,21,0,0,0,10.000000000000002,20,10.0,27.079939694962306,17,30.0,29.35717065629856,14,44.0,38.00000000000001,20,38.0,0,0.281,37818,161,0,0.0,1610.0000000000002,False,-0.023364604141907098,0,0.2,41549,3,31,1.0,869.4781305438315,False,0.06161628101428474,0,0.2,61520,0,7,0.0,205.50019459408992,False,-0.0003933671176692344,0,1.4060000000000004,59527,13,11,1.0,674.9680932537942,False,-0.028914885612813367,0,0.6140000000000001,76380,64,12,1.0,2334.858922003108,False,-0.007875472269468296,2,0.7420000000000002,77967,0,7,0.7,266.00000000000006,False,-0.0008060079577293604,0.6166666666666667,354761,0.0,0.0,22,0,0,25,1,0.6666666666666666,9,34,15,207.0,37.0,14,7,15,1972,1.52170624100836,35.92062414600514
16,15,0,0,0,10.000000000000002,20,10.0,27.183966628973653,11,28.0,27.51472705571105,20,14.0,38.00000000000001,20,38.0,0,0.281,37698,173,0,0.0,1730.0000000000002,False,-0.024881786229043922,0,0.2,41777,1,30,1.0,825.5189988692096,False,0.06682578955254778,0,0.2,61520,0,7,0.0,192.60308938997736,False,-0.0004979716012946833,9,1.4960000000000004,59184,14,10,1.0,655.7228033627416,False,-0.03463491489153773,1,0.6240000000000001,76703,63,10,1.0,2113.4278045097963,False,-0.005159552444828186,0,0.7400000000000002,78079,1,10,1.0,407.5147270557111,False,0.0015321490158751987,0.6666666666666666,354961,0.0,0.0,21,0,0,18,2,1.8181818181818183,14,32,14,116.0,49.0,9,6,14,1356,1.360783986048773,37.28140813205391
17,14,0,0,0,10.000000000000002,20,10.0,27.402853764714163,12,29.0,25.453553749558665,27,14.0,38.00000000000001,20,38.0,0,0.281,37588,184,0,0.0,1840.0000000000002,False,-0.02627253647558601,0,0.2,42035,0,28,1.0,767.2799054119965,False,0.07261334494919965,0,0.2,61520,0,7,0.0,178.17487624691066,False,-0.0006149944340608064,17,1.657,58519,16,10,1.0,692.9811977310133,False,-0.04511994746110098,3,0.653,77058,53,10,1.0,1729.0383487266092,False,-0.0030766580816587894,0,0.7400000000000002,77967,18,13,1.0,952.1639674920561,False,0.003583306471681351,0.6666666666666666,354687,0.0,0.0,18,0,0,21,4,4.0,11,32,15,132.0,46.0,9,5,15,1334,1.2678773679654114,38.54928550001932
18,15,0,0,0,10.000000000000002,20,10.0,27.38862578595977,11,27.272727272727273,26.37338973558048,36,30.444444444444443,38.00000000000001,20,38.0,0,0.281,37498,193,0,0.0,1930.0000000000005,False,-0.02741042304093863,0,0.2,42225,1,27,1.0,749.4928962209138,False,0.07719287046072912,0,0.2,61688,0,3,0.0,79.12016920674145,False,0.0013067965124559239,22,1.8600000000000003,58377,17,10,1.0,729.3405357171209,False,-0.04712848528138341,1,0.6600000000000001,77263,47,10,1.0,1619.5493175722827,False,-0.0011543229048763804,0,0.7400000000000002,77381,40,14,1.0,1586.9355894232194,False,0.00014671640944710745,0.6666666666666666,354432,0.0,0.0,23,0,0,15,2,1.6875,15,30,14,129.0,35.0,8,7,14,1390,1.3110821139998734,39.8603676140192
19,14,0,0,0,10.000000000000002,20,10.0,27.38862578595977,0,,26.37338973558048,0,,38.00000000000001,20,38.0,0,0.281,37368,206,0,0.0,2060.0000000000005,False,-0.02905403696867019,0,0.2,42155,0,35,0.8,958.601902508592,False,0.0780666283473917,0,0.2,61688,0,3,0.0,79.12016920674145,False,0.0013067965124559239,0,1.838,58377,7,20,1.0,719.188175213328,False,-0.047210827978544506,2,0.6790000000000002,77627,37,10,1.0,1355.8154202164778,False,0.0018155356128633322,0,0.7400000000000002,77685,30,16,1.0,1399.2016920674146,False,0.0028351118308368845,0.6333333333333333,354900,0.0,0.0,15,0,0,15,2,2.0,15,30,17,84.0,32.0,8,6,17,884,1.772454830002971,41.63282244402217
