index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,9,10.0,23.864965560958595,18,22.555555555555557,14.602160941267114,54,18.01851851851852,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,8,0.43300000000000005,39949,5,10,1.0,288.649655609586,False,0.04311907658978016,21,2.7050000000000005,46673.0,86,0,0.0,2052.3870382424393,False,-0.20486766708694565,33,2.1770000000000005,54181.0,54,0,0.0,1288.708140291764,False,-0.08607654619770484,3,0.266,79447,90,10,1.0,1644.1944847140403,False,0.029486946804630244,7,0.8640000000000001,71510,312,0,0.0,4555.87421367534,False,-0.05363682048431879,0.3333333333333333,330527,0.0,0.0,10,0,0,10,18,17.6,17,27,13,151.0,23.0,10,3,13,676,1.3654971119831316,40.664786067965906
11,13,0,0,0,10.000000000000002,7,10.0,22.293932999559917,14,9.0,14.349859938254973,37,12.405405405405405,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,4,0.4650000000000001,39929,2,10,1.0,242.93932999559917,False,0.04200410201367987,23,2.9140000000000006,45976.0,86,0,0.0,1917.2782379621528,False,-0.21761257698943015,14,2.2840000000000007,53831.0,68,0,0.0,1515.9874439700743,False,-0.0900166076783237,0,0.263,79600,99,11,1.0,1783.6361338872423,False,0.032343440643114355,11,0.9670000000000003,71050,330,0,0.0,4735.453779624141,False,-0.058384931514530364,0.3333333333333333,329153,0.0,0.0,6,0,0,14,14,13.285714285714285,16,30,13,161.0,16.0,12,1,13,367,1.3104695279616863,41.97525559592759
12,13,0,0,0,10.000000000000002,12,10.0,22.293932999559917,0,,14.309834734858756,31,13.935483870967742,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,0,0.4610000000000001,39809,4,20,1.0,485.87865999119833,False,0.042042338692777584,7,2.9610000000000003,45781.0,86,0,0.0,1917.2782379621528,False,-0.22086317293201962,24,2.5100000000000007,53337.0,68,0,0.0,1515.9874439700743,False,-0.0982514507328837,0,0.263,79822,100,12,1.0,1826.9834734858755,False,0.03546866405980434,11,1.0660000000000003,70542,350,0,0.0,5008.442157200564,False,-0.0631496591176057,0.3333333333333333,328058,0.0,0.0,8,0,0,14,12,12.0,16,30,14,129.0,16.0,11,2,14,417,1.2987942050094716,43.274049800937064
13,14,0,0,0,10.000000000000002,12,10.0,22.419929728453674,19,23.210526315789473,14.459954986056932,34,15.735294117647058,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,0,0.4610000000000001,40130,6,11,1.0,306.61922701299045,False,0.048061963094663825,11,3.0640000000000005,45449.0,88,0,0.0,1972.9538161039234,False,-0.2259334726691233,23,2.7160000000000006,52499.0,85,0,0.0,1905.6940269185623,False,-0.10897252807249197,0,0.263,79985,105,13,1.0,1947.2952735359777,False,0.03833073793469265,11,1.1650000000000003,69997,369,0,0.0,5335.723389855008,False,-0.06804076317907526,0.3333333333333333,326827,0.0,0.0,15,0,0,16,13,13.0,14,30,12,129.0,31.0,10,4,12,858,1.2046252500149421,44.478675050952006
14,12,0,0,0,10.000000000000002,11,10.0,22.351085320660758,13,21.692307692307693,14.199201111441429,44,12.477272727272727,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,2,0.4810000000000001,40263,7,10,1.0,293.5108532066076,False,0.05135173864614694,25,3.3030000000000004,44346.0,100,0,0.0,2235.108532066076,False,-0.2421351536776236,19,2.883000000000001,52148.0,86,0,0.0,1922.1933375768251,False,-0.1146860813017651,0,0.263,80183,113,14,1.0,2066.5097255928813,False,0.04163466541998772,11,1.2640000000000002,69406,395,0,0.0,5608.684439019365,False,-0.07387017802347468,0.3333333333333333,325113,0.0,0.0,15,0,0,13,18,18.0,17,30,12,102.0,21.0,9,3,12,635,1.2385952320182696,45.717270282970276
15,12,0,0,0,10.000000000000002,11,10.0,22.261932723472995,23,21.782608695652176,13.429112909882486,37,7.162162162162162,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,13,0.6090000000000002,40395,8,10,1.0,302.61932723472995,False,0.05490450784726207,30,3.5780000000000007,42758.0,123,0,0.0,2738.2177249871784,False,-0.26441332806858614,7,2.9340000000000006,52022.0,86,0,0.0,1914.5262142186775,False,-0.11685037078282115,0,0.263,80538,120,10,1.0,1941.4935491858982,False,0.045386004547812574,6,1.3130000000000002,69189,415,0,0.0,5573.081857601232,False,-0.07688160922405259,0.3333333333333333,323669,0.0,0.0,14,0,0,15,12,11.2,19,34,5,175.0,0.0,12,0,5,662,1.2169924760237336,46.93426275899401
16,5,0,0,0,10.000000000000002,12,10.0,22.80957830742398,12,28.833333333333332,13.218344617314436,51,11.96078431372549,33.0,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,2,0.6160000000000001,40583,10,10,1.0,328.0957830742398,False,0.0601271696205932,21,3.758000000000001,41788.0,132,0,0.0,3010.8643365799653,False,-0.2783104874511997,30,3.227000000000001,51150.0,89,0,0.0,2030.0524693607342,False,-0.13042347372551027,0,0.263,80676,133,10,1.0,2088.03983410282,False,0.04809567676095177,10,1.4070000000000003,68642,443,0,0.0,5855.726665470295,False,-0.08208460519770243,0.3333333333333333,321606,0.0,0.0,14,0,0,10,19,18.666666666666664,16,26,10,58.0,0.0,5,0,10,724,1.0186006490257569,47.952863408019766
17,10,0,0,0,10.000000000000002,10,10.0,22.88846419095631,2,28.0,13.594208469732623,67,15.388059701492537,33.0,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,0,0.6140000000000001,40539,10,18,1.0,511.9923554372136,False,0.06137465339053501,38,4.117000000000001,40302.0,134,0,0.0,3067.0542015881456,False,-0.3026133607695732,29,3.4870000000000014,50564.0,89,0,0.0,2037.0733129951116,False,-0.14013341351751896,0,0.263,80831,143,13,1.0,2372.971811171765,False,0.05191081063980869,13,1.5270000000000001,67496,490,0,0.0,6661.162150168985,False,-0.09161753142125821,0.3333333333333333,318499,0.0,0.0,9,0,0,10,18,18.0,18,28,8,107.0,6.0,8,2,8,387,1.0856785189826041,49.03854192700237
18,8,0,0,0,10.000000000000002,14,10.0,22.55631353808081,6,16.0,13.535725455579263,10,11.5,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,0,0.6140000000000001,40495,14,22,1.0,636.2388978377779,False,0.0618461715297868,4,4.119000000000001,40100.0,140,0,0.0,3157.8838953313134,False,-0.3052235918640808,6,3.518000000000001,50492.0,89,0,0.0,2007.5119048891922,False,-0.14158002379695284,0,0.263,81256,134,10,1.0,2143.787211047621,False,0.055891927735331734,7,1.5840000000000003,67323,499,0,0.0,6754.327002334052,False,-0.09323889314906977,0.3333333333333333,318433,0.0,0.0,13,0,0,8,5,5.0,16,24,8,91.0,6.0,6,2,8,665,1.0731249609962106,50.11166688799858
19,8,0,0,0,10.0,9,10.0,23.98225635895207,39,28.076923076923077,13.664314284916417,46,14.565217391304348,32.99999999999999,20,33.0,0,0.2,38767,0,0,0.0,0.0,False,0.0086117181808721,17,0.784,41147,13,10,1.0,369.8225635895207,False,0.07534372155777815,15,4.265000000000001,39082.0,161,0,0.0,3861.1432737912833,False,-0.3163318002151121,31,3.8220000000000014,49183.0,107,0,0.0,2566.1014304078717,False,-0.15874492464945347,1,0.273,81386,140,10,1.0,2243.003999888298,False,0.05819548544240276,9,1.6670000000000005,66744,529,0,0.0,7228.422256720784,False,-0.0976245847330975,0.3333333333333333,316309,0.0,0.0,11,0,0,14,17,15.466666666666667,13,27,9,89.0,0.0,8,0,9,594,0.9879359100013971,51.09960279799998
