index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,6,10.0,8.189572477763429,5,14.2,19.97404736700962,46,16.43478260869565,43.00000000000001,20,43.0,0,0.2,37413,0,2,0.0,16.379144955526858,False,0.00846712405955114,3,1.7690000000000003,31006,118,0,0.0,1180.0000000000002,False,-0.148516452421376,0,0.2,53772,0,21,0.9,419.45499470720205,False,0.012961428709418178,38,3.856000000000001,31719.0,121,0,0.0,990.9382698093749,False,-0.39549888095729696,0,0.4070000000000001,70080,111,15,1.0,2862.119257738068,False,-0.008883196184873205,12,0.9500000000000002,66314,269,0,0.0,5373.018741725588,False,-0.04367849303050785,0.31666666666666665,290304,0.0,0.0,9,0,0,14,13,13.0,15,29,18,190.0,66.0,12,7,18,602,1.4422063609817997,26.610450791020412
11,18,0,0,0,10.000000000000002,14,10.0,7.955696054510007,9,4.555555555555555,21.599745800442275,107,26.177570093457945,43.0,20,43.0,0,0.2,37413,0,2,0.0,15.911392109020014,False,0.008460821302032196,9,1.8560000000000005,30662,132,0,0.0,1320.0000000000002,False,-0.15590050394804214,0,0.2,54072,0,17,0.9,367.1956786075187,False,0.018100576819796186,94,4.758000000000001,27197.0,121,0,0.0,962.6392225957109,False,-0.48061924881691365,0,0.40700000000000003,68126,186,14,1.0,4619.552718882263,False,-0.02378622409023815,9,1.0280000000000002,65800,291,0,0.0,6285.526027928702,False,-0.04447883615195221,0.31666666666666665,283270,0.0,0.0,14,0,0,15,11,11.0,14,29,18,195.0,81.0,11,7,18,954,1.2582271090359427,27.868677900056355
12,18,0,0,0,10.0,12,10.0,6.7927477621374175,32,2.21875,22.56106858822737,94,26.319148936170212,43.00000000000001,20,43.0,0,0.2,37413,0,2,0.0,13.585495524274835,False,0.008429480900157228,32,2.1670000000000007,29430,144,0,0.0,1440.0,False,-0.1874848411350958,0,0.2,54064,0,19,0.2,428.66030317632004,False,0.01852714626462557,94,5.604000000000002,22755.0,151,0,0.0,1025.70491208275,False,-0.563381200276944,0,0.40700000000000003,66464,249,13,1.0,6176.7060784686155,False,-0.036030144150760765,9,1.1090000000000002,65318,312,0,0.0,7039.05339952694,False,-0.04593737249468517,0.19999999999999998,275444,0.0,0.0,10,0,0,14,13,13.0,15,29,20,179.0,99.0,10,8,20,593,1.1972368310089223,29.065914731065277
13,20,0,0,0,10.0,11,10.0,6.420843491377905,21,3.9047619047619047,23.46314205152614,72,28.666666666666668,43.00000000000001,20,43.0,0,0.2,37444,0,1,0.0,6.420843491377905,False,0.00916836235065317,20,2.335000000000001,28747,155,0,0.0,1550.0,False,-0.20440887164146926,0,0.2,54023,0,25,0.6,586.5785512881536,False,0.019239445227976167,72,6.230000000000002,20998.0,166,0,0.0,1065.8600195687322,False,-0.5959743669703258,0,0.40700000000000003,64991,299,14,1.0,7617.479473406316,False,-0.046461085809081495,11,1.2100000000000002,64919,324,0,0.0,7602.05802469447,False,-0.04756584692943734,0.26666666666666666,271122,0.0,0.0,10,0,0,16,11,11.0,17,33,18,226.0,96.0,13,7,18,528,1.095593268983066,30.161508000048343
14,18,0,0,0,10.0,6,10.0,6.361410004504171,2,2.0,22.926682379814732,37,16.56756756756757,43.00000000000001,20,43.0,0,0.2,37444,0,1,0.0,6.361410004504171,False,0.009167561511365899,2,2.335000000000001,28641,161,0,0.0,1610.0,False,-0.2064570027218584,0,0.2,54039,0,24,0.0,550.2403771155535,False,0.019198742537347314,36,6.518000000000003,19459.0,168,0,0.0,1068.7168807567007,False,-0.6248267354641807,0,0.40700000000000003,65346,291,15,1.0,7316.664572526087,False,-0.043625508838798024,11,1.3090000000000002,64142,359,0,0.0,8230.678974353488,False,-0.053978552400810266,0.16666666666666666,269071,0.0,0.0,6,0,0,18,13,13.0,13,31,14,222.0,60.0,13,5,14,463,1.005594007030595,31.167102007078938
15,14,0,0,0,10.0,7,10.0,6.532704949856461,2,18.0,22.394919984367338,37,16.243243243243242,43.0,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,1,2.343000000000001,28551,168,0,0.0,1680.0,False,-0.20793920284582423,0,0.2,54210,0,13,0.2,291.1339597967754,False,0.019976487209817553,24,6.722000000000002,18671.0,168,0,0.0,1097.4944315758855,False,-0.6393434685821633,0,0.40700000000000003,65511,289,18,1.0,7246.1318754821605,False,-0.041827448473485455,13,1.4280000000000002,63435,388,0,0.0,8689.228953934527,False,-0.0605996441267426,0.19999999999999998,267853,0.0,0.0,9,0,0,13,9,9.0,16,29,16,166.0,57.0,10,4,16,609,0.9758132939459756,32.142915301024914
16,16,0,0,0,10.0,11,10.0,6.5475044146992785,4,7.0,21.518488905780686,71,16.35211267605634,43.00000000000001,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,4,2.3820000000000006,28369,179,0,0.0,1790.0,False,-0.21136173767752714,0,0.2,54302,0,9,0.4,193.66640015202617,False,0.020788373272710454,63,7.328000000000002,14775.0,168,0,0.0,1099.9807416694787,False,-0.7124281704071093,0,0.4070000000000001,65183,322,19,1.0,7745.95342766138,False,-0.042909736198155385,11,1.5250000000000001,62803,416,0,0.0,8951.691384804766,False,-0.06754011403145613,0.2333333333333333,262907,0.0,0.0,12,0,0,12,13,13.0,16,28,14,190.0,75.0,11,5,14,617,1.0071419089799747,33.15005721000489
17,14,0,0,0,10.0,8,10.0,5.964353281288646,20,2.65,21.20024185608194,51,18.45098039215686,43.00000000000001,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,20,2.5780000000000007,27714,187,0,0.0,1870.0,False,-0.2279354299727814,3,0.23,54446,10,10,1.0,271.6459513737059,False,0.024222157131351507,39,7.655000000000003,13023.0,168,0,0.0,1002.0113512564925,False,-0.7462234584521168,0,0.40700000000000003,65236,335,19,1.0,7919.0810217874505,False,-0.04097543365542568,10,1.6140000000000003,62087,444,0,0.0,9412.907384100383,False,-0.07426746740145547,0.3333333333333333,259981,0.0,0.0,8,0,0,13,12,11.375,17,30,13,174.0,39.0,11,3,13,698,1.0231310439994559,34.173188254004344
18,13,0,0,0,10.0,15,10.0,5.766260003894262,5,1.0,20.718143853891906,38,15.105263157894736,43.00000000000001,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,5,2.6080000000000005,27444,202,0,0.0,2020.0,False,-0.23319050313956935,2,0.24700000000000003,54540,0,10,1.0,207.18143853891905,False,0.02538122233152798,26,7.876000000000002,12118.0,173,0,0.0,997.5629806737073,False,-0.7632474246995392,0,0.4070000000000001,65659,333,16,1.0,7587.141903346005,False,-0.037413086932129413,7,1.6740000000000004,61557,474,0,0.0,9820.400186744764,False,-0.07878922145786152,0.3333333333333333,258793,0.0,0.0,15,0,0,7,8,7.166666666666667,19,26,12,139.0,60.0,8,5,12,709,0.8411802950431593,35.014368549047504
19,12,0,0,0,10.0,9,10.0,4.54150963620711,39,1.0,20.158174981938547,45,14.777777777777779,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,39,2.9930000000000008,25922,211,0,0.0,2110.0,False,-0.2729943137413426,1,0.255,54640,7,10,1.0,233.37231727283523,False,0.027503446334961205,34,8.190000000000003,10690.0,195,0,0.0,885.5943790603864,False,-0.7910942337443435,0,0.40700000000000003,65711,331,22,1.0,7618.355919021659,False,-0.03647607884035337,16,1.8270000000000002,60656,511,0,0.0,10300.827415770598,False,-0.0879474760521497,0.3333333333333333,255094,0.0,0.0,7,0,0,7,16,15.09090909090909,19,26,12,176.0,36.0,10,2,12,262,0.8679187070229091,35.88228725607041
