index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,6,0,0,0,10.000000000000002,20,10.0,3.763857165230848,63,2.2222222222222223,18.353466303557358,10,12.0,29.00000000000001,11,29.0,37,0.9930000000000001,14218,104,0,0.0,1040.0000000000002,False,-0.11711495836578206,26,0.9100000000000001,14423,116,0,0.0,1160.0000000000002,False,-0.10124004073563769,0,0.2,26534,1,36,1.0,664.4886440932958,False,0.024529776228755233,0,1.1450000000000002,24923,92,0,0.0,346.27485920123803,False,-0.04297229799791717,0,0.3350000000000001,33015,53,16,1.0,1436.7337140885402,False,0.0020605649074461685,0,0.2,33592,0,6,0.0,174.00000000000006,False,0.00044557984790874526,0.3333333333333333,146705,0.0,0.0,13,0,0,11,5,5.0,9,20,8,92.0,0.0,6,0,8,639,0.5415205559693277,11.098957900947426
11,8,0,0,0,10.000000000000002,20,10.0,3.6390542289596493,6,1.0,19.317848311503187,73,20.63013698630137,29.000000000000007,15,29.0,0,0.9560000000000002,14128,113,0,0.0,1130.0000000000002,False,-0.11981069909542923,6,0.9440000000000002,14223,127,0,0.0,1270.0000000000002,False,-0.1099263164200563,0,0.2,26528,0,43,0.7,830.6674773946371,False,0.027469539667365216,73,1.8750000000000002,23831,92,0,0.0,334.7929890642877,False,-0.08483405809662731,0,0.3350000000000001,31944,116,11,1.0,2559.87040413437,False,-0.013072267048859708,0,0.2,33592,0,6,0.0,174.00000000000006,False,0.00044557984790874526,0.2833333333333333,144246,0.0,0.0,16,0,0,13,4,4.0,11,24,9,107.0,0.0,8,0,9,635,0.8727814070298336,11.97173930797726
12,9,0,0,0,10.000000000000002,20,10.0,3.5129718699827452,6,1.0,19.49203043618412,2,33.0,29.00000000000001,10,29.0,0,0.9560000000000002,14048,121,0,0.0,1210.0000000000002,False,-0.1222069130773378,6,0.9980000000000002,14013,139,0,0.0,1390.0000000000002,False,-0.1189121188522135,0,0.2,26588,0,47,0.6,916.1254305006536,False,0.031387053931675464,0,1.8020000000000007,23831,92,0,0.0,323.1934120384126,False,-0.0850552299119397,0,0.3350000000000001,32201,107,11,1.0,2404.6472566717007,False,-0.007743475869301057,0,0.2,33559,0,7,0.1,203.00000000000009,False,-0.00010396863117870722,0.2833333333333334,144240,0.0,0.0,14,0,0,13,2,2.0,12,25,12,101.0,18.0,8,1,12,556,0.8778807440539822,12.849620052031241
13,12,0,0,0,10.000000000000002,20,10.0,3.36641658258036,7,1.0,19.29474035889939,115,19.05217391304348,29.00000000000001,11,29.0,0,0.9560000000000002,13948,131,0,0.0,1310.0000000000002,False,-0.12520218055472354,7,1.0620000000000003,13808,149,0,0.0,1490.0000000000002,False,-0.12819744803210928,0,0.2,26621,0,46,0.0,887.5580565093719,False,0.03210079046084296,114,2.942,18831,99,0,0.0,333.2752416754556,False,-0.27553530790383535,0,0.3350000000000001,30362,211,10,1.0,4361.190215727771,False,-0.03331169475214216,0,0.2,33526,0,8,0.1,232.00000000000009,False,-0.0006535171102661596,0.18333333333333335,137096,0.0,0.0,15,0,0,12,7,7.0,16,28,10,149.0,36.0,10,2,10,552,0.84208234900143,13.691702401032671
14,10,0,0,0,10.000000000000002,20,10.0,3.1166350815928974,17,1.5294117647058822,18.79419784897883,17,12.0,29.000000000000007,16,29.0,6,1.0160000000000002,13766,140,0,0.0,1400.0000000000002,False,-0.13340921344276044,11,1.1650000000000003,13515,160,0,0.0,1600.0000000000002,False,-0.14245492122446535,0,0.2,26703,7,47,1.0,905.1437444731553,False,0.035563126729839384,8,2.9080000000000004,18719,99,0,0.0,308.54687307769683,False,-0.2802778691782462,6,0.395,30400,218,10,1.0,4387.135131077384,False,-0.031797541422923854,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.3333333333333333,136629,0.0,0.0,15,0,0,11,8,7.571428571428571,13,24,11,104.0,54.0,7,3,11,511,0.7777281270246021,14.469430528057273
15,11,0,0,0,10.000000000000002,20,10.0,3.0094051649188462,7,1.2857142857142858,18.556959532175455,7,11.0,29.000000000000007,9,29.0,5,1.0600000000000003,13631,146,0,0.0,1460.0000000000002,False,-0.13969927514527047,2,1.1740000000000002,13347,174,0,0.0,1740.0000000000002,False,-0.14832564548014138,0,0.2,26694,4,57,1.0,1069.7843139936763,False,0.03835915635117405,7,2.9700000000000006,18614,99,0,0.0,297.9311113269658,False,-0.28448440088229865,0,0.389,30584,215,11,1.0,4308.746299417723,False,-0.027496044744865052,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.3333333333333333,136396,0.0,0.0,11,0,0,9,3,3.0,17,26,9,105.0,54.0,8,3,9,461,0.7260686609661207,15.195499189023394
16,9,0,0,0,10.000000000000002,20,10.0,3.0094051649188462,0,,18.05876267461138,19,12.631578947368421,29.000000000000007,10,29.0,0,1.0550000000000002,13551,154,0,0.0,1540.0000000000002,False,-0.14209548912717906,0,1.1720000000000002,13227,186,0,0.0,1860.0000000000002,False,-0.15191996645300426,0,0.2,26811,0,53,0.4,957.1144217544031,False,0.04067258554998295,11,3.073000000000001,18410,99,0,0.0,297.9311113269658,False,-0.2922638311534347,0,0.38900000000000007,30634,224,11,1.0,4364.162839112949,False,-0.025187695474201688,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.2333333333333333,136159,0.0,0.0,16,0,0,7,3,3.0,15,22,13,97.0,54.0,6,3,13,607,0.5850676209665835,15.780566809989978
17,13,0,0,0,10.000000000000002,20,10.0,2.8904596532480324,11,1.7272727272727273,17.829461109209856,8,12.0,29.000000000000007,11,29.0,8,1.1350000000000002,13366,160,0,0.0,1600.0000000000002,False,-0.1513808183070748,3,1.2020000000000002,13045,200,0,0.0,2000.0000000000005,False,-0.15862936560234828,0,0.2,26795,0,61,0.8,1087.597127661801,False,0.04255037805860886,8,3.142000000000001,18295,102,0,0.0,294.8268846312993,False,-0.2967084833041357,0,0.389,30857,222,10,1.0,4248.140366244588,False,-0.020286650929114254,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.3,135884,0.0,0.0,13,0,0,9,4,4.0,17,26,12,135.0,72.0,9,4,12,519,0.8256178299780004,16.606184639967978
18,12,0,0,0,10.000000000000002,20,10.0,2.8464473812542814,15,2.533333333333333,17.829461109209856,0,,29.000000000000007,9,29.0,14,1.2670000000000003,13039,171,0,0.0,1710.0000000000002,False,-0.16767507338405319,1,1.2090000000000003,12940,209,0,0.0,2090.0000000000005,False,-0.16222368657521116,0,0.2,26784,0,67,0.6,1194.5738943170604,False,0.044170649702876444,0,3.1340000000000003,18268,111,0,0.0,315.9556593192252,False,-0.29733524655227805,0,0.38900000000000007,31118,212,11,1.0,4098.84575515249,False,-0.014750983912302585,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.26666666666666666,135675,0.0,0.0,12,0,0,15,3,3.0,11,26,10,156.0,18.0,11,1,10,461,0.891221139987465,17.497405779955443
19,10,0,0,0,10.000000000000002,20,10.0,2.7207770517286725,8,1.0,17.622578424374375,7,12.0,29.000000000000007,10,29.0,0,1.2530000000000003,12949,180,0,0.0,1800.0000000000002,False,-0.17037081411370036,8,1.2880000000000003,12710,220,0,0.0,2200.0000000000005,False,-0.17270712274606123,0,0.2,26784,0,67,0.0,1180.712754433083,False,0.04390635614599931,7,3.2040000000000006,18162,119,0,0.0,323.77246915571203,False,-0.30122845461702114,0,0.389,31324,209,11,1.0,4002.1188906942443,False,-0.010068338719489058,0,0.2,33526,0,8,0.0,232.00000000000006,False,-0.0006535171102661596,0.16666666666666666,135455,0.0,0.0,13,0,0,12,2,2.0,13,25,10,116.0,18.0,9,1,10,490,0.8688590769888833,18.366264856944326
