index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,45.0,0,,0,0.2,59103,0,10,1.0,190.0,False,-8.445517963616708e-05,0,0.2,59103,0,10,1.0,190.0,False,-8.445517963616708e-05,0,0.2,95464,0,0,0.0,0.0,False,0.0,0,0.2,95464.0,0,0,0.0,0.0,False,0.0,0,0.2,145046,0,0,0.0,0.0,False,0.0,0,0.2,145046,0,0,0.0,0.0,False,0.0,0.3333333333333333,599226,0.0,0.0,7,0,0,1,0,0.0,1014,1015,105,0.0,0.0,0,0,105,200,6.044485619291663,6.044485619291663
1,105,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,45.0,0,,0,0.2,58973,3,20,1.0,410.0,False,-0.00042227589818083543,0,0.2,59033,0,17,0.7,323.0,False,-0.00014357380538148405,0,0.2,95464,0,0,0.0,0.0,False,0.0,0,0.2,95464.0,0,0,0.0,0.0,False,0.0,0,0.2,145046,0,0,0.0,0.0,False,0.0,0,0.2,145046,0,0,0.0,0.0,False,0.0,0.2833333333333333,599026,0.0,0.0,7,0,0,25,0,0.0,88,113,76,1372.0,48.0,99,6,76,200,10.013749515637755,16.05823513492942
2,76,0,0,0,10.0,20,10.0,18.617021276595743,2,10.0,23.080645161290324,17,2.1176470588235294,45.0,0,,0,0.2,58843,6,30,1.0,618.5106382978723,False,-0.0008571302273713311,0,0.2,58983,0,22,0.7,409.57446808510633,False,-0.00025695937633983274,0,0.2,95444,0,2,0.2,46.16129032258065,False,3.227022920983801e-05,17,0.37000000000000005,94712.0,0,0,0.0,0.0,False,-0.00787731500879913,0,0.2,145040,0,3,0.3,135.0,False,0.00042400341960481503,0,0.2,145016,4,10,1.0,542.3225806451613,False,0.0016626538499688096,0.5333333333333333,598038,0.0,0.0,9,0,0,20,5,5.0,14,34,24,277.0,168.0,20,56,24,220,3.037140137515962,19.09537527244538
3,24,0,0,0,10.0,20,10.0,18.617021276595743,0,,18.919023136246786,22,8.363636363636363,45.0,20,45.0,0,0.2,58793,1,40,1.0,754.6808510638298,False,-0.0005516540457085232,0,0.2,58833,5,32,1.0,645.7446808510638,False,-0.0007960349910388187,0,0.2,95444,0,2,0.0,37.83804627249357,False,-1.1323397969449167e-05,22,0.5730000000000001,93790.0,0,0,0.0,0.0,False,-0.017535406016927848,7,0.27,145049,0,8,0.8,360.0,False,0.0012616687119948154,0,0.2,145322,8,10,1.0,601.3521850899742,False,0.003975815207209975,0.6333333333333333,597231,0.0,0.0,12,0,0,13,9,9.0,9,22,23,80.0,65.0,7,17,23,785,1.6156287528574467,20.711004025302827
4,23,0,0,0,10.0,20,10.0,24.104477611940297,18,37.0,17.19700076903358,8,2.125,45.0,20,45.0,0,0.2,59369,0,32,1.0,771.3432835820895,False,0.00931830552152835,0,0.2,58723,6,42,1.0,1072.3880597014925,False,0.0009491753771049951,0,0.2,95444,0,2,0.0,34.39400153806716,False,-2.9361845627254962e-05,8,0.6310000000000001,92813.0,18,0,0.0,433.88059701492534,False,-0.02549714763148982,5,0.31300000000000006,145352,0,0,0.0,0.0,False,0.0021096755512044455,0,0.2,145620,6,13,1.0,688.1820046142014,False,0.006329654056693081,0.5,597321,0.0,0.0,14,0,0,12,5,5.0,13,25,26,141.0,39.0,10,13,26,1541,1.7167889811098576,22.427793006412685
5,26,0,0,0,10.0,20,10.0,26.954006152043355,14,38.0,14.055865523631104,28,6.178571428571428,45.0,20,45.0,0,0.2,59821,0,26,0.8,700.8041599531273,False,0.016357314324891712,0,0.2,58603,8,52,1.0,1481.6083199062546,False,0.0023783281244722054,0,0.2,95444,0,2,0.0,28.111731047262207,False,-6.226571771936852e-05,28,0.903,90938.0,32,0,0.0,862.5281968653874,False,-0.042892984806495636,9,0.398,145185,6,10,1.0,534.3351931417866,False,0.0028002674777028356,0,0.2,145974,8,12,1.0,652.4469241890488,False,0.008647073770352327,0.6333333333333333,595965,0.0,0.0,11,0,0,9,9,9.0,10,19,33,75.0,76.0,5,21,33,1227,1.9032358238473535,24.33102883026004
6,33,0,0,0,10.0,20,10.0,28.166531805857215,9,36.44444444444444,12.275868476662577,23,5.434782608695652,45.00000000000001,20,45.0,0,0.2,59997,0,28,0.9,788.662890564002,False,0.020072149135719437,0,0.2,58555,9,60,1.0,1779.9919083514328,False,0.004087562356227215,0,0.2,95444,0,2,0.0,24.551736953325154,False,-8.091145901429309e-05,23,1.1050000000000002,89544.0,41,0,0.0,1154.8278040401458,False,-0.05596440645667406,0,0.389,145620,1,10,1.0,462.27586847666265,False,0.005550914428790382,0,0.2,146314,16,12,1.0,736.4138956266013,False,0.011280607171609733,0.65,595474,0.0,0.0,16,0,0,11,6,6.0,14,25,28,105.0,80.0,10,23,28,1428,1.9517683256417513,26.28279715590179
7,28,0,0,0,10.0,20,10.0,29.38894621036013,9,38.0,11.657163598211898,32,9.71875,45.00000000000001,20,45.0,0,0.2,60249,0,28,0.9,822.8904938900837,False,0.024617760028124262,0,0.2,58445,10,70,1.0,2157.226234725209,False,0.005415487684114072,0,0.2,95444,0,2,0.0,23.314327196423797,False,-8.739248723905452e-05,32,1.4020000000000001,87702.0,50,0,0.0,1469.4473105180066,False,-0.0736117944433608,3,0.41900000000000004,145756,18,10,1.0,659.8289447678142,False,0.007169549469712455,0,0.2,146605,11,15,1.0,803.228799580331,False,0.013517190407113279,0.65,594201,0.0,0.0,15,0,0,12,7,6.6,11,23,27,73.0,54.0,9,19,27,1217,1.7743526147678494,28.05714977066964
8,27,0,0,0,10.0,20,10.0,31.22606801924409,19,37.526315789473685,11.728127139473383,9,12.666666666666666,45.00000000000001,20,45.0,0,0.2,60509,2,28,1.0,894.3299045388345,False,0.029612772195149243,0,0.2,58698,8,71,1.0,2297.05082936633,False,0.01086981089950112,0,0.2,95444,0,2,0.0,23.456254278946766,False,-8.66491332913458e-05,9,1.46,86740.0,69,0,0.0,2154.5986933278423,False,-0.08010035880893408,1,0.42600000000000005,146113,14,10,1.0,614.1937799526274,False,0.009473524881598422,0,0.2,146980,4,16,1.0,766.9125085578936,False,0.01597738823737952,0.6666666666666666,594484,0.0,0.0,15,0,0,13,3,3.0,11,24,24,70.0,57.0,8,19,24,1768,1.8744705161079764,29.931620286777616
9,24,0,0,0,10.000000000000002,20,10.0,32.56397138761864,26,36.46153846153846,13.586698472565736,27,21.51851851851852,45.0,20,45.0,0,0.2,60729,4,28,1.0,951.791198853322,False,0.03381409049248616,0,0.2,59226,6,65,1.0,2176.6581401952117,False,0.01877149924999758,0,0.2,95490,0,1,0.0,13.586698472565736,False,0.000343515348574112,26,1.7110000000000003,85110.0,95,0,0.0,3093.577281823771,False,-0.09225688593698274,0,0.42500000000000004,146041,22,10,1.0,748.9073663964462,False,0.009441512921405801,0,0.2,147371,3,16,1.0,760.7600954176972,False,0.018651876285515196,0.6666666666666666,593967,0.0,0.0,17,0,0,13,6,6.0,12,25,21,121.0,39.0,11,13,21,2094,1.7267986461520195,31.658418932929635
10,21,0,0,0,10.000000000000002,20,10.0,33.168017793414336,16,36.625,11.597032807065592,38,4.894736842105263,45.00000000000001,20,45.0,0,0.2,60727,1,36,1.0,1204.048640562916,False,0.035910753176046147,0,0.2,59614,9,61,1.0,2113.2490853982745,False,0.02478969887842064,0,0.2,95490,0,1,0.0,11.597032807065592,False,0.00033309432250413194,38,2.065000000000001,82482.0,111,0,0.0,3681.6499750689914,False,-0.11670551215605368,4,0.4650000000000001,146313,40,10,1.0,913.8813122826236,False,0.011885475339832327,0,0.2,147597,3,20,1.0,934.7910984211969,False,0.020809919261548772,0.6666666666666666,592223,0.0,0.0,16,0,0,11,8,8.0,10,21,22,67.0,42.0,7,14,22,1506,1.6476829536259174,33.30610188655555
11,22,0,0,0,10.000000000000002,20,10.0,33.594591414193204,18,35.888888888888886,11.54531694479393,5,10.0,45.0,20,45.0,0,0.2,60735,3,42,1.0,1440.9728393961145,False,0.03804682904072523,0,0.2,60052,7,57,1.0,1984.8917106090125,False,0.03110392810000345,0,0.2,95536,0,0,0.0,0.0,False,0.0007542110114807676,4,2.067000000000001,81692.0,129,0,0.0,4333.702292430923,False,-0.12156570910274599,1,0.4710000000000001,146708,31,10,1.0,807.9048252886118,False,0.014243429068325316,0,0.2,147998,0,18,0.7,810.0,False,0.023144381782331122,0.6166666666666667,592721,0.0,0.0,16,0,0,12,2,1.5,11,23,24,93.0,48.0,9,13,24,1702,5.746165341697633,39.052267228253186
12,24,0,0,0,10.000000000000002,20,10.0,34.17255603054276,19,37.31578947368421,11.274409148034648,6,5.0,45.00000000000001,20,45.0,0,0.2,61146,0,39,1.0,1332.7296851911676,False,0.04407487530354177,0,0.2,60150,10,61,1.0,2184.525917863108,False,0.03444526390438921,0,0.2,95536,0,0,0.0,0.0,False,0.0007542110114807676,6,2.1230000000000007,80779.0,148,0,0.0,5057.5382925203285,False,-0.12733837733323383,0,0.4700000000000001,147113,21,11,1.0,731.7625921087276,False,0.016773170553165014,0,0.2,148463,0,13,0.6,585.0000000000001,False,0.025574645284944086,0.6,593187,0.0,0.0,17,0,0,14,2,2.0,12,26,18,123.0,51.0,11,13,18,1809,1.728492476977408,40.780759705230594
13,18,0,0,0,10.000000000000002,20,10.0,33.30482469858678,28,29.892857142857142,11.274409148034648,0,,45.00000000000001,20,45.0,0,0.2,61624,0,28,1.0,932.5350915604298,False,0.048768939847308714,0,0.2,60309,10,64,1.0,2231.508780709554,False,0.03752773322897113,0,0.2,95536,0,0,0.0,0.0,False,0.0007542110114807676,0,2.1170000000000004,79942.0,176,0,0.0,5861.649146951273,False,-0.1318944882523712,0,0.4700000000000001,147608,11,10,1.0,574.0185006283812,False,0.019642108367788003,0,0.2,148868,0,4,0.0,180.00000000000003,False,0.02697075410559409,0.5,593887,0.0,0.0,18,0,0,11,0,0.0,9,20,16,74.0,50.0,6,12,16,1937,1.591410418972373,42.37217012420297
14,16,0,0,0,10.000000000000002,20,10.0,33.56003514527261,13,36.0,10.780323087476866,7,1.5714285714285714,45.0,20,45.0,0,0.2,61982,1,25,1.0,849.0008786318152,False,0.05411044101339308,0,0.2,60219,9,74,1.0,2573.442600750173,False,0.03889534821504126,0,0.2,95536,0,0,0.0,0.0,False,0.0007542110114807676,7,2.1870000000000003,79206.0,189,0,0.0,6342.846642456523,False,-0.1370838921349592,0,0.4700000000000001,147960,5,12,1.0,593.9016154373843,False,0.022137465409033726,8,0.28,148931,0,3,0.3,135.0,False,0.027249975869724087,0.5499999999999999,593834,0.0,0.0,11,0,0,11,5,4.5,11,22,19,82.0,27.0,7,9,19,1163,1.5828263694420457,43.95499649364501
