index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,19.757789964821942,49,18.816326530612244,18.203561321050216,35,16.485714285714284,35.00000000000001,20,35.0,22,0.78,42389,106,0,0.0,1060.0000000000002,False,-0.03405203456967951,0,0.2,45500,5,23,1.0,504.42916919090464,False,0.02971314783479139,9,0.29000000000000004,57610,53,10,1.0,1229.1984813460651,False,-0.018614855455628288,0,0.2,59222,0,14,0.0,254.84985849470303,False,0.00034426552356106046,14,0.8260000000000001,75767,0,8,0.8,280.00000000000006,False,-0.007076705734616995,0,0.6500000000000001,75920,17,13,1.0,764.4605424578538,False,-0.0019067827643767814,0.6333333333333333,356408,0.0,0.0,13,0,0,15,9,8.11111111111111,6,21,17,102.0,58.0,9,9,17,1369,1.9205045499838889,21.16439280193299
11,17,0,0,0,10.000000000000002,20,10.0,20.30584311285448,18,24.0,20.46387767471941,44,24.818181818181817,35.00000000000001,20,35.0,4,0.798,42231,117,0,0.0,1170.0000000000002,False,-0.036370183651422396,0,0.2,45802,4,19,1.0,425.8110191442351,False,0.035625349063110365,34,0.6210000000000001,57676,47,10,1.0,1159.0134030513545,False,-0.01809390514713413,0,0.2,58830,4,24,1.0,572.3564366446838,False,-0.0035871459434283336,1,0.8220000000000001,74984,33,10,1.0,1025.3079632657405,False,-0.012444354572613107,0,0.6500000000000001,76269,8,12,1.0,583.7110213977554,False,0.0014762388904729854,0.8333333333333334,355792,0.0,0.0,15,0,0,15,3,2.16260162601626,6,21,21,135.0,35.0,10,7,21,1295,2.970717295014765,24.135110096947756
12,21,0,0,0,10.000000000000002,20,10.0,20.30584311285448,0,,23.133217911120592,50,29.32,35.00000000000001,20,35.0,0,0.7940000000000003,42151,125,0,0.0,1250.0000000000002,False,-0.037270435722002164,0,0.2,45682,6,29,1.0,648.8694502727799,False,0.03543470303241778,40,0.9870000000000001,57310,37,10,1.0,982.6483742868216,False,-0.0257492257219335,0,0.2,58830,0,28,0.4,647.7301015113766,False,-0.0029519282179762247,0,0.8210000000000002,74287,56,16,1.0,1855.4602030227534,False,-0.016132140781820622,4,0.6900000000000002,76032,15,10,1.0,696.9982686668089,False,-0.0008829644420598139,0.7333333333333334,354292,0.0,0.0,9,0,0,11,5,3.911764705882353,9,20,21,129.0,69.0,8,13,21,620,1.4300388819538057,25.56514897890156
13,21,0,0,0,10.000000000000002,20,10.0,20.87411273718707,10,28.0,22.497098353664715,10,13.0,35.00000000000001,20,35.0,0,0.7940000000000003,42021,138,0,0.0,1380.0000000000002,False,-0.03873334533669427,0,0.2,45892,3,29,1.0,635.349269378425,False,0.04000888176740211,0,0.9470000000000003,57160,37,10,1.0,997.3131548125688,False,-0.028153911621529373,0,0.2,58830,0,28,0.0,629.918753902612,False,-0.0031020348067334943,0,0.8210000000000002,74707,46,14,1.0,1524.866524268577,False,-0.01280042300473144,0,0.6860000000000002,76182,15,12,1.0,757.4564753049708,False,0.001474574058869843,0.6666666666666666,354792,0.0,0.0,13,0,0,10,0,0.0,11,21,28,165.0,62.0,10,11,28,1310,1.6216042480082251,27.186753226909786
14,28,0,0,0,10.000000000000002,20,10.0,21.004651206966415,20,21.8,22.497098353664715,0,,35.0,20,35.0,5,0.8440000000000001,41846,149,0,0.0,1490.0000000000002,False,-0.04143410154843356,0,0.2,46193,2,24,1.0,524.111628967194,False,0.04553150464718212,0,0.9470000000000001,56724,47,20,1.0,1437.1605738007158,False,-0.03179591284362858,0,0.2,58830,0,28,0.0,629.918753902612,False,-0.0031020348067334943,0,0.8210000000000002,75022,36,15,1.0,1334.8955407319297,False,-0.009922460098812723,0,0.6860000000000002,76567,5,11,1.0,497.4854917683236,False,0.00481036450769354,0.6666666666666666,355182,0.0,0.0,14,0,0,11,1,1.0,12,23,30,138.0,91.0,11,17,30,1291,1.701238645997364,28.88799187290715
15,30,0,0,0,10.000000000000002,20,10.0,21.695935352426062,14,28.0,22.497098353664715,0,,35.0,20,35.0,0,0.8390000000000002,41736,160,0,0.0,1600.0000000000002,False,-0.04267194814548073,0,0.2,46495,1,20,1.0,443.91870704852124,False,0.05142598473002026,0,0.9470000000000003,56332,51,30,1.0,1781.4056535836705,False,-0.03550198340117251,0,0.2,58830,0,28,0.0,629.918753902612,False,-0.0031020348067334943,0,0.8210000000000002,75372,26,15,1.0,1109.9245571952824,False,-0.006815583421441516,0,0.6860000000000002,76917,0,6,0.5,210.0,False,0.007508371703641691,0.5833333333333334,355682,0.0,0.0,13,0,0,13,0,0.0,10,23,30,204.0,96.0,13,17,30,1292,1.5490680399816483,30.4370599128888
16,30,0,0,0,10.000000000000002,20,10.0,22.02146512879282,23,23.82608695652174,21.877059323521234,9,12.0,35.0,20,35.0,5,0.8890000000000002,41571,170,0,0.0,1700.0000000000002,False,-0.04526017284839755,0,0.2,46898,1,12,1.0,274.25758154551386,False,0.058586802096974255,0,0.9470000000000001,55892,64,31,1.0,2087.5626072718987,False,-0.040338092608404805,0,0.2,58830,0,28,0.0,612.5576610585946,False,-0.0032483468366347025,0,0.8210000000000002,75661,24,14,1.0,1015.0494237645096,False,-0.0036557566989030583,3,0.716,77090,0,1,0.1,35.0,False,0.00862677898702386,0.5166666666666667,355942,0.0,0.0,14,0,0,14,3,2.25,7,21,28,168.0,88.0,11,19,28,1301,1.3224135829950683,31.759473495883867
17,28,0,0,0,10.000000000000002,20,10.0,21.19498329750249,10,10.0,21.27558799145374,9,12.11111111111111,35.0,20,35.0,10,0.9840000000000002,41331,182,0,0.0,1820.0000000000002,False,-0.049311307166006485,0,0.2,46818,0,21,0.9,445.0946492475523,False,0.05870875325494631,0,0.9470000000000003,55901,64,32,1.0,2037.297746766679,False,-0.040610007359245234,0,0.2,58830,0,28,0.0,595.7164637607048,False,-0.003390277404298862,0,0.8210000000000002,75997,21,12,1.0,866.7873478205286,False,-0.00023030460037849748,7,0.7830000000000001,77030,0,2,0.2,70.0,False,0.008070845542067811,0.5166666666666667,355907,0.0,0.0,11,0,0,16,3,2.8,9,25,28,205.0,87.0,14,14,28,729,1.4529041990172118,33.21237769490108
18,28,0,0,0,10.000000000000002,20,10.0,21.19498329750249,0,,21.27558799145374,0,,35.0,20,35.0,0,0.9740000000000002,41181,197,0,0.0,1970.0000000000005,False,-0.05099927979834354,0,0.2,46768,0,26,0.5,551.0695657350648,False,0.058775989891689084,0,0.9470000000000001,55901,54,42,1.0,2038.1037937061915,False,-0.040603214332736164,0,0.2,58830,0,28,0.0,595.7164637607048,False,-0.003390277404298862,0,0.8210000000000002,76382,11,11,1.0,619.0314679059911,False,0.0031853774324115455,7,0.8460000000000001,77039,0,0,0.0,0.0,False,0.007730745081624111,0.4166666666666667,356101,0.0,0.0,10,0,0,16,2,2.0,8,24,14,219.0,55.0,13,15,14,655,1.2736833950039,34.48606108990498
19,14,0,0,0,10.000000000000002,20,10.0,21.688960250251228,15,26.0,20.32832776375066,17,13.0,35.00000000000001,20,35.0,0,0.9740000000000002,41071,208,0,0.0,2080.0000000000005,False,-0.05223712639539071,0,0.2,47068,0,20,0.9,433.77920500502455,False,0.06420799429470898,0,0.9470000000000003,55732,59,35,1.0,1991.1401264960955,False,-0.04384752712420484,0,0.2,58830,0,28,0.0,569.1931773850185,False,-0.0036138045695610676,0,0.8210000000000002,76628,9,11,1.0,567.954949873756,False,0.0060691904946745595,10,0.9390000000000003,76797,0,9,0.9,315.00000000000006,False,0.006625418585182084,0.6333333333333333,356126,0.0,0.0,12,0,0,8,3,3.0,7,15,13,39.0,31.0,3,11,13,1161,0.7886027410277165,35.274663830932695
