index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,37.0,0,,49.0,0,,0,0.2,45478,10,0,0.0,100.0,False,-0.001097020492342797,0,0.2,45478,10,0,0.0,100.0,False,-0.001097020492342797,0,0.2,81321,0,0,0.0,0.0,False,0.0,0,0.2,81321,0,0,0.0,0.0,False,0.0,0,0.2,104470,0,0,0.0,0.0,False,0.0,0,0.2,104470,0,0,0.0,0.0,False,0.0,0.0,462538,0.0,0.0,10,0,0,1,0,0.0,1477,1478,166,0.0,0.0,0,0,166,200,24.31557726301253,24.31557726301253
1,166,0,0,0,10.0,20,10.0,24.0,0,,37.0,0,,49.0,0,,0,0.2,45368,21,0,0.0,210.0,False,-0.0023037430339198734,0,0.2,45388,19,0,0.0,190.0,False,-0.0020843389354513143,0,0.2,81321,0,0,0.0,0.0,False,0.0,0,0.2,81321,0,0,0.0,0.0,False,0.0,0,0.2,104470,0,0,0.0,0.0,False,0.0,0,0.2,104470,0,0,0.0,0.0,False,0.0,0.0,462338,0.0,0.0,10,0,0,26,0,0.0,31,57,13,567.0,1124.0,35,131,13,200,39.65733161900425,63.97290888201678
2,13,0,0,0,10.0,20,10.0,16.214285714285715,25,2.2,37.0,0,,49.0,0,,8,0.28,45004,33,0,0.0,330.0,False,-0.008973627627364079,17,0.37000000000000005,44778,27,0,0.0,270.0,False,-0.0145903725481592,0,0.2,81271,10,10,1.0,532.1428571428571,False,0.0026570188336522524,0,0.2,81316,0,5,0.5,185.0,False,0.0010759828334624512,0,0.2,104470,0,0,0.0,0.0,False,0.0,0,0.2,104470,0,0,0.0,0.0,False,0.0,0.25,461309,0.0,0.0,10,0,0,8,5,5.0,22,30,14,128.0,26.0,9,4,14,200,4.833818276005331,68.80672715802211
3,14,0,0,0,10.0,20,10.0,15.305970149253731,4,1.0,37.0,0,,49.0,20,49.0,4,0.31200000000000006,44812,41,0,0.0,410.0,False,-0.012308569924086183,0,0.35300000000000004,44658,39,0,0.0,390.0,False,-0.015906797138970558,0,0.2,81271,0,20,1.0,740.0,False,0.003935022933805536,0,0.2,81312,0,9,0.4,333.0,False,0.0019367691002324123,10,0.30000000000000004,104278,0,0,0.0,0.0,False,-0.0018378481860821289,10,0.30000000000000004,104286,0,0,0.0,0.0,False,-0.0017612711783287069,0.2333333333333333,460617,0.0,0.0,10,0,0,7,13,13.0,22,29,14,109.0,25.0,8,6,14,200,6.821887736034114,75.62861489405623
4,14,0,0,0,10.0,20,10.0,12.196040868454661,18,1.7777777777777777,37.0,0,,49.0,20,49.0,9,0.398,44449,50,0,0.0,500.0,False,-0.01928562025538637,9,0.44300000000000006,44281,50,0,0.0,500.0,False,-0.02297160910965817,0,0.2,81271,0,20,0.0,740.0,False,0.003935022933805536,0,0.2,81280,8,19,1.0,800.5683269476373,False,0.004418098196945614,9,0.38000000000000006,104127,0,0,0.0,0.0,False,-0.0032832392074279696,11,0.4,104064,0,0,0.0,0.0,False,-0.003886283143486168,0.16666666666666666,459472,0.0,0.0,10,0,0,9,14,14.0,19,28,14,119.0,33.0,8,6,14,200,7.649968498968519,83.27858339302475
5,14,0,0,0,10.0,20,10.0,11.080094303555498,8,1.25,39.11764705882353,6,55.0,49.0,20,49.0,0,0.389,44389,56,0,0.0,560.0,False,-0.01994383255079205,8,0.514,43899,64,0,0.0,640.0,False,-0.02981701698187722,0,0.2,81271,0,20,0.0,782.3529411764706,False,0.004195428863248581,0,0.2,81600,6,23,1.0,966.1864481742742,False,0.0093714197327521,8,0.45100000000000007,103839,0,3,0.3,147.0,False,-0.005336460227816598,12,0.5090000000000001,103656,3,0,0.0,117.35294117647058,False,-0.007230051971013326,0.21666666666666667,458654,0.0,0.0,12,0,0,12,12,12.0,20,32,9,172.0,21.0,12,2,9,530,7.971827214001678,91.25041060702642
6,9,0,0,0,10.0,20,10.0,10.479741613001332,5,2.0,41.01156069364162,6,55.5,49.00000000000001,20,49.0,0,0.389,44289,66,0,0.0,660.0,False,-0.021040853043134845,5,0.556,43664,74,0,0.0,740.0,False,-0.03387599280354557,0,0.2,81271,0,20,0.0,820.2312138728324,False,0.004428322412862882,0,0.2,81923,1,27,1.0,1117.7918803413252,False,0.014275475463541607,6,0.5030000000000001,103903,0,0,0.0,0.0,False,-0.005427395424523787,11,0.6070000000000001,103098,9,0,0.0,369.1040462427746,False,-0.011366401616527341,0.16666666666666666,458148,0.0,0.0,16,0,0,6,11,10.5,20,26,12,70.0,17.0,6,3,12,582,7.649165603972506,98.89957621099893
7,12,0,0,0,10.0,20,10.0,9.563926168907987,13,4.769230769230769,41.85576342788171,3,55.0,49.00000000000001,20,49.0,13,0.5190000000000001,43775,79,0,0.0,790.0,False,-0.030892097064373163,0,0.5510000000000002,43594,81,0,0.0,810.0,False,-0.03464390714818553,0,0.2,81271,0,20,0.0,837.1152685576342,False,0.004532133572863243,0,0.2,82026,4,34,1.0,1461.35166122361,False,0.01765442912177419,9,0.5870000000000002,103746,0,0,0.0,0.0,False,-0.006930219201684695,11,0.7060000000000002,102707,12,0,0.0,502.26916113458054,False,-0.014471766243253662,0.16666666666666666,457119,0.0,0.0,13,0,0,8,15,15.0,20,28,14,133.0,15.0,9,3,14,365,5.875539614004083,104.77511582500301
8,14,0,0,0,10.0,20,10.0,9.563926168907987,0,,41.85576342788171,0,,49.00000000000001,20,49.0,0,0.506,43665,90,0,0.0,900.0,False,-0.03209881960595024,0,0.551,43504,90,0,0.0,900.0,False,-0.035631225591294044,0,0.2,81271,0,20,0.0,837.1152685576342,False,0.004532133572863243,0,0.2,82026,0,38,0.4,1590.519010259505,False,0.018448611122954144,7,0.6480000000000001,103637,0,0,0.0,0.0,False,-0.007973580932325069,13,0.8250000000000002,102430,12,0,0.0,502.26916113458054,False,-0.0171232451367159,0.06666666666666667,456533,0.0,0.0,11,0,0,8,10,10.0,23,31,13,166.0,24.0,11,3,13,200,4.877408773987554,109.65252459899057
9,13,0,0,0,10.000000000000002,20,10.0,8.717632271310482,8,1.0,45.58166910880982,16,56.0,49.0,20,49.0,0,0.506,43565,100,0,0.0,1000.0000000000002,False,-0.03319584009829304,8,0.6310000000000001,43165,100,0,0.0,1000.0000000000002,False,-0.04197200403703541,0,0.2,81831,0,10,0.0,455.8166910880982,False,0.009074019571132375,0,0.2,82354,0,40,0.8,1823.2667643523928,False,0.02391305298970985,12,0.7610000000000001,103247,0,3,0.3,147.0,False,-0.011003158801569829,8,0.8920000000000001,101570,25,0,0.0,1139.5417277202455,False,-0.02230524682817921,0.18333333333333335,455732,0.0,0.0,14,0,0,11,11,11.0,23,34,11,155.0,42.0,9,4,11,1096,5.363125721050892,115.01565032004146
