index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3145,709b8651-4caa-4ae1-aae2-baae322e4c25,SELLER,01Ran@0,_SystemAgent,RandomAgent,141,1,10,72,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,141,,-1,-1
3146,e206b152-a059-4341-8f23-66a2def0cd22,SELLER,01Ran@0,_SystemAgent,RandomAgent,141,1,10,72,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,141,,-1,-1
3147,dc06e0d7-3593-4c9f-9f16-35f4a3ad19ee,SELLER,00Ran@0,_SystemAgent,RandomAgent,141,2,10,72,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,141,,-1,-1
3148,bb20e102-0b79-497d-99f0-77e5404f4f3b,SELLER,00Ran@0,_SystemAgent,RandomAgent,141,2,10,72,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,141,,-1,-1
3149,4b7c9e22-43bd-455f-84b3-315a072fe814,SELLER,01Ran@0,_SystemAgent,RandomAgent,141,1,10,72,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,141,,-1,-1
3150,866bd000-ab46-4095-8d22-14b8b7f0ee8b,00Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,76,1,1,72,-1,72,03Dec@1|00Ran@0,"[quantity: (1, 5), time: (72, 76), unit_price: (1, 24)]",00Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,00Ran@0:product(1.0),-1,-1
3151,dc0a43b7-fb0d-435c-9ca9-cf22e89db3a7,SELLER,00Ran@0,_SystemAgent,RandomAgent,141,1,10,72,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,141,,-1,-1
3152,f371795b-740b-492a-aab8-f95ad9dc7f4a,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,141,3,49,72,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3153,7c339eca-b8f1-4a7a-b48f-6044138df1fb,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,75,5,1,72,-1,72,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (72, 76), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,12,-1,01Ran@0:product(1.0),-1,-1
3154,9fcad4b7-7da7-4397-b27f-4e3694846ac6,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,76,5,2,73,-1,73,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (73, 77), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,11,-1,01Ran@0:product(1.0),-1,-1
