index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,32.0,0,,0,0.2,15502,2,10,1.0,180.0,False,-0.0019203687107924722,0,0.2,15542,8,0,0.0,80.0,False,-0.0025604916143899628,0,0.2,24095,0,0,0.0,0.0,False,0.0,0,0.2,24095,0,0,0.0,0.0,False,0.0,0,0.2,31906,0,0,0.0,0.0,False,0.0,0,0.2,31906,0,0,0.0,0.0,False,0.0,0.16666666666666666,143046,0.0,0.0,9,0,0,115,0,0.0,377,492,70,0.0,0.0,0,0,70,200,1.1857094699516892,1.1857094699516892
1,70,0,0,0,10.0,20,10.0,16.0,0,,16.692307692307693,20,2.5,32.0,0,,0,0.2,15392,3,20,1.0,350.0,False,-0.003520675969786199,0,0.2,15452,17,0,0.0,170.0,False,-0.0054410446805786715,10,0.30000000000000004,23845,0,0,0.0,0.0,False,-0.010375596596804317,10,0.30000000000000004,23835,0,0,0.0,0.0,False,-0.010790620460676489,0,0.2,31906,0,0,0.0,0.0,False,0.0,0,0.2,31856,10,10,1.0,486.9230769230769,False,0.006063484562826397,0.3333333333333333,142286,0.0,0.0,10,0,0,23,2,2.0,65,88,46,931.0,25.0,68,2,46,200,2.6913444492965937,3.877053919248283
2,46,0,0,0,10.0,20,10.0,16.65909090909091,43,17.348837209302324,11.120603015075377,41,3.1707317073170733,32.0,0,,0,0.2,15402,6,25,1.0,476.47727272727275,False,0.0011674968866749477,38,0.5800000000000001,14775,24,0,0.0,240.0,False,-0.04653693509153758,22,0.51,22763,20,0,0.0,333.1818181818182,False,-0.048367258390084746,19,0.48000000000000004,22836,23,0,0.0,383.15909090909093,False,-0.044300496142164594,0,0.2,31776,31,10,1.0,664.7386934673366,False,0.006342673689389677,0,0.2,31856,0,20,1.0,640.0,False,0.008462358177145364,0.5,139408,0.0,0.0,11,0,0,9,15,15.0,39,48,7,337.0,63.0,28,18,7,340,0.9930223934352398,4.870076312683523
3,7,0,0,0,10.0,20,10.0,16.368635437881874,19,15.157894736842104,9.928870292887028,18,4.0,32.0,14,32.0,0,0.2,15282,8,35,1.0,652.9022403258656,False,-0.0008672948301797429,19,0.7320000000000002,14583,32,0,0.0,320.0,False,-0.056266803226219436,11,0.5980000000000001,22226,36,0,0.0,589.2708757637474,False,-0.06533988637136866,7,0.5310000000000001,22646,26,0,0.0,425.58452138492873,False,-0.05130557125160964,4,0.24000000000000002,31992,39,10,1.0,707.2259414225941,False,0.013778379323992226,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,138585,0.0,0.0,15,0,0,7,8,8.0,19,26,8,79.0,0.0,7,0,8,520,0.5297936908900738,5.3998700035735965
4,8,0,0,0,10.0,20,10.0,16.249858996051888,18,15.666666666666666,8.53178346341667,23,2.652173913043478,32.0,16,32.0,0,0.2,15222,4,45,1.0,771.243654822335,False,-0.0009203797585989609,18,0.8930000000000002,14295,46,0,0.0,460.0,False,-0.07022148252464473,6,0.6470000000000001,21890,48,0,0.0,779.9932318104907,False,-0.07532697174080741,17,0.6940000000000002,21986,32,0,0.0,519.9954878736604,False,-0.07673800606197011,6,0.29600000000000004,32195,52,10,1.0,763.6527400976668,False,0.02102508525195371,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,137444,0.0,0.0,16,0,0,10,13,13.0,15,25,3,76.0,6.0,6,2,3,520,0.509447337128222,5.9093173407018185
5,3,0,0,0,10.0,20,10.0,18.082254100503736,19,27.31578947368421,8.05200077165878,14,4.357142857142857,32.0,10,32.0,0,0.2,15656,1,37,1.0,679.0434017186383,False,0.023909979571074064,1,0.8850000000000002,14161,59,0,0.0,590.0,False,-0.07463833055946742,4,0.681,21280,66,0,0.0,1193.4287706332466,False,-0.09206414669779525,10,0.7770000000000001,21716,33,0,0.0,596.7143853166233,False,-0.08635164172407928,0,0.29000000000000004,32454,56,10,1.0,770.9120432128916,False,0.029256441472025614,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,137123,0.0,0.0,15,0,0,7,6,6.0,13,20,8,16.0,6.0,1,2,8,1024,0.4346897732466459,6.344007113948464
6,8,0,0,0,10.0,20,10.0,19.104505892400095,52,21.134615384615383,7.519424116907647,20,4.6,32.0,10,32.0,0,0.2,16177,3,25,1.0,507.6126473100024,False,0.05177354523460508,30,1.1840000000000002,13667,67,0,0.0,670.0,False,-0.1036999103827935,6,0.7370000000000001,20789,87,0,0.0,1662.0920126388082,False,-0.10271649693631857,14,0.907,20584,64,0,0.0,1222.688377113606,False,-0.12034263587645558,0,0.29000000000000004,32682,66,10,1.0,816.2819917159047,False,0.03711342681182077,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,135755,0.0,0.0,17,0,0,9,9,9.0,16,25,7,75.0,22.0,5,3,7,1161,0.5354704866185784,6.879477600567043
7,7,0,0,0,10.0,20,10.0,20.9949156257153,33,29.0,7.336389692760739,7,4.285714285714286,32.0,9,32.0,4,0.24000000000000002,16843,8,10,1.0,289.949156257153,False,0.08743916131920229,4,1.1940000000000002,13599,72,0,0.0,720.0,False,-0.10645243886826271,2,0.7510000000000001,20310,102,0,0.0,2141.481393822961,False,-0.11264823835187873,5,0.9430000000000003,19934,82,0,0.0,1721.5830813086548,False,-0.13696652663812706,0,0.29000000000000004,32940,63,11,1.0,814.1925506439266,False,0.045166936479720574,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,135482,0.0,0.0,16,0,0,8,7,6.133333333333333,15,23,8,56.0,13.0,4,3,8,872,0.5054443320259452,7.384921932592988
8,8,0,0,0,10.0,20,10.0,20.91788181597181,49,20.6734693877551,7.082668730805832,15,5.2,32.0,8,32.0,30,0.536,16805,8,10,1.0,289.1788181597181,False,0.08498203873254752,9,1.2800000000000002,13463,82,0,0.0,820.0,False,-0.11195749583920113,4,0.7890000000000001,19614,133,0,0.0,2782.078281524251,False,-0.12824074950146816,11,1.0480000000000003,19229,100,0,0.0,2091.788181597181,False,-0.15854351148376888,0,0.29000000000000004,33118,68,13,1.0,897.6214736947966,False,0.0520532419246349,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,134085,0.0,0.0,16,0,0,11,10,9.09090909090909,14,25,10,86.0,6.0,6,2,10,456,0.5103231491521001,7.895245081745088
9,10,0,0,0,10.000000000000002,20,10.0,20.781345828420235,4,14.5,6.852909486662709,6,2.5,32.0,11,32.0,0,0.506,16695,9,20,1.0,505.6269165684047,False,0.08486835605455147,4,1.3110000000000002,13351,91,0,0.0,910.0000000000001,False,-0.11624631929330431,3,0.8150000000000002,19539,133,0,0.0,2763.918995179891,False,-0.1317302553396993,3,1.0670000000000002,19093,104,0,0.0,2161.2599661557047,False,-0.16274621360955172,0,0.29000000000000004,33455,64,12,1.0,822.5862071464134,False,0.06143963842453468,0,0.2,31856,0,20,0.0,640.0,False,0.008462358177145364,0.3333333333333333,133989,0.0,0.0,16,0,0,8,4,4.0,17,25,12,83.0,22.0,7,3,12,552,0.5305625637993217,8.42580764554441
