index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,6,0,0,0,10.000000000000002,20,10.0,11.066202891286723,5,8.0,20.229339123354595,11,14.454545454545455,29.999999999999996,20,30.0,1,0.399,27835,112,0,0.0,1120.0000000000002,False,-0.02706869967449032,4,0.35700000000000004,27923,108,0,0.0,1080.0000000000002,False,-0.024738735651875964,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37448,0,10,0.5,202.29339123354595,False,0.0034512746022654054,10,0.9660000000000002,53712,0,1,0.1,29.999999999999996,False,-0.018182814955593728,10,0.8850000000000002,53365,27,0,0.0,546.1921563305741,False,-0.0198074617491084,0.09999999999999999,237967,0.0,0.0,12,0,0,8,12,12.0,12,20,5,72.0,6.0,4,2,5,359,1.0088941319845617,30.222521202929784
11,5,0,0,0,10.000000000000002,20,10.0,9.752312588046742,19,7.0,20.410087167571888,1,30.0,29.999999999999993,20,30.0,0,0.398,27715,124,0,0.0,1240.0000000000002,False,-0.02912455028267946,19,0.543,27634,116,0,0.0,1160.0000000000002,False,-0.03327051567586089,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37345,9,19,1.0,475.56246947628654,False,0.004350113167775,12,1.0760000000000003,53591,0,0,0.0,0.0,False,-0.02066810423595629,7,0.9450000000000001,53277,28,0,0.0,571.4824406920129,False,-0.021184510428237192,0.16666666666666666,237246,0.0,0.0,10,0,0,7,9,8.5,15,22,5,72.0,3.0,4,1,5,230,0.9251695100101642,31.147690712939948
12,5,0,0,0,10.000000000000002,20,10.0,9.719814665427137,1,8.0,20.603233119414025,1,30.0,30.0,20,30.0,1,0.40800000000000003,27605,134,0,0.0,1340.0000000000002,False,-0.031180400890868598,0,0.524,27534,126,0,0.0,1260.0000000000002,False,-0.0349837245160185,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37367,0,28,1.0,576.8905273435927,False,0.006291963219449435,9,1.1540000000000004,53466,0,1,0.1,30.0,False,-0.022678264683308358,11,1.0480000000000003,53150,28,0,0.0,576.8905273435927,False,-0.023455917845257888,0.18333333333333335,236806,0.0,0.0,11,0,0,7,9,9.0,13,20,3,72.0,3.0,4,1,3,230,1.0434285099618137,32.19111922290176
13,3,0,0,0,10.000000000000002,20,10.0,9.476424637381541,8,8.0,17.145795399843298,24,10.708333333333334,29.999999999999996,20,30.0,3,0.43700000000000006,27463,145,0,0.0,1450.0000000000002,False,-0.034161384272742845,5,0.5740000000000001,27388,135,0,0.0,1350.0000000000002,False,-0.03844440637313688,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37560,0,12,0.8,205.7495447981196,False,0.006490507012267771,9,1.235,53177,13,10,1.0,522.8953401979628,False,-0.02345587386976018,10,1.1370000000000002,53006,29,0,0.0,497.22806659545563,False,-0.02681528392058532,0.3,236278,0.0,0.0,12,0,0,8,13,13.0,11,19,5,36.0,3.0,2,1,5,487,0.9916552340146154,33.18277445691638
14,5,0,0,0,10.000000000000002,20,10.0,9.368805301834715,4,8.0,17.548638610313205,2,30.0,29.999999999999996,20,30.0,4,0.47400000000000003,27260,161,0,0.0,1610.0000000000002,False,-0.03837587801953058,0,0.5690000000000001,27348,139,0,0.0,1390.0000000000002,False,-0.03912968990919993,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37588,0,14,0.4,245.68094054438487,False,0.007772326837845781,1,1.2360000000000002,53441,4,10,1.0,370.19455444125276,False,-0.020026730067968467,9,1.217,52895,30,0,0.0,526.4591583093961,False,-0.02857663135202112,0.2333333333333333,236216,0.0,0.0,15,0,0,9,6,5.333333333333333,10,19,5,72.0,3.0,4,1,5,500,1.009159768000245,34.19193422491662
15,5,0,0,0,10.000000000000002,20,10.0,9.341640123541682,1,8.0,16.390559651084576,9,9.0,30.0,20,30.0,1,0.48000000000000004,27170,169,0,0.0,1690.0000000000002,False,-0.0400890868596882,0,0.5690000000000001,27228,151,0,0.0,1510.0000000000002,False,-0.04118554051738907,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.2,37661,0,6,0.1,98.34335790650746,False,0.007754454274539046,4,1.2750000000000001,53717,0,4,0.4,120.0,False,-0.017269105661342786,6,1.2680000000000002,52763,39,0,0.0,639.2318263922984,False,-0.029958409539195447,0.08333333333333333,236223,0.0,0.0,15,0,0,6,5,4.8,16,22,7,90.0,0.0,5,0,7,551,0.9935679530026391,35.18550217791926
16,7,0,0,0,10.000000000000002,20,10.0,9.151839257653553,4,7.0,15.423660297493097,9,9.0,30.000000000000004,20,30.0,2,0.4990000000000001,27028,181,0,0.0,1810.0000000000002,False,-0.04289874935754669,2,0.5890000000000001,27126,159,0,0.0,1590.0000000000002,False,-0.043309919479184514,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,3,0.23,37642,0,4,0.4,61.69464118997239,False,0.006757010170897512,6,1.3310000000000002,53786,0,0,0.0,0.0,False,-0.017104637988377618,10,1.362,52570,48,0,0.0,740.3356942796686,False,-0.03256153197726995,0.06666666666666667,235836,0.0,0.0,12,0,0,9,11,10.0,15,24,5,108.0,3.0,6,1,5,290,1.0403069139574654,36.22580909187673
17,5,0,0,0,10.000000000000002,20,10.0,9.059116477018472,2,7.0,14.688612976590129,8,9.0,30.000000000000004,20,30.0,2,0.5170000000000001,26936,188,0,0.0,1880.0000000000002,False,-0.044851807435326366,0,0.587,26996,172,0,0.0,1720.0000000000002,False,-0.045537090971389416,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,4,0.267,37604,0,2,0.2,29.377225953180258,False,0.005309690352126983,11,1.4350000000000003,53657,0,0,0.0,0.0,False,-0.019462007967545047,9,1.4420000000000002,52399,56,0,0.0,822.5623266890473,False,-0.03493510538093411,0.03333333333333333,235276,0.0,0.0,8,0,0,10,11,10.5,14,24,5,90.0,0.0,5,0,5,200,0.9151974199921824,37.14100651186891
18,5,0,0,0,10.000000000000002,20,10.0,8.92451789328676,5,7.8,14.046933949913324,8,9.0,30.000000000000004,20,30.0,2,0.5350000000000001,26816,198,0,0.0,1980.0000000000005,False,-0.04725029981154703,3,0.617,26863,182,0,0.0,1820.0000000000002,False,-0.04838101764605105,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,6,0.32300000000000006,37493,0,5,0.5,70.23466974956662,False,0.002889292754537237,10,1.524,53542,0,0,0.0,0.0,False,-0.02156353934432221,10,1.5330000000000004,52217,64,0,0.0,899.0037727944527,False,-0.037562554614282574,0.08333333333333333,234615,0.0,0.0,9,0,0,9,13,12.75,12,21,5,90.0,0.0,5,0,5,200,0.8320489549660124,37.97305546683492
19,5,0,0,0,10.000000000000002,20,10.0,8.65764709622839,11,7.636363636363637,14.046933949913324,0,,30.000000000000007,20,30.0,7,0.603,26660,205,0,0.0,2050.0000000000005,False,-0.05139626520472845,4,0.6540000000000001,26687,195,0,0.0,1950.0000000000005,False,-0.05218434127120096,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.31700000000000006,37409,1,15,1.0,219.36165634492826,False,0.0026371145957366686,8,1.5940000000000003,53465,0,0,0.0,0.0,False,-0.02297065165746866,12,1.643,52072,64,0,0.0,899.0037727944527,False,-0.0402123115676103,0.16666666666666666,233977,0.0,0.0,9,0,0,10,12,12.0,13,23,5,90.0,0.0,5,0,5,200,0.8568398130009882,38.82989527983591
