index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,9.999999999999996,9,10.0,11.620063413078915,15,15.0,29.706892845191323,16,42.125,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,7,0.909,50483.0,96,0,0.0,959.9999999999997,False,-0.04339746597841389,0,0.2,82443,0,2,0.2,59.413785690382646,False,0.01178607926250358,0,0.23600000000000002,81746,3,29,1.0,896.3600827497852,False,0.0083690749996919,12,0.5900000000000001,110230,0,10,1.0,360.0,False,-0.002033714466488905,8,0.901,108572,26,0,0.0,772.3792139749744,False,-0.015156238017015475,0.3666666666666667,487284,0.0,0.0,10,0,0,14,15,15.0,15,29,22,183.0,45.0,13,8,22,980,1.7717022188007832,38.73977760411799
11,22,0,0,0,9.999999999999996,11,10.0,11.267976672869404,3,1.6666666666666667,27.67266523110337,18,19.22222222222222,35.99999999999999,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,3,0.9320000000000002,50307.0,107,0,0.0,1069.9999999999995,False,-0.04566870014077898,3,0.23,82540,0,0,0.0,0.0,False,0.012611640003925803,0,0.23600000000000002,81897,0,22,0.6,608.7986350842741,False,0.008457642034818611,0,0.5780000000000001,110100,8,14,1.0,725.3813218488268,False,-0.0015574577581740146,14,1.0330000000000001,108324,26,0,0.0,719.4892960086876,False,-0.017636872165188743,0.26666666666666666,486978,0.0,0.0,8,0,0,18,11,10.6,16,34,20,159.0,30.0,12,10,20,482,1.9517039190977812,40.69148152321577
12,20,0,0,0,9.999999999999996,10,10.0,10.513106203265957,9,4.111111111111111,28.18897493462534,10,32.5,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,9,1.0190000000000001,50014.0,117,0,0.0,1169.9999999999995,False,-0.05022993899577663,5,0.277,82618,0,6,0.6,169.13384960775204,False,0.014606032544948912,0,0.23600000000000002,81943,0,20,0.3,563.7794986925068,False,0.00874582575996488,0,0.5780000000000001,110498,3,11,1.0,480.566924803876,False,0.0009335514294928833,7,1.0890000000000002,107986,31,0,0.0,873.8582229733855,False,-0.01999431363052656,0.31666666666666665,486869,0.0,0.0,15,0,0,23,10,10.0,13,36,20,132.0,53.0,12,8,20,638,1.813729834742844,42.505211357958615
13,20,0,0,0,9.999999999999996,13,10.0,10.513106203265957,0,,29.31755120932087,19,34.31578947368421,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,0,1.0100000000000002,49884.0,130,0,0.0,1299.9999999999995,False,-0.05145002346316283,0,0.272,82808,0,1,0.0,29.31755120932087,False,0.016079335258669458,0,0.23600000000000002,82405,0,6,0.0,175.90530725592524,False,0.012034456934291381,1,0.5880000000000001,110697,0,8,0.8,288.00000000000006,False,0.0018619785782076196,8,1.1620000000000001,107425,45,0,0.0,1319.2898044194392,False,-0.023051973586932506,0.13333333333333333,487029,0.0,0.0,17,0,0,13,6,6.0,18,31,20,130.0,44.0,9,11,20,1178,1.704048396088183,44.2092597540468
14,20,0,0,0,9.999999999999996,7,10.0,10.24016475531629,4,5.0,29.31755120932087,0,,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,4,1.0500000000000003,49742.0,137,0,0.0,1369.9999999999995,False,-0.0534584702017832,0,0.272,82788,0,5,0.4,146.58775604660437,False,0.016553315806547612,0,0.23600000000000002,82405,0,6,0.0,175.90530725592524,False,0.012034456934291381,0,0.5870000000000002,110985,0,0,0.0,0.0,False,0.0031635558367605187,12,1.274,107241,45,0,0.0,1319.2898044194392,False,-0.024715100083972322,0.06666666666666667,486971,0.0,0.0,10,0,0,15,6,6.0,18,33,22,119.0,36.0,10,10,22,358,1.7053169114515185,45.914576665498316
15,22,0,0,0,9.999999999999996,10,10.0,9.534113689291118,10,4.4,28.166725675261297,11,18.454545454545453,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,10,1.1460000000000004,49432.0,147,0,0.0,1469.9999999999995,False,-0.05833880807132801,0,0.272,82788,0,5,0.0,140.83362837630648,False,0.016518019606783698,5,0.28600000000000003,82409,0,10,1.0,281.66725675261296,False,0.012732280257830818,8,0.6670000000000001,110821,0,5,0.5,180.00000000000003,False,0.0024946897455597234,12,1.3820000000000001,106908,51,0,0.0,1436.5030094383262,False,-0.027195268181685994,0.25,486168,0.0,0.0,5,0,0,19,16,16.0,21,40,19,203.0,57.0,14,8,19,238,1.6830771770328283,47.597653842531145
16,19,0,0,0,9.999999999999996,10,10.0,8.87875705943027,10,4.0,28.351814115890946,2,37.0,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,10,1.2360000000000002,49142.0,157,0,0.0,1569.9999999999995,False,-0.06284373533552323,0,0.272,82748,0,15,1.0,425.2772117383642,False,0.0177720900710225,0,0.281,82483,0,8,0.0,226.81451292712757,False,0.013303651688874731,9,0.7490000000000001,110885,0,0,0.0,0.0,False,0.0022596827405432277,6,1.4300000000000002,106769,53,0,0.0,1502.6461481422202,False,-0.028152726767558953,0.16666666666666666,485837,0.0,0.0,8,0,0,20,9,9.0,17,37,16,153.0,86.0,12,7,16,354,1.5396236721426249,49.13727751467377
17,16,0,0,0,9.999999999999996,10,10.0,8.258925684358966,12,4.333333333333333,29.646103910811497,9,42.0,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,12,1.346,48773.0,167,0,0.0,1669.9999999999993,False,-0.06883153449084936,0,0.272,82924,0,18,0.7,533.629870394607,False,0.02059592373144196,0,0.281,82633,0,8,0.5,237.16883128649198,False,0.015207385607557699,9,0.8300000000000001,110604,0,5,0.5,180.00000000000003,False,0.0005332851267682017,11,1.5340000000000003,106412,57,0,0.0,1689.8279229162554,False,-0.03053361086945251,0.2833333333333333,485156,0.0,0.0,8,0,0,18,13,13.0,15,33,20,171.0,49.0,12,4,20,478,1.8590673133730888,50.99634482804686
18,20,0,0,0,9.999999999999996,12,10.0,8.258925684358966,0,,30.25888561079341,18,33.166666666666664,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,0,1.3340000000000003,48653.0,179,0,0.0,1789.9999999999993,False,-0.06995776630689816,0,0.272,83383,0,6,0.0,181.55331366476045,False,0.024067335568166478,0,0.281,82771,0,2,0.0,60.51777122158682,False,0.015816798577029032,0,0.8210000000000002,110712,0,2,0.0,72.00000000000001,False,0.001021376598725539,17,1.6930000000000003,105480,75,0,0.0,2269.416420809506,False,-0.03633833587558405,0.0,484809,0.0,0.0,14,0,0,22,8,8.0,9,31,20,161.0,53.0,11,9,20,825,1.7416464444249868,52.737991272471845
19,20,0,0,0,9.999999999999996,11,10.0,7.161592516879047,18,2.3333333333333335,29.8457440438647,23,28.17391304347826,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,18,1.5140000000000005,48065.0,190,0,0.0,1899.9999999999993,False,-0.07996245893946503,0,0.272,83604,0,5,0.5,149.2287202193235,False,0.026580311611905678,15,0.43100000000000005,82594,3,10,1.0,319.94221798928413,False,0.015236665877351015,11,0.931,110430,0,5,0.5,180.00000000000003,False,-0.0010394540606498848,7,1.7460000000000004,104943,93,0,0.0,2775.654196079417,False,-0.03890426087549413,0.3333333333333333,483446,0.0,0.0,8,0,0,19,16,15.666666666666668,15,34,23,163.0,38.0,13,7,23,418,1.877027046866715,54.61501831933856
