index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,41.0,0,,0,0.2,47032,7,0,0.0,70.0,False,-0.0007430682348944843,0,0.2,46972,13,0,0.0,130.0,False,-0.0013799838648040424,0,0.2,68991,0,0,0.0,0.0,False,0.0,0,0.2,68991,0,0,0.0,0.0,False,0.0,0,0.2,95452,0,0,0.0,0.0,False,0.0,0,0.2,95452,0,0,0.0,0.0,False,0.0,0.0,422890,0.0,0.0,8,0,0,101,0,0.0,328,429,108,0.0,0.0,0,0,108,200,1.6002510013058782,1.6002510013058782
1,108,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,41.0,0,,0,0.2,46892,21,0,0.0,210.0,False,-0.002229204704683453,0,0.2,46912,19,0,0.0,190.0,False,-0.0020168994947136003,0,0.2,68991,0,0,0.0,0.0,False,0.0,0,0.2,68991,0,0,0.0,0.0,False,0.0,0,0.2,95452,0,0,0.0,0.0,False,0.0,0,0.2,95452,0,0,0.0,0.0,False,0.0,0.0,422690,0.0,0.0,7,0,0,41,0,0.0,45,86,48,1157.0,269.0,70,38,48,200,5.423177902586758,7.023428903892636
2,48,0,0,0,10.0,20,10.0,13.76923076923077,20,2.0,30.0,0,,41.0,0,,3,0.23,46726,31,0,0.0,310.0,False,-0.004691945140333744,17,0.37000000000000005,46356,29,0,0.0,290.0,False,-0.012759543119188145,0,0.2,68962,4,10,1.0,355.0769230769231,False,0.0021530121543167696,0,0.2,68980,0,6,0.6,180.0,False,0.0011450768940876345,0,0.2,95452,0,0,0.0,0.0,False,0.0,0,0.2,95452,0,0,0.0,0.0,False,0.0,0.26666666666666666,421928,0.0,0.0,8,0,0,17,6,6.0,38,55,29,529.0,104.0,39,9,29,200,2.1191516891121864,9.142580593004823
3,29,0,0,0,10.0,20,10.0,9.327868852459016,33,1.4545454545454546,30.0,0,,41.0,6,41.0,6,0.28700000000000003,46447,45,0,0.0,450.0,False,-0.009129124028703665,27,0.623,45460,35,0,0.0,350.0,False,-0.031145174302577384,0,0.2,68939,7,20,1.0,665.2950819672132,False,0.004067886260289212,0,0.2,68955,10,16,1.0,573.2786885245902,False,0.003632928124861125,0,0.2,95452,0,0,0.0,0.0,False,0.0,6,0.26,95386,0,0,0.0,0.0,False,-0.0006914470100155052,0.3333333333333333,420639,0.0,0.0,7,0,0,13,11,11.0,19,32,24,228.0,107.0,16,13,24,200,1.6064649047330022,10.749045497737825
4,24,0,0,0,10.0,20,10.0,8.34926283680732,16,3.3125,30.0,0,,41.0,12,41.0,6,0.3410000000000001,46226,55,0,0.0,550.0,False,-0.012759543119188145,10,0.6960000000000001,45119,45,0,0.0,450.0,False,-0.037323255912700096,0,0.2,68923,4,30,1.0,933.3970513472293,False,0.005778993284248786,0,0.2,68918,9,26,1.0,855.1433655312659,False,0.005139390395350535,0,0.2,95452,0,0,0.0,0.0,False,0.0,12,0.374,95180,0,0,0.0,0.0,False,-0.002849599798851779,0.3333333333333333,419818,0.0,0.0,8,0,0,14,12,12.0,15,29,19,171.0,55.0,14,10,19,200,1.7689223885536194,12.517967886291444
5,19,0,0,0,10.0,20,10.0,7.348137469190344,19,2.6842105263157894,31.6,5,46.0,41.00000000000001,12,41.0,12,0.455,45836,65,0,0.0,650.0,False,-0.019977920258163136,7,0.756,44861,55,0,0.0,550.0,False,-0.041739204280073036,0,0.2,69129,7,35,1.0,1157.4369622843324,False,0.01038857939647434,0,0.2,68891,5,36,1.0,1174.340687345952,False,0.007061360810438653,0,0.2,95452,0,0,0.0,0.0,False,0.0,12,0.4820000000000001,94742,5,0,0.0,158.0,False,-0.006610652474542178,0.3333333333333333,418911,0.0,0.0,9,0,0,12,12,12.0,17,29,14,171.0,57.0,13,6,14,430,1.5638528345152736,14.081820720806718
6,14,0,0,0,10.0,20,10.0,6.780496282620176,14,2.857142857142857,31.30909090909091,10,30.0,41.0,11,41.0,12,0.5630000000000002,45427,79,0,0.0,790.0,False,-0.02717506687614114,2,0.7690000000000001,44761,61,0,0.0,610.0,False,-0.043225340749862,0,0.2,69429,0,32,0.7,1001.8909090909091,False,0.013609680314032991,0,0.2,68851,9,46,1.0,1501.2426483617635,False,0.008850738852616825,0,0.2,95452,0,0,0.0,0.0,False,0.0,11,0.5800000000000001,94272,15,0,0.0,469.6363636363636,False,-0.00990216881974001,0.2833333333333333,418192,0.0,0.0,8,0,0,10,9,9.0,17,27,18,142.0,30.0,11,3,18,500,1.18514599557966,15.266966716386378
7,18,0,0,0,10.0,20,10.0,5.40012346267568,44,2.272727272727273,32.47339449541284,5,44.0,41.00000000000001,9,41.0,22,0.7710000000000001,44710,89,0,0.0,890.0,False,-0.041335824381130315,22,0.9870000000000001,44042,71,0,0.0,710.0,False,-0.05742855929684514,0,0.2,69558,30,37,1.0,1363.5193002105455,False,0.018100326855753298,0,0.2,68842,3,56,1.0,1834.7104621311462,False,0.011137035715753934,0,0.2,95452,0,0,0.0,0.0,False,0.0,9,0.659,93920,20,0,0.0,649.4678899082568,False,-0.012647886425070901,0.3333333333333333,416524,0.0,0.0,9,0,0,11,14,14.0,18,29,21,191.0,38.0,13,5,21,420,1.3231435380876064,16.590110254473984
8,21,0,0,0,10.0,20,10.0,5.188847091737811,7,1.2857142857142858,28.371451229183183,14,14.0,41.000000000000014,8,41.0,2,0.7690000000000001,44568,99,0,0.0,990.0,False,-0.04328903231285296,5,1.0150000000000001,43832,81,0,0.0,810.0,False,-0.060825442656362784,0,0.2,69549,27,47,1.0,1473.5570792485305,False,0.0187673542871428,0,0.2,69038,0,45,0.3,1276.7153053132433,False,0.009934015344851032,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,0.7300000000000002,93622,34,0,0.0,964.6293417922283,False,-0.01411898471591885,0.21666666666666667,416061,0.0,0.0,9,0,0,11,5,5.0,17,28,24,176.0,72.0,12,9,24,396,1.2336843041703105,17.823794558644295
9,24,0,0,0,10.000000000000002,20,10.0,4.81326723864836,21,2.619047619047619,29.499457007354458,16,33.5,41.00000000000001,11,41.0,14,0.9070000000000003,44066,112,0,0.0,1120.0000000000002,False,-0.05256676998853552,7,1.08,43636,88,0,0.0,880.0000000000001,False,-0.06424355653687741,0,0.2,69951,27,47,1.0,1516.4326947891652,False,0.02490493466386317,0,0.2,69117,1,49,1.0,1450.2866605990168,False,0.01233701976054143,0,0.2,95452,0,0,0.0,0.0,False,0.0,11,0.8320000000000001,92916,50,0,0.0,1474.972850367723,False,-0.018842073239074518,0.3333333333333333,415138,0.0,0.0,11,0,0,12,10,10.0,16,28,22,187.0,62.0,13,11,22,736,1.4835013784468174,19.307295937091112
