index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,20,10.0,20.468084392516477,41,19.024390243902438,26.16977482071414,12,24.666666666666668,36.99999999999999,14,37.0,0,0.5690000000000002,20306,4,19,1.0,428.8936034578131,False,0.07945538146916924,40,1.5450000000000006,15864,109,0,0.0,1090.0000000000002,False,-0.13682272488164124,7,1.08,27063,100,0,0.0,2046.8084392516478,False,-0.09944837053912327,0,0.2,30269,89,20,1.0,2345.055007348249,False,0.00812900806958208,4,0.29400000000000004,38465,57,10,1.0,1861.6771647807059,False,0.004816450694782866,0,0.2,38872,0,15,0.0,554.9999999999999,False,-0.0014665748463284617,0.5,170839,0.0,0.0,12,0,0,12,6,5.5,16,28,29,270.0,138.0,15,11,29,768,1.3017290215939283,16.050447825342417
11,29,0,0,0,10.000000000000002,20,10.0,20.333622934821705,36,19.61111111111111,25.24333404588693,10,14.0,36.99999999999999,6,37.0,2,0.5890000000000002,20674,7,10,1.0,273.33622934821705,False,0.09472215227112626,15,1.6550000000000005,15519,116,0,0.0,1160.0000000000002,False,-0.1531299316149395,5,1.1230000000000002,26918,105,0,0.0,2135.030408156279,False,-0.10268323701173081,0,0.2,29688,110,25,1.0,2867.7818739775607,False,-0.0021196954922155765,0,0.29000000000000004,38547,57,14,1.0,1956.870040615555,False,0.008121892016930076,0,0.2,38872,0,15,0.0,554.9999999999999,False,-0.0014665748463284617,0.5,170218,0.0,0.0,10,0,0,15,5,4.4,16,31,29,264.0,64.0,18,11,29,993,1.4043947793543339,17.45484260469675
12,29,0,0,0,10.000000000000002,20,10.0,20.742092693095383,44,22.65909090909091,25.24333404588693,0,,36.99999999999999,10,37.0,8,0.6670000000000001,20924,5,10,1.0,257.42092693095384,False,0.10745452201291295,26,1.9000000000000006,15145,128,0,0.0,1280.0000000000002,False,-0.16964755391899,0,1.1180000000000003,26918,105,0,0.0,2177.9197327750153,False,-0.10199564363256677,0,0.2,28691,144,35,1.0,3870.3780394117775,False,-0.018013690531425895,0,0.29000000000000004,38917,47,14,1.0,1704.4367001566857,False,0.014339744180333692,0,0.2,38872,0,15,0.0,554.9999999999999,False,-0.0014665748463284617,0.5,169467,0.0,0.0,10,0,0,18,3,2.4444444444444446,13,31,28,264.0,123.0,18,11,28,570,1.4041873700916767,18.859029974788427
13,28,0,0,0,10.000000000000002,20,10.0,20.328323677148585,10,11.0,25.24333404588693,0,,37.0,12,37.0,0,0.6590000000000001,20899,3,15,1.0,334.92485515722876,False,0.10817792885737063,5,1.9240000000000006,14960,140,0,0.0,1400.0000000000002,False,-0.17622304050499737,0,1.1180000000000003,26918,105,0,0.0,2134.4739861006015,False,-0.10269215746279656,0,0.2,28581,144,45,1.0,4063.228641574308,False,-0.018448944440581195,0,0.29000000000000004,39361,37,12,1.0,1378.0033596978164,False,0.0215013053752878,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,169591,0.0,0.0,12,0,0,10,1,1.0,19,29,26,225.0,84.0,15,13,26,699,1.031825989484787,19.890855964273214
14,26,0,0,0,10.000000000000002,20,10.0,18.909505153047412,37,10.783783783783784,28.631022174186846,61,35.19672131147541,36.99999999999999,9,37.0,0,0.6590000000000001,20799,3,25,1.0,502.7376288261853,False,0.10733134215744838,37,2.289000000000001,13794,150,0,0.0,1500.0000000000002,False,-0.23492898474487112,9,1.2080000000000002,26599,117,0,0.0,2212.4121029065473,False,-0.11167096154119292,7,0.27,30115,159,10,1.0,3292.9215410764073,False,0.018387224911446842,0,0.29000000000000004,37547,88,13,1.0,3000.5299513284426,False,-0.0040741455438003315,0,0.2,38872,0,15,0.0,554.9999999999999,False,-0.0014665748463284617,0.5,167726,0.0,0.0,10,0,0,9,10,9.304347826086957,19,28,26,252.0,93.0,14,12,26,1664,0.9641120536252856,20.8549680178985
15,26,0,0,0,10.000000000000002,20,10.0,18.981946041032174,68,19.220588235294116,28.50662071698335,10,26.5,37.0,10,37.0,5,0.7090000000000001,21483,3,10,1.0,219.81946041032174,False,0.13587110627065543,38,2.632000000000001,12570,160,0,0.0,1600.0000000000002,False,-0.2966859547606523,5,1.249,25512,155,0,0.0,2942.201636359987,False,-0.13482426516031834,0,0.263,30000,179,15,1.0,3825.367652099509,False,0.023235982623116373,0,0.29000000000000004,37652,88,13,1.0,2989.582623094535,False,-0.0015356617046122048,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,166089,0.0,0.0,11,0,0,13,9,8.384615384615385,14,27,32,237.0,94.0,14,12,32,1297,1.0933543061837554,21.948322324082255
16,32,0,0,0,10.000000000000002,20,10.0,19.14084542515304,23,20.956521739130434,27.048032181138325,39,21.28205128205128,37.0,10,37.0,3,0.7340000000000002,21708,1,10,1.0,201.40845425153037,False,0.1472227368293407,10,2.694000000000001,12290,172,0,0.0,1720.0000000000002,False,-0.30825881115202525,29,1.5340000000000003,24209,168,0,0.0,3215.6620314257107,False,-0.17221909017209008,0,0.263,30305,179,15,1.0,3831.931813819469,False,0.03312062033184995,0,0.29000000000000004,37192,117,13,1.0,3645.619765193184,False,-0.004901933772117389,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,164576,0.0,0.0,12,0,0,16,7,6.230769230769231,9,25,30,204.0,148.0,13,19,30,980,1.390075158327818,23.338397482410073
17,30,0,0,0,10.000000000000002,20,10.0,19.5687676341967,28,23.5,25.953431164467407,15,13.266666666666667,37.0,12,37.0,8,0.8110000000000002,21994,0,9,0.9,176.1189087077703,False,0.16160228586816866,10,2.7840000000000003,12005,184,0,0.0,1840.0000000000002,False,-0.3200946870068385,15,1.6550000000000002,23269,186,0,0.0,3639.790779960586,False,-0.1955593372457261,0,0.263,30205,179,25,1.0,4151.645185632895,False,0.035039842016687396,0,0.29000000000000004,37437,122,11,1.0,3573.3186020650237,False,0.0004249062930728866,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.48333333333333334,163782,0.0,0.0,11,0,0,15,6,5.444444444444445,14,29,30,225.0,91.0,15,15,30,644,1.3587735891342163,24.69717107154429
18,30,0,0,0,10.000000000000002,20,10.0,19.040509511957268,15,10.0,25.239229358013358,10,13.1,37.00000000000001,4,37.0,0,0.8030000000000002,21984,0,10,0.6,190.40509511957268,False,0.1614520014497521,10,2.874000000000001,11700,198,0,0.0,1980.0000000000005,False,-0.33245660178853237,10,1.7400000000000002,23040,186,0,0.0,3541.5347692240516,False,-0.2044771263110162,0,0.263,30055,184,35,1.0,4386.826777730605,False,0.03400068580432543,0,0.29000000000000004,37454,122,17,1.0,3708.1859816776296,False,0.0025784423913794326,0,0.2,38872,0,15,0.0,555.0000000000001,False,-0.0014665748463284617,0.43333333333333335,163105,0.0,0.0,9,0,0,14,5,5.0,14,28,28,240.0,194.0,15,15,28,398,1.4748191628605127,26.171990234404802
19,28,0,0,0,10.000000000000002,20,10.0,18.375912274770734,20,10.25,25.239229358013358,0,,37.0,12,37.0,0,0.8030000000000002,21844,4,20,1.0,407.5182454954147,False,0.15979795490519233,20,3.064000000000001,11215,204,0,0.0,2040.0000000000005,False,-0.3563913729615992,0,1.7300000000000002,23040,186,0,0.0,3417.9196831073564,False,-0.20645889952694374,0,0.263,29850,194,45,1.0,4700.692302416123,False,0.03245947643991475,0,0.29000000000000004,37898,112,15,1.0,3381.793688097496,False,0.009740527049984736,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,162719,0.0,0.0,11,0,0,11,4,4.0,14,25,27,194.0,104.0,13,15,27,644,2.312953442335129,28.48494367673993
