index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,10,10.0,24.0,0,,31.0,0,,38.0,0,,0,0.2,71733,0,1,0.1,24.0,False,2.7877284194973724e-05,0,0.2,71653,0,9,0.9,216.0,False,0.00025089555775476355,0,0.2,100621,0,0,0.0,0.0,False,0.0,0,0.2,100621,0,0,0.0,0.0,False,0.0,0,0.2,121068,0,0,0.0,0.0,False,0.0,0,0.2,121068,0,0,0.0,0.0,False,0.0,0.16666666666666666,586764,0.0,0.0,6,0,0,211,0,0.0,661,872,158,0.0,0.0,0,0,158,100,6.371737536974251,6.371737536974251
1,158,0,0,0,10.0,10,10.0,24.0,0,,31.0,0,,38.0,0,,0,0.2,71723,0,2,0.1,48.0,False,5.575456838994745e-05,0,0.2,71563,0,18,0.9,432.0,False,0.0005017911155095271,0,0.2,100621,0,0,0.0,0.0,False,0.0,0,0.2,100621,0,0,0.0,0.0,False,0.0,0,0.2,121068,0,0,0.0,0.0,False,0.0,0,0.2,121068,0,0,0.0,0.0,False,0.0,0.16666666666666666,586664,0.0,0.0,4,0,0,67,0,0.0,44,111,77,1638.0,516.0,91,67,77,100,14.0906852921471,20.46242282912135
2,77,0,0,0,9.999999999999998,20,10.0,22.339622641509433,8,13.0,31.0,0,,38.0,0,,0,0.2,71633,0,11,0.9,245.73584905660377,False,0.0001793613945374227,0,0.2,71557,1,20,1.0,456.79245283018867,False,0.0005909458262839649,0,0.2,100569,0,4,0.4,124.0,False,9.938283260949504e-05,0,0.2,100569,0,4,0.4,124.0,False,9.938283260949504e-05,0,0.2,121068,0,0,0.0,0.0,False,0.0,0,0.2,121068,0,0,0.0,0.0,False,0.0,0.44999999999999996,586464,0.0,0.0,12,0,0,22,0,0.0,23,45,58,372.0,217.0,24,53,58,304,5.347844528965652,25.810267358087003
3,58,0,0,0,10.0,8,10.0,20.998204667863558,8,13.0,31.0,0,,38.0,20,38.0,0,0.2,71613,0,13,0.2,272.9766606822262,False,9.043851443512055e-05,0,0.2,71601,0,19,0.7,398.9658886894076,False,0.0008012341879306527,0,0.2,100517,0,8,0.4,248.0,False,0.00019876566521899008,0,0.2,100517,0,8,0.4,248.0,False,0.00019876566521899008,7,0.27,120985,0,0,0.0,0.0,False,-0.000685565136947831,13,0.33000000000000007,120838,0,0,0.0,0.0,False,-0.0018997588132289292,0.28333333333333327,586071,0.0,0.0,7,0,0,20,11,11.0,24,44,46,390.0,118.0,25,33,46,184,4.108543333597481,29.918810691684484
4,46,0,0,0,10.0,12,10.0,22.534008905266393,15,27.666666666666668,28.333333333333332,9,15.0,38.0,20,38.0,0,0.2,71613,0,13,0.0,292.9421157684631,False,0.00022958418081534158,0,0.2,71896,2,14,1.0,335.4761246737295,False,0.00447065305795501,1,0.21000000000000002,100550,0,5,0.5,141.66666666666666,False,-1.656380543539791e-06,0,0.2,100167,0,18,1.0,510.0,False,-0.001977718368928951,10,0.36300000000000004,120843,0,0,0.0,0.0,False,-0.0018584597085935177,10,0.4170000000000001,120553,0,9,0.9,342.0,False,-0.0028413783989163113,0.5666666666666667,585622,0.0,0.0,8,0,0,25,10,9.11111111111111,15,40,26,327.0,150.0,19,27,26,535,2.84565323125571,32.764463922940195
5,26,0,0,0,10.0,11,10.0,23.895102953039665,17,28.58823529411765,26.399317406143343,10,17.0,38.0,20,38.0,0,0.2,71684,0,11,0.0,262.8461324834363,False,0.0010094791999459862,1,0.21000000000000002,72172,3,10,1.0,268.9510295303967,False,0.00785408353100934,5,0.259,100049,7,10,1.0,431.25889473271104,False,-0.0035417114979342445,0,0.2,100167,0,18,0.0,475.1877133105802,False,-0.0021507055519693298,10,0.45300000000000007,120529,10,0,0.0,263.9931740614334,False,-0.0033617753078375744,1,0.4170000000000001,120888,0,0,0.0,0.0,False,-0.0014867677668748143,0.3333333333333333,585489,0.0,0.0,12,0,0,22,7,5.1,9,31,26,186.0,117.0,12,14,26,550,2.382160604931414,35.14662452787161
6,26,0,0,0,10.0,11,10.0,27.17941267181988,25,36.12,24.77721995607154,11,17.0,38.0,20,38.0,0,0.2,71684,0,11,0.0,298.9735393900187,False,0.001261262697336459,15,0.35900000000000004,72516,4,10,1.0,311.7941267181988,False,0.012947563711568993,1,0.264,100199,0,7,0.7,173.44053969250078,False,-0.003332104929922683,0,0.2,99264,15,28,1.0,1101.4533488473012,False,-0.00801297269532548,11,0.553,120366,10,0,0.0,247.77219956071542,False,-0.004775117291271378,9,0.506,120574,1,10,1.0,404.7772199560715,False,-0.00240865786187898,0.6166666666666667,584603,0.0,0.0,6,0,0,20,13,11.181818181818182,13,33,15,242.0,66.0,14,12,15,110,2.063808058388531,37.21043258626014
7,15,0,0,0,10.0,13,10.0,28.319536395708404,11,37.0,25.805359575463065,41,27.24390243902439,38.0,20,38.0,0,0.2,71684,0,11,0.0,311.51490035279244,False,0.0013486674682742976,1,0.35400000000000004,72764,7,10,1.0,353.19536395708406,False,0.016692885465878802,4,0.30300000000000005,99831,1,10,1.0,286.373132150339,False,-0.00642821512333246,2,0.22000000000000003,100120,5,10,1.0,399.65127773317266,False,-0.0029931561118793247,12,0.662,120172,10,0,0.0,258.05359575463063,False,-0.006335061305404244,0,0.4970000000000001,119761,32,12,1.0,1281.771506414818,False,-0.005501984395485153,0.6666666666666666,584332,0.0,0.0,10,0,0,14,9,6.5212121212121215,15,29,18,111.0,37.0,7,8,18,434,1.8696537762880325,39.08008636254817
8,18,0,0,0,10.0,7,10.0,29.793742641536937,18,36.77777777777778,23.236995108745806,48,18.5,38.0,20,38.0,0,0.2,71754,0,9,0.0,268.14368377383244,False,0.0020221044824850075,6,0.41300000000000003,73112,4,10,1.0,337.9374264153694,False,0.021437195450534265,20,0.49900000000000005,98763,9,10,1.0,500.5136348612905,False,-0.015978207159234648,8,0.29800000000000004,100200,0,5,0.5,116.18497554372902,False,-0.003606677654049707,11,0.76,119607,28,0,0.0,650.6358630448825,False,-0.00938053051572306,0,0.4970000000000001,119609,52,13,1.0,1702.323745654782,False,-0.005020634083098839,0.5833333333333334,583045,0.0,0.0,11,0,0,13,10,8.708333333333334,15,28,22,126.0,77.0,7,11,22,722,1.9931902522221208,41.07327661477029
9,22,0,0,0,10.0,10,10.0,29.793742641536937,0,,23.95463823628118,4,46.0,37.99999999999999,20,38.0,0,0.2,71754,0,9,0.0,268.14368377383244,False,0.0020221044824850075,0,0.40700000000000003,73012,4,20,1.0,635.8748528307387,False,0.02211975281791079,0,0.47900000000000004,98763,0,19,0.9,455.1381264893424,False,-0.016203684486889774,0,0.29000000000000004,100384,0,1,0.0,23.95463823628118,False,-0.002236339142742123,13,0.8790000000000002,119198,32,0,0.0,766.5484235609978,False,-0.012280088778368331,0,0.4970000000000001,119875,42,16,1.0,1614.0948059238094,False,-0.0031878993378770012,0.48333333333333334,582986,0.0,0.0,8,0,0,17,7,7.0,14,31,23,183.0,63.0,11,11,23,550,2.110376523807645,43.18365313857794
