index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,30.472404350268047,1,12.0,35.678085623159035,43,45.51162790697674,43.00000000000001,20,43.0,0,0.398,24408,12,20,1.0,729.4480870053609,False,0.1015974761429509,1,0.39,21181,98,0,0.0,980.0000000000002,False,-0.03633048737104233,33,0.764,28889,64,10,1.0,2307.014734648745,False,-0.07020806018617896,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,13,0.9600000000000002,42033,81,0,0.0,2889.9249354758817,False,-0.05078241053755262,7,0.9000000000000001,42755,37,0,0.0,1320.0891680568843,False,-0.05215604348903055,0.3333333333333333,191978,0.0,0.0,12,0,0,11,17,16.23076923076923,22,33,15,207.0,42.0,13,4,15,200,1.495042980008293,29.86186952801654
11,15,0,0,0,10.000000000000002,20,10.0,30.2972217628452,1,12.0,39.06662712029732,28,52.92857142857143,43.0,20,43.0,0,0.398,24288,14,30,1.0,1048.9166528853561,False,0.10336438662587498,1,0.399,21085,106,0,0.0,1060.0000000000002,False,-0.03882070437566702,18,0.9110000000000003,29657,55,10,1.0,2057.013468159459,False,-0.05030773624834488,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,13,1.0770000000000002,41689,87,0,0.0,3398.7965594658667,False,-0.052737789718519563,7,0.9630000000000001,41277,59,0,0.0,2304.931000097542,False,-0.0736733582209246,0.3333333333333333,190708,0.0,0.0,11,0,0,12,11,10.818181818181818,23,35,16,139.0,9.0,12,3,16,296,1.6035479109850712,31.465417439001612
12,16,0,0,0,10.000000000000002,20,10.0,28.62569350146642,9,11.0,39.336744212747746,4,48.0,43.00000000000001,20,43.0,0,0.398,24208,12,40,1.0,1265.0277400586567,False,0.10461196504932979,9,0.4880000000000001,20798,118,0,0.0,1180.0000000000002,False,-0.04891497687655639,0,0.893,29750,54,16,1.0,2175.1753564831506,False,-0.045600950814224994,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,14,1.2040000000000002,41396,87,0,0.0,3422.2967465090537,False,-0.05887808110089678,6,1.0160000000000002,41012,63,0,0.0,2478.214885403108,False,-0.07756729886687723,0.3333333333333333,189876,0.0,0.0,12,0,0,11,13,13.0,24,35,13,236.0,6.0,14,2,13,392,1.3017553089885041,32.76717274799012
13,13,0,0,0,10.000000000000002,20,10.0,28.62569350146642,0,,39.032726431134456,6,33.0,43.00000000000001,20,43.0,0,0.398,24098,13,50,1.0,1561.2846750733208,False,0.10630746787338408,0,0.4790000000000001,20708,127,0,0.0,1270.0000000000002,False,-0.05091604411241551,0,0.8930000000000002,29948,44,20,1.0,2040.1850426872115,False,-0.04156192871332965,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,10,1.2900000000000003,41232,87,0,0.0,3395.8471995086975,False,-0.06274727971892519,10,1.11,40649,69,0,0.0,2693.2581237482773,False,-0.08314494232219587,0.3333333333333333,189347,0.0,0.0,9,0,0,6,10,10.0,25,31,13,112.0,27.0,8,5,13,398,1.2507204510038719,34.01789319899399
14,13,0,0,0,10.000000000000002,20,10.0,27.4280237688557,7,11.428571428571429,38.49563343256787,11,33.0,43.00000000000001,20,43.0,0,0.398,24010,13,59,1.0,1748.2534023624862,False,0.10655134743779979,6,0.5390000000000001,20500,137,0,0.0,1370.0000000000002,False,-0.05794201351832088,0,0.8930000000000002,30231,41,19,1.0,1855.9660097418732,False,-0.035654018604471004,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,11,1.3900000000000001,41036,87,0,0.0,3349.120108633405,False,-0.06753645851199236,9,1.1900000000000002,40150,80,0,0.0,3079.6506746054297,False,-0.08982129645221557,0.3333333333333333,188639,0.0,0.0,13,0,0,7,12,12.0,20,27,17,102.0,48.0,7,6,17,575,1.4580434559611604,35.47593665495515
15,17,0,0,0,10.000000000000002,20,10.0,27.676994944293376,14,29.285714285714285,38.49563343256787,0,,43.0,20,43.0,0,0.398,24274,14,58,1.0,1745.2657067690159,False,0.11822451322414212,3,0.5630000000000001,20362,146,0,0.0,1460.0000000000002,False,-0.06207755247242974,0,0.893,29821,45,29,1.0,2361.83814203767,False,-0.04051502364461533,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,9,1.4690000000000003,40897,87,0,0.0,3349.120108633405,False,-0.07057112797317479,11,1.2910000000000001,39968,80,0,0.0,3079.6506746054297,False,-0.09379474855246882,0.3333333333333333,188034,0.0,0.0,10,0,0,6,11,11.0,26,32,14,169.0,48.0,11,6,14,574,1.5460306989843957,37.021967353939544
16,14,0,0,0,10.000000000000002,20,10.0,28.058175418769594,20,29.85,36.166495249734034,18,21.77777777777778,43.00000000000001,20,43.0,0,0.398,24755,12,51,1.0,1550.9669463572493,False,0.1352936443071249,3,0.5900000000000001,20192,158,0,0.0,1580.0000000000002,False,-0.06696905016008538,0,0.893,29616,55,21,1.0,2302.696048276742,False,-0.047774812783932114,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,12,1.5800000000000003,40528,97,0,0.0,3508.1500392242015,False,-0.07689120994646535,8,1.3600000000000003,39624,88,0,0.0,3182.651581976595,False,-0.10018064380865654,0.3333333333333333,187427,0.0,0.0,14,0,0,8,9,9.0,21,29,15,133.0,45.0,9,5,15,1153,1.417603339010384,38.43957069294993
17,15,0,0,0,10.000000000000002,20,10.0,27.57362804169121,3,11.0,34.39301264734062,26,26.46153846153846,43.00000000000001,20,43.0,0,0.398,24655,12,61,1.0,1801.991310543164,False,0.1364281241227135,3,0.6170000000000001,20039,168,0,0.0,1680.0000000000002,False,-0.07154927072216292,5,0.9430000000000001,30076,48,10,1.0,1667.4642724745845,False,-0.043368136664377666,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,10,1.6680000000000004,40012,111,0,0.0,3817.624403854809,False,-0.08477835556005149,10,1.4520000000000002,39118,100,0,0.0,3439.301264734062,False,-0.10842610618358586,0.3333333333333333,186612,0.0,0.0,14,0,0,5,14,14.0,24,29,19,101.0,21.0,8,7,19,753,1.3441960510099307,39.78376674395986
18,19,0,0,0,10.000000000000002,20,10.0,27.391928522219626,16,26.3125,34.39301264734062,0,,43.00000000000001,20,43.0,0,0.398,24905,12,61,1.0,1790.907639855397,False,0.14729872909674926,6,0.6740000000000002,19837,178,0,0.0,1780.0000000000002,False,-0.07830843116328709,0,0.9380000000000002,29655,54,20,1.0,2167.024393146672,False,-0.04866725893431543,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,7,1.7280000000000004,39923,111,0,0.0,3817.624403854809,False,-0.08672141730138412,13,1.572,38863,100,0,0.0,3439.301264734062,False,-0.11399330555481982,0.3333333333333333,185895,0.0,0.0,12,0,0,11,12,12.0,19,30,16,200.0,48.0,13,6,16,550,1.3642053739749826,41.14797211793484
19,16,0,0,0,10.000000000000002,20,10.0,27.860335212748478,13,31.46153846153846,34.14804222446059,16,32.1875,43.000000000000014,20,43.0,0,0.398,25200,11,60,1.0,1781.6201127649088,False,0.1602103369077933,2,0.6880000000000001,19695,189,0,0.0,1890.0000000000002,False,-0.08217716115261472,0,0.9380000000000002,29761,57,14,1.0,2066.1116982691115,False,-0.046948226636917625,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,11,1.8310000000000004,39649,116,0,0.0,3961.1728980374282,False,-0.0911364411619353,9,1.649,38293,111,0,0.0,3790.4326869151255,False,-0.12260465584976064,0.3333333333333333,185310,0.0,0.0,14,0,0,10,11,11.0,19,29,12,142.0,15.0,11,5,12,1100,1.289279078016989,42.43725119595183
20,12,0,0,0,10.000000000000002,20,10.0,27.06127910564597,20,23.0,34.14804222446059,0,,43.000000000000014,20,43.0,0,0.398,25440,11,60,1.0,1733.6767463387582,False,0.16981671883535127,10,0.786,19435,199,0,0.0,1990.0000000000005,False,-0.0915154749199573,0,0.9380000000000002,29301,67,24,1.0,2632.6587134653337,False,-0.052417772376817016,0,0.2,32712,0,0,0.0,0.0,False,0.012410634149360899,13,1.9500000000000004,39391,116,0,0.0,3961.1728980374282,False,-0.09676913699636024,7,1.7100000000000002,38206,111,0,0.0,3790.4326869151255,False,-0.1245040532822993,0.3333333333333333,184485,0.0,0.0,12,0,0,6,11,11.0,20,26,11,123.0,10.0,8,4,11,540,1.1423728900263086,43.57962408597814
