index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,34.0,0,,0,0.2,19565,0,6,0.6,114.0,False,-0.00015286624203821657,0,0.2,19485,14,0,0.0,140.0,False,-0.0035668789808917197,0,0.2,26126,0,0,0.0,0.0,False,0.0,0,0.2,26126,0,0,0.0,0.0,False,0.0,0,0.2,37410,0,0,0.0,0.0,False,0.0,0,0.2,37410,0,0,0.0,0.0,False,0.0,0.09999999999999999,166122,0.0,0.0,10,0,0,0,0,0.0,360,360,64,0.0,0.0,0,0,64,200,1.116461493074894,1.116461493074894
1,64,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,34.0,0,,0,0.2,19485,0,14,0.8,266.0,False,-0.000356687898089172,0,0.2,19365,26,0,0.0,260.0,False,-0.006624203821656051,0,0.2,26126,0,0,0.0,0.0,False,0.0,0,0.2,26126,0,0,0.0,0.0,False,0.0,0,0.2,37410,0,0,0.0,0.0,False,0.0,0,0.2,37410,0,0,0.0,0.0,False,0.0,0.13333333333333333,165922,0.0,0.0,9,0,0,46,0,0.0,33,79,39,1112.0,3.0,63,1,39,200,3.1549013974145055,4.271362890489399
2,39,0,0,0,10.0,20,10.0,14.046153846153846,20,2.9,24.0,0,,34.0,0,,0,0.2,19395,1,22,1.0,319.0153846153846,False,-0.00359196472317492,18,0.38000000000000006,18801,35,0,0.0,350.0,False,-0.033070063694267515,0,0.2,26114,0,4,0.4,96.0,False,0.0013779376865957285,0,0.2,26080,6,10,1.0,324.2769230769231,False,0.004445321194919359,0,0.2,37410,0,0,0.0,0.0,False,0.0,0,0.2,37410,0,0,0.0,0.0,False,0.0,0.39999999999999997,165210,0.0,0.0,10,0,0,16,4,4.0,29,45,27,295.0,35.0,26,13,27,220,2.333710003644228,6.605072894133627
3,27,0,0,0,10.0,20,10.0,12.702255639097745,8,2.875,24.0,0,,34.0,20,34.0,0,0.2,19315,0,31,1.0,393.76992481203007,False,-0.005763823571667938,7,0.43200000000000005,18537,46,0,0.0,460.0,False,-0.043719745222929936,0,0.2,26091,0,12,0.8,288.0,False,0.004172089106637067,0,0.2,26080,0,16,0.6,384.0,False,0.005588302840082676,11,0.31000000000000005,37262,0,0,0.0,0.0,False,-0.0039561614541566426,9,0.29000000000000004,37311,0,0,0.0,0.0,False,-0.0026463512429831595,0.39999999999999997,164596,0.0,0.0,10,0,0,20,9,9.0,16,36,24,280.0,36.0,20,7,24,210,1.5319500276818871,8.137022921815515
4,24,0,0,0,10.0,20,10.0,11.456406585540446,10,4.0,24.0,0,,34.0,20,34.0,0,0.2,19245,0,38,0.8,435.34345025053693,False,-0.00827150445221571,9,0.5150000000000001,18215,58,0,0.0,580.0,False,-0.057070063694267516,0,0.2,26051,0,22,1.0,528.0,False,0.007234172854627574,0,0.2,26080,0,16,0.0,384.0,False,0.005588302840082676,6,0.35900000000000004,37203,0,0,0.0,0.0,False,-0.005533279871692061,14,0.42100000000000004,37096,0,0,0.0,0.0,False,-0.008393477679764769,0.3,163890,0.0,0.0,10,0,0,14,12,12.0,16,30,26,149.0,66.0,12,12,26,210,1.1649211887270212,9.301944110542536
5,26,0,0,0,10.0,20,10.0,13.302669215053056,13,22.23076923076923,24.0,0,,34.0,20,34.0,0,0.2,19435,0,37,0.9,492.1987609569631,False,0.0028585671581391682,3,0.536,18045,69,0,0.0,690.0,False,-0.06292993630573249,0,0.2,25762,3,32,1.0,807.9080076451592,False,0.0015292813221533595,0,0.2,26080,0,16,0.0,384.0,False,0.005588302840082676,10,0.45300000000000007,37075,0,0,0.0,0.0,False,-0.008954824913124833,10,0.5070000000000001,36966,0,0,0.0,0.0,False,-0.011868484362469928,0.31666666666666665,163363,0.0,0.0,10,0,0,12,10,10.0,17,29,21,150.0,78.0,10,16,21,480,1.1668747793883085,10.468818889930844
6,21,0,0,0,10.0,20,10.0,11.374920297555793,15,2.6,21.09722222222222,27,16.25925925925926,34.0,20,34.0,0,0.2,19325,1,47,1.0,544.6212539851223,False,-0.0014109234653471132,15,0.683,17583,78,0,0.0,780.0,False,-0.08417834394904458,0,0.2,26022,8,19,1.0,491.8465846026686,False,0.005432262585215237,0,0.2,26220,0,12,0.0,253.16666666666666,False,0.008443058000969613,10,0.543,36857,0,7,0.7,238.0,False,-0.011601176156107992,10,0.5970000000000002,36489,20,0,0.0,421.94444444444446,False,-0.018979625174492944,0.45,162496,0.0,0.0,13,0,0,10,12,12.0,15,25,29,111.0,88.0,7,14,29,639,1.1504243295639753,11.61924321949482
7,29,0,0,0,10.0,20,10.0,13.669336226928726,12,28.0,20.207417582417584,8,13.0,34.0,20,34.0,0,0.2,19541,3,45,1.0,645.1201302117927,False,0.012155926884376854,0,0.6680000000000001,17503,86,0,0.0,860.0,False,-0.08621656050955415,0,0.2,25790,10,21,1.0,561.0491315000565,False,-0.002123380320369469,0,0.2,26220,0,12,0.0,242.489010989011,False,0.008238708776487238,4,0.5730000000000001,37060,0,0,0.0,0.0,False,-0.009355787222667736,9,0.6770000000000002,36278,28,0,0.0,565.8076923076924,False,-0.022697036991343386,0.3333333333333333,162392,0.0,0.0,12,0,0,18,7,7.0,16,34,21,246.0,96.0,17,12,21,878,1.2610284928232431,12.880271712318063
8,21,0,0,0,10.0,20,10.0,13.314432597162826,12,11.0,19.602768456375845,6,13.0,34.0,20,34.0,0,0.2,19441,3,55,1.0,762.2937928439554,False,0.010045701728508456,12,0.788,17259,96,0,0.0,960.0,False,-0.09610191082802548,0,0.2,25736,12,25,1.0,649.84240257535,False,-0.0024909591484469805,0,0.2,26220,0,12,0.0,235.23322147651015,False,0.008099847306830589,5,0.6190000000000002,37025,0,0,0.0,0.0,False,-0.01029136594493451,15,0.8180000000000001,35938,34,0,0.0,666.4941275167787,False,-0.030439800487613203,0.3333333333333333,161619,0.0,0.0,11,0,0,14,9,9.0,16,30,24,156.0,72.0,12,9,24,278,1.160820827819407,14.04109254013747
9,24,0,0,0,10.000000000000002,20,10.0,15.033050673862032,12,26.666666666666668,20.484600825877497,17,23.823529411764707,33.99999999999999,20,34.0,0,0.2,19680,1,54,1.0,821.7847363885497,False,0.023739738506714705,1,0.786,17117,108,0,0.0,1080.0000000000002,False,-0.10028025477707006,0,0.2,25533,14,26,1.0,743.0623309068833,False,-0.008476951486892688,0,0.2,26508,0,4,0.0,81.93840330350999,False,0.016189588978479472,11,0.7240000000000002,36880,0,0,0.0,0.0,False,-0.014167334937182571,9,0.8930000000000002,35438,51,0,0.0,1044.7146421197524,False,-0.03875013843731951,0.3333333333333333,161156,0.0,0.0,13,0,0,15,10,10.0,16,31,23,207.0,104.0,14,10,23,924,1.2219910891726613,15.263083629310131
