index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
692,1dce3b50-e695-4e94-bf7f-fb011fac760e,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,29,17,17,19,-1,19,04Dec@2|03Ran@1,"[quantity: (1, 29), time: (19, 29), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,2,-1,03Ran@1:product(1.0),-1,-1
693,d7ba3d59-3375-4dda-b009-5816fa198683,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,20,3,3,19,-1,19,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (19, 22), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,14,-1,03Ran@1:product(1.0),-1,-1
694,323135ea-7e6c-40df-aec9-321e74bee2ce,00Dec@0,03Ran@1,DecentralizingAgent,RandomAgent,29,18,38,19,-1,19,00Dec@0|03Ran@1,"[quantity: (1, 18), time: (24, 29), unit_price: (20, 40)]",00Dec@0,03Ran@1,p1,00Dec@0,False,1,11,-1,00Dec@0:product(0.4444444444444444),-1,-1
695,6a4369ed-f00f-439c-a280-8bde86dc36c1,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,41,3,53,19,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(1.0),-1,-1
696,fc8089ab-5174-4b1c-afd5-6bd8350e358f,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,41,1,53,19,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
697,e6ea5ba4-8a9e-4d46-bfd7-5e49954348a5,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,41,2,10,19,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,41,,-1,-1
698,1dacf9d9-8063-490c-9472-a14fbd33841b,00Dec@0,03Ran@1,DecentralizingAgent,RandomAgent,26,16,38,20,-1,20,00Dec@0|03Ran@1,"[quantity: (1, 18), time: (24, 29), unit_price: (20, 40)]",00Dec@0,03Ran@1,p1,00Dec@0,False,1,13,-1,00Dec@0:product(0.375),-1,-1
699,7651b5cb-a7c8-4f88-9e74-12b264e5c6c8,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,2,53,20,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
700,5c86a7a0-9ec5-438b-8c19-70e3de0e30d8,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,30,5,41,20,-1,20,02Ind@1|04Dec@2,"[quantity: (1, 5), time: (25, 30), unit_price: (28, 56)]",02Ind@1,04Dec@2,p2,02Ind@1,False,2,17,30,,-1,-1
701,2a70fc8c-d2b2-4efa-b3c3-65b299088f13,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,1,53,20,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
