index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,33.0,0,,50.0,0,,0,0.2,63270,0,8,0.8,184.0,False,0.00018942383583267562,0,0.2,63230,2,10,1.0,250.0,False,7.892659826361483e-05,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,94025.0,0,0,0.0,0.0,False,0.0,0,0.2,132702,0,0,0.0,0.0,False,0.0,0,0.2,132702,0,0,0.0,0.0,False,0.0,0.3,579954,0.0,0.0,7,0,0,0,0,0.0,1011,1011,128,0.0,0.0,0,0,128,200,9.900433490984142,9.900433490984142
1,128,0,0,0,10.0,20,10.0,23.0,0,,33.0,0,,50.0,0,,0,0.2,63180,0,17,0.9,391.0,False,0.00040252565114443567,0,0.2,63120,3,20,1.0,490.0,False,0.00023677979479084452,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,94025.0,0,0,0.0,0.0,False,0.0,0,0.2,132702,0,0,0.0,0.0,False,0.0,0,0.2,132702,0,0,0.0,0.0,False,0.0,0.31666666666666665,579754,0.0,0.0,7,0,0,71,0,0.0,63,134,103,2142.0,87.0,119,9,103,200,22.55060272105038,32.45103621203452
2,103,0,0,0,10.0,20,10.0,22.53191489361702,2,12.0,33.0,0,,50.0,0,,0,0.2,63072,2,26,1.0,605.8297872340426,False,0.00039328955985831195,0,0.2,63052,1,29,1.0,663.4255319148936,False,0.0005321667870157398,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,94001.0,0,2,0.2,66.0,False,9.571922361074183e-05,0,0.2,132702,0,0,0.0,0.0,False,0.0,0,0.2,132702,0,0,0.0,0.0,False,0.0,0.3666666666666667,579554,0.0,0.0,9,0,0,25,0,0.0,44,69,36,912.0,192.0,54,49,36,224,7.3849076656624675,39.83594387769699
3,36,0,0,0,10.0,20,10.0,22.056433408577877,2,12.0,33.0,0,,50.0,20,50.0,0,0.2,62994,1,35,1.0,781.9751693002257,False,0.0005522902075787898,0,0.2,62954,2,38,1.0,858.1444695259594,False,0.000522055797363505,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,93977.0,0,4,0.2,132.0,False,0.00019143844722148366,10,0.30000000000000004,132521,0,0,0.0,0.0,False,-0.0013639583427529352,10,0.30000000000000004,132528,0,0,0.0,0.0,False,-0.0013112085725912194,0.3666666666666667,578999,0.0,0.0,8,0,0,10,7,7.0,21,31,31,273.0,90.0,16,20,31,224,3.944076484069228,43.78002036176622
4,31,0,0,0,10.0,20,10.0,27.91273319143608,40,33.75,33.0,0,,50.0,20,50.0,0,0.2,63868,0,17,1.0,474.51646425441334,False,0.011921992614478386,0,0.2,63230,3,36,1.0,1034.858394891699,False,0.006273546921007837,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,92627.0,30,14,1.0,1299.3819957430824,False,-0.007958617411629447,9,0.38000000000000006,132371,0,0,0.0,0.0,False,-0.0024943105605039866,11,0.4,132335,0,0,0.0,0.0,False,-0.0027655950927642386,0.5,578456,0.0,0.0,12,0,0,7,6,6.0,18,25,25,168.0,105.0,11,20,25,1550,3.0694227991625667,46.849443160928786
5,25,0,0,0,10.0,20,10.0,29.675990817430698,27,34.370370370370374,30.433962264150942,8,16.0,50.0,20,50.0,0,0.2,64140,0,14,0.8,415.4638714440298,False,0.015749517533101994,0,0.2,63686,5,30,1.0,940.2797245229209,False,0.012725175410599178,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,91827.0,47,16,1.0,1881.7149646456578,False,-0.013370300640012482,9,0.4610000000000001,132231,0,0,0.0,0.0,False,-0.003549305963738301,11,0.49900000000000005,132018,0,8,0.8,400.0,False,-0.0036472698226100585,0.6,577927,0.0,0.0,10,0,0,8,6,6.0,16,24,27,144.0,81.0,8,17,27,1256,2.794694757089019,49.644137918017805
6,27,0,0,0,10.0,20,10.0,30.115108351281048,8,35.0,28.142857142857142,9,16.0,49.99999999999999,20,50.0,0,0.2,64320,0,16,1.0,481.84173362049677,False,0.019114772956752187,0,0.2,63586,5,40,1.0,1254.604334051242,False,0.01362750066338785,0,0.2,94025,0,0,0.0,0.0,False,0.0,0,0.2,91691.0,45,17,1.0,1833.6084472362186,False,-0.015072542157744149,6,0.512,132153,0,0,0.0,0.0,False,-0.004137089116968848,6,0.548,132207,0,9,0.9,449.99999999999994,False,-0.0020346339919518923,0.65,577982,0.0,0.0,12,0,0,8,4,4.0,15,23,26,132.0,84.0,9,18,26,1024,2.762156303972006,52.40629422198981
7,26,0,0,0,10.0,20,10.0,30.58534230184832,17,33.0,24.597264237800868,25,17.36,49.99999999999999,20,50.0,1,0.21000000000000002,64713,4,10,1.0,345.8534230184832,False,0.024245094104329033,0,0.2,63526,1,50,1.0,1539.2671150924161,False,0.014927127980208479,0,0.2,94025,0,0,0.0,0.0,False,0.0,8,0.28,91228.0,52,10,1.0,1836.4104420741214,False,-0.019981864174027544,9,0.5960000000000001,131580,25,0,0.0,614.9316059450217,False,-0.006138070240293853,2,0.562,132639,0,0,0.0,0.0,False,-0.0004747479314554415,0.5,577711,0.0,0.0,11,0,0,11,7,5.3088235294117645,13,24,22,147.0,96.0,9,17,22,848,2.8701969692483544,55.276491191238165
8,22,0,0,0,10.0,20,10.0,31.29569260220203,18,35.0,23.048039182797144,21,18.0,50.0,20,50.0,0,0.20900000000000002,64873,6,12,1.0,435.5483112264244,False,0.027478676489553426,0,0.2,63796,0,49,0.9,1533.4889375078994,False,0.019143559096352746,0,0.2,94025,0,0,0.0,0.0,False,0.0,11,0.382,90547.0,60,10,1.0,2108.221947960093,False,-0.02577919729880303,9,0.6770000000000002,131215,37,0,0.0,852.7774497634944,False,-0.007992428713344575,11,0.6700000000000002,132266,0,9,0.9,450.0,False,-0.0015900287863031455,0.6333333333333333,576722,0.0,0.0,10,0,0,10,8,7.916666666666666,12,22,22,168.0,64.0,11,11,22,992,2.7793058259412646,58.05579701717943
9,22,0,0,0,10.000000000000002,20,10.0,31.529401208808917,16,33.0,21.701970059597347,19,16.0,49.99999999999999,20,50.0,0,0.20900000000000002,64793,4,22,1.0,733.6468265937962,False,0.028568641093873734,0,0.2,64204,2,43,1.0,1375.7642519787835,False,0.024339102225562563,0,0.2,94025,0,0,0.0,0.0,False,0.0,9,0.461,89972.0,66,10,1.0,2297.960180377362,False,-0.030885614568586253,11,0.778,130861,47,0,0.0,1019.9925928010753,False,-0.010030019921323534,0,0.6590000000000001,132572,0,9,0.9,449.99999999999994,False,0.0007158897379089991,0.65,576427,0.0,0.0,12,0,0,11,4,3.9,15,26,22,204.0,42.0,13,9,22,1322,2.7168050073087215,60.77260202448815
