index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,17.85092023301613,11,14.272727272727273,9.093798538830603,21,4.761904761904762,35.0,11,35.0,11,1.8220000000000005,22322,122,0,0.0,1220.0000000000002,False,-0.09705870772138442,0,0.389,26550,0,16,0.9,285.61472372825807,False,0.05102206409670939,0,0.2,37597,55,38,1.0,1327.36495729145,False,-0.013391374970455857,19,1.6590000000000005,30121,166,0,0.0,2963.2527586806773,False,-0.18507925788188917,0,0.29900000000000004,59519,87,12,1.0,1211.1604728782625,False,0.036237638075887334,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.48333333333333334,234125,0.0,0.0,18,0,0,17,5,5.0,19,36,27,149.0,30.0,13,10,27,651,1.4555303296074271,24.68244694173336
11,27,0,0,0,10.000000000000002,20,10.0,18.107564829416113,50,19.16,8.327632462090024,14,1.0,35.0,14,35.0,36,2.1710000000000007,22096,131,0,0.0,1310.0000000000002,False,-0.10418553372445565,0,0.389,26860,1,12,1.0,227.29077795299335,False,0.062079985391049974,0,0.2,37072,80,48,1.0,1848.3315445336102,False,-0.020212331813646147,14,1.7800000000000005,29288,181,0,0.0,3277.4692341243162,False,-0.20250813261830436,2,0.31900000000000006,59909,91,10,1.0,1107.8145540501923,False,0.04206865114999644,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,233241,0.0,0.0,18,0,0,17,6,5.25,15,32,27,107.0,64.0,10,17,27,935,1.3931595124304295,26.07560645416379
12,27,0,0,0,10.000000000000002,20,10.0,17.587677234187353,38,14.447368421052632,8.391621006263824,14,9.0,35.0,7,35.0,38,2.515000000000001,21793,140,0,0.0,1400.0000000000002,False,-0.11434421388352956,0,0.389,26750,2,22,1.0,406.92889915212174,False,0.061285366365163685,0,0.2,36625,108,53,1.0,2344.2250546242167,False,-0.02534521590221488,9,1.8560000000000008,29057,181,0,0.0,3183.369579387911,False,-0.20967806112186813,0,0.31700000000000006,60028,95,13,1.0,1252.2039955950631,False,0.045363861945426395,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,232269,0.0,0.0,13,0,0,14,4,4.0,16,30,25,147.0,65.0,10,17,25,547,1.335543954744935,27.411150408908725
13,25,0,0,0,10.000000000000002,20,10.0,17.24928370966251,30,14.533333333333333,10.836804592422405,29,22.0,35.0,13,35.0,10,2.5770000000000013,21653,148,0,0.0,1480.0000000000002,False,-0.11828168681340316,0,0.389,26930,4,12,1.0,246.99140451595014,False,0.06522406986092753,0,0.2,36947,116,46,1.0,2499.4099215722817,False,-0.015041130459356863,12,1.9670000000000007,28564,193,0,0.0,3329.1117559648646,False,-0.22051171021190225,0,0.31700000000000006,59845,114,10,1.0,1585.3957235361543,False,0.0450811392535259,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,231955,0.0,0.0,24,0,0,16,6,6.0,16,32,28,89.0,51.0,8,17,28,1533,1.25582364667207,28.666974055580795
14,28,0,0,0,10.000000000000002,20,10.0,17.486295741724987,19,20.526315789473685,10.413111044079267,11,4.818181818181818,35.0,12,35.0,2,2.5870000000000006,21563,155,0,0.0,1550.0000000000002,False,-0.12044729692483364,5,0.43900000000000006,27084,7,10,1.0,244.8629574172499,False,0.07124587465876386,0,0.2,36557,125,56,1.0,2768.9211861840627,False,-0.021622986253428837,11,2.065000000000001,28296,193,0,0.0,3374.8550781529225,False,-0.22683270915223158,2,0.3370000000000001,60126,115,10,1.0,1547.5077700691156,False,0.04959763339827236,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,231642,0.0,0.0,18,0,0,19,6,4.544117647058823,15,34,28,112.0,69.0,10,18,28,445,2.374859790317714,31.04183384589851
15,28,0,0,0,10.000000000000002,20,10.0,18.428302958589878,24,27.708333333333332,9.887029542731796,9,1.6666666666666667,35.0,10,35.0,3,2.6150000000000007,21438,166,0,0.0,1660.0000000000002,False,-0.12320352797574517,11,0.544,27422,6,10,1.0,244.28302958589882,False,0.08454311591105056,0,0.2,36557,115,66,1.0,2771.7987900581347,False,-0.02158588460471718,9,2.1440000000000006,27383,217,0,0.0,3998.9417420140035,False,-0.2423292709900206,0,0.3350000000000001,60461,114,10,1.0,1477.1213678714248,False,0.054764756194817715,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,231277,0.0,0.0,19,0,0,17,6,5.647058823529411,14,31,31,77.0,82.0,7,21,31,666,1.2940381597727537,32.33587200567126
16,31,0,0,0,10.000000000000002,20,10.0,18.193119792684033,11,13.181818181818182,9.67378967744826,7,5.571428571428571,35.0,10,35.0,9,2.7020000000000004,21270,178,0,0.0,1780.0000000000002,False,-0.12745599874000865,0,0.533,27358,4,18,1.0,367.4761562683126,False,0.08444848124322385,0,0.2,36574,107,75,1.0,2672.198043625811,False,-0.022431691031126657,6,2.1950000000000003,27104,226,0,0.0,4111.645073146591,False,-0.24807058956747566,0,0.3350000000000001,60772,111,10,1.0,1423.7906541967568,False,0.059665218832483824,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,231094,0.0,0.0,20,0,0,13,3,3.0,18,31,30,120.0,97.0,10,21,30,599,1.350151440128684,33.68602344579995
17,30,0,0,0,10.000000000000002,20,10.0,18.190123509377553,14,18.142857142857142,8.19448665133945,34,2.6470588235294117,35.0,9,35.0,5,2.7430000000000008,21145,188,0,0.0,1880.0000000000002,False,-0.13040910343741388,0,0.533,27443,4,19,1.0,385.61234667817354,False,0.0881523870275657,0,0.2,36607,97,84,1.0,2452.7788591221365,False,-0.024409762002035425,33,2.519000000000001,25625,240,0,0.0,4365.629642250613,False,-0.2829341201360158,0,0.3350000000000001,60997,135,11,1.0,1491.2556979308256,False,0.06412443295586871,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,229833,0.0,0.0,19,0,0,13,6,6.0,19,32,28,131.0,90.0,10,20,28,733,1.3223944213241339,35.00841786712408
18,28,0,0,0,10.000000000000002,20,10.0,18.762113710015864,29,22.93103448275862,8.165826165792406,1,4.0,35.0,13,35.0,0,2.738000000000001,21075,195,0,0.0,1950.0000000000005,False,-0.13178721896286963,10,0.633,27786,7,10,1.0,257.62113710015865,False,0.09913810956215607,0,0.2,36292,102,94,1.0,2681.3232580061044,False,-0.029585826998374146,1,2.496000000000001,25253,254,0,0.0,4765.576882344029,False,-0.287370076297782,2,0.35500000000000004,61362,126,10,1.0,1378.8940968898432,False,0.0694468830520306,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,229784,0.0,0.0,19,0,0,16,5,3.9047619047619047,16,32,24,120.0,99.0,10,18,24,814,1.3297970090061426,36.33821487613022
19,24,0,0,0,10.000000000000002,20,10.0,18.94130000199293,13,21.923076923076923,8.232905984175519,5,10.0,35.0,12,35.0,7,2.8080000000000007,20924,208,0,0.0,2080.0000000000005,False,-0.13517344568256093,0,0.623,27896,4,14,1.0,305.17820002790097,False,0.10440560302452845,0,0.2,36342,92,99,1.0,2557.6572926167255,False,-0.029890958063219078,0,2.495000000000001,24968,267,0,0.0,5057.327100532112,False,-0.29095761861098357,2,0.37300000000000005,61646,121,10,1.0,1346.1816240852377,False,0.07405968101827957,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,229792,0.0,0.0,21,0,0,14,3,3.0,16,30,21,101.0,63.0,8,16,21,780,1.2975784027948976,37.63579327892512
