index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,17.227127255538594,58,11.810344827586206,22.76047901552623,19,27.105263157894736,44.99999999999999,12,45.0,8,0.3970000000000001,56182,6,10,1.0,232.27127255538596,False,0.045035187783592466,40,1.6170000000000002,47741,104,0,0.0,1040.0000000000002,False,-0.10415429165429166,0,0.38900000000000007,83680,68,25,1.0,1740.4566287647804,False,-0.0206953181789686,14,2.3740000000000006,75346.0,154,0,0.0,2652.9775973529436,False,-0.11193939100644607,0,0.2,112570,0,8,0.0,359.99999999999994,False,0.00039039625219597894,12,0.8960000000000001,105653,280,0,0.0,6372.934124347345,False,-0.03430636290726605,0.3333333333333333,481172,0.0,0.0,11,0,0,13,14,13.444444444444445,18,31,15,178.0,57.0,13,4,15,465,3.090520926984027,82.53192771307658
11,15,0,0,0,10.000000000000002,20,10.0,16.038607357422407,19,2.736842105263158,22.25519038611124,28,19.0,44.99999999999999,12,45.0,0,0.38900000000000007,56052,9,20,1.0,410.77214714844814,False,0.044278773269494864,19,1.7670000000000001,47076,111,0,0.0,1110.0000000000002,False,-0.11584867834867835,0,0.38900000000000007,83981,66,17,1.0,1436.88632215377,False,-0.018967034283367726,10,2.4600000000000004,75105.0,165,0,0.0,2646.370213974697,False,-0.11476904331877003,0,0.2,112570,0,8,0.0,359.99999999999994,False,0.00039039625219597894,12,1.004,104889,308,0,0.0,6854.598638922263,False,-0.03894824304419345,0.3333333333333333,479673,0.0,0.0,12,0,0,14,11,11.0,17,31,18,216.0,36.0,13,2,18,542,2.5919818619731814,85.12390957504977
12,18,0,0,0,10.000000000000002,20,10.0,14.749572619096028,25,4.0,24.100071286355913,40,32.75,44.99999999999999,9,45.0,0,0.38900000000000007,55962,8,30,1.0,522.4871785728809,False,0.04364500277113227,25,1.9980000000000004,46113,122,0,0.0,1220.0000000000002,False,-0.1327034452034452,0,0.38900000000000007,84782,65,10,1.0,1199.722933104801,False,-0.011062910842947898,23,2.6800000000000006,74320.0,181,0,0.0,2669.672644056381,False,-0.12372637082562296,0,0.2,112411,0,11,0.3,494.99999999999994,False,-0.00042145049952974995,9,1.0820000000000003,103591,345,0,0.0,8314.52459379279,False,-0.043988232242326064,0.3833333333333333,477179,0.0,0.0,11,0,0,15,11,11.0,20,35,16,248.0,24.0,15,3,16,1073,2.8945749860140495,88.01848456106381
13,16,0,0,0,10.000000000000002,20,10.0,12.921354886547425,36,2.25,28.83952004621313,66,43.54545454545455,44.99999999999999,13,45.0,0,0.38900000000000007,55862,8,40,1.0,596.854195461897,False,0.04247897048060124,36,2.3330000000000006,44501,132,0,0.0,1320.0000000000002,False,-0.1616980991980992,41,0.7990000000000002,85655,58,10,1.0,1037.833783881882,False,-0.0018889133055243737,15,2.8070000000000013,73792.0,214,0,0.0,2765.169945721149,False,-0.12928889151973583,0,0.2,112411,0,11,0.0,494.99999999999994,False,-0.00042145049952974995,13,1.203,100447,411,0,0.0,11853.042738993598,False,-0.05618581646499036,0.3333333333333333,472668,0.0,0.0,10,0,0,12,17,16.80392156862745,21,33,17,198.0,39.0,13,3,17,200,2.991831857012585,91.0103164180764
14,17,0,0,0,10.000000000000002,20,10.0,13.286299943513072,25,16.52,28.233337309555452,16,19.0,44.99999999999999,11,45.0,0,0.38900000000000007,56106,11,39,1.0,628.1656977970098,False,0.047298835181513704,14,2.4370000000000003,44042,139,0,0.0,1390.0000000000002,False,-0.16956860706860707,0,0.758,85655,48,20,1.0,1202.4091434797365,False,-0.0009358146363682739,16,2.9520000000000013,72909.0,239,0,0.0,3175.425686499624,False,-0.13714035878881808,0,0.2,112411,0,11,0.0,494.99999999999994,False,-0.00042145049952974995,11,1.3000000000000003,99938,427,0,0.0,12055.635031180178,False,-0.05980322684160486,0.3333333333333333,471061,0.0,0.0,10,0,0,14,10,10.0,20,34,18,209.0,36.0,15,2,18,574,2.9949595640064217,94.00527598208282
15,18,0,0,0,10.000000000000002,20,10.0,12.254784092878943,23,2.3043478260869565,27.300623330778063,20,16.4,44.99999999999999,10,45.0,0,0.38900000000000007,55966,15,49,1.0,750.4844205510682,False,0.045835354363594025,23,2.653000000000001,43265,145,0,0.0,1450.0000000000002,False,-0.18343480843480844,0,0.758,85847,38,18,1.0,957.093015483405,False,-0.00013266029927258357,8,3.016000000000001,72656.0,262,0,0.0,3210.753432334283,False,-0.1398661441077737,0,0.2,112411,0,11,0.0,494.99999999999994,False,-0.00042145049952974995,10,1.3890000000000002,99456,447,0,0.0,12203.378628857794,False,-0.06342440229953249,0.3333333333333333,469601,0.0,0.0,10,0,0,15,7,7.0,19,34,16,237.0,39.0,15,3,16,392,2.854590253031347,96.85986623511417
16,16,0,0,0,10.000000000000002,20,10.0,16.43693689889059,74,28.89189189189189,27.633853631560747,3,53.0,45.0,10,45.0,25,0.6390000000000002,57146,14,10,1.0,304.36936898890593,False,0.06359861680454507,0,2.630000000000001,43155,156,0,0.0,1560.0000000000002,False,-0.18445574695574696,0,0.758,85478,44,25,1.0,1414.0715643402045,False,-0.0017601285408329727,0,3.008000000000001,71046.0,320,0,0.0,5259.819807644989,False,-0.14664732497281008,0,0.2,112411,0,11,0.0,495.0,False,-0.00042145049952974995,10,1.4790000000000003,99127,450,0,0.0,12435.234134202336,False,-0.06531491609052612,0.3333333333333333,468363,0.0,0.0,13,0,0,13,7,6.055555555555555,19,32,21,185.0,54.0,13,3,21,1095,2.585703735006973,99.44556997012114
17,21,0,0,0,10.000000000000002,20,10.0,15.557786522665422,16,1.0,26.665493973900993,22,17.5,45.0,8,45.0,0,0.6140000000000001,57056,13,20,1.0,441.1557304533085,False,0.06319753982080956,16,2.7900000000000005,42596,167,0,0.0,1670.0000000000002,False,-0.1938112563112563,0,0.758,85653,35,24,1.0,1184.4943836669136,False,-0.001062728704570889,11,3.1180000000000008,70778.0,335,0,0.0,5211.858485092916,False,-0.15002919672276716,0,0.2,112411,0,11,0.0,495.0,False,-0.00042145049952974995,8,1.5490000000000006,98624,472,0,0.0,12586.113155681269,False,-0.06910850728585319,0.3333333333333333,467118,0.0,0.0,10,0,0,13,7,7.0,19,32,22,244.0,78.0,15,6,22,376,2.2256039700005203,101.67117394012166
18,22,0,0,0,10.000000000000002,20,10.0,13.872989921838794,63,7.111111111111111,26.008488104497182,16,17.5,45.0,8,45.0,0,0.6140000000000001,57366,7,20,1.0,347.4597984367759,False,0.06808230433654562,53,3.304000000000001,39715,183,0,0.0,1830.0000000000002,False,-0.24580487080487082,0,0.758,85729,34,28,1.0,1199.91932426844,False,-9.312737141410163e-05,10,3.207000000000001,70074.0,389,0,0.0,5396.593079595291,False,-0.1571134445278658,0,0.2,112411,0,11,0.0,495.0,False,-0.00042145049952974995,8,1.6210000000000002,98226,488,0,0.0,12692.142194994625,False,-0.07216943998103634,0.3333333333333333,463521,0.0,0.0,9,0,0,16,15,15.0,21,37,23,261.0,90.0,17,5,23,652,2.6135805289959535,104.28475446911762
19,23,0,0,0,10.000000000000002,20,10.0,13.212883832556466,50,9.46,25.503001640747783,15,18.733333333333334,45.0,12,45.0,16,0.7740000000000002,57216,8,10,1.0,212.1288383255647,False,0.06404188482259392,14,3.391000000000001,39237,192,0,0.0,1920.0000000000005,False,-0.2538424413424413,0,0.758,85672,30,38,1.0,1365.5005773251096,False,0.00020559306742832026,15,3.347000000000001,69232.0,433,0,0.0,5721.17869949695,False,-0.16498616642055575,0,0.2,112411,0,11,0.0,495.0,False,-0.00042145049952974995,12,1.7330000000000003,97705,503,0,0.0,12828.009825296134,False,-0.07618933408471533,0.3333333333333333,461473,0.0,0.0,12,0,0,16,12,11.8,20,36,20,309.0,72.0,19,4,20,408,2.370425050961785,106.6551795200794
