index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
621,782b80a0-20bb-421f-8ff4-ea040fb67170,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,62,4,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,62,,-1,-1
622,ff49eb8f-ad27-4d38-b5d7-fa997b0eadb7,SELLER,01Ran@0,_SystemAgent,RandomAgent,55,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,55,,-1,-1
623,b7c32d64-ef00-4dde-8180-cbeb70f7862f,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,63,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
624,41b309dc-3759-4d37-81cd-02b4d6ac50a0,SELLER,01Ran@0,_SystemAgent,RandomAgent,34,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,34,,-1,-1
625,52b1591d-ea35-4832-b941-6e327c258479,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,53,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,53,,-1,-1
626,82af1886-1948-42bb-857d-ad2b5d69d167,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,1,,-1,-1
627,0ea09e2a-9e3e-41eb-ad48-38afaf6378e9,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,28,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
628,6f07b9c1-f5e9-470c-b6b3-09dc68bedbbf,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,1,,-1,-1
629,23d05631-1167-4980-8123-a7d72003af41,SELLER,01Ran@0,_SystemAgent,RandomAgent,36,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,36,,-1,-1
630,82424bf1-d3ef-42e7-8d60-8992ea5b0600,SELLER,01Ran@0,_SystemAgent,RandomAgent,19,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,19,,-1,-1
631,0db11919-797c-4599-85b6-2143dfd5afe6,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,5,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
632,a2b879b4-b5cb-4f00-8986-ddf484c488db,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,48,4,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
633,d1938af2-9991-418c-a808-ed9afee04ec5,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,48,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,48,,-1,-1
634,07f0d930-54d4-466f-a356-b091eb7df280,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,30,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
635,1cce87b5-e2cf-4833-bef4-3f8fc067bfcc,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,52,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
636,647a9673-a04f-4f1b-9708-c4a89a90e31c,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,20,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
637,b8f9e73f-0296-40a9-9cad-91aef72653b0,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,20,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,20,,-1,-1
638,6ebd15e0-b1af-41dc-b14f-ecbe51e8dbca,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,10,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,10,,-1,-1
639,df176137-5a68-4b15-9456-8192f2248db1,SELLER,01Ran@0,_SystemAgent,RandomAgent,17,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,17,,-1,-1
640,4b26efc5-fc7d-4d55-b5a0-8d1ea48744e8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,49,5,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
641,1104aaf4-73b9-4c9b-b46d-2218fc4d1785,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,36,2,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
642,d0f74233-1186-4f79-905d-3fac0f8ce407,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,5,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,5,,-1,-1
643,316f91b0-3fcf-4469-8e7a-eaf2dae8c546,SELLER,01Ran@0,_SystemAgent,RandomAgent,32,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,32,,-1,-1
644,7cc37831-4cdf-45f6-8cf9-afe318479e21,SELLER,01Ran@0,_SystemAgent,RandomAgent,63,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,63,,-1,-1
645,793800c7-4824-4ec9-bfed-0ffcb7625363,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,51,3,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
646,3b6f618e-af28-4f51-90df-3ceef0bfc866,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,24,4,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,24,,-1,-1
647,88334085-8a5b-4119-acff-117bbe61323d,SELLER,01Ran@0,_SystemAgent,RandomAgent,58,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,58,,-1,-1
648,8c3c62ef-7578-4686-aa73-09b782eaa48f,SELLER,01Ran@0,_SystemAgent,RandomAgent,23,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,23,,-1,-1
649,a1041abc-b59e-441d-b9da-dbdaf5720ec8,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,23,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,23,,-1,-1
650,1a059891-fc00-409e-8542-28349b13923a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,45,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,45,,-1,-1
651,b76b22d9-1491-4514-8949-bdf97d73f832,SELLER,01Ran@0,_SystemAgent,RandomAgent,47,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,47,,-1,-1
652,b30861e7-e6cb-4278-99b6-fd338c805496,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,25,4,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,25,,-1,-1
653,d12dfa9b-6a4d-404e-8cc7-e5d41cf58a23,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,50,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,50,,-1,-1
654,3ecf539d-e734-49b5-b4b7-aa1ddf50f412,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,22,1,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
